Date,Open,High,Low,Close,Volume
2024-01-01,36,37,34.2,34.2,500800
2024-01-02,32.52,32.52,32.49,32.49,112000
2024-01-03,30.87,30.87,30.87,30.87,20000
2024-01-04,29.33,29.33,29.33,29.33,28000
2024-01-05,27.87,28.22,27.87,27.87,250400
2024-01-08,26.48,28.6,26.48,26.48,700800
2024-01-09,25.16,26.48,25.16,26.19,278400
2024-01-10,26.17,27.14,24.88,26.03,317600
2024-01-11,26.76,26.76,25.32,25.74,137600
2024-01-12,25.74,25.99,25.21,25.52,123200
2024-01-15,26.2,26.36,25.4,25.46,123200
2024-01-16,25.74,25.74,24,24.16,160800
2024-01-17,23.81,23.81,22.51,22.98,140000
2024-01-18,22.44,25.4,22.42,25.09,171200
2024-01-19,25.74,25.98,24.2,24.36,70400
2024-01-20,23.81,25.08,23.8,24.46,33600
2024-01-23,24.07,24.74,23.2,23.3,63200
2024-01-24,23.8,23.8,23,23.36,72000
2024-01-25,23.36,23.59,23.21,23.41,31200
2024-01-29,23.42,23.94,23.09,23.23,36800
2024-01-30,23,23.83,23,23.31,50400
2024-01-31,23.4,23.7,23.2,23.68,52000
2024-02-01,23.7,23.76,23,23.19,36800
2024-02-02,23.2,23.47,22.7,22.77,54400
2024-02-05,22.6,22.6,21.6,21.71,84800
2024-02-06,21.3,21.58,20.61,20.83,78400
2024-02-07,20.83,20.84,19.81,20.02,105600
2024-02-08,20.2,23.9,20.05,21.9,152000
2024-02-09,21.9,22.36,21.22,21.51,25600
2024-02-12,21.08,21.57,20.53,20.82,22400
2024-02-13,20.25,21.6,20,21.03,20800
2024-02-14,20.6,20.9,20.4,20.51,31200
2024-02-15,21.37,21.37,20.85,21.06,10400
2024-02-16,21.2,21.2,20.64,20.83,24000
2024-02-19,20.5,21,20.5,20.67,14400
2024-02-20,20.72,20.87,20.52,20.65,21600
2024-02-21,20.92,21.82,20.71,21.6,52000
2024-02-22,21.8,22.98,21.73,22.06,36000
2024-02-23,22,22,21.21,21.65,48800
2024-02-26,23.16,23.16,22,22.42,34400
2024-02-27,22.42,23,22.22,22.61,44800
2024-02-28,22.61,22.61,21.6,21.8,20800
2024-02-29,21.6,21.8,21.41,21.79,8000
2024-03-01,23.2,23.98,22.2,22.98,132000
2024-03-02,23.12,23.4,22.92,22.94,13600
2024-03-04,23,23,22.64,22.82,18400
2024-03-05,22.6,22.6,22.22,22.34,24800
2024-03-06,22.02,22.02,21.1,21.37,27200
2024-03-07,21.6,22.15,21.2,21.74,16000
2024-03-11,22,22.19,21.02,21.15,14400
2024-03-12,21.15,21.15,20.03,20.36,36800
2024-03-13,19.9,20.38,19,19.14,68800
2024-03-14,19.2,20.42,19,20.19,40800
2024-03-15,19.8,19.99,19.5,19.9,42400
2024-03-18,19.9,20.03,19.71,19.9,7200
2024-03-19,19.91,20,19.63,19.66,21600
2024-03-20,19.6,19.99,19.26,19.29,28000
2024-03-21,19.24,19.59,19.04,19.49,22400
