Date,Open,High,Low,Close,Volume
2006-03-08,1.19,1.19,0.84,0.94,5354514
2006-03-09,0.94,0.98,0.92,0.93,613073
2006-03-10,0.95,0.95,0.86,0.87,367558
2006-03-13,0.89,0.89,0.8,0.81,233385
2006-03-14,0.8,0.97,0.78,0.92,2303389
2006-03-16,0.93,0.93,0.84,0.85,444303
2006-03-17,0.85,0.85,0.82,0.82,192945
2006-03-20,0.83,0.87,0.8,0.83,273899
2006-03-21,0.84,0.85,0.8,0.81,114501
2006-03-22,0.81,0.81,0.78,0.78,69890
2006-03-23,0.78,0.8,0.76,0.76,124094
2006-03-24,0.77,0.78,0.73,0.73,108725
2006-03-27,0.76,0.77,0.71,0.72,89870
2006-03-28,0.72,0.73,0.65,0.66,98597
2006-03-29,0.68,0.7,0.67,0.67,81794
2006-03-30,0.68,0.7,0.68,0.68,48415
2006-03-31,0.68,0.74,0.66,0.72,135585
2006-04-03,0.72,0.73,0.72,0.72,35693
2006-04-04,0.73,0.74,0.72,0.73,41468
2006-04-05,0.7,0.75,0.7,0.73,25172
2006-04-07,0.68,0.78,0.68,0.72,36375
2006-04-10,0.7,0.73,0.69,0.7,15295
2006-04-12,0.66,0.78,0.66,0.71,148837
2006-04-13,0.72,0.72,0.69,0.7,28508
2006-04-17,0.75,0.75,0.69,0.69,21948
2006-04-18,0.68,0.73,0.68,0.7,68901
2006-04-19,0.74,0.74,0.65,0.66,41493
2006-04-20,0.66,0.79,0.66,0.73,218787
2006-04-21,0.66,0.77,0.66,0.72,94546
2006-04-24,0.72,0.73,0.7,0.72,29603
2006-04-25,0.71,0.71,0.65,0.69,21625
2006-04-26,0.66,0.83,0.66,0.69,22553
2006-04-27,0.71,0.71,0.68,0.69,19767
2006-04-28,0.65,0.71,0.6,0.67,18498
2006-04-29,0.69,0.71,0.68,0.69,28175
2006-05-02,0.71,0.73,0.67,0.69,62356
2006-05-03,0.7,0.7,0.67,0.67,109489
2006-05-04,0.68,0.7,0.68,0.68,20299
2006-05-05,0.68,0.7,0.67,0.68,40086
2006-05-08,0.69,0.7,0.68,0.68,25245
2006-05-09,0.67,0.69,0.67,0.68,19531
2006-05-10,0.69,0.7,0.67,0.68,17077
2006-05-11,0.6,0.69,0.6,0.67,16612
2006-05-12,0.64,0.69,0.64,0.67,25816
2006-05-15,0.67,0.69,0.66,0.68,43934
2006-05-16,0.68,0.68,0.63,0.64,29201
2006-05-17,0.62,0.69,0.62,0.66,7115
2006-05-18,0.65,0.68,0.59,0.6,36562
2006-05-19,0.62,0.63,0.56,0.57,22287
2006-05-22,0.58,0.61,0.46,0.51,55924
2006-05-23,0.52,0.56,0.46,0.53,15761
2006-05-24,0.56,0.56,0.51,0.52,15156
2006-05-25,0.5,0.52,0.5,0.52,2998
2006-05-26,0.51,0.55,0.51,0.54,10307
2006-05-29,0.56,0.64,0.53,0.62,33514
2006-05-30,0.65,0.66,0.61,0.61,43850
2006-05-31,0.59,0.59,0.51,0.55,20704
2006-06-01,0.54,0.59,0.54,0.54,7242
2006-06-02,0.51,0.53,0.5,0.51,8429
2006-06-05,0.52,0.52,0.5,0.51,6370
2006-06-06,0.5,0.5,0.48,0.48,8159
2006-06-07,0.49,0.49,0.42,0.42,12860
2006-06-08,0.42,0.43,0.35,0.36,25504
2006-06-09,0.37,0.4,0.36,0.39,10770
2006-06-12,0.4,0.4,0.36,0.38,20656
2006-06-13,0.36,0.39,0.33,0.35,58873
2006-06-14,0.39,0.39,0.31,0.32,6867
2006-06-15,0.36,0.36,0.32,0.35,8591
2006-06-16,0.36,0.38,0.34,0.36,15632
2006-06-19,0.34,0.4,0.34,0.38,11006
2006-06-20,0.39,0.41,0.37,0.39,9276
2006-06-21,0.38,0.42,0.38,0.41,13475
2006-06-22,0.42,0.44,0.42,0.43,23381
