Date,Open,High,Low,Close,Volume
2017-07-25,2.5,2.63,2.5,2.63,729832
2017-07-26,2.76,2.76,2.76,2.76,10946
2017-07-27,2.89,2.89,2.62,2.62,386543
2017-07-28,2.49,2.49,2.49,2.49,15169
2017-07-31,2.36,2.5,2.36,2.45,563393
2017-08-01,2.41,2.57,2.33,2.54,254071
2017-08-02,2.54,2.55,2.44,2.51,71132
2017-08-03,2.5,2.5,2.41,2.45,76115
2017-08-04,2.45,2.55,2.41,2.53,114065
2017-08-07,2.54,2.62,2.48,2.49,83418
2017-08-08,2.52,2.54,2.21,2.29,384836
2017-08-09,2.2,2.4,2.19,2.24,259321
2017-08-10,2.2,2.55,2.17,2.29,823821
2017-08-11,2.23,2.29,2.14,2.17,228037
2017-08-14,2.2,2.33,2.2,2.29,231270
2017-08-16,2.29,2.3,2.21,2.22,118349
2017-08-17,2.22,2.28,2.12,2.15,114054
2017-08-18,2.15,2.16,2.06,2.09,136536
2017-08-21,2.09,2.17,2.01,2.05,158924
2017-08-22,2.06,2.08,1.98,2.01,93626
2017-08-23,2.02,2.06,2.01,2.03,23988
2017-08-24,2.03,2.06,1.99,2.01,35263
2017-08-28,2.01,2.17,2.01,2.13,127862
2017-08-29,2.15,2.21,2.1,2.16,88569
2017-08-30,2.17,2.23,2.17,2.2,70920
2017-08-31,2.22,2.22,2.16,2.18,43121
2017-09-01,2.18,2.3,2.18,2.24,124881
2017-09-04,2.25,2.37,2.22,2.32,458963
2017-09-05,2.39,2.54,2.32,2.53,925170
2017-09-06,2.51,2.79,2.46,2.69,898566
2017-09-07,2.71,2.77,2.59,2.61,356385
2017-09-08,2.62,2.69,2.54,2.59,146658
2017-09-11,2.61,2.66,2.53,2.56,103748
2017-09-12,2.57,2.74,2.55,2.66,583034
2017-09-13,2.67,2.73,2.58,2.62,386844
2017-09-14,2.61,2.76,2.6,2.72,458704
2017-09-15,2.67,2.85,2.67,2.83,594778
2017-09-18,2.86,3.32,2.86,3.14,1585862
2017-09-19,3.16,3.34,3.03,3.19,1445407
2017-09-20,3.18,3.22,3.04,3.15,383867
2017-09-21,3.14,3.17,2.95,3.08,413961
2017-09-22,3.07,3.07,2.84,2.87,323978
2017-09-25,2.9,2.9,2.53,2.71,312286
2017-09-26,2.74,2.79,2.66,2.69,223102
2017-09-27,2.71,2.75,2.58,2.6,101724
2017-09-28,2.6,2.74,2.58,2.67,106724
2017-09-29,2.7,2.75,2.63,2.65,63857
2017-10-03,2.69,2.7,2.61,2.64,39577
2017-10-04,2.67,2.78,2.62,2.7,118366
2017-10-05,2.73,2.74,2.66,2.69,53545
2017-10-06,2.68,2.95,2.67,2.9,363348
2017-10-09,2.96,2.97,2.83,2.88,157039
2017-10-10,2.88,2.91,2.82,2.84,94507
2017-10-11,2.85,2.89,2.72,2.74,109819
2017-10-12,2.75,2.8,2.73,2.76,42960
2017-10-13,2.76,2.9,2.68,2.85,132094
2017-10-16,2.85,2.94,2.83,2.87,78988
2017-10-17,2.83,2.87,2.8,2.82,20437
2017-10-18,2.8,2.84,2.77,2.81,32900
2017-10-19,2.82,2.92,2.82,2.9,109925
2017-10-23,2.85,2.96,2.85,2.9,79581
2017-10-24,2.9,2.95,2.79,2.92,93189
2017-10-25,2.92,2.92,2.84,2.85,47797
2017-10-26,2.86,2.9,2.83,2.85,29519
2017-10-27,2.89,2.91,2.81,2.82,64918
2017-10-30,2.91,2.91,2.69,2.78,39569
2017-10-31,2.79,3.01,2.77,2.95,330913
2017-11-01,2.98,2.98,2.9,2.91,70077
2017-11-02,2.91,3.02,2.87,3,200734
2017-11-03,3,3.05,2.96,2.99,134753
2017-11-06,2.99,3,2.96,2.98,44672
2017-11-07,3,3.12,2.98,2.99,160451
2017-11-08,3.02,3.04,2.84,2.89,88828
2017-11-09,2.97,2.98,2.9,2.94,24184
2017-11-10,2.95,2.95,2.89,2.91,20396
2017-11-13,2.98,2.98,2.91,2.96,24219
2017-11-14,2.98,3.31,2.82,2.85,140831
2017-11-15,2.86,2.92,2.67,2.7,73264
2017-11-16,2.71,2.76,2.65,2.73,60125
2017-11-17,2.77,2.77,2.7,2.73,77575
2017-11-20,2.7,2.77,2.66,2.69,21514
2017-11-21,2.67,2.77,2.67,2.72,19867
2017-11-22,2.77,2.77,2.67,2.68,28750
2017-11-23,2.75,2.9,2.68,2.86,99209
2017-11-24,2.87,2.93,2.84,2.86,68602
2017-11-27,2.8,2.87,2.8,2.81,16617
2017-11-28,2.82,2.88,2.81,2.82,27419
2017-11-29,2.81,2.85,2.79,2.8,23166
2017-11-30,2.8,2.84,2.73,2.8,20524
2017-12-01,2.82,2.85,2.73,2.74,21901
2017-12-04,2.78,2.82,2.69,2.74,13610
2017-12-05,2.75,2.75,2.64,2.68,26355
2017-12-06,2.67,2.73,2.66,2.69,14105
2017-12-07,2.7,2.73,2.7,2.72,10971
2017-12-08,2.76,2.78,2.73,2.75,12836
2017-12-11,2.8,2.85,2.76,2.83,43778
2017-12-12,2.84,2.91,2.8,2.85,61698
2017-12-13,2.82,2.97,2.81,2.86,64441
2017-12-14,2.89,2.92,2.77,2.78,47085
2017-12-15,2.84,2.87,2.79,2.81,20680
2017-12-18,2.81,2.85,2.71,2.83,20551
2017-12-19,2.84,2.89,2.83,2.84,23520
2017-12-20,2.84,2.86,2.83,2.84,27842
2017-12-21,2.86,2.93,2.82,2.9,21754
2017-12-22,2.97,2.97,2.86,2.95,66780
2017-12-26,3,3,2.92,2.93,28901
2017-12-27,2.93,3.08,2.91,3.03,142189
