Date,Open,High,Low,Close,Volume
2014-03-12,19,19,17.25,17.25,32000
2014-03-13,18,18,18,18,128000
2014-03-14,18,18,18,18,80000
2014-03-18,18,18,18,18,104000
2014-03-19,18,18,18,18,136000
2014-03-20,18.25,18.25,18,18,184000
2014-03-21,18,18,18,18,56000
2014-03-24,18,18.15,18,18,136000
2014-03-26,18,18,18,18,96000
2014-03-27,18.75,18.75,18.75,18.75,40000
2014-04-02,16.55,16.55,16.55,16.55,8000
2014-04-03,18,18,18,18,40000
2014-04-04,18.5,18.5,18.5,18.5,32000
2014-04-11,18,18,18,18,80000
2014-04-17,18,18,18,18,16000
2014-04-23,18,18,18,18,16000
2014-05-19,18,18,18,18,8000
2014-05-21,18,18.3,18,18.3,16000
2014-06-02,18.05,18.05,18.05,18.05,32000
2014-06-03,18.1,18.1,18.1,18.1,32000
2014-06-04,18.7,18.7,18.7,18.7,8000
2014-06-06,19.75,21.25,19.75,21.25,32000
2014-06-09,19.75,19.75,19.45,19.45,16000
2014-06-13,20,20,20,20,32000
2014-06-17,19.1,19.1,19.1,19.1,8000
2014-06-18,19.05,19.05,19.05,19.05,8000
2014-06-19,19.8,22.85,19.8,22.1,40000
2014-06-20,21.4,21.4,21.4,21.4,8000
2014-06-24,21.8,21.8,21.8,21.8,8000
2014-06-25,21,21,18.5,18.5,24000
2014-06-27,21.75,21.75,21.75,21.75,8000
2014-07-01,20,20,18,18,120000
2014-07-02,18.1,19.75,18.1,19.75,80000
2014-07-04,19.45,19.45,18.3,18.4,136000
2014-07-09,19.65,19.65,19.65,19.65,8000
2014-07-10,19.75,22.9,19.75,22.9,24000
2014-07-14,20.7,20.7,20.65,20.65,40000
2014-07-15,21.25,24.75,21.25,23.6,40000
2014-07-16,23.2,26.6,23.2,26.6,40000
2014-07-17,24.85,26.9,24.85,26.9,32000
2014-07-18,24.6,24.6,21.55,23.2,40000
2014-07-21,23,23,23,23,8000
2014-07-22,24.5,24.5,24.5,24.5,8000
2014-07-25,24.9,24.9,24.9,24.9,8000
2014-07-28,24.5,24.5,24.5,24.5,8000
2014-08-01,24.9,24.9,24.5,24.9,40000
2014-08-05,26.1,26.7,26.1,26.7,88000
2014-08-07,27,29.7,27,29.3,136000
2014-08-11,28.9,28.9,27,27.1,144000
2014-08-12,27.8,27.8,27.8,27.8,48000
2014-08-13,26.5,26.5,26.5,26.5,8000
2014-08-14,26,26,26,26,8000
2014-08-18,24.4,24.4,24.4,24.4,8000
2014-08-20,23,23,23,23,8000
2014-08-21,21.2,21.2,21.2,21.2,8000
2014-08-22,21,21,21,21,8000
2014-09-02,19.35,19.35,19.35,19.35,8000
2014-09-10,18.05,18.45,18.05,18.45,16000
2014-10-01,18.05,18.05,18.05,18.05,8000
2014-10-23,18.45,20.85,18.45,20.25,32000
2014-10-28,19.15,19.15,19.15,19.15,8000
2014-10-30,17.5,17.5,15.9,15.9,16000
2014-10-31,16,16,16,16,8000
2014-11-05,15.9,16.05,15.7,16.05,24000
2014-11-07,15.5,15.65,15.5,15.65,64000
2014-11-10,15.4,15.4,15.4,15.4,40000
2014-11-14,16.25,16.25,16.25,16.25,8000
2014-11-17,16.5,16.5,16.5,16.5,152000
2014-11-19,16.2,16.2,16.2,16.2,24000
2014-11-20,16.5,17.1,15.7,16.75,272000
2014-11-24,16.2,16.95,16.2,16.95,96000
2014-11-25,17.25,17.5,17.25,17.45,104000
2014-11-27,17.9,17.9,17.8,17.9,128000
2014-11-28,18.45,18.9,18.45,18.75,200000
2014-12-02,19.7,20,19.7,20,208000
2014-12-03,20.5,20.5,20.5,20.5,16000
2014-12-04,20,20,20,20,16000
2014-12-05,20.1,20.1,20.1,20.1,16000
2014-12-10,21.3,21.3,21.3,21.3,8000
2014-12-12,19.55,19.55,19.55,19.55,8000
2014-12-15,21.3,21.3,21.05,21.05,16000
2015-01-06,19.4,19.4,19.4,19.4,8000
2015-01-28,19.7,19.7,19.7,19.7,8000
2015-01-29,21.15,21.15,21.15,21.15,8000
2015-01-30,21.3,21.3,21.3,21.3,8000
2015-02-04,21.05,21.05,21.05,21.05,8000
2015-02-05,20.9,20.9,20.9,20.9,8000
2015-02-09,19.7,19.7,19.7,19.7,8000
2015-02-11,19.4,19.7,19.4,19.7,16000
2015-02-13,19.4,19.7,19.4,19.7,16000
2015-03-11,22,22,22,22,16000
2015-03-12,21,21,21,21,24000
2015-03-23,19.4,19.4,19.4,19.4,8000
2015-03-26,17.8,17.8,17.8,17.8,8000
2015-04-10,18.1,18.1,18.1,18.1,8000
2015-04-21,17.8,17.8,17.8,17.8,8000
2015-04-23,16.35,16.35,16.35,16.35,8000
2015-04-24,15.25,16.85,15.25,16.85,24000
2015-04-28,18.1,20.15,18.1,20.15,24000
2015-05-12,24,24,22.15,22.25,24000
2015-05-13,20.15,20.15,20.15,20.15,8000
2015-05-25,20.4,24,20.4,23,96000
2015-05-27,22,22,22,22,16000
2015-06-02,20.2,20.2,20.2,20.2,32000
2015-06-03,20.2,20.25,20.2,20.2,56000
2015-06-08,20.2,20.2,20.2,20.2,40000
2015-06-30,21.5,21.5,21.5,21.5,8000
2015-07-02,20.15,20.15,20.15,20.15,8000
2015-07-09,20.3,20.3,20.3,20.3,8000
2015-08-06,20.35,20.35,20.35,20.35,8000
2015-08-13,22.4,22.4,22.4,22.4,8000
2015-08-14,22.6,22.6,22.6,22.6,8000
2015-08-17,22.4,23.4,22.4,22.55,56000
2015-08-20,22.05,22.45,20,22.45,168000
2015-08-21,22.05,22.05,22.05,22.05,8000
2015-08-28,22.3,22.3,22.3,22.3,176000
2015-09-04,25,25,25,25,8000
2015-09-22,22.95,29.5,20.6,23.15,296000
2015-09-23,27.3,27.75,27.3,27.5,16000
2015-09-24,31.9,31.9,31.9,31.9,8000
2015-09-28,36,36.25,36,36.25,264000
2015-09-29,39.5,39.55,39.5,39.55,128000
2015-09-30,43.1,43.3,43,43.25,408000
2015-10-01,43.25,43.25,43.25,43.25,104000
2015-10-05,43.5,43.5,43.4,43.4,72000
2015-10-08,43.4,43.4,43.4,43.4,104000
2015-10-12,43.4,43.4,43.4,43.4,104000
2015-10-13,39.25,39.25,39.25,39.25,48000
2015-10-14,42.5,42.7,42.5,42.7,136000
2015-10-15,38.8,38.8,38.8,38.8,8000
2015-10-16,39.3,43,39.3,42.5,176000
2015-10-19,39.5,43,39.5,42.8,144000
2015-10-20,43,43,42.8,42.9,192000
2015-10-21,39.25,43,34.35,37.3,176000
2015-10-23,39.45,43,37.5,37.5,216000
2015-10-26,40.65,43,40.4,40.4,160000
2015-10-27,40.65,43,40.65,43,184000
2015-10-28,43,43,39.25,39.25,144000
2015-10-29,36,43,36,39.25,240000
2015-10-30,39.75,43,39.25,39.5,176000
2015-11-02,39,43,39,42.55,200000
2015-11-03,40.75,43,40,40,168000
2015-11-04,40.75,43,40,40,160000
2015-11-05,40.75,43,40,40,168000
2015-11-06,40.75,43,40,40.5,160000
2015-11-09,40.75,43.5,40,40,168000
2015-11-10,43,43,42.25,42.25,160000
2015-11-13,43,43,43,43,152000
2015-11-16,44,44,44,44,144000
2015-11-17,44,44,44,44,152000
2015-11-18,44,44,44,44,144000
2015-11-19,44,48,44,44,224000
2015-11-20,44,46.5,44,45.4,216000
2015-11-23,46,46,46,46,152000
2015-11-24,46,46.3,46,46.3,144000
2015-11-26,46.3,46.4,46.3,46.3,152000
2015-11-27,46.3,46.3,46.2,46.3,144000
2015-11-30,44.7,46.3,42,42,264000
2015-12-01,43,46.2,42,46,208000
2015-12-02,45.4,46,45.4,46,96000
2015-12-03,46,46.3,46,46.3,192000
2015-12-04,42,46.3,42,42,208000
2015-12-07,46,46.15,46,46.15,240000
2015-12-08,47.5,47.6,47.5,47.6,176000
2015-12-09,47.5,47.6,47.5,47.6,216000
2015-12-10,47.6,47.7,46.9,46.9,240000
2015-12-11,44,47.6,37.7,44.9,248000
2015-12-14,44.7,44.7,44.6,44.7,200000
2015-12-15,44.7,44.7,44.6,44.7,144000
2015-12-16,44.7,44.75,44.7,44.75,152000
2015-12-17,42.1,42.1,42.1,42.1,160000
2015-12-18,42,42.1,42,42.1,152000
2015-12-21,44.1,46.6,44.1,46.3,192000
2015-12-22,46.3,46.4,46.3,46.4,232000
2015-12-23,46.4,46.4,46.4,46.4,160000
2015-12-28,46.3,46.3,42,42,200000
2015-12-29,41.9,41.9,39,39,152000
2015-12-30,37.9,37.9,37.9,37.9,192000
2015-12-31,39.7,39.7,36.2,36.2,192000
2016-01-01,37.1,37.1,33.7,33.7,200000
2016-01-04,34.1,34.1,34.1,34.1,184000
2016-01-05,34.1,34.1,34.1,34.1,184000
2016-01-06,34.2,40.9,33.7,37,184000
2016-01-07,39.8,43,39.5,43,224000
2016-01-08,39.8,43,39.3,39.7,192000
2016-01-11,38.9,38.9,38.9,38.9,216000
2016-01-12,39.7,39.7,39.7,39.7,200000
2016-01-13,39.7,39.7,35.95,35.95,280000
2016-01-14,36.4,39.8,36.05,36.05,248000
2016-01-15,36.45,39.9,36.05,36.4,304000
2016-01-18,36.4,36.4,36.4,36.4,200000
2016-01-19,36.4,36.4,32.9,32.9,272000
2016-01-20,33.8,33.8,30.7,30.85,256000
2016-01-21,33.4,36.6,32.9,32.9,280000
2016-01-22,36,36.1,36,36.1,256000
2016-01-25,36.4,36.4,36.4,36.4,264000
2016-01-27,36.4,39.1,36.4,39.1,280000
2016-01-28,39.1,39.1,39.1,39.1,264000
2016-01-29,39.3,39.3,39.3,39.3,232000
2016-02-01,39.3,39.3,35.6,35.6,272000
2016-02-02,32.65,33.65,32.65,33.65,288000
2016-02-03,31,35.9,31,35.8,344000
2016-02-04,35.8,36.5,35.8,36.5,320000
2016-02-05,39.4,39.4,35.9,35.9,336000
2016-02-08,32.9,32.9,30.8,30.8,296000
2016-02-09,33,33,30.5,30.5,288000
2016-02-10,30.5,33.4,30.5,30.5,256000
2016-02-11,33.3,33.4,30.5,30.6,392000
2016-02-12,33,33,30.5,30.5,248000
2016-02-15,33.3,33.3,33.3,33.3,208000
2016-02-16,30.5,33.3,30.2,30.2,264000
2016-02-17,33.3,33.3,30.6,30.6,208000
2016-02-18,33.3,33.3,30.45,30.45,344000
2016-02-19,28.05,28.6,28.05,28.6,176000
2016-02-22,30.9,30.9,28.25,28.3,216000
2016-02-24,28.3,28.3,28.3,28.3,176000
2016-02-25,28.3,28.3,28.3,28.3,32000
2016-02-26,28.2,28.3,26.25,26.25,216000
2016-02-29,28.3,28.3,28.3,28.3,32000
2016-03-01,28.3,28.3,28.3,28.3,64000
2016-03-02,28,28.95,28,28.2,64000
2016-03-03,28.2,28.2,28.2,28.2,8000
2016-03-04,26.3,28.6,26,26,136000
2016-03-08,24.4,27.4,24.4,26.7,72000
2016-03-09,24.9,26.9,24.9,24.9,128000
2016-03-11,26.5,26.5,26.5,26.5,136000
2016-03-14,26.8,26.8,26.8,26.8,160000
2016-03-15,26.9,26.9,26.9,26.9,128000
2016-03-16,26.9,26.9,24.4,25,160000
2016-03-17,24.6,24.6,24.5,24.5,128000
2016-03-18,24.4,24.5,20,23.4,368000
2016-03-21,21.6,27.75,21.6,23.55,416000
2016-03-22,25.25,27.7,20.4,20.55,240000
2016-03-30,22.95,24.6,22.95,24.6,160000
2016-03-31,22.7,25,22.7,25,24000
2016-04-01,27.1,27.1,27.1,27.1,8000
2016-04-04,29.4,31.7,29.4,31.7,16000
2016-04-05,34.45,34.45,34.45,34.45,8000
2016-04-06,37.5,40,37.5,40,136000
2016-04-11,41.2,42,40.1,40.1,24000
2016-04-12,44,44,44,44,8000
2016-04-13,39.6,39.6,39.6,39.6,8000
2016-04-22,43.5,43.5,43.5,43.5,8000
2016-04-25,47.5,47.85,47.5,47.85,16000
2016-04-27,43.3,43.3,43.3,43.3,16000
2016-04-28,43.5,43.5,43.5,43.5,8000
2016-05-04,47.8,47.8,47.8,47.8,112000
2016-05-09,48.5,48.6,48.5,48.6,112000
2016-05-10,49.4,50.95,49.4,50.95,16000
2016-05-11,53.45,53.45,48.55,48.55,120000
2016-05-13,46.2,46.3,46.2,46.3,128000
2016-05-17,45.4,45.5,45.4,45.45,104000
2016-05-19,47.25,47.3,43.3,46.3,96000
2016-05-23,45.8,45.9,45.8,45.8,88000
2016-05-24,48,48,48,48,24000
2016-05-25,45.7,46.55,45.7,46.5,88000
2016-05-27,45.9,45.9,45.85,45.9,88000
2016-05-30,47.9,48,43.7,43.7,64000
2016-05-31,45.8,45.8,43,43,64000
2016-06-01,45,45,45,45,48000
2016-06-02,46.8,46.8,46.8,46.8,64000
2016-06-03,47.5,47.55,47.5,47.55,40000
2016-06-06,47.5,48.2,47.5,48.15,120000
2016-06-07,48.5,48.55,48.5,48.55,40000
2016-06-08,49,49.1,49,49,72000
2016-06-09,49.1,49.1,49,49,40000
2016-06-10,50,50.1,47,47,104000
2016-06-13,49,49,45.5,45.5,40000
2016-06-14,47.5,47.6,47.5,47.5,72000
2016-06-15,46.8,49.7,45.15,49.65,280000
2016-06-16,47.25,50,47.2,49.85,248000
2016-06-17,49.6,52,47.45,52,72000
2016-06-20,49.4,49.4,49.4,49.4,80000
2016-06-21,51.8,51.85,47,47.8,64000
2016-06-22,50.1,50.15,45.55,45.9,88000
2016-06-23,47,47.1,46.8,46.8,48000
2016-06-24,45.9,46,45.8,45.8,72000
2016-06-27,48,48.05,43.9,48.05,112000
2016-06-28,48.1,48.1,45.7,45.7,80000
2016-06-29,46.7,46.7,43.5,43.5,56000
2016-06-30,45.5,45.5,41.4,41.4,80000
2016-07-01,43.4,43.4,41.7,41.7,56000
2016-07-04,41.85,42.05,37.6,37.6,120000
2016-07-05,40.35,40.35,33.9,35.9,88000
2016-07-07,39,39.45,32.5,32.5,128000
2016-07-08,34,34,31.5,31.5,72000
2016-07-11,31.25,33.05,31.25,33.05,120000
2016-07-12,34.5,34.5,31.5,31.5,72000
2016-07-13,30.2,31.7,30.1,31.45,288000
2016-07-14,31.5,31.8,31.5,31.75,136000
2016-07-15,31.5,31.5,31.5,31.5,112000
2016-07-18,31.5,31.9,31.5,31.9,64000
2016-07-19,31.5,31.6,31.45,31.5,112000
2016-07-20,31.25,31.3,31.25,31.25,64000
