Date,Open,High,Low,Close,Volume
2023-09-07,90.45,91.68,87.4,88.72,31753
2023-09-08,87.23,90,85.66,86.44,14536
2023-09-11,86.95,87.72,85.68,87.23,29590
2023-09-12,87.73,87.78,80,82.37,28100
2023-09-13,82.67,84.24,80.06,82.5,18143
2023-09-14,83.06,89.48,83.06,87.03,52934
2023-09-15,88.22,92.22,86.11,89.81,46606
2023-09-18,90,92.11,87.5,89,44463
2023-09-20,87.78,90.36,86.95,88.06,14274
2023-09-21,87.5,88.61,85.67,85.9,11247
2023-09-22,85.56,86.92,83.72,85.05,13980
2023-09-25,85.06,85.55,82.3,82.84,16971
2023-09-26,82.8,82.88,80.06,80.46,25051
2023-09-27,80.46,82.64,79.42,82.36,26508
2023-09-28,82.78,85.26,82.06,83.74,15853
2023-09-29,84.21,85.13,83.28,83.92,13123
2023-10-03,82.83,85.57,82.83,84.45,13031
2023-10-04,85,85.54,81.45,82.31,14029
2023-10-05,83.28,85.22,81.95,83.5,16760
2023-10-06,84.15,84.81,82.47,84.14,9792
2023-10-09,81.17,87.74,81.17,85.7,43496
2023-10-10,87.2,90.28,86.73,88.22,52141
2023-10-11,88.61,95.33,87.73,94.4,216131
2023-10-12,95.78,98.32,92.51,94.05,129414
2023-10-13,94,95.8,92.72,93.33,35354
2023-10-16,94.11,94.71,91.67,92.05,19890
2023-10-17,93.31,94.45,90.56,91.07,26304
2023-10-18,91.33,93.16,90.12,91.44,18525
2023-10-19,90.56,93.06,90.34,91.55,19656
2023-10-20,91.11,93.02,89.3,89.66,22979
2023-10-23,90.83,92.46,83.28,83.8,63319
2023-10-25,84.17,86.06,81.11,83.33,40481
2023-10-26,83.33,84.45,81.06,83.68,27127
2023-10-27,84.32,86.94,84.32,84.78,22452
2023-10-30,84.72,85.69,83.61,84.58,10782
2023-10-31,84.95,87.27,84.45,85.14,14800
2023-11-01,85.55,85.97,82.78,83.39,10512
2023-11-02,84.71,85.06,81.5,82.36,24880
2023-11-03,83.21,84.45,82,83.94,38542
2023-11-06,84.72,90.76,84.69,89.69,59622
2023-11-07,89.51,90.58,79.65,83.16,94178
2023-11-08,81.61,83.16,80.24,81.76,62061
2023-11-09,80.06,83.89,80.06,83.33,46354
2023-11-10,83.06,83.88,81.67,81.86,17336
2023-11-12,81.86,83.32,81.86,82.75,4189
2023-11-13,83.16,83.32,81,81.43,16672
2023-11-15,82.33,88.94,81.91,87.79,76380
2023-11-16,88.45,88.75,85.83,86.28,30649
2023-11-17,86.67,87,84.21,84.58,22560
2023-11-20,84.58,86.49,83.5,85.11,25890
2023-11-21,85.11,89.5,84.8,88.06,56793
2023-11-22,88.89,89.3,85,86.3,29598
2023-11-23,87.22,88.89,85.74,88.54,24091
2023-11-24,88.33,90.27,86.21,86.84,28421
2023-11-28,86.22,87.8,84.22,84.75,24601
2023-11-29,85.06,89.45,84.01,87.9,81281
2023-11-30,88.39,88.61,85.31,86,30442
2023-12-01,86.67,87.22,84.89,85.41,33318
2023-12-04,86,88.28,86,87.86,45910
2023-12-05,87.22,91.28,86.92,90.35,85571
2023-12-06,90.67,91,87.22,90.75,33375
2023-12-07,91.11,104.79,88.78,104.03,559686
2023-12-08,105.56,107.81,104,106.72,185633
2023-12-11,108.11,125.83,108.06,123.83,557545
2023-12-12,125,125.56,118.12,121.99,193513
2023-12-13,123.61,127.11,114.52,126.22,103124
2023-12-14,127.89,129.89,122.78,123.65,85334
2023-12-15,124.44,130.27,121.89,128.53,86918
2023-12-18,130.56,141.39,126.22,141.39,326566
2023-12-19,149.45,155.52,141.39,146.38,551348
2023-12-20,149.17,149.93,136.67,138.63,134488
2023-12-21,137,145.99,136.56,143.35,105722
2023-12-22,147.06,147.06,142.28,143.53,65321
2023-12-26,144.51,145.77,142.29,144.13,76785
2023-12-27,144.5,151.67,143.34,150.27,88909
2023-12-28,151.56,163.48,151.56,160.39,192361
2023-12-29,162.16,164.99,160.56,161.4,105843
2024-01-01,162.72,163.89,152.17,152.73,107137
2024-01-02,154.45,154.85,146.18,150.36,72987
2024-01-03,151.55,155.5,150.39,154.76,41767
2024-01-04,155.56,156.86,151.11,152.31,44080
2024-01-05,153.61,154.39,150.62,151.8,27419
2024-01-08,154.39,154.39,147.89,148.63,38141
2024-01-09,149.45,151.61,148.64,150.22,29863
2024-01-10,150,157.33,148.89,154.19,42368
2024-01-11,155.56,156.39,150.06,150.81,42500
2024-01-12,151.5,152.78,151.17,152.4,11934
2024-01-15,153.56,154.62,150.78,151.58,20545
2024-01-16,152.72,158.06,150.74,154.57,81156
2024-01-17,154.17,157.5,150.56,152.98,39513
2024-01-18,152.78,154.95,144.72,150.23,46721
2024-01-19,153.01,156,150.95,155.25,45588
2024-01-20,156.22,168.06,155.67,164.66,119278
2024-01-23,181,181,167.23,171.33,186623
2024-01-24,174.56,176,166.72,172.1,100412
2024-01-25,174.95,178.28,173.34,177.83,112372
2024-01-29,185.17,190.71,180.11,188.07,196204
2024-01-30,191.67,194.03,181.95,182.6,125670
2024-01-31,185.5,186.06,169.45,171.45,154326
2024-02-01,174.45,174.67,167.78,170.87,141693
2024-02-02,181.5,187.95,179.18,187.95,311955
2024-02-05,198.33,204.66,188.18,191.78,555035
2024-02-06,192.33,194.98,178.45,186.03,224355
2024-02-07,188.6,191.98,186,190.33,121821
2024-02-08,192.16,192.16,180.68,182.08,122878
2024-02-09,163.88,173.33,163.88,164.25,406123
2024-02-12,164.25,166.5,160.2,161.8,143997
2024-02-13,161,177.96,159.53,177.96,232183
2024-02-14,171.66,184.4,168.98,180.85,212811
2024-02-15,162.77,173,162.77,163.13,526582
2024-02-16,160.67,161.75,149.35,151.43,508090
2024-02-19,152.32,155.03,148.37,151.63,235248
2024-02-20,151.63,153.3,144.45,146.05,295436
2024-02-21,147.05,148.65,138.35,139.43,274862
2024-02-22,141.67,144.92,135.33,136.95,352095
2024-02-23,137.33,143.78,135.68,143.78,274971
2024-02-26,143.78,146.27,140.37,141.3,209798
2024-02-27,142.22,145.9,138.7,144.57,221269
2024-02-28,145.12,145.32,137.7,138.15,130211
2024-02-29,138.2,139.93,134,138.28,708044
2024-03-01,141,141.93,134.33,135.23,188434
2024-03-02,137.53,138.62,136.08,137.95,23841
2024-03-04,139.17,139.63,136,136.45,118260
2024-03-05,136.63,138.12,133,134.1,158213
2024-03-06,134.43,134.9,128.67,132.27,171802
2024-03-07,133.33,136,131.9,132.65,86297
2024-03-11,132.65,133.8,127.17,127.78,102774
2024-03-12,127.82,127.97,121.4,121.6,218389
2024-03-13,120,125,115.53,115.53,191574
2024-03-14,111.77,121.3,110,121.3,297798
2024-03-15,123.63,125.63,115.23,118.48,211682
2024-03-18,119.45,124,118.48,120.2,118574
2024-03-19,120.67,122.67,120,121.15,100088
2024-03-20,122.33,123.33,115.1,115.32,173702
2024-03-21,117.33,121.07,116.95,121.07,68168
2024-03-22,121.63,127.12,121.63,127.12,138758
2024-03-26,129,129.67,121.7,122.78,178461
2024-03-27,125,125.4,119,120.47,209402
2024-03-28,121.67,123.67,119,119.8,207786
2024-04-01,121,124.82,119,122.55,249128
2024-04-02,124.33,128.67,123.7,128.45,189259
2024-04-03,128.32,133,127.48,130.88,220554
2024-04-04,135.33,135.33,129.25,131.52,175638
2024-04-05,132.92,136.57,131.67,135.8,188586
2024-04-08,136.67,138.22,136.65,136.88,85269
2024-04-09,138.1,138.33,135.02,135.55,68453
2024-04-10,136.67,142.32,135.08,142.32,181655
2024-04-12,144.67,149.42,144.42,149.42,151398
2024-04-15,149.42,156.88,141.95,155.58,764666
2024-04-16,156.33,159.9,148.12,150.68,255179
2024-04-18,149.82,158.22,147.1,155.03,365935
2024-04-19,150.5,159.95,150.5,156.82,317894
2024-04-22,157.67,164.65,155.77,164.43,322030
2024-04-23,168.33,172.65,168.33,172.65,629946
2024-04-24,174.5,181.26,173,181.26,451563
2024-04-25,189.98,190,173.33,181.61,637700
2024-04-26,189.33,189.8,172.58,174.76,712594
2024-04-29,178.33,178.33,168.71,170.41,252701
2024-04-30,172.33,178.93,168.3,172.98,331460
2024-05-02,176.86,181.61,173.33,178.26,463295
2024-05-03,180,180.93,169.93,171.43,409083
2024-05-06,175.06,175.06,167.33,168.78,231684
2024-05-07,169.33,172.9,164.17,165.02,174973
2024-05-08,165.63,173.25,162.67,169.1,191046
2024-05-09,169.33,170.33,161.1,162.85,147270
2024-05-10,163.33,165,159.8,162.47,120474
2024-05-13,162.33,164,156.33,161,125742
2024-05-14,162.67,169.05,162.67,169.05,116821
2024-05-15,171.66,177.46,171.36,173.45,345868
2024-05-16,173.66,174.91,166.93,168.73,237838
2024-05-17,169.66,177.16,167.76,177.16,451125
2024-05-18,181.66,182,179,180.31,152289
2024-05-21,178.33,179.31,173.76,175.75,366393
2024-05-22,176,176.66,171.16,173.58,113417
2024-05-23,173.66,175.65,171.6,172.33,111165
2024-05-24,173.13,180.91,172.5,176.81,247802
2024-05-27,184,184.66,180,182.65,517266
2024-05-28,183.33,185.65,178.51,180.18,352006
2024-05-29,179.95,179.95,176.03,177.58,148543
2024-05-30,176.66,181.3,169.9,170.63,220839
2024-05-31,170.83,176.63,169.1,175.88,204760
2024-06-03,184.66,184.66,176.73,177.48,228790
2024-06-04,176.66,180.98,168.61,168.63,318146
2024-06-05,160.33,174.4,160.33,171.1,186686
2024-06-06,173,179.33,171.81,175.8,201022
2024-06-07,176,183.26,174.08,177.93,233722
2024-06-10,184.16,188.33,178.03,181.11,359066
2024-06-11,181.26,183,172.6,176.06,153201
2024-06-12,176.06,185,173.93,184.4,380333
2024-06-13,185.06,190.8,182,186.91,454502
2024-06-14,188.33,189.98,176.66,180,378221
2024-06-18,181.28,183.28,180,182.88,165163
2024-06-19,184.8,201.16,178.33,201.16,1258593
2024-06-20,210.33,211.6,199,201.96,947022
2024-06-21,202.85,205.31,193,193.7,373749
2024-06-24,193.33,201.66,191,197.45,270741
2024-06-25,198.68,200.63,192.66,193.5,142332
2024-06-26,193.81,198.33,191.36,193.95,187661
2024-06-27,194.33,194.95,182.51,187.33,216576
2024-06-28,188.03,194.65,179.4,180.88,308698
2024-07-01,180.91,189.01,180.91,185.01,108171
2024-07-02,185.91,185.91,181.66,182.3,93180
2024-07-03,182.65,186.5,182.65,185.35,137696
2024-07-04,188.3,193.96,186.66,187.95,293227
2024-07-05,188.36,188.85,183.66,185.08,130071
2024-07-08,186.48,197.46,183.33,194.76,457347
2024-07-09,195.63,197.8,190.33,190.66,172840
2024-07-10,190.66,190.83,182.71,186.98,230552
2024-07-11,191.56,192,186.16,187.41,140986
2024-07-12,188,189,183.66,185.05,105219
2024-07-15,187.2,189.66,182.66,185.76,156061
2024-07-16,185.66,188.16,183.9,184.55,171620
2024-07-18,184.55,184.71,176,176.7,177783
2024-07-19,176.66,176.66,171.15,173.55,166983
2024-07-22,173.33,178.81,170.46,176.01,114615
2024-07-23,176.61,185.6,170.35,183.86,184082
2024-07-24,187.25,189.3,182.55,187.15,188218
2024-07-25,186.66,192.33,183.33,189.96,208473
2024-07-26,189.66,194,186.66,187.93,113919
2024-07-29,193.33,194.6,187.53,188.43,145108
2024-07-30,190,197.46,188.9,191.6,338951
2024-07-31,193.1,195,190.43,192.26,156751
2024-08-01,193.33,204.88,192.35,198.05,595195
2024-08-02,193.2,197.75,192.36,194.38,202473
2024-08-05,191.66,191.66,178.95,180.53,275021
2024-08-06,186.23,189.6,179,180.28,406163
2024-08-07,182.66,186.33,180.66,184.41,144504
2024-08-08,183.41,189.18,183.06,184.93,136871
2024-08-09,186.66,188.33,180.33,181.58,120242
2024-08-12,183.33,183.33,178.33,178.88,129737
2024-08-13,180.33,181.5,173.78,175.08,117424
2024-08-14,177.33,177.61,168,169.21,207521
2024-08-16,172.3,174,162.32,162.87,346645
2024-08-19,164.47,171.98,162,171.48,319292
2024-08-20,172.66,175.11,170.85,172.21,139736
2024-08-21,172.8,172.93,166.83,167.21,190720
2024-08-22,167.38,171.4,165.7,166.7,165158
