Date,Open,High,Low,Close,Volume
2017-03-10,20.81,21.22,20.36,20.72,738000
2017-03-14,20.27,20.54,20.13,20.27,264000
2017-03-15,20.22,20.72,20.22,20.63,108000
2017-03-16,20.58,20.58,20.13,20.13,18000
2017-03-17,20.18,20.18,20.13,20.18,78000
2017-03-20,20.13,20.36,20,20.13,78000
2017-03-21,20.13,20.13,20.13,20.13,36000
2017-03-22,20.13,20.13,19.9,19.9,552000
2017-03-23,20.13,20.18,20.13,20.18,36000
2017-03-24,20.09,20.18,20.09,20.18,198000
2017-03-27,20.54,20.54,20.54,20.54,6000
2017-03-28,20.13,20.13,19.9,19.9,204000
2017-03-29,20.13,20.31,20.13,20.31,12000
2017-03-30,20.18,20.18,20.18,20.18,6000
2017-03-31,20.36,22.53,20.36,21.58,114000
2017-04-03,21.71,22.62,21.26,22.44,48000
2017-04-05,21.31,22.53,21.31,22.53,12000
2017-04-06,22.35,22.62,22.35,22.62,36000
2017-04-07,23.52,23.52,23.34,23.52,102000
2017-04-10,22.62,22.98,22.62,22.8,12000
2017-04-11,23.52,23.52,22.89,23.34,96000
2017-04-12,23.52,23.52,23.52,23.52,18000
2017-04-13,24.43,28.23,24.43,28.23,192000
2017-04-17,28.5,31.08,28.18,29.86,48000
2017-04-18,28.05,28.05,27.6,27.6,18000
2017-04-19,26.46,26.74,26.46,26.74,18000
2017-04-21,28.5,30.76,28.5,30.31,66000
2017-04-24,28.64,30.72,28.64,29.9,24000
2017-04-25,29.86,30.67,29.86,30.67,30000
2017-04-26,29.86,29.86,28.5,28.73,24000
2017-04-27,29.86,29.86,29.86,29.86,12000
2017-04-28,30.76,31.67,29.18,29.18,30000
2017-05-03,28.73,28.73,28.59,28.59,12000
2017-05-04,28.95,29.22,28.95,29.22,12000
2017-05-05,29.4,29.86,29.4,29.86,24000
2017-05-08,28.95,28.95,24.65,26.6,30000
2017-05-09,24.7,25.42,24.7,25.42,12000
2017-05-10,27.32,27.32,27.32,27.32,6000
2017-05-11,28.05,28.05,28.05,28.05,6000
2017-05-12,28.05,28.05,28.05,28.05,12000
2017-05-15,28.41,28.41,28.41,28.41,6000
2017-05-16,28.95,28.95,28.95,28.95,12000
2017-05-17,29.4,29.4,29.4,29.4,24000
2017-05-22,28.95,28.95,28.27,28.64,30000
2017-05-23,28.5,28.5,28.5,28.5,6000
2017-05-24,28.95,28.95,28.95,28.95,24000
2017-05-25,28.95,28.95,28.95,28.95,12000
2017-05-29,30.4,30.4,30.4,30.4,6000
2017-05-31,31.67,36.37,31.67,36.15,96000
2017-06-01,37.1,37.1,36.19,36.37,24000
2017-06-02,36.42,36.42,36.42,36.42,6000
2017-06-05,36.19,36.19,34.38,34.38,24000
2017-06-08,33.48,33.75,33.48,33.75,12000
2017-06-09,28.95,36.82,28.95,36.82,18000
2017-06-12,34.83,34.83,34.83,34.83,6000
2017-06-19,32.8,32.8,32.12,32.12,24000
2017-06-20,32.35,32.35,32.12,32.12,18000
2017-06-22,36.19,36.19,36.19,36.19,18000
2017-06-23,37.46,37.46,37.46,37.46,6000
2017-06-27,36.19,37.95,36.19,37.05,12000
2017-06-30,34.83,35.29,34.83,35.29,12000
2017-07-03,36.73,36.73,36.64,36.64,12000
2017-07-04,36.64,36.64,36.64,36.64,6000
2017-07-06,38,38,38,38,6000
2017-07-10,35.29,35.29,35.29,35.29,6000
2017-07-11,34.38,34.38,34.38,34.38,6000
2017-07-12,33.48,33.48,33.48,33.48,6000
2017-07-13,33.57,33.57,33.57,33.57,6000
2017-07-14,34.02,34.02,34.02,34.02,6000
2017-07-17,33.48,33.48,33.48,33.48,6000
2017-07-18,35.74,35.74,35.74,35.74,6000
2017-07-19,34.11,34.11,34.11,34.11,6000
2017-07-20,35.74,35.74,35.74,35.74,6000
2017-07-21,35.74,35.74,34.56,35.74,18000
2017-07-26,37.1,37.1,36.64,36.64,12000
2017-07-28,38,39.72,38,38,24000
2017-08-01,33.48,33.93,33.48,33.7,12000
2017-08-02,33.48,33.48,33.48,33.48,6000
2017-08-03,36.19,38,34.83,38,30000
2017-08-04,34.38,34.38,34.38,34.38,6000
2017-08-07,34.61,34.61,34.61,34.61,6000
2017-08-08,37.1,39.36,37.1,39.36,18000
2017-08-09,39.81,39.81,39.81,39.81,6000
2017-08-10,39.81,39.81,39.81,39.81,12000
2017-08-11,40.99,40.99,40.99,40.99,6000
2017-08-18,40.71,40.71,40.71,40.71,6000
2017-08-21,41.62,41.62,39.81,40.71,12000
2017-08-22,44.33,44.33,42.52,42.52,12000
2017-08-23,40.8,40.8,40.8,40.8,6000
2017-08-28,36.19,36.19,36.19,36.19,6000
2017-08-29,40.26,40.26,40.26,40.26,6000
2017-08-31,43.43,46.14,43.43,45.69,30000
2017-09-01,45.24,45.24,45.24,45.24,6000
2017-09-06,46.6,46.6,45.24,45.24,12000
2017-09-08,45.24,45.24,45.24,45.24,6000
2017-09-12,45.24,45.24,45.24,45.24,6000
2017-09-15,46.14,46.14,46.14,46.14,6000
2017-09-18,45.24,45.24,45.24,45.24,6000
2017-09-22,46.14,47.05,46.14,47.05,9000
2017-09-25,46.14,46.14,46.14,46.14,6000
2017-09-26,46.14,46.14,45.24,46.14,15000
2017-09-27,44.11,47.95,44.11,46.01,6000
2017-09-29,45.46,48.86,45.46,48.86,6000
2017-10-03,47.5,47.5,47.05,47.05,6000
2017-10-04,47.05,47.05,44.33,44.33,6000
2017-10-05,48.86,48.86,48.86,48.86,3000
2017-10-06,49.76,49.76,49.76,49.76,3000
2017-10-09,49.76,49.76,49.76,49.76,3000
2017-10-10,49.76,49.76,49.76,49.76,3000
2017-10-11,49.76,49.76,47.5,47.5,12000
2017-10-16,49.08,49.08,49.08,49.08,3000
2017-10-17,49.76,49.76,49.76,49.76,3000
2017-10-19,47.05,47.05,47.05,47.05,12000
2017-10-23,45.24,47.05,45.24,47.05,9000
2017-10-25,47.95,47.95,47.95,47.95,3000
2017-10-26,47.05,47.05,47.05,47.05,3000
2017-10-30,47.95,49.76,47.95,49.76,6000
2017-10-31,48.86,49.76,48.86,49.76,9000
2017-11-01,48.04,48.04,48.04,48.04,3000
2017-11-03,48.86,49.76,48.86,49.76,6000
2017-11-07,49.76,51.12,49.76,51.12,9000
2017-11-08,51.3,52.02,51.3,52.02,9000
2017-11-13,50.21,50.21,48.86,48.86,6000
2017-11-15,51.57,51.57,51.57,51.57,3000
2017-11-17,49.76,49.76,49.76,49.76,6000
2017-11-20,52.3,52.48,50.85,52.48,18000
2017-11-21,51.57,52.02,51.57,52.02,6000
2017-11-23,49.76,49.99,49.49,49.99,9000
2017-11-24,52.48,52.48,52.48,52.48,3000
2017-11-27,54.29,54.29,54.29,54.29,12000
2017-11-28,54.06,54.06,53.83,53.83,6000
2017-12-01,53.38,53.38,53.38,53.38,3000
2017-12-04,53.38,53.38,52.48,52.48,6000
2017-12-05,54.29,54.29,54.29,54.29,3000
2017-12-06,54.06,54.06,54.06,54.06,6000
2017-12-07,50.67,50.67,47.95,47.95,9000
2017-12-12,49.76,49.76,48.86,49.76,9000
2017-12-13,49.76,49.76,49.76,49.76,3000
2017-12-20,49.76,49.76,48.86,48.86,6000
2017-12-21,47.5,47.95,47.5,47.95,6000
2017-12-22,47.5,47.5,47.5,47.5,3000
2017-12-27,47.95,47.95,47.95,47.95,3000
2017-12-29,49.76,49.76,49.76,49.76,3000
2018-01-01,46.6,46.82,46.6,46.82,12000
2018-01-02,46.14,46.14,46.14,46.14,3000
2018-01-03,47.05,47.95,44.33,44.7,12000
2018-01-05,43.65,43.65,43.65,43.65,6000
2018-01-08,46.14,47.5,46.14,47.5,6000
2018-01-09,47.5,47.95,44.33,44.33,12000
2018-01-11,43.43,43.88,43.07,43.07,12000
2018-01-16,42.75,42.75,42.75,42.75,3000
2018-01-17,41.62,41.62,41.62,41.62,6000
2018-01-19,41.08,41.08,40.94,40.94,6000
2018-01-23,41.62,42.52,41.62,42.52,12000
2018-01-24,42.52,42.52,42.52,42.52,3000
2018-01-25,43.43,43.43,43.43,43.43,3000
2018-01-29,40.71,40.71,40.71,40.71,6000
2018-01-31,42.98,45.24,42.98,45.24,6000
2018-02-02,42.52,42.52,42.52,42.52,6000
2018-02-06,43.43,43.43,43.43,43.43,6000
2018-02-08,45.24,45.24,45.24,45.24,3000
2018-02-09,47.05,47.05,47.05,47.05,3000
2018-02-12,46.14,46.14,46.14,46.14,3000
2018-02-15,46.14,47.95,46.14,47.95,12000
2018-02-19,49.76,49.76,46.14,46.14,6000
2018-02-20,48.86,48.86,48.86,48.86,3000
2018-02-26,43.43,43.43,43.43,43.43,3000
2018-02-28,42.98,42.98,42.98,42.98,3000
2018-03-05,42.8,42.8,42.8,42.8,3000
2018-03-07,41.62,41.62,41.62,41.62,3000
2018-03-09,41.17,41.17,41.17,41.17,3000
2018-03-13,40.49,40.49,40.49,40.49,3000
2018-03-15,41.03,41.03,40.94,40.94,6000
2018-03-16,40.35,43.88,40.35,43.88,18000
2018-03-19,40.71,40.9,40.71,40.9,6000
2018-03-20,40.49,40.71,40.26,40.71,21000
2018-03-21,40.71,40.71,40.71,40.71,6000
2018-03-22,40.71,40.71,40.26,40.26,12000
2018-03-23,39.81,39.81,39.81,39.81,6000
2018-03-26,43.88,44.79,43.88,44.79,6000
2018-03-27,44.51,44.51,42.98,42.98,9000
2018-03-28,44.24,47.05,43.88,47.05,15000
2018-04-03,44.33,44.33,44.11,44.11,9000
2018-04-04,46.14,46.14,43.7,43.7,12000
2018-04-05,43.88,44.02,43.7,43.84,12000
2018-04-06,44.92,45.42,44.92,45.24,15000
2018-04-09,47.95,47.95,46.6,46.6,15000
2018-04-10,49.85,50.67,48,48.09,18000
2018-04-11,47.55,48.18,47.55,48.13,12000
2018-04-12,48.18,48.59,48.09,48.13,27000
2018-04-13,48.18,48.45,48,48,18000
2018-04-16,48.27,48.27,48.04,48.18,27000
2018-04-17,48.09,48.22,48,48.04,18000
2018-04-18,48.27,48.27,48.18,48.22,6000
2018-04-19,48.22,48.31,48,48,18000
2018-04-20,48.04,48.22,48.04,48.22,15000
2018-04-23,48.18,48.27,48.04,48.04,15000
2018-04-24,48.5,51.57,48.45,51.57,15000
2018-04-25,50.21,51.57,50.21,51.57,9000
2018-05-02,51.12,55.19,51.12,54.29,9000
2018-05-03,55.19,56.1,55.19,56.1,9000
2018-05-04,58.81,67.31,58.81,67.31,84000
2018-05-07,68.13,77.81,68.13,71.75,12000
2018-05-09,70.57,70.57,70.57,70.57,3000
2018-05-10,72.83,78.26,72.83,78.26,45000
2018-05-11,77.09,80.52,76.9,80.52,36000
2018-05-14,81.43,82.24,77.81,77.81,24000
2018-05-15,81.25,81.29,77.36,78.62,27000
2018-05-16,81.43,81.43,78.26,80.3,36000
2018-05-17,79.17,79.57,79.17,79.57,27000
2018-05-18,79.53,80.25,78.99,80.25,30000
2018-05-21,80.34,81.43,80.34,80.43,27000
2018-05-22,80.43,81.16,80.43,81.16,30000
2018-05-23,81.16,84.14,81.16,83.69,48000
2018-05-24,89.57,89.57,83.96,85.5,33000
2018-05-25,82.33,85.77,82.33,85.77,24000
2018-05-28,88.67,89.48,85.5,89.21,63000
2018-05-29,89.57,97.71,86.9,91.92,75000
2018-05-30,94.91,94.91,89.57,89.66,30000
2018-05-31,89.57,89.89,88.62,88.71,33000
2018-06-01,92.74,92.74,87.72,90.88,39000
2018-06-04,93.55,99.75,89.57,98.08,51000
2018-06-05,99.52,104.5,96.81,103.78,33000
2018-06-06,102.24,103.55,100.43,101.74,39000
2018-06-07,102.33,105.72,100.65,103.96,60000
2018-06-08,105.81,105.81,101.88,105.81,42000
2018-06-11,104.05,106.72,104.05,106.72,33000
2018-06-12,109.48,109.93,103.23,107.44,60000
2018-06-13,103.14,108.8,103.14,108.8,33000
2018-06-14,108.57,108.93,104.14,108.12,42000
2018-06-15,105.68,107.85,105.04,105.04,42000
2018-06-18,105.13,107.26,105.13,107.26,36000
2018-06-19,108.48,112.6,105.86,108.44,57000
2018-06-20,108.44,110.38,105.95,108.16,42000
2018-06-21,108.21,110.02,108.21,110.02,33000
2018-06-22,105,107.76,104.55,104.55,30000
2018-06-25,104.95,105.86,101.79,104.59,24000
2018-06-26,102.24,102.83,99.39,99.39,12000
2018-06-27,94.46,100.97,94.46,100.97,6000
2018-06-28,97.71,97.71,95.95,96.04,12000
2018-06-29,91.25,91.25,91.25,91.25,3000
2018-07-02,86.72,86.72,86.72,86.72,3000
2018-07-03,82.42,82.51,82.42,82.47,9000
2018-07-04,78.35,78.35,78.35,78.35,3000
2018-07-05,74.64,74.73,74.64,74.69,6000
2018-07-06,78.4,78.4,70.98,70.98,6000
2018-07-09,67.45,67.45,67.45,67.45,3000
2018-07-10,64.1,70.8,64.1,70.8,15000
2018-07-13,71.48,71.93,67.86,71.93,12000
2018-07-16,72.38,72.38,72.38,72.38,3000
2018-07-17,75.91,76,75.91,76,6000
2018-07-18,78.49,78.49,78.49,78.49,3000
2018-07-19,74.6,74.6,74.6,74.6,3000
2018-07-20,70.89,78.31,70.89,78.31,15000
2018-07-23,74.42,74.46,74.42,74.42,18000
2018-07-24,70.71,77.36,70.71,77.36,6000
2018-07-25,73.51,73.51,73.51,73.51,1000
2018-07-26,69.85,69.89,69.85,69.89,7000
2018-07-27,66.41,66.41,66.41,66.41,2000
2018-07-31,63.15,63.15,63.11,63.11,2000
2018-08-02,60.08,60.08,59.99,59.99,3000
2018-08-06,57.05,57.05,57.05,57.05,1000
2018-08-07,54.2,57,54.2,54.38,4000
2018-08-08,51.75,57.09,51.75,51.75,3000
2018-08-09,51.62,51.62,51.62,51.62,2000
2018-08-10,51.57,51.57,49.22,49.85,24000
2018-08-13,48.95,52.34,48.95,52.34,40000
2018-08-14,54.92,54.92,51.66,54.92,28000
2018-08-16,56.95,57.63,56.95,57.63,10000
2018-08-17,54.78,54.78,54.78,54.78,1000
2018-08-20,52.07,52.88,52.07,52.88,2000
2018-08-21,51.57,55.51,51.57,54.38,68000
2018-08-23,57.09,57.09,57.09,57.09,2000
2018-08-24,59.94,59.94,59.94,59.94,1000
2018-08-27,62.93,62.93,62.93,62.93,1000
2018-08-28,66.05,66.05,65.82,66.05,4000
2018-08-29,69.26,69.35,69.26,69.35,3000
2018-08-30,72.79,72.79,72.79,72.79,5000
2018-08-31,76.41,76.41,76.41,76.41,3000
2018-09-03,80.21,80.21,76.9,80.21,4000
