Date,Open,High,Low,Close,Volume
2003-09-05,260.55,262.15,258.1,260.75,22355.1
2003-09-08,262.15,290,261,274.6,194594.4
2003-09-09,285.95,286.5,272.05,273.95,85410.15
2003-09-10,261.15,271.45,261.15,266.25,49337.8
2003-09-11,265.05,269.55,261.15,262.35,31437.85
2003-09-12,269.05,274.9,262.15,263.6,52117.15
2003-09-15,255.85,261.85,255.85,258.15,22296.5
2003-09-16,255.8,263.9,252.3,259.45,17681
2003-09-17,262.15,266.2,261,261.9,13891.35
2003-09-18,262.15,265.5,252.95,255.35,20084.45
2003-09-19,255.25,260.9,252.4,256.85,10651.7
2003-09-22,258.1,260.4,257.15,258.75,7493.1
2003-09-23,252.3,259.85,252.3,258.9,9981
2003-09-24,258.1,260.95,256.9,257.6,5570.7
2003-09-25,258.1,266.8,258.1,262.3,24172.35
2003-09-26,262.15,267.4,262.15,263.2,16717.2
2003-09-29,258.1,265.05,258.1,261.7,11905.15
2003-09-30,261,266.2,258.15,262.85,11050
2003-10-01,264.2,268.55,262.75,265.75,25208.55
2003-10-03,263.9,267.3,262.3,266.05,17787.9
2003-10-06,266.8,282.4,263.3,274.15,26053.4
2003-10-07,276.55,295.8,273.9,285.2,73180.85
2003-10-08,289.4,291.15,279,282.75,76006.75
2003-10-09,284.2,284.2,279,280.85,42805.1
2003-10-10,287.4,289.9,284.25,285.05,39837.85
2003-10-13,289.35,301.6,289.35,296.1,66853.3
2003-10-14,304.25,304.35,283.2,286.55,51882.65
2003-10-15,286.5,288.85,277.3,280,40749.9
2003-10-16,281.9,288.8,281.3,283.9,26355.1
2003-10-17,289.95,295.2,286.55,290.65,59586.05
2003-10-20,298.65,301.6,292.9,293.7,93848.05
2003-10-21,290,291.75,282.75,285.7,16646.5
2003-10-22,281.9,288.85,281.6,284.05,50322.3
2003-10-23,281.3,284.8,276.65,277.75,12436.2
2003-10-24,287,287,267.6,276.1,19963.75
2003-10-25,273.8,281.3,273.8,280.3,1762.05
2003-10-27,281.3,283.6,279.15,281.4,6420.7
2003-10-28,276.65,281.3,276.65,279.8,6186.2
2003-10-29,281.3,281.9,279.55,280,5763.8
2003-10-30,277.25,284.8,277.25,282.55,15058.6
2003-10-31,280.75,299.75,280.75,293.25,46729.2
2003-11-03,300.75,300.75,287.15,289.15,20074.1
2003-11-04,292.9,311.4,292.3,307.35,115242.85
2003-11-05,304.5,313.2,302.2,302.8,37243
2003-11-06,308.55,308.55,293.75,297,31172.35
2003-11-07,302.7,302.7,292.6,293.7,31368.9
2003-11-10,294.75,299.75,292.4,293.8,6727.55
2003-11-11,295.2,299.85,292.3,293.2,22584.45
2003-11-12,296.4,323.05,296.4,311.45,77068.8
2003-11-13,315.45,318.25,308.45,309.8,52311.95
2003-11-14,310,310,299.3,305.5,19105.15
2003-11-15,301.6,306.8,299.45,306,5563.8
2003-11-17,306.8,306.8,299.3,301.4,12501.7
2003-11-18,302.8,306.8,302.8,303.4,11431
2003-11-19,301.6,304.35,298.8,300.1,6887.9
2003-11-20,298.15,300.25,292.3,293.65,13189.65
2003-11-21,292.9,292.9,281.3,283.95,12077.55
2003-11-24,284.8,294.05,284.3,292.6,10610.3
