Date,Open,High,Low,Close,Volume
2025-07-28,136.5,143.3,136.5,143.3,3229200
2025-07-29,136.15,146.45,136.15,139.8,1094400
2025-07-30,136,139.8,132.85,135.4,398400
2025-07-31,135.9,142.15,135.9,142.15,285600
2025-08-01,141.2,149.25,138,148.35,244800
2025-08-04,149.5,152,144,145.8,139200
2025-08-05,147.5,147.5,140.05,141.9,56400
2025-08-06,142,142,136.05,139.95,60000
2025-08-07,136.25,139.15,136.25,138.1,22800
2025-08-08,138.1,139,135.1,137.2,32400
2025-08-11,140,147.2,139.25,142.5,85200
2025-08-12,142.5,142.5,136.5,137.75,32400
2025-08-13,142,142,135.2,135.85,57600
2025-08-14,135.5,138.8,133.9,135.5,28800
2025-08-18,136.55,139,136,136.3,31200
2025-08-19,134.55,138.85,133.25,137.95,32400
2025-08-20,139.45,139.45,136.1,138.7,4800
2025-08-21,136.1,137.8,132.25,136.35,48000
2025-08-22,136.2,138,136.05,137.25,51600
2025-08-25,138.05,139.95,134,136,319200
2025-08-26,134,136,134,135.55,39600
2025-08-28,135,136.95,134.1,136.05,44400
2025-08-29,135,136.95,134,136.75,189600
2025-09-01,138,138,136.55,137.45,15600
2025-09-02,138.35,141.8,136.1,140.05,86400
2025-09-03,140.2,140.5,138.25,139.5,14400
2025-09-04,137.15,140,137.15,139.5,49200
2025-09-05,138.1,140.95,137,139.6,31200
2025-09-08,139,140,138,140,20400
2025-09-09,138.15,140.85,138.1,140.85,18000
2025-09-10,140.7,143,139.3,140,28800
2025-09-11,140,140.8,138.5,139.9,43200
2025-09-12,139.9,139.95,137.4,138.35,12000
2025-09-15,138.4,138.4,136.45,137.9,15600
2025-09-16,137.9,139,136,139,7200
2025-09-17,138,139.65,136.25,138.3,15600
2025-09-18,137.25,138.35,136.1,137.6,18000
2025-09-19,137,137,133.6,137,12000
2025-09-22,137,138.65,136.1,137.75,20400
2025-09-23,138.95,138.95,136.55,138.45,10800
2025-09-24,138.45,138.45,137,137,6000
2025-09-25,136.95,138,135,136.7,30000
2025-09-26,135.5,135.5,130.1,131.8,50400
2025-09-29,121,136,121,135.45,19200
2025-09-30,133,135,133,135,4800
2025-10-01,134.95,137,134.95,137,2400
2025-10-03,134,135.2,133.55,133.85,16800
2025-10-06,136,136.65,132,132.4,16800
2025-10-07,128,135.5,128,135.5,10800
2025-10-08,135,135,135,135,2400
2025-10-09,136,138.5,135,137.95,33600
2025-10-10,138,138.8,136.1,138.2,20400
2025-10-13,138.85,139.9,136.2,136.2,10800
2025-10-14,140.25,140.25,137,137.5,25200
2025-10-15,139,145,137,140.85,90000
