Date,Open,High,Low,Close,Volume
2025-08-01,90,94.5,85.5,94.5,2129600
2025-08-04,99.2,99.2,90.05,94.85,265600
2025-08-05,93.9,93.9,90.15,91.3,62400
2025-08-06,90.9,90.9,86.75,86.95,67200
2025-08-07,86.75,86.75,85.05,85.95,73600
2025-08-08,86.9,87.7,85.1,87.1,16000
2025-08-11,89.4,90,86.6,87,28800
2025-08-12,89.4,90,89.4,89.95,12800
2025-08-13,87.2,88,87.2,88,3200
2025-08-14,87.5,88.8,87.5,88.8,3200
2025-08-18,85.25,89.1,85.25,86.9,19200
2025-08-19,87,99,86.95,93.55,366400
2025-08-20,95.5,104.8,92.2,99.85,257600
2025-08-21,103.95,105.9,101.2,102.4,78400
2025-08-22,104.7,104.7,102.95,104,64000
2025-08-25,107,118,107,116.1,115200
2025-08-26,118.8,128,118.1,121.75,152000
2025-08-28,122,137.6,122,130.5,161600
2025-08-29,134.25,139.65,121,122.2,129600
2025-09-01,117.3,118.55,103.05,104.5,433600
2025-09-02,104.5,107.75,103,105.95,54400
2025-09-03,105.9,106.1,103.2,105.5,120000
2025-09-04,108.1,109.95,105.55,106.45,73600
2025-09-05,105,105,104,104,3200
2025-09-08,104.15,104.15,104.15,104.15,1600
2025-09-09,106,109.75,106,109.55,25600
2025-09-10,112.1,112.1,110,111,8000
2025-09-11,112,113.45,110.05,111.95,24000
2025-09-12,111.95,114.7,111.95,112.1,11200
2025-09-15,109.75,112.5,109.25,109.7,16000
2025-09-16,107.15,107.15,106.2,106.2,4800
2025-09-17,106.2,107,104.5,107,12800
2025-09-19,104.05,108,104,108,6400
2025-09-22,105.15,105.15,104,104,9600
2025-09-23,104,107.9,100,102.15,17600
2025-09-24,102.15,102.95,101.7,102.95,9600
2025-09-25,102.95,102.95,92.35,96.6,70400
2025-09-26,95,96.95,94.5,96.95,32000
2025-09-29,94.35,96.5,94.35,96.5,11200
2025-09-30,98,98,97.45,97.5,17600
2025-10-01,97.5,99.85,97.5,99.8,11200
2025-10-03,100,100,100,100,1600
2025-10-06,100,100,100,100,4800
2025-10-07,100,100,99,100,12800
2025-10-08,95.3,99.05,95.3,98.5,9600
2025-10-09,101,101,101,101,1600
2025-10-13,101,101,101,101,1600
2025-10-14,101.5,103.3,101.5,103.3,3200
2025-10-16,100,100,99,99,3200
2025-10-17,99,99.5,99,99,6400
2025-10-20,100.5,100.5,99.9,99.95,20800
2025-10-21,99.95,100,99.95,100,3200
2025-10-23,101.9,101.95,101.85,101.85,4800
2025-10-24,102.5,102.5,102.5,102.5,1600
2025-10-27,104.9,104.95,103,104.95,9600
2025-10-28,103.95,104.7,103.95,104.7,3200
2025-10-29,100.15,104.2,99.95,103.8,70400
2025-10-30,103.8,104.55,103.5,104.55,84800
2025-10-31,100.1,102.5,100.1,101.7,16000
2025-11-03,100,100,94,94.6,73600
2025-11-04,97.2,97.2,95,95.45,24000
2025-11-06,94.6,96.9,94.6,96.9,4800
2025-11-07,95.4,95.4,92.7,92.7,14400
2025-11-10,92.7,95.2,89,95.1,40000
2025-11-11,94,94,94,94,1600
2025-11-12,94.9,94.9,89.05,89.5,43200
2025-11-13,91.35,91.75,90,90.75,33600
2025-11-14,91,91,88,88,67200
2025-11-17,88,88,87,88,6400
2025-11-18,89,89.5,89,89.5,3200
2025-11-19,88.25,88.25,88,88,6400
2025-11-20,87.9,89,87,87,8000
2025-11-21,85.5,85.5,81.65,83.1,14400
2025-11-24,82,82.9,81.25,82.05,12800
2025-11-25,82.5,82.5,81,82.35,6400
2025-11-26,82.35,83.5,82.35,83.5,3200
2025-11-27,85,85,83.5,83.5,4800
2025-12-01,85.6,85.6,85.5,85.5,3200
2025-12-02,82.05,82.9,81.6,82.15,12800
2025-12-03,82.9,82.9,81,81.1,16000
2025-12-04,80.1,80.1,80.1,80.1,1600
2025-12-08,80,80,70,72.35,22400
2025-12-09,74,78.15,74,78.15,8000
2025-12-10,83.2,84,83.2,84,8000
2025-12-11,83.4,84,83.4,84,12800
2025-12-12,80.3,80.8,80,80.8,25600
2025-12-18,80.4,81.5,80.4,81.5,3200
2025-12-19,81.5,82.5,81.5,82.5,3200
2025-12-22,84.75,84.75,77.7,77.7,3200
2025-12-23,77.8,85,77.8,82,8000
2025-12-24,82,82,77.7,78.25,25600
2025-12-29,79,79.4,76,76,12800
2025-12-30,74.05,80,74.05,79,22400
2025-12-31,82.4,83,80,80,65600
2026-01-01,80.1,80.5,77,77.95,65600
2026-01-02,77.05,79.8,77,79.8,12800
2026-01-05,80,80,78,78,6400
2026-01-06,78,80.45,78,79,9600
2026-01-07,77.1,77.1,77.1,77.1,1600
2026-01-08,79,79,79,79,8000
2026-01-09,76,78.9,76,78.9,6400
2026-01-14,70.5,74,70.5,72.7,4800
2026-01-16,75.45,76,75.45,76,4800
2026-01-20,76,76,71.1,76,6400
2026-01-21,72.9,77.05,72,72,17600
2026-01-22,72,75,72,74.95,8000
2026-01-23,73,73,73,73,11200
2026-01-27,70.8,72.85,66.65,70,17600
2026-01-28,72,76,72,72,6400
2026-01-29,70,70,69,69,3200
2026-01-30,69.05,69.05,69.05,69.05,1600
2026-02-03,69.1,70.1,69.05,70.1,9600
2026-02-04,70.2,70.2,70.2,70.2,1600
2026-02-05,72,75,72,73,11200
2026-02-09,71.1,71.1,71.1,71.1,3200
2026-02-10,72,72,72,72,1600
2026-02-11,72,72,72,72,3200
