Date,Open,High,Low,Close,Volume
2023-07-14,215,222,200.6,202.65,15116071
2023-07-17,203,206.25,192.5,200.28,2950938
2023-07-18,199,203.33,193.5,195.15,1009490
2023-07-19,196,197.45,192.18,192.6,562170
2023-07-20,191.5,192.5,180.73,182.08,1070866
2023-07-21,180.98,190.9,179.23,187.5,1403914
2023-07-24,187.65,190.98,182.5,185.75,984757
2023-07-25,187.4,189.65,185.03,188.78,507408
2023-07-26,189.53,195.95,189.2,191.7,851208
2023-07-27,192.25,193.48,190.25,192.3,285520
2023-07-28,192.3,209,192,206.98,2148512
2023-07-31,209.2,213,206.5,207.58,1099238
2023-08-01,208,209.88,202.5,203.38,514688
2023-08-02,202.45,204.18,193.9,195.55,745830
2023-08-03,198.43,198.43,192.1,193.5,350305
2023-08-04,195.35,199.83,195.03,196.98,268414
2023-08-07,198.85,201.48,195.75,197,196911
2023-08-08,197.98,198.9,194.28,196.53,263569
2023-08-09,196.2,203.4,193.88,200.28,386178
2023-08-10,199.2,207.85,193,194.85,849561
2023-08-11,195.95,201.6,194.05,198.58,541297
2023-08-14,199.95,205.2,195.58,202.98,475199
2023-08-16,204.9,206.73,198,199,549980
2023-08-17,201.48,204,198.08,202.75,422092
2023-08-18,205,212.13,202.75,203.5,1009667
2023-08-21,207.5,209.85,200.55,206.08,668891
2023-08-22,206.48,209.35,205.08,206.73,399493
2023-08-23,208.25,216.15,206.23,209.2,1082995
2023-08-24,210.43,213.48,209.53,211.3,427529
2023-08-25,210.3,211.43,205.58,207.58,399966
2023-08-28,209.88,211.83,205.55,206.8,232957
2023-08-29,208.95,209.18,201.75,202.28,269295
2023-08-30,204.23,205.1,200.03,202.78,229322
2023-08-31,204,207.23,200,203.55,364771
2023-09-01,204.48,206.25,202.15,204.05,193452
2023-09-04,205,206.23,201.5,202.2,233757
2023-09-05,204,204,194.53,195,633437
2023-09-06,197,202.35,196,199.28,462105
2023-09-07,199,201,197.03,198.08,209782
2023-09-08,199,202.5,198.5,201,377851
2023-09-11,200.5,202.33,198.08,198.98,238975
2023-09-12,198.98,200.68,190,197.48,435268
2023-09-13,198.25,204,195.15,200.65,410116
2023-09-14,202.45,210,200.95,208.28,602639
2023-09-15,209.48,244.5,209.45,239.38,6545306
2023-09-18,235.93,240.85,230.58,236.68,1403875
2023-09-20,235.83,247.35,232.15,234.28,840300
2023-09-21,234,254.5,233.88,243.95,2087523
2023-09-22,244.25,253.2,240,249.9,870416
2023-09-25,256.23,267.5,256,262.33,1639480
2023-09-26,265,269.83,260,266.3,710333
2023-09-27,266.5,313.23,265.4,304.3,5018879
2023-09-28,307,337,306.88,314.25,5616682
2023-09-29,317.05,317.33,298.75,308.28,972085
2023-10-03,305.53,328.9,301,321.1,937570
2023-10-04,322,337.45,315.03,327.23,958289
2023-10-05,330,333.4,315.5,319,495240
2023-10-06,319,325.85,319,322.3,271551
2023-10-09,320.4,322.3,300.63,303.98,460524
2023-10-10,307.5,320.5,306.1,308.05,616072
2023-10-11,311.35,330,310.03,325.43,760111
2023-10-12,326.5,343,324.45,328.35,1032576
2023-10-13,328.75,334.2,319.55,325.35,360506
2023-10-16,326.48,333.5,319.55,330.73,474334
2023-10-17,335,347.9,331.35,334.5,652845
2023-10-18,336.83,341.48,332.58,339.88,302492
2023-10-19,341.68,345,335,343.43,291663
2023-10-20,343.2,362,342.53,348.65,504727
2023-10-23,349.83,355.1,313.8,317.45,751128
2023-10-25,321.5,327,305,309.13,343679
2023-10-26,310.38,312.5,291,306.98,381411
2023-10-27,310.05,322.5,310.05,312.9,208978
2023-10-30,315.15,332.98,315,330.48,262726
2023-10-31,336.48,339,330.03,336.58,248998
2023-11-01,339.5,346.03,327.53,332.83,301699
2023-11-02,339.03,344.5,333.68,339.53,299158
2023-11-03,341.7,373.48,341.03,373.48,1790560
2023-11-06,391,391.43,359.03,361.93,1153815
2023-11-07,364,369.35,345.68,355.15,620118
2023-11-08,357.5,363,345.55,347.68,402040
2023-11-09,349.55,356.9,345.13,350.9,380309
2023-11-10,349,349,316,328.7,912216
2023-11-12,341,344.23,332.85,341.98,185382
2023-11-13,345,357.5,336.53,347.95,576012
2023-11-15,353.5,353.5,338.5,347.43,400596
2023-11-16,349,351.43,343,344.13,266293
2023-11-17,344,344.45,333.95,338.38,245695
2023-11-20,341,359,340.7,350.33,519316
2023-11-21,353.5,356.73,346.5,353.93,219936
2023-11-22,355.35,372,347.5,351.43,733029
2023-11-23,353.45,378.98,352.5,370.7,979884
2023-11-24,372.5,382.4,363.15,365.65,443373
2023-11-28,367.23,370.95,361.05,363.8,199602
2023-11-29,365.5,367.3,355,360.73,201098
2023-11-30,361.03,373.48,358.33,359.55,257212
2023-12-01,360.28,371.95,360.28,367.4,306743
2023-12-04,377.5,392.5,370.3,386.33,704755
2023-12-05,388.33,388.33,367.5,376.05,416773
2023-12-06,377.4,384,367.75,370.33,193476
2023-12-07,371.2,373.98,360,363.98,261030
2023-12-08,365.1,368.68,354,360.53,245904
2023-12-11,361.65,367.5,359.4,362.88,178992
2023-12-12,364.5,381.25,363.7,378.58,560686
2023-12-13,377.88,386,370.08,372.45,292462
2023-12-14,375.5,411.63,372.5,380.23,1875821
2023-12-15,383.43,388.73,370,374.4,454340
2023-12-18,375.5,380,364.1,374.65,327783
2023-12-19,374.93,377,369.5,372.95,226676
