Date,Open,High,Low,Close,Volume
2025-08-05,407.5,412,395,398.15,59292
2025-08-06,404,404,391,394.85,40003
2025-08-07,390.6,398.95,387.6,391.55,89694
2025-08-08,390.05,396.8,389.15,391.7,39769
2025-08-11,395.6,395.6,386.15,387.15,36278
2025-08-12,387.95,393.35,380.1,383.3,69432
2025-08-13,380.5,390.65,380.5,388.15,46737
2025-08-14,388.2,391.95,385,386.45,28696
2025-08-18,390.5,394.8,385,385.8,74383
2025-08-19,390.8,390.8,384.9,386.8,40286
2025-08-20,385.05,395,385.05,392.75,86375
2025-08-21,394,394,387.4,390.15,78499
2025-08-22,390.15,390.4,375.6,382.15,87605
2025-08-25,385.95,385.95,380.1,382.25,47627
2025-08-26,380.15,383,377.05,379.4,47679
2025-08-28,373.7,392,370.7,378.85,87430
2025-08-29,380.7,382.85,372.2,378.4,42530
2025-09-01,378.95,385.7,376.3,380.3,28483
2025-09-02,384.55,384.8,378.75,379.95,39335
2025-09-03,380.55,384.95,375.25,379.65,43381
2025-09-04,380.15,387.25,376.25,377.8,77571
2025-09-05,377.15,380.9,374,375.9,42473
2025-09-08,384,384,374.5,375.6,63833
2025-09-09,377.4,379.3,373.65,374.5,49643
2025-09-10,375,377.85,370.95,374.3,62695
2025-09-11,372.5,393.1,372.5,387.45,93544
2025-09-12,390.25,394.1,375,375.95,169190
2025-09-15,379.9,379.9,372.8,374.2,109763
2025-09-16,377,377,373.15,374.3,111579
2025-09-17,374.5,382.85,374.5,376.15,134138
2025-09-18,379,387.9,374.55,384.75,143091
2025-09-19,383,391,379.2,382.65,176461
2025-09-22,381,386,375.6,378.35,64968
2025-09-23,375.3,378.15,371.45,373.3,84465
2025-09-24,374.95,378.35,370.3,371.85,68541
2025-09-25,371.85,373.7,358.4,360.5,103549
2025-09-26,360.25,366.6,347.2,349.55,161487
2025-09-29,350.1,363.6,339.9,354,336998
2025-09-30,358,364.45,344,356.55,269856
2025-10-01,359.95,367.45,354.55,364.15,86113
2025-10-03,366,377,363.5,367.7,141896
2025-10-06,370,377.3,358,363.35,130395
2025-10-07,363.2,365,358.4,359.7,66368
2025-10-08,359.65,362.3,354.55,355.4,75745
2025-10-09,355.4,360.6,352.6,353.5,66145
2025-10-10,355.4,373.95,355.4,367.05,254432
2025-10-13,366.9,382,366,376.95,282320
2025-10-14,395,426.15,384.65,392.95,4938965
2025-10-15,397,405.5,381.8,387.3,717184
2025-10-16,390,394,370.1,375.2,377208
2025-10-17,375.2,378.95,369.15,370.3,282121
2025-10-20,375.25,390.8,367.25,383.45,434774
2025-10-21,388.75,403,385.3,398.4,504761
2025-10-23,399.8,406,382.95,403.4,640365
2025-10-24,399.4,403,390,398.6,311730
2025-10-27,401.5,406.65,392.1,403.65,278140
2025-10-28,404.1,413.3,401.5,408.95,314418
2025-10-29,411,412,396.25,398.35,143440
2025-10-30,399.45,399.85,392.05,393.5,88530
2025-10-31,392.1,395.45,375.85,388.7,474763
2025-11-03,388.7,388.7,382,383.2,70762
2025-11-04,383.2,385.1,380,380.95,70488
2025-11-06,381,382.45,372.85,374.95,117219
2025-11-07,373.1,393,369.5,389.85,129932
2025-11-10,391.75,403.35,380.25,400,310117
2025-11-11,396.3,403.35,393.05,397.55,127836
2025-11-12,400,400,391.3,398.6,79798
2025-11-13,402,402,386,387.65,69481
2025-11-14,387.6,388.8,383,384.9,74455
2025-11-17,389,402.95,383,401.1,251401
2025-11-18,401.05,405,395.6,400,142236
2025-11-19,393,410,393,406.1,271653
2025-11-20,405.9,407.7,398.5,400.45,55330
2025-11-21,400.45,405,387.95,392.7,143974
2025-11-24,392.75,402.1,385.95,399,178332
2025-11-25,399,406.05,396.35,400.65,106535
2025-11-26,403.95,412,399.85,402.25,165524
2025-11-27,404.9,410,397,406.35,120699
2025-11-28,403.1,418,401.1,411.75,272351
2025-12-01,412.95,414.95,406,409.1,126486
2025-12-02,410.6,412.85,404.4,409.8,134143
2025-12-03,410.05,412.4,400.2,405.25,176461
2025-12-04,402.25,412.7,402.1,402.9,136463
2025-12-05,404.95,404.95,395,396.7,69746
2025-12-08,400.9,400.9,380.3,386.75,178278
2025-12-09,385.95,389.55,376.5,383.4,93585
2025-12-10,383.4,395.15,382,384.95,125467
2025-12-11,384.95,389.5,382.05,387.7,32215
2025-12-12,392.9,392.9,383.55,384.95,34695
2025-12-15,384,406.5,382,400.45,209694
2025-12-16,398.05,398.75,390.1,391.4,33519
2025-12-17,390.8,405.5,388.05,399.35,575030
2025-12-18,413.4,420,391.55,408.35,1081322
2025-12-19,408.45,413.9,402,406.9,132916
2025-12-22,406.9,419,406,414.05,216709
2025-12-23,415,418.4,405.15,408.35,76580
2025-12-24,408.05,409.5,400,403.7,58835
2025-12-26,407.9,409,399.05,406.3,100507
2025-12-29,400.05,409.9,395.9,398.75,66414
2025-12-30,402.75,404.95,393.85,395.8,41864
2025-12-31,394.3,416,393.8,412.65,195169
2026-01-01,415,417.6,402.15,406.55,88434
2026-01-02,410,420,406.15,416.45,238746
2026-01-05,420,420,409.1,411.05,108815
2026-01-06,411.4,419.8,408.55,416.35,389159
2026-01-07,418,452.8,412.5,441.9,827850
2026-01-08,445.45,446.3,416.5,420,252847
2026-01-09,422,423,407.3,411.15,138641
2026-01-12,411,414.1,401.1,409.85,166704
2026-01-13,409.9,412.5,403.05,404.9,55779
2026-01-14,405,406.95,399.05,400,94133
2026-01-16,404,409,394.35,395.7,102431
2026-01-19,391,395.7,386.3,388.35,100673
2026-01-20,386.5,388,372,374.5,100537
2026-01-21,376.3,379.15,360,362.1,174307
2026-01-22,368.85,388.75,366.85,379.15,118434
2026-01-23,384.85,399,370.65,375.75,391006
2026-01-27,370,371.6,346,348.4,398467
2026-01-28,350.6,352.5,341.4,349.9,177041
2026-01-29,349.9,351.95,337,340.25,105755
2026-01-30,339,343.7,332.15,334.75,154979
2026-02-01,339.05,348,330.95,332.25,97025
2026-02-02,334.4,345,323,342.5,135714
2026-02-03,354.95,360,343.35,357.6,138386
2026-02-04,359.8,363.2,352.8,354.55,87235
2026-02-05,359,359,346.55,348.6,45336
2026-02-06,348.05,388.65,345.3,372.9,766785
2026-02-09,373.45,396.05,370.05,389.2,424458
2026-02-10,393.85,395.5,385.7,392.05,104002
2026-02-11,390.1,395,379.85,392.5,180174
2026-02-13,394.7,424,389.25,414.45,661205
