Date,Open,High,Low,Close,Volume
2015-10-01,16.75,16.75,16.75,16.75,1200
2015-10-15,17,17,16.67,16.67,2400
2015-10-19,16.83,16.83,16.83,16.83,1200
2015-10-20,16.67,16.67,16.67,16.67,1200
2015-10-21,16.67,16.67,16.67,16.67,1200
2015-10-27,16.67,16.67,16.67,16.67,1200
2015-10-28,17.33,17.33,17.33,17.33,4800
2015-10-30,16.67,16.67,16.67,16.67,1200
2015-11-09,16.67,16.67,16.67,16.67,1200
2015-11-24,16.71,16.71,16.71,16.71,2400
2015-12-03,16.67,16.67,16.67,16.67,1200
2015-12-14,16.75,16.75,16.75,16.75,1200
2016-03-29,16.83,17.17,16.83,17.03,8400
2016-04-26,16.67,16.67,16.67,16.67,1200
2016-06-02,16.83,16.83,16.83,16.83,1200
2016-08-10,16.67,16.67,16.67,16.67,1200
2016-08-19,16.67,16.71,16.67,16.71,2400
2016-08-23,16.75,16.75,16.75,16.75,1200
2016-09-21,17.17,17.17,17.17,17.17,1200
2016-09-23,17.17,17.17,17.17,17.17,25200
2016-09-26,17.17,17.17,17.17,17.17,24000
2016-09-28,17.17,17.17,17.17,17.17,7200
2016-12-05,17.32,17.32,17.32,17.32,1200
2017-03-17,16.83,16.83,16.83,16.83,8400
2017-04-19,16.75,16.75,16.75,16.75,1200
2017-05-26,18.33,18.33,18.33,18.33,1200
2017-08-31,18.5,18.5,16.68,18.38,19200
2017-09-06,18.5,21.33,18.5,21.33,3600
2017-09-07,23.17,25.6,23.17,25.6,3600
2017-09-28,25.33,25.33,25.33,25.33,1200
2017-10-12,27.5,27.5,27.5,27.5,1200
2017-10-16,29.33,31.67,29.33,31.63,3600
2017-11-03,34,34,34,34,7200
2017-11-14,31.7,31.7,31.7,31.7,7200
2017-11-15,32,32,32,32,93600
2017-11-17,32,32,32,32,7200
2018-04-17,27,34,27,34,21600
2018-08-27,27.2,27.2,27.2,27.2,7200
2018-08-28,25.5,25.5,25.5,25.5,7200
2018-11-13,23.5,23.5,23.5,23.5,7200
2018-12-26,22,22,22,22,7200
2018-12-31,23,23,23,23,14400
2019-01-31,27.6,27.6,18.55,23.05,21600
2019-02-14,27.55,27.55,19.6,23.45,28800
2019-03-06,26.15,26.15,19.35,23.95,21600
2019-03-19,26.7,26.7,26.7,26.7,108000
2019-03-25,30,30,27,27,108000
2019-03-29,29,29,29,29,7200
2019-04-02,29.4,29.4,29.4,29.4,7200
2019-04-08,29.5,29.5,29.5,29.5,7200
2019-04-09,29.5,29.5,29.5,29.5,14400
2019-04-11,29.55,29.55,29.55,29.55,14400
2019-04-12,29.3,29.3,29.3,29.3,14400
2019-04-15,29.25,29.25,29.25,29.25,14400
2019-04-16,29.25,29.25,29.25,29.25,14400
2019-04-18,29.2,29.2,29.2,29.2,36000
2019-04-23,29.35,29.35,29.35,29.35,21600
2019-05-08,32.1,32.1,32.1,32.1,7200
2020-09-28,32.5,32.5,32.5,32.5,158400
2021-02-25,27,37.15,27,32.45,21600
2021-03-19,26.8,33.05,26.8,33.05,14400
2024-02-20,33.25,33.25,33.25,33.25,3600
2024-04-10,31.8,31.8,31.8,31.8,64800
2024-04-23,30.5,30.5,30.5,30.5,36000
2024-04-30,30.5,30.5,30.5,30.5,129600000
2026-02-13,0,0,0,30.5,0
