Date,Open,High,Low,Close,Volume
2011-10-25,7.5,7.5,6.71,6.98,46370
2011-10-26,8.18,8.18,7.02,7.11,7751
2011-10-28,8.23,8.23,7.36,7.48,44324
2011-10-31,7.5,7.67,6.53,7.57,23457
2011-11-01,7.71,7.71,7.17,7.4,31498
2011-11-02,7.17,7.26,7,7.02,1526
2011-11-03,7.66,7.66,7.07,7.26,16915
2011-11-04,7.29,7.31,7.03,7.09,30229
2011-11-08,7.28,7.33,6.83,7.08,7918
2011-11-09,7.29,7.29,7.06,7.13,47770
2011-11-11,7.17,7.17,6.83,6.84,1017
2011-11-14,6.72,6.75,6.6,6.6,102
2011-11-15,6.33,6.34,6.33,6.33,12211
2011-11-16,6.53,6.53,6,6.38,41556
2011-11-17,7.17,7.17,6.17,6.42,2151
2011-11-18,6.13,6.17,5.96,6.05,5310
2011-11-21,7.25,7.25,5.68,6.17,1748
2011-11-22,5.83,6.21,5.83,6.08,2495
2011-11-23,6.17,6.17,5.83,6.01,328
2011-11-24,6.14,6.14,5.45,5.68,2382
2011-11-25,5.99,5.99,5.54,5.54,531
2011-11-28,5.71,6.04,5.71,5.75,790
2011-11-29,5.94,6.47,5.68,5.8,1987
2011-11-30,6,6.28,5.84,5.84,833
2011-12-01,6.17,6.32,5.87,6.08,53
2011-12-02,6.17,6.32,6,6.16,754
2011-12-05,6.08,6.2,5.85,6.03,2196
2011-12-07,6.3,6.47,6.18,6.41,619
2011-12-08,6.38,6.38,6.08,6.08,1135
2011-12-09,5.92,6.12,5.83,5.99,987
2011-12-12,5.84,6.09,5.6,5.73,530
2011-12-13,5.74,5.79,5.65,5.65,630
2011-12-14,5.78,5.78,5.55,5.67,5259
2011-12-15,5.52,5.72,4.92,5.66,5370
2011-12-16,5.28,5.62,5.19,5.43,1904
2011-12-19,5.5,5.5,5,5.08,1113
2011-12-20,4.97,5.33,4.68,5.18,1358
2011-12-21,4.85,5.66,4.85,5.44,7181
2011-12-22,5.33,5.63,5.33,5.52,1076
2011-12-23,6.07,6.07,5.43,5.86,1646
2011-12-26,6.15,6.44,6.15,6.44,1155
2011-12-27,6.8,6.95,6.74,6.83,1606
2011-12-28,6.83,6.83,6.5,6.5,1400
2011-12-29,6.35,6.98,6.35,6.79,2137
2011-12-30,7.25,7.74,7.03,7.31,83377
2012-01-02,7.38,8.77,7.38,8.61,64845
2012-01-03,8.92,9.58,8.04,9.15,118615
2012-01-04,8.77,9.4,8.33,9.23,27537
2012-01-05,9.16,9.63,8.77,9.2,23428
2012-01-06,9.18,9.24,8.39,8.53,9326
2012-01-07,8.38,8.42,8.38,8.42,20
2012-01-09,8.08,8.65,7.58,7.58,28648
2012-01-10,7.17,8.29,7,7.86,8854
2012-01-11,7.7,8.48,7.7,7.98,2527
2012-01-12,8.45,8.67,8.21,8.24,1624
2012-01-13,8.33,8.33,8.09,8.29,2743
2012-01-16,8.5,8.82,8.21,8.73,3566
2012-01-17,8.83,8.9,8.52,8.76,3448
2012-01-18,8.83,8.83,8.43,8.54,1508
2012-01-19,8.98,9.33,8.38,8.41,2684
2012-01-20,9,9,8.18,8.26,4150
2012-01-23,8.92,8.92,8.17,8.18,1081
2012-01-24,8.46,8.46,8.21,8.26,1019
2012-01-25,8.5,8.5,8.18,8.5,2336
2012-01-27,9.12,9.24,8.88,8.92,17043
2012-01-30,8.67,9.27,8.67,9.09,37453
2012-01-31,9.09,9.09,8.77,8.83,2416
2012-02-01,8.95,8.95,8.67,8.75,1836
2012-02-02,8.99,8.99,8.67,8.7,4741
2012-02-03,9.33,9.33,8.53,8.79,1935
2012-02-06,9.5,9.5,8.33,8.5,4911
2012-02-07,8.79,8.79,8.42,8.43,2805
2012-02-08,9,9,8.5,8.65,2725
2012-02-09,8.99,9.03,8.75,8.8,31951
2012-02-10,9.03,9.03,8.48,8.5,7707
2012-02-13,9,9,8.56,8.65,2034
2012-02-14,8.94,8.94,8.69,8.84,5390
2012-02-15,9,9.03,8.75,8.94,18495
2012-02-16,9.33,9.33,9.02,9.16,23409
2012-02-17,9.17,9.25,8.92,8.95,7156
