Date,Open,High,Low,Close,Volume
2020-09-21,21.82,23.76,21.28,21.74,81349
2020-09-22,21.74,21.8,19.09,19.91,14468
2020-09-23,20.43,20.71,19.04,19.82,4966
2020-09-24,20.43,20.43,19.34,19.88,6047
2020-09-25,20.63,21.03,19.46,20.77,31355
2020-09-28,20.73,21.22,20.08,20.57,13502
2020-09-29,20.58,20.69,20.13,20.23,17805
2020-09-30,20.29,20.62,20,20.57,27115
2020-10-01,20.63,20.73,20.03,20.07,11245
2020-10-05,20.23,20.63,20.05,20.2,18058
2020-10-06,20.03,21.52,19.3,21.11,26637
2020-10-07,20.54,21.22,20.53,20.73,30699
2020-10-08,20.53,20.76,20.43,20.62,13631
2020-10-09,20.35,20.62,19.99,20.27,12649
2020-10-12,20.53,20.53,20.03,20.17,13369
2020-10-13,20.47,20.47,20.03,20.15,19238
2020-10-14,19.75,20.48,19.36,19.64,6605
2020-10-15,19.27,20.43,19.26,19.73,8113
2020-10-16,19.84,20.18,19.65,20.03,14234
2020-10-19,20.03,20.13,19.56,19.74,16974
2020-10-20,19.79,20.19,19.48,19.76,13182
2020-10-21,19.64,20.04,19.64,19.84,15539
2020-10-22,19.48,20.07,19.48,19.97,12139
2020-10-23,20.03,21.76,19.52,20.24,8724
2020-10-26,20.31,20.51,18.29,20.01,20340
2020-10-27,20.31,20.53,19.97,20.26,18699
2020-10-28,20.23,20.7,20.1,20.32,14130
2020-10-29,20.13,20.36,19.86,20.05,14587
2020-10-30,19.96,20.83,19.64,19.71,27976
2020-11-02,19.72,20.04,19.72,19.89,15115
2020-11-03,19.84,20.01,19.45,19.45,12290
2020-11-04,19.64,19.78,19.64,19.64,12702
2020-11-05,19.94,20.78,19.89,20.21,19356
2020-11-06,20.04,20.28,19.26,19.77,17611
2020-11-09,19.77,20.1,19.53,20.03,7159
2020-11-10,20.23,20.39,19.64,19.94,21510
2020-11-11,20.23,20.23,19.64,20.22,13339
2020-11-12,20.61,20.61,19.65,19.88,3523
2020-11-13,20.33,20.48,19.84,20.02,14116
2020-11-14,20.61,20.83,19.84,20.17,10937
2020-11-17,20.03,20.57,19.86,20.14,14295
2020-11-18,20.43,20.53,19.9,20.18,16241
2020-11-19,19.84,24.19,19.74,21.22,34958
2020-11-20,22.02,22.69,21.42,21.52,19634
2020-11-23,21.92,21.92,20.93,21.69,21263
2020-11-24,20.84,21.8,20.83,20.93,15466
2020-11-25,20.73,21.42,20.43,20.79,47888
2020-11-26,20.78,21.41,20.57,20.72,11885
2020-11-27,20.83,21.26,20.73,20.97,11583
2020-12-01,21.13,22.02,20.73,21.61,16720
2020-12-02,21.77,21.77,21.05,21.39,15477
