Date,Open,High,Low,Close,Volume
2009-12-03,33.32,34.47,32,32.42,1735
2009-12-04,31,32.82,31,31.98,2516
2009-12-07,32.67,32.67,30.68,31.19,77
2009-12-08,32,32,32,32,56
2009-12-09,32.5,33.5,30.92,31.17,151
2009-12-10,31.75,32,31.75,31.92,1100
2009-12-11,32.17,32.17,30.33,31.06,1105
2009-12-14,30.67,30.67,30.67,30.67,225
2009-12-15,31.98,31.98,29.67,30.01,1603
2009-12-16,30.83,31.15,30,30.13,1422
2009-12-17,30,30.67,29.57,30.37,30
2009-12-18,30.62,30.62,29.39,30.02,329
2009-12-21,30.01,30.01,29.26,29.58,590
2009-12-22,30.57,30.57,28.5,29.99,706
2009-12-23,31.17,31.33,30.04,30.91,497
2009-12-24,31.83,32.46,31.83,32.46,781
2009-12-29,34.08,34.08,33.67,33.68,1907
2009-12-30,33.84,34.4,32.58,33.39,144
2009-12-31,32.75,33,32.51,32.64,352
2010-01-04,32.67,33.13,31.85,32.01,605
2010-01-05,33.31,33.31,32.83,32.92,3507
2010-01-06,33.08,33.67,33,33.03,1538
2010-01-07,31.67,34.16,31.67,34.09,1495
2010-01-08,34,35.67,34,34.97,3460
2010-01-11,36.27,36.33,33.5,35.42,3679
2010-01-12,36.67,36.67,33.34,33.92,11084
2010-01-13,33.88,37.31,33.33,37.31,878078
2010-01-14,39.75,41.04,38.67,41.04,232837
2010-01-15,41.97,44.92,37.83,42.99,224591
2010-01-18,44,44.95,41.52,42.12,78237
2010-01-19,42.66,43.17,40.54,41.52,30856
2010-01-20,41.54,45.13,41.54,42.83,76831
2010-01-21,43.33,44.67,40.87,41.98,80577
2010-01-22,41.33,42.59,40.68,42.42,25309
2010-01-25,43.67,44.17,41.67,42.06,25359
2010-01-27,42.35,42.82,37.86,37.93,58023
2010-01-28,41.33,41.33,38.03,38.43,51359
2010-01-29,39.33,40.78,37.88,40.33,20774
2010-02-01,40.67,40.83,39.21,39.7,10111
2010-02-02,39.37,41.38,38.68,39.04,7405
2010-02-03,39.9,39.9,38.5,38.58,9350
2010-02-04,38.17,39.83,38.17,38.69,3183
2010-02-05,38.75,39.07,36.67,37.65,18251
2010-02-06,38.65,39.33,37.51,38.43,422
2010-02-08,37.83,38.65,37.53,37.73,5411
2010-02-09,37.37,38.63,37.35,37.93,4177
2010-02-10,37.83,39.65,37.83,38.52,4601
2010-02-11,39.67,39.67,37.87,38.28,8582
2010-02-15,37.3,38.82,37.29,38.13,9885
2010-02-16,37.42,40,37.42,39.28,5378
2010-02-17,38.94,43.07,38.94,39.74,11004
2010-02-18,39.21,40.5,39.21,39.9,1949
2010-02-19,39.18,39.68,38.4,38.63,1418
2010-02-22,38.88,40.16,38.06,38.28,5707
2010-02-23,37.55,38.92,37.55,38.43,7544
2010-02-24,38.79,38.79,37.52,37.78,5023
2010-02-25,37.33,38.83,37.33,37.98,2621
2010-02-26,38,38.83,37.68,38.16,3008
2010-03-02,38.43,41.12,38.43,40.73,7331
2010-03-03,40.85,42.5,39.42,40.33,11647
2010-03-04,40.49,40.58,39.33,39.98,4003
2010-03-05,40.83,40.83,39.67,39.91,4283
2010-03-08,40.6,40.75,39.67,40.19,7327
2010-03-09,39.92,41.42,39.92,41.2,5401
2010-03-10,41.48,45.33,41.17,44.29,49367
2010-03-11,44.02,47,41.88,42.33,35496
2010-03-12,42.72,44.73,41.68,42.11,35057
2010-03-15,40,43.32,40,42.19,4648
2010-03-16,42.32,43,41.17,42.56,6059
2010-03-17,43.33,43.33,42.52,42.72,5893
2010-03-18,42.39,42.92,42.17,42.51,14015
2010-03-19,42.53,43.33,42.25,43.09,5604
2010-03-22,43.17,48,42.28,45.49,146646
2010-03-23,45.83,47.5,45.83,46.13,57980
2010-03-25,46.33,47.09,45.1,45.84,5630
2010-03-26,45.43,46.33,44.17,44.69,17703
2010-03-29,45,45.27,44.18,44.39,11924
2010-03-30,43.58,45.17,43.58,44.25,10068
2010-03-31,44.55,45.17,43.85,44.36,1237
2010-04-01,48.33,48.33,44.83,46.22,18827
2010-04-05,46.17,48.47,46.17,47.07,11331
2010-04-06,46.67,50.83,46.67,49.33,192614
2010-04-07,51,57.5,51,56.11,940074
2010-04-08,55.98,56.65,53.33,54.08,143456
2010-04-09,53.42,59,53.42,56.59,239153
2010-04-12,56.67,58.62,56.07,57.21,117512
2010-04-13,55.55,60.33,50.83,57.98,156730
2010-04-15,56.33,59.8,56,57.53,63506
2010-04-16,57.5,59.83,55.53,58.88,77763
2010-04-19,57.48,58.62,55.47,56.58,118585
2010-04-20,57.17,58.33,55.58,56.09,37028
2010-04-21,56.5,58.17,56.25,57.8,45067
2010-04-22,58,58,56.05,56.62,22976
2010-04-23,57.24,57.24,55.84,56.25,17101
2010-04-26,56.5,57.31,55.33,55.7,20084
2010-04-27,54.69,56.47,54.69,55.38,17585
2010-04-28,55,55.82,52.19,53.37,38310
2010-04-29,55.75,55.83,54.17,55,25406
2010-04-30,55,57.33,54.58,55.07,37972
2010-05-03,55.83,56.67,54.33,54.81,12947
2010-05-04,54.68,55.48,51.52,52.33,25966
2010-05-05,52,52.97,49.17,52.09,49032
2010-05-06,51.67,55.92,51.67,52.66,74388
2010-05-07,49.83,52.4,49,49.84,49881
2010-05-10,50.34,53,50.34,52.64,13463
2010-05-11,52.92,52.92,50.88,51.22,10436
2010-05-12,52.17,52.17,50.01,50.42,8609
2010-05-13,50.53,51.28,49.95,50.24,6061
2010-05-14,49.58,50.5,48.83,49.23,11109
2010-05-17,45.33,49.65,45.33,48.97,16336
2010-05-18,49.12,49.98,48,48.64,7646
2010-05-19,48.08,49.67,47.5,47.69,14776
2010-05-20,49.14,49.45,47.58,48.65,8290
2010-05-21,48.17,49.16,46.69,48.94,14480
2010-05-24,48.58,49.33,48,48.33,4675
2010-05-25,48,48.31,44.68,45.16,6867
2010-05-26,46.33,48,45.9,46.88,8065
2010-05-27,46.17,47.3,45.88,46.73,9014
2010-05-28,46.33,48.32,46.33,47.79,8613
2010-05-31,48.79,48.79,46.69,47.53,13858
2010-06-01,47.07,48.33,47.07,47.59,11393
2010-06-02,48.17,52.9,47.67,50.03,56201
2010-06-03,50.5,51.33,49.6,49.91,26251
2010-06-04,50.83,51.64,49.35,50.26,16487
2010-06-07,47.85,49.94,47.53,48.41,23750
2010-06-08,49.58,49.82,47.83,48.18,20926
2010-06-09,47.89,48.83,47.67,48.13,6602
2010-06-10,47.67,49.98,47.67,47.91,18588
2010-06-11,48.5,48.83,47.83,48.06,4456
2010-06-14,48.5,49.65,48.33,49.45,5283
2010-06-15,49.83,52.17,49.5,50.37,43366
2010-06-16,50.33,51.15,50.08,50.38,4562
2010-06-17,49.83,50.8,49.83,50.02,1589
2010-06-18,49.5,51.17,48.68,49.36,9665
2010-06-21,49.83,50.98,49.19,49.53,8480
2010-06-22,49.2,50.54,49.2,49.93,4889
2010-06-23,50,50.15,49.17,49.25,1263
2010-06-24,49.67,50.5,49.22,49.52,5380
2010-06-25,49.58,49.83,48.33,48.76,2774
2010-06-28,49.43,53.13,49.43,52.33,90068
2010-06-29,52.5,52.98,50.57,51.4,26638
2010-06-30,51.17,51.49,49.92,51.03,20535
2010-07-01,51.66,51.66,50.02,51.32,5850
2010-07-02,51.17,53,51.17,52.18,22203
2010-07-05,52.83,53.33,50.58,51.26,24030
2010-07-06,52.64,52.67,51.05,51.43,13697
2010-07-07,51.58,52.17,50.83,51.14,4683
2010-07-08,52.17,52.17,50.53,50.93,3943
2010-07-09,50.83,52.25,50.83,51.04,5872
2010-07-12,51.11,51.33,50.17,50.57,4592
2010-07-13,50.5,52.98,50.5,52.08,20491
2010-07-14,52.8,55.63,51.83,54.03,125106
2010-07-15,54.48,55.98,53,53.94,59879
2010-07-16,54.79,56.5,54.25,56.13,72177
2010-07-19,56.33,57.17,54.71,54.98,30541
2010-07-20,55.5,55.67,53.84,54.36,9348
2010-07-21,54.38,54.83,53.53,53.88,20931
2010-07-22,53.34,54.28,52.83,53.56,6367
2010-07-23,53.92,54.98,53.59,54.26,14274
2010-07-26,53.38,53.51,52.3,52.69,16260
2010-07-27,52.83,54.99,52.83,54.64,26048
2010-07-28,55,56.82,53.33,54.26,64576
2010-07-29,54.83,56.16,54.35,54.9,30390
2010-07-30,53.73,56.08,53.73,55.24,30346
2010-08-02,54.67,56.33,54.67,56.13,20838
2010-08-03,56.79,56.83,55.12,56.33,27744
2010-08-04,56.67,60.17,56.5,59.03,109439
2010-08-05,59.48,61.5,57.92,58.68,70226
2010-08-06,58.75,61,57,58.73,125966
2010-08-09,59.32,59.98,58.02,58.62,33206
2010-08-10,60.15,60.71,57.86,58.38,116946
2010-08-11,61.33,61.33,57.51,57.9,24587
2010-08-12,58.07,60,56.71,58.82,64139
2010-08-13,59.98,63.08,59.85,61.05,243590
2010-08-16,61.35,62.5,58.73,59.2,43304
2010-08-17,60.67,61.33,59.19,59.4,108961
2010-08-18,60.15,60.15,58.33,59.01,41846
2010-08-19,59.63,60.74,59.17,59.79,37554
2010-08-20,59.63,60.29,58.53,58.95,10252
2010-08-23,59.25,59.8,58.05,58.49,11789
2010-08-24,58.22,58.74,56.85,57.77,47727
2010-08-25,57.83,58.31,56.03,56.58,14873
2010-08-26,56.68,57.33,55.83,56.08,6222
2010-08-27,56.17,56.6,54.17,54.64,16210
2010-08-30,56.5,56.83,55.33,56.41,11023
2010-08-31,56.67,59.22,56.67,57,47359
2010-09-01,58.33,58.33,56.77,56.95,8769
2010-09-02,57.42,57.58,56.15,56.78,8843
2010-09-03,56.2,57.78,55,56.18,7699
2010-09-06,57.17,58.73,57,57.76,60192
2010-09-07,58.02,58.33,56.34,56.63,14777
2010-09-08,56.5,57.5,56.25,56.47,10834
2010-09-09,57.11,57.49,56.52,56.95,8421
2010-09-13,57.5,57.9,56.5,56.63,12192
2010-09-14,57.5,57.5,55.1,56.03,19063
2010-09-15,55.67,56.3,55.19,55.33,3275
2010-09-16,55.47,55.75,54.83,55.15,10683
2010-09-17,55.35,56.68,55.09,55.79,13004
2010-09-20,57.63,57.63,55.67,55.88,7775
2010-09-21,56.5,56.5,55.18,55.78,11464
2010-09-22,55.71,56.67,55.33,56.36,11354
2010-09-23,56.17,57.08,55.22,55.52,10801
2010-09-24,55.5,57.25,55.5,56.56,30390
2010-09-27,57.5,59.67,57.5,58.06,52700
2010-09-28,58.83,58.83,57.35,57.93,4627
2010-09-29,57.58,58.83,56.09,56.51,11057
2010-09-30,56.5,56.5,55.17,55.37,26390
2010-10-01,56.57,59.65,55.83,56.68,43544
2010-10-04,59.13,59.13,56.68,57.39,9990
2010-10-05,58.66,58.66,55.85,56.44,8669
2010-10-06,57.42,57.42,55.83,55.94,5521
2010-10-07,55.86,56.83,55.5,56.15,4821
2010-10-08,57.15,57.17,54.28,54.81,6164
2010-10-11,57.99,57.99,54.83,55.88,4604
2010-10-12,55,56.83,54.83,56.44,7596
2010-10-13,55.67,57.32,55.67,56.55,7980
2010-10-14,56.67,56.67,54.17,54.72,25783
2010-10-15,54.67,55.78,54.67,55.47,4925
2010-10-18,54.33,56.32,53.33,54.68,6744
2010-10-19,55.5,55.99,53.83,54.61,5075
2010-10-20,54,57.83,54,55.38,135441
2010-10-21,55.83,56.42,55.5,55.85,8105
2010-10-22,56,58.13,55.6,57.41,24847
2010-10-25,58.12,59,57.68,57.93,12252
2010-10-26,58.4,58.4,57.68,58.03,9286
2010-10-27,58.02,59,55.68,56.18,38644
2010-10-28,56.33,56.67,55.35,55.73,11086
2010-10-29,55.42,55.58,53.5,54.44,14154
2010-11-01,53.68,54.5,53,53.12,18807
2010-11-02,53.12,53.5,51.37,51.71,8144
2010-11-03,50.43,53.17,50.43,52.38,6703
2010-11-04,50.83,52.5,50.83,51.8,5790
2010-11-05,52.67,54.12,52.49,52.76,1188
2010-11-08,52.5,53.5,51.88,52.39,29782
2010-11-09,53.95,53.95,52.67,53.23,3748
2010-11-10,48.33,54.16,48.33,53.34,9251
2010-11-11,53.44,54.5,52.26,53.22,32637
2010-11-12,53.33,53.33,51.69,51.69,4959
2010-11-15,52.67,53.15,51.11,51.73,9557
2010-11-16,51.67,51.67,48.67,49.4,5799
2010-11-18,49.98,49.98,48.33,49.03,9732
2010-11-19,48.7,49.67,48.03,48.56,4289
2010-11-22,48.57,49.5,45.5,49.09,1580
2010-11-23,49.09,49.09,46.67,48.12,2459
2010-11-24,47.67,48.33,46.13,46.58,1383
2010-11-25,44.68,48.28,44.68,45.4,2954
2010-11-26,45.25,46.65,41.32,45.78,11654
