Date,Open,High,Low,Close,Volume
2025-09-01,148.5,148.5,141.1,141.45,1750000
2025-09-02,134.4,142,134.4,136.25,277000
2025-09-03,129.45,141,129.45,139.4,161000
2025-09-04,140.8,141.5,132.45,140.7,119000
2025-09-05,141.9,142,136,141,110000
2025-09-08,142.3,142.3,135.8,141.75,160000
2025-09-09,142,142.1,138.85,140.5,317000
2025-09-10,140,140,137,137.8,58000
2025-09-11,140.1,140.1,130.95,135.7,119000
2025-09-12,130,141.9,128.95,139.4,311000
2025-09-15,143.4,143.4,133.05,135.05,37000
2025-09-16,135.05,137.45,134.85,137,14000
2025-09-17,136.35,136.4,132.5,136.4,15000
2025-09-18,132.55,136.35,130,132,41000
2025-09-19,130.5,132,128.5,131.7,77000
2025-09-22,131.7,133.5,126.6,127.2,67000
2025-09-23,133.4,133.4,130.15,130.15,9000
2025-09-24,133,133,126,129.75,31000
2025-09-25,132,133,127.3,128.9,23000
2025-09-26,129.8,129.8,124,128.7,9000
2025-09-29,128.7,129.95,123.15,128.6,119000
2025-09-30,130.5,131.3,124,128,19000
2025-10-01,129.9,129.9,129.9,129.9,1000
2025-10-06,125,129.2,123.65,127.75,10000
2025-10-07,129,129,124.75,127.55,16000
2025-10-08,124.3,126.85,124.3,125.5,6000
2025-10-09,122.1,127.5,122.1,123,10000
2025-10-10,125.5,129,125,125,3000
2025-10-13,125,125.9,119.8,125.9,14000
2025-10-14,120.05,126.4,120,125.45,8000
2025-10-15,124,125.4,118,125.4,42000
2025-10-17,119.05,125,119.05,125,24000
2025-10-21,131,131,123.1,128.3,24000
2025-10-23,128.3,128.3,128.3,128.3,2000
2025-10-24,135,135,128.5,130.15,26000
2025-10-27,131.7,132.95,131.7,132,13000
2025-10-28,133.9,133.9,130,130,4000
2025-10-29,132.95,133,130.1,130.1,23000
2025-10-30,130,131.45,127.65,131.2,16000
2025-10-31,131.15,131.5,128.6,131.45,4000
2025-11-03,135.1,135.1,133,133,7000
2025-11-04,131.9,133,130,130.6,30000
2025-11-06,136.65,136.65,131.3,134.25,68000
2025-11-07,134.85,136.5,132.1,135.35,14000
2025-11-10,135.35,135.35,135.35,135.35,1000
2025-11-11,135.35,135.35,132,132.05,4000
2025-11-12,132,137,130,136,40000
2025-11-13,141.9,141.9,138.5,140,23000
2025-11-14,137.9,139,136,139,3000
2025-11-17,137,140,137,140,36000
2025-11-18,135.75,137.95,135.75,137.95,4000
2025-11-20,137.95,137.95,134,134.05,5000
2025-11-21,137.8,137.8,132.5,132.5,2000
2025-11-24,135.9,135.9,135.9,135.9,9000
2025-11-25,136.55,137,132,137,3000
2025-11-26,131,137.9,131,137.75,42000
2025-11-27,137.5,137.5,137.5,137.5,11000
2025-11-28,138,138,130.05,131.95,127000
2025-12-01,142,143,136.85,136.85,15000
2025-12-02,130,136.7,130,135.9,14000
2025-12-03,135.9,135.9,135.9,135.9,8000
2025-12-04,133,137.3,132.6,137.3,8000
2025-12-05,130.1,130.25,130,130.1,6000
2025-12-08,127.5,137,127.5,130.5,6000
2025-12-09,136.5,136.5,130.9,130.9,28000
2025-12-10,136.95,136.95,131,133.9,69000
2025-12-11,133.9,135.9,131,134.8,14000
2025-12-12,131.5,133.75,131.5,132.75,22000
2025-12-15,133.4,134.05,130,132.5,14000
2025-12-16,125,129.5,123,123.1,116000
2025-12-17,124.7,128.95,123.1,124.25,70000
2025-12-18,126.35,129.35,126.35,128.95,20000
2025-12-19,129.55,137.5,129.55,136.25,84000
2025-12-22,138.7,138.8,133,133.45,13000
2025-12-23,133.2,136.8,132.1,135.6,8000
2025-12-24,135.8,136.95,133.1,133.1,47000
2025-12-26,127,134,127,134,5000
2025-12-29,129,135,129,133.9,3000
2025-12-30,131,131,129.5,130,4000
2025-12-31,130,130,130,130,1000
2026-01-01,129,129,129,129,1000
2026-01-02,132,134.45,126.15,127,6000
2026-01-05,132,135,125.35,133,7000
2026-01-06,133,135,129.15,129.4,13000
2026-01-07,130.5,130.5,130.5,130.5,1000
2026-01-08,130.5,132.2,128.05,128.05,5000
2026-01-09,128,128,126,126,2000
2026-01-12,130,130,127.9,128.2,6000
2026-01-13,127.15,127.15,125.65,126.3,4000
2026-01-14,124,126.6,124,125.9,3000
2026-01-16,125,128,123,126,34000
2026-01-19,127,127,127,127,1000
2026-01-20,124,125.9,122.5,122.5,21000
2026-01-21,115,124.85,111.5,115.15,14000
2026-01-22,123.9,123.9,112,114.2,6000
2026-01-23,123.5,123.5,116,116.15,20000
2026-01-27,122.4,125,119.05,119.05,12000
2026-01-28,121,121,121,121,1000
2026-01-29,117,117,116.95,116.95,2000
2026-01-30,113,118.5,111.15,111.55,26000
2026-02-01,112,117,110,113,12000
2026-02-02,112,112,109,111,13000
2026-02-03,111,113,111,111,8000
2026-02-04,111,133.2,111,132.8,823000
2026-02-05,128,136.95,127,128.85,87000
2026-02-06,134,134,125.15,126.6,14000
2026-02-09,133,136,130.1,134.8,62000
2026-02-10,135.95,144,135,140.95,132000
2026-02-11,144,144,135,136.95,125000
