Date,Open,High,Low,Close,Volume
2016-06-09,192.5,192.5,192.5,192.5,5
2016-06-10,202.13,202.13,202.13,202.13,4
2016-06-13,212.23,212.23,212.23,212.23,16
2016-06-14,222.83,222.83,222.83,222.83,9
2016-06-15,233.95,233.95,233.95,233.95,9
2016-06-16,244.58,244.58,244.58,244.58,30
2016-06-17,256.8,256.8,256.8,256.8,17
2016-06-20,269.63,269.63,269.63,269.63,13
2016-06-21,283.1,283.1,283.1,283.1,17
2016-06-22,297.25,297.25,297.25,297.25,33
2016-06-23,312.1,312.1,312.1,312.1,9
2016-06-24,327.7,327.7,327.7,327.7,27
2016-06-27,344.08,344.08,344.08,344.08,62
2016-06-28,361.28,361.28,361.28,361.28,29
2016-06-29,379.33,379.33,379.33,379.33,175
2016-06-30,398.28,398.28,398.28,398.28,21
2016-07-01,418.18,418.18,418.18,418.18,116
2016-07-04,439.08,439.08,439.08,439.08,9
2016-07-05,461.03,461.03,461.03,461.03,10
2016-07-07,484.08,484.08,484.08,484.08,8
2016-07-08,508.28,508.28,508.28,508.28,20
2016-07-11,533.68,533.68,533.68,533.68,9
2016-07-12,560.35,560.35,560.35,560.35,501
2016-07-13,588.35,588.35,533.13,588.35,1213
2016-07-14,617.75,617.75,559,617.75,763
2016-07-15,648.63,648.63,640,648.63,799
2016-07-18,681.05,681.05,666.03,681.05,589
2016-07-19,715.1,715.1,715.1,715.1,537
2016-07-20,750.85,750.85,750.85,750.85,739
2016-07-21,788.38,788.38,788.38,788.38,530
2016-07-22,827.78,827.78,827.78,827.78,1039
2016-07-25,869.15,869.15,800,869.15,1977
2016-07-26,910,912.6,862.55,912.6,537
2016-07-27,958.1,958.23,958.1,958.23,262
2016-07-28,1006.13,1006.13,1006.13,1006.13,102
2016-07-29,1056.43,1056.43,1056.43,1056.43,1041
2016-08-01,1109.23,1109.23,1109,1109.23,2511
2016-08-02,1164.68,1164.68,1164.68,1164.68,681
2016-08-03,1222.9,1222.9,1222.9,1222.9,740
2016-08-04,1284.03,1284.03,1284.03,1284.03,510
2016-08-05,1348.23,1348.23,1348.23,1348.23,983
2016-08-08,1415.63,1415.63,1415.63,1415.63,1270
2016-08-09,1486.4,1486.4,1344.85,1344.85,2421
2016-08-10,1277.63,1277.63,1277.63,1277.63,101
2016-08-11,1213.75,1213.75,1213.75,1213.75,5
2016-08-12,1153.08,1153.08,1153.08,1153.08,250
2016-08-16,1095.43,1095.43,1095.43,1095.43,44
2016-08-17,1040.68,1040.68,1040.68,1040.68,24
2016-08-18,988.65,988.65,988.65,988.65,57
2016-08-19,939.23,1038,939.23,939.23,2071
2016-08-22,986,986,892.28,892.28,194
2016-08-23,847.68,847.68,847.68,847.68,74
2016-08-24,805.3,847.5,805.3,805.45,497
2016-08-25,765.2,775,765.2,765.2,860
2016-08-26,727.03,803.4,727.03,774.35,1314
2016-08-29,750,780,740,755.18,585
2016-08-30,740,772.5,728.1,731.55,189
2016-08-31,765,768,727.5,762.53,828
2016-09-01,777.5,777.5,730,750,137
2016-09-02,785,785,751.5,771.58,412
2016-09-06,733.5,785,733.5,750,188
2016-09-07,715,716,712.5,712.5,328
2016-09-08,677.5,677.5,676.88,676.88,77
2016-09-09,665,666,645.5,646.68,155
2016-09-12,619,637.5,614.35,614.35,421
2016-09-14,583.65,587.5,583.65,583.65,199
2016-09-15,554.48,612.83,554.48,612.35,2306
2016-09-16,642.5,642.95,642.45,642.95,1823
2016-09-19,675.08,675.08,663,675.08,1779
2016-09-20,707.5,707.5,675,676.05,1129
2016-09-21,667.5,705,663.5,703.68,545
2016-09-22,725,725,668.5,697.8,650
2016-09-23,700,700,665,668.65,319
2016-09-26,689.98,690,642.5,646.35,263
2016-09-27,677.5,677.5,615,652.5,490
2016-09-28,674.48,674.48,640.53,671.55,88
2016-09-29,665,665,637.98,659.48,265
2016-09-30,633.1,650,626.53,644.5,136
2016-10-03,615.03,649.98,612.28,612.48,684
2016-10-04,600.65,642.5,581.88,641.78,851
2016-10-05,665,673.85,612.5,665.98,316
2016-10-06,675,699.2,651.25,695.48,596
2016-10-07,695,695,681.5,686.75,88
2016-10-10,715,715,675,702.5,114
2016-10-13,702.45,702.5,687.5,688.43,53
2016-10-14,722.5,722.5,660,700.55,263
2016-10-17,715.05,725,680.03,695.73,114
2016-10-18,710,715,709.5,712.33,145
2016-10-19,707.5,724.5,695,724.25,251
2016-10-20,755,755,706.5,736.33,168
2016-10-21,711.55,773.13,711.55,760.35,1351
2016-10-24,797.5,798.35,755,798,1617
2016-10-25,800,810,800,807.5,127
2016-10-26,808.03,808.03,780,792.8,549
2016-10-27,780,785,763.5,772.85,93
2016-10-28,800,800,763,765.28,44
2016-10-30,763,802.5,755.5,773.6,68
2016-11-01,800,800,760.18,791.2,75
2016-11-02,797.53,820,765.03,766.55,14
2016-11-03,770,770,757.18,758.65,84
2016-11-04,787,787,750,754.78,92
2016-11-07,755.53,761,719.55,733.45,153
2016-11-08,769.65,770,733.5,739.15,47
2016-11-09,730,730,702.2,718.53,321
2016-11-10,750,754,685,724.53,78
2016-11-11,759.53,759.53,690,717.75,45
2016-11-15,682.68,682.68,681.88,681.88,28
2016-11-16,715,715,652,695.5,28
2016-11-17,700,700,659.3,660.6,101
2016-11-18,665,665,650,650,74
2016-11-21,650,650,617.5,623.75,155
2016-11-22,612.5,650,600.05,645,93
2016-11-23,677,677,625,650,172
2016-11-24,635,676.9,635,650,29
2016-11-25,657,657,640,640,12
2016-11-28,648.5,665,647,647,194
2016-11-29,669.5,669.5,664.85,664.98,92
2016-11-30,640.5,667.98,640.5,667.98,20
2016-12-01,696.98,696.98,675,675,4
2016-12-02,674.5,674.5,674.5,674.5,11
2016-12-05,669.5,669.5,640.78,642.8,68
2016-12-06,674.93,674.93,636.05,636.05,15
2016-12-07,667.5,667.5,640,640,92
2016-12-08,672,672,635,670,194
2016-12-09,703,703,640,687.45,22
2016-12-12,721.25,721.25,660,660.05,23
2016-12-13,637.5,677.45,627.5,627.63,137
2016-12-14,648.85,657.5,645,657.5,10
2016-12-15,627.5,664.95,627.5,630,18
2016-12-16,600,658,600,654.5,18
2016-12-19,621.78,672.5,621.78,633,34
2016-12-20,621.95,659.45,621.95,654.25,279
2016-12-22,625,647.5,621.55,621.55,186
2016-12-23,625,635,621.55,621.55,36
2016-12-26,595.25,595.25,590.48,590.48,87
2016-12-27,610,610,609,609,13
2016-12-28,582.5,628.5,582.5,628.5,3
2016-12-29,628.5,628.5,615,615.2,6
2016-12-30,617.5,617.5,615,615,21
2017-01-03,620,634.95,617.5,634.95,24
2017-01-04,625,625.03,625,625,30
2017-01-05,620,630.5,620,630.5,77
2017-01-06,607.5,630,605,609.58,6
2017-01-09,625,635,625,635,45
2017-01-10,650,650,645,645,21
2017-01-11,669.48,669.48,621,621,22
2017-01-12,621,648.5,621,642.5,36
2017-01-13,615,640,615,626.35,18
2017-01-16,640,655.55,620,640,44
2017-01-17,610,640,610,639.48,16
2017-01-18,662,662,618.05,654.5,22
2017-01-19,630,630,630,630,10
2017-01-20,630,650,630,650,27
2017-01-23,617.5,657.5,617.5,620,14
2017-01-24,625,625,595.03,600.55,100
2017-01-25,630.5,630.5,601,622.5,43
2017-01-27,652.5,652.5,600.55,625,25
2017-01-30,600,624.63,595,600.73,235
2017-01-31,625,625,571,600.53,53
2017-02-01,605,630,605,630,32
2017-02-02,645,645,604.5,625,145
2017-02-03,655,655,618,635,236
2017-02-06,665,665,607.5,644.98,74
2017-02-07,666.73,666.73,625.03,645,114
2017-02-08,674.5,674.5,615.15,625.15,223
2017-02-09,650,650,593.9,624.98,208
2017-02-10,632.5,632.5,595.75,605.9,35
2017-02-13,620,636,600,600.5,79
2017-02-14,600.6,600.88,600,600.43,66
2017-02-15,601,601,590.5,590.5,51
2017-02-16,595.53,600,595.53,600,23
2017-02-17,573,621.95,573,621.95,51
2017-02-20,621.95,625,602.5,625,35
2017-02-21,650,650,600,604,26
2017-02-22,622.5,622.5,605,616.73,16
2017-02-23,646.9,646.9,603.55,605.5,97
2017-02-27,610,630,602.5,603.18,73
2017-02-28,617.5,629.95,610,610,125
2017-03-01,629.5,629.5,580.5,583.18,136
2017-03-02,612,612,595,597.5,54
2017-03-03,620,620,620,620,2
2017-03-06,595.03,612.48,589,609.75,644
2017-03-07,619.5,637.5,600.5,617.5,1660
2017-03-08,626,627,610.5,621.78,28
2017-03-09,595.5,627,595.5,602.08,209
2017-03-10,620,629,605.55,605.55,471
2017-03-14,580.5,625,580.5,600.3,287
2017-03-15,629,629,583.85,591,508
2017-03-16,579.58,600,579.58,600,11
2017-03-17,575.23,600,575.23,587,162
2017-03-20,565.05,615,565.05,584.83,898
2017-03-21,592.5,592.5,592,592,4
2017-03-22,566,597.73,566,592.5,175
2017-03-23,607.45,607.45,572.5,589.65,257
2017-03-24,600,605,585.03,590.95,470
2017-03-27,578.75,592.5,578.75,588.93,1212
2017-03-28,607.5,607.5,572.5,587,440
2017-03-29,613.5,613.5,575,580.68,254
2017-03-30,607.5,607.5,585.5,607,53
2017-03-31,605,605,605,605,15
2017-04-03,605,614.98,590,607.58,687
2017-04-05,585,623,578.28,603,77
2017-04-06,603,610,603,610,2
2017-04-07,621,621,596.3,597.13,59
2017-04-10,618.63,618.63,597.5,600,91
2017-04-11,600,600,588.5,595.05,76
2017-04-12,620,620,570,599.25,78
2017-04-13,588.03,607.5,588,594,84
2017-04-17,605,605,592.5,593.25,350
2017-04-18,595.5,612.5,593,594.78,442
2017-04-19,593,593,587.5,590,132
2017-04-20,600,600,590,590.03,362
2017-04-21,590,608.5,590,600,350
2017-04-24,600,600.75,590,590.5,250
2017-04-25,593,605,593,605,16
2017-04-26,609.5,617.5,600,609.45,377
2017-04-27,614,614,597.5,611.25,299
2017-04-28,611.2,612.5,601.03,611.5,215
2017-05-02,620,622.5,605.5,605.5,390
2017-05-03,617,618.25,605,605,149
2017-05-04,610.4,617.5,607.5,607.5,167
2017-05-05,618.98,619,600,600.5,336
2017-05-08,615,615,602.55,602.55,14
2017-05-09,625,625,600,600.7,242
2017-05-10,600,616.25,600,601.5,47
2017-05-11,585.1,630,585.1,620.85,711
2017-05-12,607.5,622.5,607.5,608,20
2017-05-15,623,638.4,623,637.2,594
