Date,Open,High,Low,Close,Volume
2003-09-05,54.5,54.5,51,51.45,457480
2003-09-08,51.7,53.45,50.4,50.85,352235
2003-09-09,51.7,55.4,51,52.15,1548199
2003-09-10,52.5,59.7,51,56.9,2628378
2003-09-11,56,59.5,54.4,57.5,2075229
2003-09-12,59,60.35,50,58.75,2631879
2003-09-15,59.5,59.6,54.15,55.7,770416
2003-09-16,55.3,56.45,53.4,54.45,520856
2003-09-17,55.35,57.15,53.1,53.65,651470
2003-09-18,53.6,54.3,50.1,50.4,415181
2003-09-19,51.5,51.9,49,50.95,311221
2003-09-22,52,52,49.1,50.3,202604
2003-09-23,50,51.7,48.6,51.35,262048
2003-09-24,51.3,51.75,47,48.65,277353
2003-09-25,48.65,49.3,47.6,47.9,187834
2003-09-26,50.35,56.4,50.35,53.55,1407904
2003-09-29,53.05,55.1,53.05,54.9,593150
2003-09-30,55.45,55.45,53.5,53.9,228349
2003-10-01,53,57.2,46.5,54.75,534312
2003-10-03,55,56.2,54.15,54.7,156446
2003-10-06,55.7,56,52.9,53.8,121697
2003-10-07,54.35,55,53,54.45,187616
2003-10-08,56,57.8,54.45,55.7,450249
2003-10-09,56.7,56.7,54.5,55.3,128375
2003-10-10,56,56.5,53.35,53.75,177411
2003-10-13,54.5,54.65,53.2,54.3,98184
2003-10-14,55.35,56.25,53.05,53.5,136217
2003-10-15,53.6,53.6,49.95,52.05,104352
2003-10-16,52.8,55.5,52.8,54.5,254740
2003-10-17,55.8,61,55.1,57.7,794913
2003-10-20,58.35,58.4,54.5,54.95,198093
2003-10-21,55.25,55.25,52.55,53,87180
2003-10-22,51.05,53.75,51.05,51.9,51284
2003-10-23,52.65,55,50.55,51.35,129012
2003-10-24,52.5,53.7,50.5,52.9,180199
2003-10-25,54,54.6,52.65,54.1,54485
2003-10-27,54,56.1,52.75,53.35,269839
2003-10-28,52.95,53.25,50.55,50.95,144283
2003-10-29,51.85,52.5,50.25,50.8,108223
2003-10-30,51,52.25,50.5,51.3,157418
2003-10-31,50,51.85,49,50.6,209893
2003-11-03,51.35,51.4,49.85,50.55,230074
2003-11-04,51.05,51.9,50.1,50.6,323050
2003-11-05,51,54.8,49.6,52.85,853508
2003-11-06,55.8,55.8,52.3,52.9,246500
2003-11-07,53.15,54,51.55,52.25,157095
2003-11-10,51,53.75,50.7,52.7,54080
2003-11-11,53.1,55.5,52.1,52.85,918410
2003-11-12,54.5,57.25,53.9,55.75,864303
2003-11-13,57.5,58.95,53.55,54.1,731828
2003-11-14,54,54.55,52.1,52.4,169653
2003-11-15,50,54.9,50,53.45,109909
2003-11-17,54.65,56.5,53.65,56,474600
2003-11-18,56.65,58.5,55.5,56.95,613964
2003-11-19,56.7,57.8,54.8,55.05,310374
2003-11-20,55.9,56.3,52.7,53.2,220039
2003-11-21,55,55,52.2,53.45,180622
2003-11-24,54.1,55.2,53.25,54.75,252403
2003-11-25,55,57.3,54.5,56.6,346659
2003-11-27,58.4,61.7,58.3,60.15,1389869
2003-11-28,60.85,60.95,58.5,59.1,371635
2003-12-01,59.9,61.45,59.3,60.75,385083
2003-12-02,63,63,58.15,58.85,305151
2003-12-03,59.4,64.05,58.5,63.2,831423
2003-12-04,63.9,66.6,63.15,65.2,1091903
2003-12-05,66,66,63,63.8,405181
2003-12-08,64.2,65.5,61.25,64.25,150847
2003-12-09,65,70.85,64.65,70.3,1194731
2003-12-10,70.85,70.85,66.85,67.95,345988
2003-12-11,68.45,69,64.55,66.25,272317
2003-12-12,67,68.4,65.55,66.2,461703
2003-12-15,67.3,77,67.25,74.3,1070162
2003-12-16,74,74.85,70.1,72.2,797834
2003-12-17,72.5,73.4,71.25,71.75,345141
2003-12-18,72.35,73.5,71.5,72.05,267286
2003-12-19,73.5,78,72,73.7,604169
2003-12-22,73,78.4,72.65,76.2,896495
2003-12-23,76.65,77.7,69.05,69.6,832949
2003-12-24,65,70,64,64.65,1231987
2003-12-26,64.85,65,61,63.5,490687
2003-12-29,63.05,67.4,63,66.45,395924
2003-12-30,66,68.6,64.3,65.5,47619
2003-12-31,65,65.5,62.6,63.3,54772
2004-01-01,67,67,62.9,63.65,39258
2004-01-02,64.85,67.45,62.4,65,149986
2004-01-05,64.2,65.95,63.2,63.65,95335
2004-01-06,63.5,66,62.8,63.2,108096
2004-01-07,65,66,61.1,65.35,78867
2004-01-08,66.5,70.4,64.75,69.3,265505
2004-01-09,77,77,69.15,71.8,226594
2004-01-12,77,81,72.2,73.05,283362
2004-01-13,70.1,77,70.1,74.15,121457
2004-01-14,75,76.4,72.7,73.05,82820
2004-01-15,74,74.9,68.4,69.85,117481
2004-01-16,68,72.95,66.3,69.3,106253
2004-01-19,68.5,70.9,68.5,69.4,51644
2004-01-20,70.5,71.9,68.25,68.55,58398
2004-01-21,69.9,69.9,62,63.1,188699
2004-01-22,69,69,52.05,58.6,76903
2004-01-23,60,64,58.65,61.8,48409
2004-01-27,67,67,63.3,65.5,43995
2004-01-28,65,68.7,62.6,63.1,19705
2004-01-29,65,66.95,62.3,64.2,63625
2004-01-30,63.9,64.5,60.5,62.45,53220
2004-02-03,60,64,55.25,56.5,31979
2004-02-04,56.9,60,56,59.05,22000
2004-02-05,59.5,59.85,56.15,57.45,38397
2004-02-06,58,58,56,57.65,62438
2004-02-09,53.5,60.5,53.5,59.8,34460
2004-02-10,57.25,60.4,57,58.2,45835
2004-02-11,56.6,60,56.6,59.3,37027
2004-02-12,58.35,60,58.1,59.3,10070
2004-02-13,60,61,57.8,60.55,22440
2004-02-16,60.75,62.5,60.15,60.4,28213
2004-02-17,59.5,61,59.5,60,16114
2004-02-18,62,65.5,60.5,64.65,142392
2004-02-19,64,65.8,61,61.05,31941
2004-02-20,60,61.7,58,60.95,13343
2004-02-23,60.65,62.75,58.15,59.05,20910
2004-02-24,59,61.25,58.1,58.85,9763
2004-02-25,59.9,61.5,59,59.35,15609
2004-02-26,60.05,60.25,57.5,58.35,34003
2004-02-27,59.65,59.65,56.5,57.85,74924
2004-03-01,50.1,60,50.1,59.45,56189
2004-03-03,58,60.5,58,58.6,95169
2004-03-04,61,70.35,61,68.25,333168
2004-03-05,68.9,70.95,65,66.9,88021
2004-03-08,67,71.2,66.7,70.5,95101
2004-03-09,70,70.95,65.1,66.05,80110
2004-03-10,64,70,64,68.9,139378
2004-03-11,68.5,69.9,66.1,66.65,130927
2004-03-12,65,68.5,64.55,65.55,82691
2004-03-15,67.9,67.9,60,61.2,43109
2004-03-16,61,67.25,59,66.35,245776
2004-03-17,67,70,67,69.4,261085
2004-03-18,71.8,71.8,64.1,65.15,51770
2004-03-19,65.75,67,64.3,64.5,50028
2004-03-22,65,71.6,64.55,67.5,422672
2004-03-23,67.5,67.8,64,67,243094
2004-03-24,65.1,67.5,65.1,66.65,259913
2004-03-25,66.3,68.45,64.5,65.4,246829
2004-03-26,67,67.8,64.05,64.75,411376
2004-03-29,65,65.8,64.2,64.8,32980
2004-03-30,66.7,66.85,64.25,64.8,27906
2004-03-31,65.8,65.8,64.15,64.6,68341
2004-04-01,64.1,67.45,64.1,66.65,56917
2004-04-02,69.9,72,66.2,66.95,116714
2004-04-05,68,72,67.15,69.55,235874
2004-04-06,79.6,79.6,70.3,71.15,457651
2004-04-07,71.1,71.3,66.15,67.45,239939
2004-04-08,69.7,69.7,66,66.5,68957
2004-04-12,68,68,66.5,66.65,27763
2004-04-13,67.25,67.3,65.8,66.25,57544
2004-04-15,67.8,68,67.5,67.65,39759
2004-04-16,68,68.3,66.6,67.2,41719
2004-04-17,68,68.25,66.55,66.95,21153
2004-04-19,67.5,68,64.7,65.3,148415
2004-04-20,65.1,65.75,64.4,64.75,29564
2004-04-21,63.1,68,63.05,66.6,113678
2004-04-22,67,67.9,66,66.5,26809
2004-04-23,65.35,67.25,64.5,64.9,58837
2004-04-27,67,67,60,62.45,26317
2004-04-28,62,63,61.3,62.15,68244
2004-04-29,62.25,63.9,62,62.5,35034
2004-04-30,62.25,63.2,61.9,62.8,44595
2004-05-03,62.95,62.95,59,59.3,25606
2004-05-04,59.5,62.85,59.5,60.95,32972
2004-05-05,62,62,60,60.4,21513
2004-05-06,61.5,62,61.15,61.5,34163
2004-05-07,61.45,65.2,60,61.95,112082
2004-05-10,64.65,65,59.6,61.5,46379
2004-05-11,60,60.95,57.5,58,28432
2004-05-12,58.5,60,57.3,58.2,61260
2004-05-13,56.25,59.75,55.15,56.55,208582
2004-05-14,57.45,57.45,47,49.7,55508
2004-05-17,45.1,57.8,39.85,41.2,35741
2004-05-18,43,47.75,41.55,46.4,53062
2004-05-19,49,49.95,45.5,47.3,43143
2004-05-20,48.05,49,45.5,46.4,45169
2004-05-21,45.25,45.95,44.25,45.55,157831
