Date,Open,High,Low,Close,Volume
2021-04-07,27.5,29,27.08,28.48,82000
2021-04-08,29.23,29.23,27.08,27.08,12000
2021-04-09,28,28.38,26,27.73,22000
2021-04-12,27.05,28.5,26.68,28.5,14000
2021-04-13,28.53,28.53,27.08,28.5,10000
2021-04-15,27.08,28.48,27.08,28.48,10000
2021-04-16,27.1,28.48,27.1,28.45,16000
2021-04-19,27.08,28,27.08,27.98,8000
2021-04-20,28.23,28.25,28.23,28.25,4000
2021-04-22,26.85,28.23,26.85,27.98,16000
2021-04-23,27.95,27.95,27.75,27.85,4000
2021-04-26,25.5,27.5,25.5,27.5,4000
2021-04-28,27.48,28.48,26,27.65,12000
2021-04-29,28.2,28.43,28.2,28.28,8000
2021-04-30,28,28.88,28,28.33,12000
2021-05-03,28.5,29,27.5,28.25,12000
2021-05-04,28.35,29,28.35,29,6000
2021-05-06,28.5,28.75,28.5,28.75,4000
2021-05-07,28.75,29,28.75,28.75,8000
2021-05-10,25.5,28.48,25.5,28.48,4000
2021-05-11,26.5,26.5,26.28,26.28,4000
2021-05-14,26,28.5,26,28.48,6000
2021-05-18,25.5,28.45,25.5,27.28,6000
2021-05-19,26.5,26.5,26.5,26.5,2000
2021-05-20,26.5,27.43,26.5,27.43,4000
2021-05-26,27.5,28.35,27.5,28.33,8000
2021-05-31,26.05,26.05,26.03,26.03,4000
2021-06-02,28.5,31.23,22.5,27.7,62000
2021-06-03,27.2,28.2,25.68,27.3,140000
2021-06-04,27.3,28.5,27.3,28.48,12000
2021-06-08,26.4,27.3,26.4,26.85,4000
2021-06-09,26.85,28,26.85,26.85,8000
2021-06-11,28,30.48,28,28.45,26000
2021-06-14,29,31.95,28.95,31.35,56000
2021-06-15,31.3,37.6,31.3,37.6,70000
2021-06-16,37.75,40.75,37.75,39.25,12000
2021-06-17,37.5,37.5,35.33,35.33,16000
2021-06-18,34.65,38.33,34.65,35.65,20000
2021-06-22,32.6,35.65,32.1,35.58,20000
2021-06-24,32.55,32.9,32.55,32.9,6000
2021-06-25,30.25,31.1,30.25,30.75,12000
2021-06-28,30.75,30.75,30.75,30.75,2000
2021-06-30,31.9,33.8,31.9,33.8,16000
