Date,Open,High,Low,Close,Volume
2018-10-10,23.5,23.5,23.37,23.5,54000
2018-10-11,23.37,23.5,23.28,23.37,267000
2018-10-12,23.37,23.44,23.37,23.44,60000
2018-10-15,23.31,23.31,23.31,23.31,69000
2018-10-16,23.34,23.37,23.34,23.37,180000
2018-10-17,23.37,23.37,23.24,23.24,285000
2018-10-22,23.86,23.86,23.86,23.86,3000
2018-10-29,23.21,23.21,23.21,23.21,3000
2018-11-01,23.21,23.21,23.21,23.21,3000
2018-11-05,23.24,23.24,23.24,23.24,78000
2018-11-09,23.21,23.21,23.21,23.21,3000
2018-11-12,23.21,23.21,23.21,23.21,3000
2018-11-13,23.5,23.5,23.5,23.5,60000
2018-11-14,23.37,23.37,23.24,23.24,120000
2018-11-19,23.37,23.37,23.37,23.37,30000
2018-11-20,23.37,23.53,23.34,23.53,102000
2018-11-21,23.37,23.37,23.37,23.37,45000
2018-11-22,23.28,23.28,23.28,23.28,45000
2018-11-28,23.21,23.21,23.21,23.21,3000
2018-11-30,23.37,23.37,23.37,23.37,42000
2018-12-13,23.86,23.86,23.86,23.86,3000
2018-12-28,23.21,23.21,23.21,23.21,3000
2019-01-08,23.21,23.21,23.21,23.21,6000
2019-01-23,24.18,24.18,23.53,23.53,39000
2019-01-25,23.53,23.53,23.53,23.53,69000
2019-03-05,23.53,23.53,23.53,23.53,3000
2019-04-09,23.53,23.53,23.53,23.53,33000
2019-04-10,23.53,23.53,23.53,23.53,27000
2019-04-18,23.53,23.53,23.53,23.53,54000
2019-04-26,23.53,23.53,23.53,23.53,54000
2019-05-03,23.53,23.53,23.53,23.53,27000
2019-05-06,23.53,23.53,23.53,23.53,54000
2019-05-08,23.53,23.53,23.53,23.53,24000
2019-05-17,23.86,23.86,23.86,23.86,27000
2019-05-20,23.86,23.86,23.86,23.86,63000
2019-05-23,23.86,23.86,23.86,23.86,42000
2019-05-24,23.86,23.86,23.86,23.86,120000
2019-05-28,25.15,25.15,25.15,25.15,3000
2019-05-29,23.86,26.11,23.86,26.11,60000
