Date,Open,High,Low,Close,Volume
2017-08-10,439.9,439.9,374.4,378.53,8025978
2017-08-11,372.5,396.98,352.55,384.93,1013924
2017-08-14,399.5,407,390,401.43,492782
2017-08-16,396.25,408,395,406.28,285820
2017-08-17,406.95,414.5,406,407.53,227731
2017-08-18,406.48,406.48,390.13,395.75,82421
2017-08-21,394.03,397.03,382.55,387.43,58365
2017-08-22,387,395.98,380,382.43,66656
2017-08-23,382.5,392.5,382.5,388.68,64421
2017-08-24,387.95,391,381.55,383.63,34809
2017-08-28,384.95,390,384.03,386.53,27944
2017-08-29,385.75,389.5,376.3,377.8,24820
2017-08-30,382.4,392,381.03,389.35,28911
2017-08-31,389.35,393.95,385.53,387.78,24726
2017-09-01,385.63,392.5,385.63,390.15,51957
2017-09-04,387.5,395,387.05,390.25,46848
2017-09-05,392.4,393.43,384,385.75,34761
2017-09-06,385.9,392,385.5,388.05,93680
2017-09-07,388.05,390.98,386.3,388.43,26657
2017-09-08,387.5,397.73,387,394.08,91156
2017-09-11,391,408.85,391,399.85,98123
2017-09-12,397.5,402.53,390.05,391.68,19084
2017-09-13,393.3,394.08,387,389.93,17748
2017-09-14,393.85,393.85,382.78,385.15,16209
2017-09-15,383.03,392.5,383.03,390.33,17627
2017-09-18,387.58,396.73,385.5,395.75,31185
2017-09-19,391.03,395,388.9,389.63,52117
2017-09-20,390,390.05,383.25,385.33,10854
2017-09-21,384,390,384,387.53,33585
2017-09-22,385.25,387.5,382.5,384,12248
2017-09-25,383,389.23,376.55,384.73,29926
2017-09-26,385.93,390,379.75,382.05,7917
2017-09-27,382.08,391.2,382.08,389.48,50122
2017-09-28,388.03,400,385.15,397.58,21196
2017-09-29,393.53,401.58,393.53,399.8,37192
2017-10-03,395.5,401.73,387.5,389.78,9376
2017-10-04,390.1,390.1,387.5,387.55,5999
2017-10-05,387.5,390,386.05,387.43,13638
2017-10-06,387.5,392.45,382,384.5,53174
2017-10-09,383.13,388.75,383.13,386.63,18397
2017-10-10,384.5,396,384.5,392.55,21307
2017-10-11,392,394.5,390.23,392.58,8017
2017-10-12,389.13,398.48,389.13,395.03,52067
2017-10-13,392.55,396.43,392.5,395.68,13833
2017-10-16,392.63,395.68,390.5,392.53,5598
2017-10-17,390.53,400,387.55,394.55,59048
2017-10-18,390.03,400,390.03,393.9,60484
2017-10-19,394.5,400,391.65,396.13,6726
2017-10-23,390.75,398.95,388.5,390.58,2777
2017-10-24,391.5,394,390.28,392.53,8301
2017-10-25,394.5,394.5,387.5,389.13,5133
