Date,Open,High,Low,Close,Volume
2015-05-27,170.97,173.9,166.23,168.18,3498
2015-05-28,167.94,170.97,165.99,170.14,6636
2015-05-29,169.5,170.48,163.2,164.62,2723
2015-06-01,164.13,169.01,161.2,166.72,8266
2015-06-02,170.19,170.19,163.64,165.94,5561
2015-06-03,169.99,169.99,160.32,162.32,2448
2015-06-04,162.18,168.92,161.2,165.01,4625
2015-06-05,167.94,168.04,166.57,167.55,1294
2015-06-08,163.15,166.03,161.2,161.64,1875
2015-06-09,171.94,171.94,156.31,161.2,2036
2015-06-10,163.15,165.89,146.54,155.83,20263
2015-06-11,159.24,161,149.57,153.19,6234
2015-06-12,149.96,158.17,146.64,150.65,2270
2015-06-15,154.36,156.26,151.48,155.04,934
2015-06-16,153.38,156.31,148.69,155.58,5985
2015-06-17,155.34,156.26,152.65,154.85,1630
2015-06-18,152.41,156.31,152.41,154.85,2030
2015-06-19,151.43,156.31,149.13,155.14,2995
2015-06-22,153.38,156.31,153.38,155.34,3377
2015-06-23,153.38,158.07,153.38,155.39,4370
2015-06-24,158.22,158.27,153.38,155.73,2905
2015-06-25,151.58,158.27,151.43,155.97,1188
2015-06-26,163.64,166.86,152.41,161.59,5773
2015-06-29,165.89,165.89,154.36,158.02,1435
2015-06-30,165.94,165.94,157.29,164.96,15471
2015-07-01,169.99,169.99,160.56,163.01,16084
2015-07-02,169.01,169.01,158.37,162.91,15161
2015-07-03,165.11,166.57,161.39,163.1,17217
2015-07-06,167.06,167.94,162.27,165.2,3037
2015-07-07,165.2,174.88,165.2,170.82,15157
2015-07-08,170.48,172.87,166.08,169.89,6306
2015-07-09,174.88,174.88,163.15,165.5,8319
2015-07-10,166.13,170.97,162.71,164.37,5219
2015-07-13,166.08,166.08,164.62,165.35,1992
2015-07-14,167.06,172.92,164.13,167.11,10008
2015-07-15,174.39,174.39,166.38,166.38,939
2015-07-16,167.06,169.84,161.49,163.25,2422
2015-07-17,166.03,169.5,161.2,166.72,608
2015-07-20,167.06,169.5,163.15,165.79,7713
2015-07-21,166.91,195.39,165.59,169.4,9903
2015-07-22,169.94,172.38,169.4,171.26,11309
2015-07-23,172.92,173.9,169.11,172.43,5704
2015-07-24,174.53,174.53,167.21,169.8,5567
2015-07-27,172.29,173.41,167.16,168.38,5264
2015-07-28,174.88,175.85,167.16,169.11,46486
2015-07-29,172.82,172.92,166.18,167.99,89493
2015-07-30,168.62,169.89,166.28,168.18,11204
2015-07-31,167.35,169.36,163.64,164.32,11514
2015-08-03,169.8,169.8,163.15,165.3,5188
2015-08-04,168.53,168.53,160.86,162.61,9553
2015-08-05,162.61,165.79,160.71,161.49,8115
2015-08-06,162.22,165.11,153.38,157.97,114252
2015-08-07,161,161.1,155.34,155.87,3263
2015-08-10,155.87,161.2,155.87,158.32,53732
2015-08-11,156.26,158.85,150.45,151.72,7393
2015-08-12,156.22,156.22,149.47,151.38,4760
2015-08-13,153.38,153.38,148.5,151.58,2981
2015-08-14,148.16,155.34,146.54,153.77,4068
2015-08-17,151.62,156.12,147.57,152.41,1501
2015-08-18,155.24,155.24,148.6,150.01,2641
2015-08-19,148.5,155.34,142.64,149.43,11585
2015-08-20,150.5,154.07,146.54,146.54,4068
