Date,Open,High,Low,Close,Volume
2025-07-14,144,151.2,143,151.2,3738000
2025-07-15,144.5,152.8,143.65,147.95,1286400
2025-07-17,137,145.5,136.2,143.85,284400
2025-07-18,142.8,143,136.65,136.65,448800
2025-07-21,134,134,129.85,130.05,330000
2025-07-22,133.9,136.55,130,136.5,290400
2025-07-23,139,143.3,135,143.3,124800
2025-07-24,150.45,150.45,147,150.45,351600
2025-07-25,156,157.95,144.1,151.6,416400
2025-07-28,151.6,157.6,135,137.45,507600
2025-07-29,142.9,142.9,122.5,132.2,658800
2025-07-30,132.2,136.5,125.7,127.55,200400
2025-07-31,123.35,135,120.05,130.95,294000
2025-08-01,130.95,130.95,124,126.1,140400
2025-08-04,129,129,120,121.35,99600
2025-08-05,120.5,125,120.1,120.9,61200
2025-08-06,118.5,122.95,111.7,113.4,237600
2025-08-07,114.4,119.9,114.4,116.8,99600
2025-08-08,119.75,119.75,108,109.8,196800
2025-08-11,110,110,94.1,97.3,578400
2025-08-12,95.8,111.5,95.8,106.7,493200
2025-08-13,109.85,109.9,102.15,103.4,130800
2025-08-14,103.75,104.95,100.9,102.25,94800
2025-08-18,104.3,104.3,99,99.95,120000
2025-08-19,100.6,102.95,99,101.95,75600
2025-08-20,100.8,100.8,96.8,98.55,225600
2025-08-21,99,100.55,95.1,95.55,90000
2025-08-22,96.25,109,96.25,102.1,238800
2025-08-25,104.5,108,102.2,103.6,88800
2025-08-26,103.6,103.6,98.5,99.15,49200
2025-08-28,99.15,106.9,99.15,103.3,73200
2025-08-29,103,103.4,100.05,101.7,31200
2025-09-01,100.1,103.75,99.1,100.4,51600
2025-09-02,100.5,102.45,98,99.35,55200
2025-09-03,99.2,99.45,93.5,94.95,279600
2025-09-04,96,97,92,93.45,85200
2025-09-05,92.55,96,92.1,95.3,85200
2025-09-08,97.95,97.95,93,93.65,49200
2025-09-09,93.65,95.2,91.25,92.15,88800
2025-09-10,92.25,94.75,92.15,92.6,36000
2025-09-11,92,93.3,88,88.65,133200
2025-09-12,89,89,84.6,85.15,198000
2025-09-15,85.15,89.1,83,85.6,92400
2025-09-16,86,86.5,81.5,81.75,91200
2025-09-17,81.95,98.1,80.75,98.1,538800
2025-09-18,103,103,93.1,96.95,309600
2025-09-19,99.9,99.9,95.55,96.05,44400
2025-09-22,96,96,92,92.95,42000
2025-09-23,92.9,94.9,91,94.35,31200
2025-09-24,94.9,104.8,94,96.3,234000
2025-09-25,97.3,104,95.6,97.6,80400
2025-09-26,94.3,97.75,90,91.2,70800
2025-09-29,91.25,98,91.25,93.65,25200
2025-09-30,94.55,96.8,92,96.8,21600
2025-10-01,92.2,95.5,92.2,93.3,13200
2025-10-03,94,94.95,91.1,93.75,28800
2025-10-06,94.95,95,91,93,9600
2025-10-07,91.2,94,91,94,24000
2025-10-08,94,94,90.7,91.1,22800
2025-10-09,91.5,91.5,89.25,90.2,20400
2025-10-10,90.8,92,89.55,89.6,20400
2025-10-13,89.6,90.45,88,88.25,20400
2025-10-14,88.25,88.95,86.3,86.35,30000
2025-10-15,90.95,95,90,91.25,28800
2025-10-16,91,92.6,88.1,88.5,26400
2025-10-17,89.95,90,87,87,31200
2025-10-20,89,93,89,91.6,28800
2025-10-21,91.6,93.95,91.6,92.75,9600
2025-10-23,96.45,96.45,89,91.05,28800
2025-10-24,93.95,93.95,88.75,89.3,16800
2025-10-27,90,93,90,91.7,19200
2025-10-28,89,93.2,88.2,92.7,48000
2025-10-29,94,94,89.3,90.05,43200
2025-10-30,89.35,91.2,89.3,90.95,8400
2025-10-31,88.55,90,86.3,87.25,44400
2025-11-03,88.1,88.6,88.1,88.6,8400
2025-11-04,88.75,88.75,85.05,85.45,36000
2025-11-06,86.3,86.7,83,83.5,51600
2025-11-07,81.3,87,81.3,84.9,38400
2025-11-10,86,88,85.5,86.4,26400
2025-11-11,84,84.8,76.1,77.3,253200
2025-11-12,79.3,79.3,69.1,71.7,267600
2025-11-13,72.95,73,69.5,70.2,98400
2025-11-14,71,77.8,71,74.15,105600
2025-11-17,74.85,74.9,74,74.15,19200
2025-11-18,73.85,75,72.05,72.5,27600
2025-11-19,73,74.9,72.25,74.3,26400
2025-11-20,74.3,74.3,72,72.1,30000
2025-11-21,73.95,73.95,70,71.3,27600
2025-11-24,70.3,72,67.65,68.2,55200
2025-11-25,68.2,70,68,69.3,15600
2025-11-26,69.85,72.7,68.55,70.6,34800
2025-11-27,73.4,80.55,72.5,78.2,207600
2025-11-28,79,81.9,75.3,76.3,57600
2025-12-01,77.25,77.25,72.55,74.35,14400
2025-12-02,74,74,72.1,73,9600
2025-12-03,73,73,72,72,8400
2025-12-04,71,73.5,71,72.3,8400
2025-12-05,72.3,74.5,72.3,72.35,15600
2025-12-08,70,71.4,70,70,31200
2025-12-09,69,70,67.4,67.7,8400
2025-12-10,68.05,71.45,68.05,69.2,12000
2025-12-11,68.05,71.5,68,71.25,15600
2025-12-12,71.25,71.25,68,68.35,20400
2025-12-15,68.35,68.75,65.1,67.05,39600
2025-12-16,67.4,68,66.2,66.5,16800
2025-12-17,64.6,67.95,64,66.65,15600
2025-12-18,65.05,66.5,65.05,66.05,19200
2025-12-19,63.45,64.9,62.2,63.65,67200
2025-12-22,64.05,64.1,62.55,63.6,27600
