Date,Open,High,Low,Close,Volume
2018-06-27,244.2,244.2,231.99,231.99,28655
2018-06-28,220.42,220.42,220.42,220.42,1780
2018-06-29,209.41,209.41,209.41,209.41,101313
2018-07-02,198.95,198.95,198.95,198.95,696
2018-07-03,189.05,189.05,189.05,189.05,834
2018-07-04,179.6,179.6,179.6,179.6,1894
2018-07-05,170.66,170.66,170.66,170.66,1875
2018-07-06,162.14,162.14,162.14,162.14,3198
2018-07-09,154.07,154.07,154.07,154.07,8281
2018-07-10,146.38,161.77,146.38,152.97,574528
2018-07-11,146.89,150.16,137.67,137.67,393685
2018-07-12,130.21,133.53,123.94,125.88,704888
2018-07-13,126.48,138.46,126.48,138.46,570800
2018-07-16,142.83,152.28,142.83,152.28,494446
2018-07-17,156.19,158.5,142,156.24,251155
2018-07-18,155.73,165.59,153.61,157.35,161900
2018-07-19,156.66,162.18,152.97,156.38,179532
2018-07-20,156.66,159.42,153.89,154.49,106738
2018-07-23,150.2,158.27,147.44,154.86,37910
2018-07-24,151.22,156.89,151.22,153.11,38636
2018-07-25,151.13,155.73,137.81,146.89,46386
2018-07-26,144.03,155.46,144.03,153.66,60215
2018-07-27,154.81,159.19,149.56,154.12,71244
2018-07-30,152.05,163.11,152.05,161.12,67290
2018-07-31,165.87,167.16,161.35,163.29,51408
2018-08-01,162.41,179.6,162.41,179.6,141201
2018-08-02,189.83,197.52,176.93,184.16,488572
2018-08-03,185.87,193.33,174.99,193.33,361084
2018-08-06,202.96,202.96,199.27,202.96,92267
2018-08-07,213.1,213.1,193.61,200.2,278392
2018-08-08,201.81,204.16,194.44,196.65,62660
2018-08-09,193.61,206.46,193.61,206.46,34210
2018-08-10,216.55,216.78,209.13,216.78,67086
2018-08-13,223.92,227.61,220.24,227.61,113726
2018-08-14,238.99,238.99,238.99,238.99,3473
2018-08-16,250.92,250.92,250.92,250.92,6901
2018-08-17,263.46,263.46,263.46,263.46,2893
2018-08-20,276.59,276.59,263.92,276.59,427703
2018-08-21,285.67,290.41,278.29,290.41,243057
2018-08-23,304.05,304.92,275.9,304.92,462076
2018-08-24,320.13,320.13,310.18,320.13,82847
2018-08-27,336.12,336.12,331.92,336.12,83031
2018-08-28,352.89,352.89,341.19,352.89,87979
2018-08-29,370.49,370.49,335.29,337.64,672044
2018-08-30,334.23,352.01,322.76,341.42,162787
2018-08-31,324.37,343.63,324.37,324.41,229410
2018-09-03,311.05,324.41,311.05,322.39,114834
2018-09-04,322.48,332.62,313.45,319.21,69077
2018-09-05,319.81,320.96,303.27,304.88,94770
2018-09-06,304.28,310.55,292.71,296.72,61032
2018-09-07,288.06,311.56,282.99,311.56,422291
2018-09-10,327.04,327.13,295.99,297.28,260330
2018-09-11,282.44,290.27,282.44,282.44,227416
2018-09-12,276.45,296.54,270.64,296.54,136090
2018-09-14,302.25,303.63,282.21,297.74,89396
2018-09-17,293.96,297.55,282.85,289.44,63214
2018-09-18,289.35,293.41,274.98,275.76,51070
2018-09-19,279.26,289.54,261.98,276.31,582555
2018-09-21,279.58,285.48,262.54,262.95,184047
2018-09-24,267.24,267.24,249.82,250,88179
2018-09-25,249.82,256.18,237.52,241.89,78442
2018-09-26,244.43,253.97,241.94,253.97,41892
2018-09-27,258.02,266.64,254.33,264.47,70782
