Date,Open,High,Low,Close,Volume
2018-06-14,9.25,9.38,9.19,9.24,1068000
2018-06-15,9.13,9.25,9.06,9.2,123000
2018-06-18,9.3,9.3,9.11,9.15,195000
2018-06-19,9.5,9.5,9.09,9.31,33000
2018-06-20,9.2,9.25,9.1,9.25,78000
2018-06-21,9.25,9.25,9.23,9.24,36000
2018-06-22,9.25,9.25,9.19,9.19,48000
2018-06-26,9.08,9.2,9.08,9.2,9000
2018-06-27,9.24,9.25,9.13,9.16,27000
2018-06-28,9.25,9.38,9.2,9.24,24000
2018-06-29,9.19,9.19,9.13,9.13,15000
2018-07-03,9.13,9.19,9.13,9.19,6000
2018-07-04,9.05,9.05,9.04,9.05,12000
2018-07-05,9.13,9.21,9.1,9.21,15000
2018-07-06,9.05,9.2,9.05,9.16,9000
2018-07-09,9.33,9.5,9.23,9.23,12000
2018-07-10,9.25,9.25,9.23,9.23,15000
2018-07-11,9.28,9.28,9.28,9.28,3000
2018-07-12,9.23,9.23,9.23,9.23,3000
2018-07-13,9.23,9.23,9.2,9.2,6000
2018-07-16,9.28,9.28,9.23,9.23,15000
2018-07-18,9.23,9.25,9.23,9.25,21000
2018-07-19,9.25,9.3,9.23,9.28,45000
2018-07-20,9.25,9.28,9.23,9.28,9000
2018-07-23,9.23,9.23,9.23,9.23,3000
2018-07-24,9.23,9.38,9.2,9.25,12000
2018-07-25,9.23,9.23,9.23,9.23,3000
2018-07-26,9.23,9.23,9.23,9.23,3000
2018-07-30,9.23,9.23,9.23,9.23,3000
2018-07-31,9.23,9.25,9.18,9.25,15000
2018-08-01,9.23,9.28,9.2,9.2,15000
2018-08-02,9.23,9.23,9.2,9.2,6000
2018-08-03,9.28,9.3,9.18,9.3,15000
2018-08-06,9.31,9.31,9.23,9.23,6000
2018-08-07,9.3,9.3,9.3,9.3,3000
2018-08-08,9.23,9.38,9.23,9.38,9000
2018-08-09,9.45,9.5,9.44,9.5,162000
2018-08-10,9.5,9.5,9.5,9.5,15000
2018-08-13,9.5,9.5,9.23,9.31,24000
2018-08-14,9.44,9.44,9.44,9.44,15000
2018-08-16,9.44,9.44,9.44,9.44,21000
2018-08-17,9.44,9.44,9.44,9.44,21000
2018-08-20,9.44,9.44,9.44,9.44,21000
2018-08-21,9.44,9.44,9.44,9.44,42000
2018-08-23,9.38,9.38,9.23,9.38,45000
2018-08-24,9.38,9.38,9.38,9.38,45000
2018-08-27,9.44,9.44,9.38,9.38,24000
2018-08-28,9.38,9.38,9.38,9.38,21000
2018-08-29,9.44,9.44,9.43,9.44,42000
2018-08-30,9.44,9.44,9.38,9.44,42000
2018-08-31,9.44,9.44,9.23,9.24,42000
2018-09-04,9.23,9.23,9.2,9.2,6000
2018-09-05,9.2,9.2,9.03,9.18,27000
2018-09-06,9.23,9.5,9.2,9.34,18000
2018-09-10,9.23,9.38,9.18,9.19,27000
2018-09-11,9.23,9.23,9.13,9.18,15000
2018-09-12,9.44,9.44,9.23,9.23,6000
2018-09-14,9.25,9.25,9.25,9.25,3000
2018-09-18,9.23,9.23,9.23,9.23,3000
2018-09-19,9.23,9.59,9.23,9.53,12000
2018-09-21,9.56,9.56,9.56,9.56,3000
2018-09-24,9.63,9.63,9.56,9.56,9000
2018-09-25,9.23,9.5,9.23,9.5,6000
2018-09-27,9.23,9.23,9.23,9.23,3000
2018-10-01,9.5,9.5,9.5,9.5,3000
2018-10-03,9.63,9.63,9.63,9.63,3000
2018-10-05,9.23,9.23,9.23,9.23,3000
2018-10-08,9.23,9.23,9.15,9.15,12000
2018-10-09,9.23,9.38,9.23,9.38,6000
2018-10-10,9.5,9.5,9.5,9.5,3000
2018-10-12,9.56,9.56,9.23,9.23,6000
2018-10-16,9.29,9.29,9.29,9.29,3000
2018-10-17,9.23,9.48,9.2,9.38,30000
2018-10-22,9.44,9.5,9.44,9.5,9000
2018-10-23,9.23,9.23,9.23,9.23,3000
2018-10-25,9.23,9.23,9.23,9.23,3000
2018-10-26,9.43,9.44,9.43,9.44,6000
2018-10-30,9.5,9.56,9.5,9.56,6000
2018-11-02,10.13,10.38,9.6,9.6,9000
2018-11-05,9.23,9.23,9.23,9.23,3000
2018-11-12,9.6,9.6,9.6,9.6,3000
2018-11-13,9.23,9.23,9.23,9.23,3000
2018-11-14,9.23,9.23,9.23,9.23,3000
2018-11-15,9.23,9.23,9.23,9.23,3000
2018-11-16,9.23,9.23,9.2,9.2,9000
2018-11-20,9.5,9.5,9.23,9.5,33000
2018-11-21,9.5,9.5,9.5,9.5,30000
2018-11-22,9.5,9.5,9.5,9.5,30000
2018-11-28,9.5,9.5,9.38,9.38,24000
2018-11-29,9.38,9.38,9.38,9.38,36000
2018-11-30,9.38,9.38,9.38,9.38,15000
2018-12-03,9.23,9.38,9.23,9.38,21000
2018-12-04,9.38,9.38,9.38,9.38,6000
2018-12-06,9.38,9.38,9.38,9.38,15000
2018-12-07,9.38,9.38,9.38,9.38,6000
2018-12-10,9.38,9.38,9.38,9.38,132000
2018-12-12,9.56,9.56,9.56,9.56,3000
2018-12-13,9.23,9.56,9.23,9.56,9000
2018-12-14,9.63,9.63,9.63,9.63,3000
2018-12-17,9.44,9.44,9.44,9.44,9000
2018-12-18,9.44,9.44,9.44,9.44,9000
2018-12-20,9.69,9.69,9.69,9.69,3000
2018-12-24,9.75,9.75,9.75,9.75,3000
2018-12-27,9.68,9.68,9.45,9.45,42000
2018-12-31,9.56,9.56,9.56,9.56,3000
2019-01-01,9.56,9.56,9.56,9.56,3000
2019-01-10,9.94,9.94,9.94,9.94,3000
2019-01-11,10.23,10.23,9.81,9.81,6000
2019-01-22,9.69,9.69,9.69,9.69,3000
2019-01-25,9.44,9.44,9.44,9.44,9000
2019-02-04,10.23,10.23,10.23,10.23,3000
2019-02-12,9.23,9.23,9.23,9.23,3000
2019-02-13,9.69,9.69,9.69,9.69,3000
2019-02-21,9.94,9.94,9.94,9.94,3000
2019-02-27,9.73,9.73,9.73,9.73,3000
2019-03-05,9.35,9.35,9.35,9.35,3000
2019-03-22,9.25,9.25,9.23,9.23,6000
2019-03-27,9.28,9.28,9.28,9.28,15000
2019-03-28,9.28,9.28,9.25,9.28,78000
2019-03-29,9.3,9.3,9.3,9.3,42000
2019-04-10,9.23,9.23,9.23,9.23,3000
2019-04-15,9.23,9.23,9.23,9.23,3000
2019-04-22,9.31,9.31,9.31,9.31,6000
2019-04-25,9.35,9.35,9.35,9.35,27000
2019-04-30,9.4,9.4,9.4,9.4,3000
2019-05-03,9.63,9.63,9.63,9.63,3000
2019-05-06,10,10,10,10,3000
2019-05-07,10.25,10.49,9.96,10.38,12000
2019-05-09,10.4,10.4,10.4,10.4,3000
2019-05-13,10.06,10.06,10.06,10.06,3000
2019-05-15,10.19,10.19,10.19,10.19,3000
2019-05-21,10,10,10,10,9000
2019-05-23,9.94,9.94,9.94,9.94,3000
2019-05-24,10,10,10,10,3000
2019-05-31,10.13,10.13,10.13,10.13,3000
2019-06-19,9.94,9.94,9.94,9.94,3000
2019-06-20,9.94,9.94,9.94,9.94,3000
2019-07-18,10.35,10.35,10.35,10.35,6000
2019-07-19,10.13,10.13,9.5,9.5,6000
2019-07-23,9.5,9.5,9.5,9.5,3000
2019-07-24,9.88,9.88,9.88,9.88,3000
2019-08-02,9.5,9.5,9.5,9.5,3000
2019-08-06,9.5,9.5,9.5,9.5,3000
2019-08-27,9.63,9.63,9.63,9.63,3000
2019-09-05,9.5,9.5,9.5,9.5,6000
2019-09-06,9.28,9.28,9.28,9.28,3000
2019-09-09,9.63,9.63,9.38,9.43,12000
2019-09-12,9.38,9.38,9.38,9.38,3000
2019-09-13,9.5,9.5,9.5,9.5,3000
2019-09-16,9.5,9.5,9.38,9.38,6000
2019-09-18,9.38,9.38,9.38,9.38,3000
2019-09-19,9.38,9.38,9.38,9.38,3000
2019-09-20,9.63,9.63,9.63,9.63,3000
2019-09-23,9.38,9.38,9.38,9.38,3000
2019-09-24,9.38,9.38,9.38,9.38,3000
2019-09-25,9.63,9.63,9.63,9.63,27000
2019-09-26,9.75,9.95,9.75,9.95,27000
2019-09-27,9.38,9.38,9.38,9.38,27000
2019-09-30,9.38,9.38,9.38,9.38,15000
2019-10-01,9.25,9.98,9.25,9.7,48000
2019-10-15,9.5,9.5,9.5,9.5,12000
2019-10-17,9.63,9.63,9.63,9.63,12000
2019-10-27,9.65,9.65,9.65,9.65,15000
2019-10-29,9.5,9.5,9.5,9.5,9000
2019-10-30,9.5,9.5,9.5,9.5,9000
2019-10-31,9.5,9.5,9.5,9.5,9000
2019-11-05,9.5,9.5,9.5,9.5,12000
2019-11-21,9.5,9.5,9.5,9.5,12000
2019-11-25,9.53,9.53,9.53,9.53,18000
2019-11-27,9.56,9.56,9.56,9.56,15000
2019-12-03,9.53,9.53,9.53,9.53,9000
2019-12-04,9.53,9.53,9.53,9.53,30000
2019-12-11,9.55,9.55,9.55,9.55,45000
2019-12-20,9.58,9.58,9.58,9.58,30000
2019-12-27,9.58,9.6,9.58,9.6,21000
2019-12-30,9.63,9.63,9.63,9.63,27000
2020-01-07,9.65,9.65,9.65,9.65,60000
2020-01-13,9.38,9.38,9.38,9.38,12000
2020-01-14,9.38,9.38,9.38,9.38,12000
2020-01-16,9.25,9.25,9.25,9.25,48000
2020-01-23,9.38,9.38,9.38,9.38,60000
2020-01-28,9.43,9.43,9.43,9.43,30000
2020-01-29,9.45,9.45,9.45,9.45,30000
2020-02-05,9.5,9.5,9.5,9.5,15000
2020-02-11,9.44,9.5,9.44,9.44,51000
2020-02-13,9.44,9.44,9.44,9.44,75000
2020-02-20,9.5,9.5,9.5,9.5,9000
2020-02-24,9.56,9.56,9.56,9.56,9000
2020-02-25,9.63,9.63,9.63,9.63,6000
2020-02-26,9.38,9.38,9.38,9.38,27000
2020-02-27,9.4,9.4,9.4,9.4,30000
2020-03-11,9.63,9.63,9.63,9.63,6000
2020-03-25,7.7,9.63,7.7,9.63,9000
2020-03-26,9.13,9.69,9.13,9.69,6000
2020-05-27,9.38,9.38,9.38,9.38,3000
2020-06-01,9.88,9.88,9.88,9.88,3000
2020-06-05,9.5,9.5,9.5,9.5,30000
2020-06-17,9.56,9.56,9.56,9.56,15000
2020-06-23,9.63,9.69,9.61,9.69,15000
2020-06-29,9.75,9.75,9.75,9.75,60000
2020-07-01,9.81,9.94,9.81,9.9,18000
2020-07-02,9.81,9.85,9.75,9.75,12000
2020-07-03,9.85,9.9,9.81,9.81,36000
2020-07-06,9.81,9.81,9.75,9.78,21000
2020-07-07,9.88,9.93,9.88,9.93,30000
2020-07-08,9.94,9.99,9.81,9.99,39000
2020-07-09,10,10,10,10,30000
2020-07-10,10,10.04,10,10.04,33000
2020-07-13,10.08,10.08,10.08,10.08,45000
2020-07-14,10.13,10.75,10.13,10.5,66000
2020-07-15,10.38,10.38,10.38,10.38,45000
2020-07-16,11.25,11.25,11.25,11.25,3000
2020-07-20,10.65,11.48,10.5,11.48,84000
2020-07-27,11.5,11.5,11.5,11.5,6000
2020-07-28,11.5,11.5,11.5,11.5,3000
2020-07-29,11.63,11.63,11.56,11.63,9000
2020-07-30,11.63,11.63,11.63,11.63,3000
2020-07-31,11.63,11.63,11.63,11.63,3000
2020-08-05,11.75,11.88,11.75,11.88,6000
2020-08-11,12.13,12.13,12.13,12.13,3000
2020-08-17,12.13,12.13,12.13,12.13,12000
2020-08-18,12.13,12.13,12.13,12.13,9000
2020-08-21,12.25,12.25,12.25,12.25,3000
2020-08-24,12.38,12.38,12.38,12.38,3000
2020-08-26,13.5,13.5,13.5,13.5,12000
2020-08-28,14,14,14,14,6000
2020-08-31,14.31,14.56,14.31,14.56,9000
2020-09-03,14.75,15.25,14.75,15.25,18000
2020-09-04,15.25,15.25,15,15,6000
2020-09-07,14.88,15.25,14.88,15.25,27000
2020-09-09,15,15,15,15,3000
2020-09-10,14.98,14.98,14.98,14.98,3000
2020-09-14,15,15.25,15,15,69000
2020-09-15,15.25,15.25,15.25,15.25,45000
2020-09-30,15.38,15.5,15.38,15.5,30000
2020-10-07,15.69,15.81,15.69,15.81,24000
2020-10-09,14.88,15.75,14.88,15.75,15000
2020-10-23,15.75,15.75,14.88,14.88,9000
2020-10-26,15,15.25,15,15.25,18000
2020-10-27,15.25,15.25,15.25,15.25,3000
2020-10-29,15.13,15.13,15.13,15.13,3000
2020-11-03,15.23,15.23,15.23,15.23,6000
2020-11-05,15.38,15.38,15.38,15.38,12000
2020-11-06,15.5,15.5,15.23,15.23,12000
2020-11-09,15,15.13,15,15.13,9000
2020-11-14,15.3,15.3,15.3,15.3,27000
2020-11-17,15.41,15.41,15.41,15.41,18000
2020-11-18,14.98,14.98,14.98,14.98,3000
2020-12-02,15.08,15.08,15.08,15.08,6000
2020-12-03,15.3,15.3,15.3,15.3,12000
2020-12-08,15,15,15,15,6000
2020-12-10,15.19,15.19,15.19,15.19,24000
2020-12-15,15.3,15.3,15.3,15.3,18000
2020-12-22,15.25,15.25,15.25,15.25,36000
2020-12-23,15.48,15.5,15.48,15.5,39000
2020-12-28,15.63,15.63,15.63,15.63,24000
2020-12-31,15.75,15.75,15.75,15.75,36000
2021-01-05,14.88,14.88,14.63,14.63,6000
2021-01-18,15.25,15.43,15.25,15.43,6000
2021-01-19,15.75,15.75,15.75,15.75,30000
2021-01-20,16.25,16.25,15.25,15.25,81000
2021-01-21,15.75,15.75,15.75,15.75,33000
2021-02-08,13.5,13.5,13.5,13.5,3000
2021-02-23,13.75,15.49,11.3,14,18000
2021-02-24,14.25,14.31,14.25,14.31,9000
2021-02-25,14.34,14.4,14.34,14.4,9000
2021-02-26,14.36,14.36,14.25,14.29,9000
2021-03-01,14.31,14.55,14.31,14.55,9000
2021-03-02,14.56,14.59,14.56,14.59,9000
2021-03-03,14.38,14.39,14.35,14.38,12000
