Date,Open,High,Low,Close,Volume
2019-08-19,784.57,823.56,657.23,806.25,4632064
2019-08-20,798.83,813.52,789.27,798.69,256858
2019-08-21,803.35,803.35,774.3,787.04,105935
2019-08-22,787.42,788.8,762.69,773.92,110132
2019-08-23,775.15,784.52,766.69,776.82,23465
2019-08-26,796.64,796.64,777.91,784.47,18967
2019-08-27,784.57,827.36,784.57,804.97,67704
2019-08-28,808.34,888.99,808.29,836.06,205637
2019-08-29,836.87,853.04,819.99,847.33,42449
2019-08-30,847.33,865.4,836.97,846.05,137067
2019-09-03,846.1,882.52,817.9,858.08,56835
2019-09-04,869.97,884.42,855.99,875.96,57691
2019-09-05,871.06,883.47,860.65,869.68,29421
2019-09-06,870.11,902.11,856.98,873.96,230800
2019-09-09,879.29,879.29,840.68,845.91,97968
2019-09-11,846.38,854.04,830.21,836.73,108474
2019-09-12,836.92,850.38,830.45,839.01,35802
2019-09-13,835.78,847.19,830.21,832.26,14204
2019-09-16,831.17,833.07,803.73,811.86,31831
2019-09-17,799.83,841.63,799.83,809.48,56138
2019-09-18,808.34,822.04,803.73,808.86,25184
2019-09-19,799.83,817.85,799.83,806.92,24407
2019-09-20,815.9,839.82,802.73,817.38,85267
2019-09-23,825.55,893.93,824.46,859.03,27438
2019-09-24,874.91,889.18,862.74,869.01,36856
2019-09-25,872.39,949.85,850.23,862.02,84469
2019-09-26,851.14,903.44,851.14,888.46,50959
2019-09-27,897.54,904.39,882.52,888.22,113749
2019-09-30,890.13,893.93,873.77,888.08,46532
2019-10-01,876.91,888.08,846.38,854.8,29363
2019-10-03,855.89,878.67,824.13,849.71,25545
2019-10-04,854.8,893.79,849.76,874.25,47780
2019-10-07,877.76,897.59,864.55,891.22,33399
2019-10-09,898.45,926.26,867.78,918.13,108162
2019-10-10,925.31,974.62,919.7,955.03,94695
2019-10-11,970.96,1030.45,929.21,1010.24,96994
2019-10-14,1018.8,1073.57,1018.8,1036.29,169869
2019-10-15,1044.04,1049.89,1018.7,1035.2,96284
2019-10-16,1044.09,1083.18,1036.58,1051.27,54475
2019-10-17,1046.09,1069.86,1024.22,1035.3,103893
2019-10-18,1043.24,1050.84,1019.56,1034.34,46428
2019-10-22,1037.2,1044.09,1017.56,1020.36,90992
2019-10-23,1017.56,1056.55,1014.75,1025.6,73089
2019-10-24,1044.14,1052.32,1027.07,1036.72,59563
2019-10-25,1043.24,1046.09,1017.75,1021.17,102284
2019-10-27,1035.25,1090.31,1035.25,1065.68,31221
2019-10-29,1069.67,1073.57,990.93,1008,97176
2019-10-30,1022.31,1056.55,1015.61,1036.67,65396
2019-10-31,1036.58,1064.59,989.08,1023.41,70660
2019-11-01,1065.11,1160.21,1047.04,1057.83,268264
2019-11-04,1093.64,1110.47,1056.74,1082.56,110402
2019-11-05,1090.79,1131.44,1084.98,1104.62,121048
2019-11-06,1114.56,1202.05,1102.48,1180.13,145556
2019-11-07,1198.25,1279.08,1198.25,1248.7,203401
2019-11-08,1260.06,1328.53,1227.3,1269.76,188137
2019-11-11,1283.84,1325.54,1262.91,1293.63,110250
2019-11-13,1302.86,1302.86,1245.8,1263.01,69602
2019-11-14,1273.95,1277.18,1209.37,1232.67,91199
2019-11-15,1240.57,1264.82,1227.73,1243.56,48593
2019-11-18,1252.45,1255.31,1222.55,1232.34,46902
2019-11-19,1236.19,1236.19,1200.48,1210.09,62550
