Date,Open,High,Low,Close,Volume
2025-12-08,60,60,57,57,1956000
2025-12-09,55.5,56,54.15,55.8,120000
2025-12-10,56,56.95,54,54,90000
2025-12-11,55,56.7,54,56.65,108000
2025-12-12,59.3,59.3,54.7,57.4,32000
2025-12-15,54.6,57,54.6,55.2,48000
2025-12-16,56.45,57.65,56.45,57.65,18000
2025-12-17,55,56.5,55,56.5,12000
2025-12-18,54.1,56,54.1,56,6000
2025-12-19,54.1,55.7,53.4,55.6,22000
2025-12-22,54,54,54,54,2000
2025-12-23,54.7,56.45,48.05,55,38000
2025-12-24,57.15,57.15,55,55.9,56000
2025-12-26,54.1,54.1,54,54.05,4000
2025-12-29,55.5,55.5,54,54,8000
2026-01-01,46.55,51.8,46.55,51.8,44000
2026-01-02,51.8,51.8,50.55,50.55,6000
2026-01-05,51.05,54.75,51,54.25,12000
2026-01-06,53,57,53,56.1,294000
2026-01-07,56.5,56.5,55.25,56.25,22000
2026-01-08,56.25,56.25,55,55,6000
2026-01-09,54.5,54.5,54.5,54.5,2000
2026-01-12,54,54,53,53.4,8000
2026-01-14,55,55,54,54,4000
2026-01-16,53,53,52,52,6000
2026-01-19,52,52,52,52,2000
2026-01-23,51.5,51.5,51.5,51.5,2000
2026-01-29,51.5,51.5,51.5,51.5,2000
2026-01-30,50,50,49.5,49.85,8000
2026-02-01,50.8,50.8,50.8,50.8,2000
2026-02-02,52.45,52.45,52.45,52.45,2000
2026-02-03,57,57,52,56,36000
2026-02-04,56,56.5,52.35,54.15,20000
2026-02-05,56.9,57.3,55.8,55.8,12000
2026-02-06,55.8,55.8,55.8,55.8,4000
2026-02-10,56,56,56,56,4000
2026-02-11,53.4,53.4,53.3,53.3,4000
2026-02-13,0,0,0,53.3,0
