Date,Open,High,Low,Close,Volume
2018-10-03,64.5,65.85,64.5,65.4,898000
2018-10-04,64.95,65.35,64.95,65,796000
2018-10-05,65.5,65.5,64,64,282000
2018-10-08,63,65.1,63,65.1,78000
2018-10-09,65,65,65,65,6000
2018-10-10,65,65,65,65,6000
2018-10-11,62,62,62,62,2000
2018-10-16,62,62,61.5,61.5,6000
2018-10-22,61,61,61,61,2000
2018-11-09,60,60,60,60,2000
2018-11-12,60,60,60,60,2000
2018-11-16,60,60,60,60,2000
2018-11-19,60,60,60,60,2000
2018-11-20,60,60,60,60,2000
2018-11-22,60,60,60,60,2000
2018-12-05,60,60,60,60,2000
2018-12-20,60,60,60,60,2000
2018-12-27,60,60,60,60,2000
2018-12-31,69,69,69,69,2000
2019-02-26,60,60,60,60,2000
2019-03-20,59,59,59,59,2000
2019-04-02,63.5,63.5,63.5,63.5,2000
2019-04-23,58,58,58,58,2000
2019-04-30,56.4,56.4,56.4,56.4,2000
2019-05-06,54.05,58.95,54.05,56.4,6000
2019-06-03,59,59,59,59,2000
2019-06-10,57,57,57,57,2000
2019-06-21,55,55,55,55,2000
2019-09-17,53,53,53,53,2000
2019-09-26,55,55,55,55,2000
2019-10-25,58,58,58,58,2000
2019-10-30,57.5,57.5,57.5,57.5,2000
2020-03-11,55,55,55,55,2000
2020-03-18,53,53,53,53,2000
2020-07-27,50,50,50,50,2000
2020-08-05,50.9,50.9,50.9,50.9,2000
2020-08-06,51,54,51,52,6000
2020-08-07,58.5,58.5,58.5,58.5,2000
2020-08-10,63,63,63,63,2000
2020-08-12,65,66,65,66,220000
2020-08-13,66,66,66,66,68000
2020-08-14,66,66,66,66,36000
2020-08-20,69,69,69,69,2000
2020-08-24,66,66,66,66,2000
2020-08-31,63,63,63,63,2000
2020-09-03,60,60,60,60,2000
2020-09-14,57,57,57,57,2000
2020-09-21,60,60,60,60,2000
2020-09-23,62,66,62,66,40000
2020-10-01,68,68,68,68,2000
2020-11-17,65,65,65,65,2000
2021-01-04,60,60,60,60,2000
2021-01-13,60,60,60,60,2000
2021-01-15,60,60,60,60,38000
2021-01-29,60,60,60,60,2000
2021-02-18,58,58,58,58,2000
2021-03-05,58,58,58,58,2000
2021-03-25,57,57,57,57,2000
2021-04-19,45.6,56,45.6,56,4000
2021-04-29,59,59,59,59,2000
2021-05-03,57.5,57.5,57.5,57.5,2000
2021-05-19,58,58,58,58,172000
2021-05-26,60,60,60,60,2000
2021-05-28,58.5,58.5,58.5,58.5,2000
2021-06-01,56,56,56,56,2000
2021-06-02,54.5,54.5,54.5,54.5,2000
2021-06-10,53,53,53,53,2000
2021-06-11,51.5,51.5,51.5,51.5,2000
2021-06-18,51,51,51,51,20000
2021-06-22,50.5,50.5,50.5,50.5,60000
2021-06-30,55,55,55,55,2000
2021-07-05,57,57,53,53.25,10000
2021-07-06,55,55,51,51,6000
2021-07-07,55,55,51.05,51.25,6000
2021-07-08,51.25,51.25,51.25,51.25,4000
2021-07-26,48.5,48.5,48.5,48.5,2000
2021-07-30,48.5,48.5,48.5,48.5,2000
2021-08-03,52,52,52,52,2000
2021-08-05,52,52,52,52,2000
2021-08-16,55,55,55,55,2000
2021-08-18,55,55,55,55,2000
2021-08-23,52.2,55,52.2,55,4000
2021-09-02,53.5,53.5,53.5,53.5,2000
2021-09-06,57,57,57,57,2000
2021-09-23,56,56,56,56,2000
2021-09-24,56.5,56.5,56.5,56.5,4000
2021-09-27,52.5,52.5,52.5,52.5,2000
2021-09-28,57,57,54.2,54.2,8000
2021-09-29,50,50.2,50,50.05,142000
2021-09-30,50.25,50.25,50.25,50.25,50000
2021-10-01,51,55,51,55,4000
2021-10-05,50.25,50.25,50.25,50.25,60000
2021-10-14,50.25,50.25,50.25,50.25,2000
2021-10-26,60,60,60,60,4000
2021-10-27,60,60,60,60,2000
2021-11-22,51.05,51.05,51.05,51.05,2000
2021-11-30,51.5,51.5,51.5,51.5,76000
2021-12-01,51.6,51.6,51.6,51.6,76000
2021-12-03,51.05,51.05,51.05,51.05,2000
2021-12-06,51,51,51,51,2000
2022-01-03,53.5,53.5,53.1,53.1,198000
2022-02-02,60,60,60,60,2000
2022-02-03,72,72,72,72,2000
2022-02-04,85,85,85,85,2000
2022-02-07,93.5,93.5,79,92,10000
2022-02-08,101.2,101.2,101,101.2,14000
2022-02-09,111.3,111.3,111.3,111.3,4000
2022-02-10,116,116.85,109,116.85,14000
2022-02-11,122.65,122.65,122.65,122.65,2000
2022-02-14,116.55,116.55,116.55,116.55,2000
2022-02-22,111,111,111,111,2000
2022-02-23,105.45,105.45,105.45,105.45,2000
2022-02-24,100.2,100.2,100.2,100.2,2000
2022-02-25,95.5,95.5,95.5,95.5,2000
2022-03-02,90.75,90.75,90.75,90.75,2000
2022-03-03,87,87,87,87,2000
2022-03-04,87,91.35,87,89.15,4000
2022-03-25,93.5,93.5,93.5,93.5,2000
2022-04-01,98.15,98.15,98.15,98.15,2000
2022-04-07,103,103,103,103,2000
2022-04-08,98,98,98,98,2000
2022-04-18,98,98,98,98,6000
2022-04-22,102.9,102.9,102.9,102.9,32000
2022-04-26,97.8,98.5,97.8,98,26000
2022-05-11,93.5,94,93.5,94,4000
2022-05-12,93.5,93.5,89.3,91.4,4000
2022-05-13,86.85,86.85,86.85,86.85,2000
2022-05-16,82.55,82.55,82.55,82.55,2000
2022-05-17,78.45,78.45,78.45,78.45,8000
2022-05-18,74.6,74.6,74.6,74.6,2000
2022-05-19,70.9,70.9,70.9,70.9,2000
2022-05-20,67.75,67.75,67.75,67.75,2000
2022-05-30,66,66,66,66,2000
2022-05-31,66,66,66,66,2000
2022-06-01,62.7,62.7,62.7,62.7,2000
2022-06-02,59.9,59.9,59.9,59.9,2000
2022-06-06,58,58,58,58,4000
2022-08-08,60,60,60,60,2000
2022-08-29,62.95,62.95,62.95,62.95,2000
2022-08-30,66.05,66.05,66.05,66.05,2000
2022-09-19,62.75,62.75,62.75,62.75,2000
2022-09-20,65.85,65.85,65.85,65.85,2000
2022-11-01,69.1,69.1,69.1,69.1,2000
2022-12-01,72.55,72.55,72.55,72.55,1500000
2022-12-13,76.15,76.15,76.15,76.15,2000
2022-12-22,79.95,79.95,79.95,79.95,2000
2022-12-30,83.9,83.9,83.9,83.9,2000
2023-01-04,88.05,88.05,88.05,88.05,2000
2023-01-05,92.45,92.45,92.45,92.45,2000
2023-01-06,97.05,97.05,97.05,97.05,2000
2023-01-10,101.9,101.9,101.9,101.9,2000
2023-01-11,106.95,106.95,106.95,106.95,2000
2023-01-12,112.25,112.25,112.25,112.25,2000
2023-01-13,117.85,117.85,117.85,117.85,2000
2023-01-16,123.7,123.7,123.7,123.7,2000
2023-01-18,129.85,129.85,129.85,129.85,2000
2023-01-19,136.3,136.3,136.3,136.3,2000
2023-01-20,143.1,143.1,143.1,143.1,8000
2023-01-23,150.25,150.25,150.25,150.25,2000
2023-01-27,157.75,157.75,157.75,157.75,2000
2023-02-01,165.6,165.6,165.6,165.6,2000
2023-02-03,173.85,173.85,173.85,173.85,2000
2023-02-06,182.5,182.5,182.5,182.5,2000
2023-02-07,191.6,191.6,191.6,191.6,2000
2023-02-08,201.15,201.15,201.15,201.15,22000
2023-02-09,211.2,211.2,211.2,211.2,4000
2023-02-10,221.75,221.75,221.75,221.75,2000
2023-02-13,232.8,232.8,232.8,232.8,8000
2023-02-14,224,244.4,224,244.4,50000
2023-02-15,256.6,256.6,233,254,38000
2023-02-16,264,266.7,259.5,266.7,36000
2023-02-17,276.45,276.95,267.05,268,4000
2023-02-20,260.05,260.1,254.6,254.6,9000
2023-02-22,254,254,241.9,250,13000
2023-02-23,240,252,238,252,39000
2023-02-24,264,264.6,260,264.6,17000
2023-02-27,277,277.8,277,277.8,9000
2023-02-28,291.65,291.65,270,283,11000
2023-03-01,283,297.15,283,296.7,18000
2023-03-02,310.95,311.5,310.95,311.5,16000
2023-03-03,327.05,327.05,309,323.7,6000
2023-03-06,318.05,330,317.9,330,10000
2023-03-08,326.95,326.95,326.95,326.95,1000
2023-03-14,310.6,310.6,310.6,310.6,1000
2023-03-17,295.1,295.1,295.1,295.1,1000
2023-03-22,280.35,280.35,280.35,280.35,13000
2023-03-23,266.35,294.35,266.35,294.35,32000
2023-03-24,309.05,309.05,279.65,307.95,12000
2023-03-27,308,320,308,320,3000
2023-03-28,335,335,329.95,329.95,2000
2023-03-29,333,333,333,333,42000
2023-03-31,333,349,316.35,345,5000
2023-04-03,331,355,328,353,13000
2023-04-05,369.95,370.65,369.65,370.65,4000
2023-04-06,389,389,370.65,375,4000
2023-04-10,380,380,369,379,7000
2023-04-11,360.05,379.95,360.05,371,21000
2023-04-12,379.85,389.55,371,389.55,7000
2023-04-13,407,409,407,409,10000
2023-04-17,429.45,429.45,415,429.45,5000
2023-04-18,434,434,434,434,1000
2023-04-19,425,440,412.3,440,3000
2023-04-20,440,450,440,450,6000
2023-04-21,455,469,450.5,457.8,9000
2023-04-24,435,467,435,463,12000
2023-04-25,455,461,455,461,2000
2023-04-27,465,484.05,465,484.05,5000
2023-04-28,466,485,466,470.05,9000
2023-05-02,493.5,493.55,493.5,493.55,6000
2023-05-04,470.75,510,470.75,510,5000
2023-05-05,535.5,535.5,508,535.4,8000
2023-05-08,520,520,508.7,508.7,2000
2023-05-10,494,500,483.3,499.95,6500
2023-05-11,475.05,500,474.95,500,3000
2023-05-12,475,483,475,483,2500
2023-05-15,458.85,458.85,458.85,458.85,500
2023-05-16,440,477,435.9,476.95,39500
2023-05-17,455.05,485,455,475,6000
2023-05-18,453,493.8,453,493.8,10000
2023-05-19,509.95,510,474.95,475.05,17500
2023-05-22,474.95,496,458.05,490.15,36000
2023-05-23,505,509,499.9,507.8,6500
2023-05-24,507.8,507.8,482.5,490.35,4500
2023-05-25,505,514.85,491,514.85,8000
2023-05-26,539,539.5,512.05,515,11000
2023-05-30,536.5,540.75,527,534.4,11000
2023-06-01,514.1,522,508,516,5000
2023-06-02,510,520,501,509.5,2500
2023-06-05,509,510,509,509.5,1000
2023-06-06,510,512,510,512,1000
2023-06-08,510,510,510,510,500
2023-06-13,500,535,486,520.2,61000
2023-06-14,520.2,527,495.1,527,2000
2023-06-15,527,527,525,525,1000
2023-06-19,520,551.1,520,550.45,4500
2023-06-20,577,577.95,550,577.95,3500
2023-06-21,577.95,580,550.5,575,3000
2023-06-22,575,603.75,575,601.05,3000
2023-06-26,630,630,620,626,3500
2023-06-27,600,655,600,642.7,25000
2023-06-28,615.05,670.7,615.05,667.4,8500
2023-06-30,695,700.75,693,700.6,8000
2023-07-03,735.5,735.6,735.5,735.6,3000
2023-07-04,769,772.35,769,772.35,6000
2023-07-05,810.95,810.95,803,810.95,5000
2023-07-06,850,851.45,810,825,4000
2023-07-07,822,855.55,822,855.55,1000
2023-07-10,855.55,855.55,855.55,855.55,500
2023-07-11,813,834,812.8,822.4,5000
2023-07-12,823,863,823,860,4000
2023-07-13,820.05,879.95,817,818.55,3000
2023-07-14,793.1,793.1,793.1,793.1,500
2023-07-17,793.1,810,793.1,810,1000
2023-07-20,770,799,770,799,3500
2023-07-21,805,838.95,805,832.85,4000
2023-07-25,815,862,791.25,862,2500
2023-07-26,862,862,861.95,862,1500
2023-07-27,862,904.95,825,904.95,4500
2023-07-28,900,935,900,935,1500
2023-07-31,935,981.75,888.3,981.75,3000
2023-08-01,950,950,940.05,941,1500
2023-08-02,984.9,984.9,984.9,984.9,500
2023-08-04,981,981,981,981,500
2023-08-07,981,999,981,990,2000
2023-08-08,1010,1010,1008,1008,1000
2023-08-10,998,1008,997,1001,2000
2023-08-16,1001,1001,951,974.6,5500
2023-08-17,926.05,1000,926,981,3000
2023-08-18,1010,1010,1010,1010,1000
2023-08-21,1000,1000,1000,1000,1000
2023-08-22,999.95,999.95,950,990,1500
2023-08-23,989.95,989.95,980,980,1500
2023-08-24,935.05,989.95,935,989.95,2000
2023-08-28,945.05,945.05,940.5,940.5,1000
2023-08-31,959.95,959.95,959.95,959.95,500
2023-09-01,912.25,912.25,911.95,911.95,1500
2023-09-04,911.95,911.95,911.95,911.95,500
2023-09-05,902,951,900,930,4500
2023-09-06,925,925,925,925,500
2023-09-07,945,971.25,945,971.25,10000
2023-09-11,971,971,971,971,500
2023-09-22,989,989,989,989,500
2023-09-27,975,975,975,975,500
2023-09-29,970,1023.75,970,1000.3,7500
2023-10-03,999,1000,999,1000,1000
2023-10-04,951,951,951,951,500
2023-10-23,951,998.55,951,974.75,1000
2023-10-30,926.05,1009,926.05,1004.1,6375
2023-10-31,1050,1054.3,1020,1025.4,10500
2023-11-01,1075,1075,1066,1074.6,4250
2023-11-02,1128.3,1128.3,1060,1086.8,2625
2023-11-03,1088,1088,1032.5,1038.8,2375
2023-11-06,1038.8,1038.8,999,1023.1,3000
2023-11-07,1025,1049,999,1040.35,7250
2023-11-08,1071.95,1086.7,1071.95,1085.1,2625
2023-11-09,1081,1081,1062.65,1064,1125
2023-11-10,1053,1114,1043.9,1057.5,1375
2023-11-13,1054,1071,1054,1065,1125
2023-11-15,1031,1065,1027,1064.9,1875
2023-11-16,1035.05,1035.5,1026,1029.35,1375
2023-11-17,1055,1055,1055,1055,125
2023-11-20,1107.75,1107.75,1095.25,1095.25,1125
2023-11-21,1043,1095,1043,1090.5,1500
2023-11-22,1042,1075,1036.15,1075,1875
2023-11-23,1023,1078.8,1023,1078.8,1625
2023-11-24,1078.8,1115,1025.4,1108.65,3875
2023-11-28,1108.65,1129.9,1054,1082.9,6500
2023-11-29,1127.5,1135,1120,1131.55,4750
2023-11-30,1150,1187.95,1090,1150,2750
2023-12-01,1150,1161,1140,1160,1000
2023-12-04,1212.25,1212.25,1155,1193.95,2750
2023-12-05,1160,1160,1134.25,1139.95,3625
2023-12-06,1190,1190,1082.95,1142.05,6875
2023-12-07,1145,1150,1130,1130.5,1000
2023-12-08,1101,1157,1099,1156.4,3375
2023-12-11,1223,1251.95,1200,1246.95,7625
2023-12-12,1252,1350,1250,1286.65,7000
2023-12-13,1288.65,1329,1251,1301.15,1625
2023-12-14,1338,1431.25,1331,1416.6,7875
2023-12-15,1420,1420,1334,1339.35,750
2023-12-18,1211.05,1253.45,1211.05,1232.75,3875
2023-12-19,1289,1289,1240,1240,1125
2023-12-20,1240,1358.9,1240,1335.55,3125
2023-12-21,1202.05,1335.55,1202.05,1335.55,625
2023-12-22,1330,1360,1250,1330,1625
2023-12-26,1271.05,1324.45,1252,1324.45,1375
2023-12-27,1260.1,1304.95,1240,1284.6,4875
2023-12-28,1290,1378.9,1260,1342.6,8250
2023-12-29,1252.25,1342.75,1251.05,1341.35,1250
2024-01-01,1339.95,1470,1249.5,1390,8250
2024-01-02,1379.1,1379.1,1286,1376.9,1500
2024-01-03,1290.05,1315,1280,1315,2250
2024-01-04,1270.05,1281.2,1270,1276.75,2500
2024-01-05,1280,1299.9,1265,1295.2,1125
2024-01-08,1238,1275,1232,1275,1125
2024-01-09,1369.95,1369.95,1240,1257.1,3375
2024-01-10,1287,1287,1215,1285,2000
2024-01-11,1235,1269,1235,1235,2500
2024-01-12,1315,1315,1215,1251,2125
2024-01-15,1225,1295,1170,1259.75,18000
2024-01-16,1250,1278.95,1220,1220,7000
2024-01-17,1200,1240,1120,1174.55,9500
2024-01-18,1210,1225,1139,1200,3125
2024-01-19,1180,1229,1170,1220.85,4875
2024-01-20,1229,1278.95,1140,1151.05,11625
2024-01-23,1199,1199,1100,1175.5,4875
2024-01-24,1060.05,1189,1060.05,1187.5,875
2024-01-25,1131,1294.95,1131,1267.7,10500
2024-01-29,1290,1350,1233,1329.45,16000
2024-01-30,1346.45,1410,1290.1,1351.1,9625
2024-01-31,1425,1475,1380,1456.85,10875
2024-02-01,1470,1509,1455,1478.05,25500
2024-02-02,1335,1574.95,1335,1543.6,7000
2024-02-05,1697,1697.95,1582,1692.2,26250
2024-02-06,1740,1776.8,1701,1759,9875
2024-02-07,1741,1818,1741,1768,2500
