Date,Open,High,Low,Close,Volume
2003-09-05,5.79,5.79,5.79,5.79,384
2003-09-08,5.7,5.7,5.5,5.5,1050
2003-09-10,5.21,5.25,5,5.09,822
2003-09-11,5.42,5.5,4.96,4.96,655
2003-09-12,5.36,5.36,4.96,5,960
2003-09-15,4.74,5,4.64,5,2575
2003-09-18,5,5,5,5,500
2003-09-19,4.68,5.4,4.68,5.4,1223
2003-09-24,5.34,5.37,5.34,5.37,450
2003-09-26,5.5,5.5,5.5,5.5,200
2003-09-29,5.01,5.01,5,5,149
2003-09-30,5.2,5.3,4.82,4.82,1249
2003-10-03,5.2,5.23,5.2,5.2,250
2003-10-06,5.38,5.38,5.34,5.34,2
2003-10-07,4.9,4.9,4.9,4.9,100
2003-10-08,5.26,5.26,4.95,4.97,200
2003-10-10,4.73,5,4.73,5,600
2003-10-13,4.7,5.48,4.7,5.4,3400
2003-10-14,5,5.3,4.87,5.3,717
2003-10-16,5.4,5.4,5.4,5.4,500
2003-10-17,5.48,5.5,5.4,5.4,600
2003-10-20,5.72,5.76,5.6,5.6,1000
2003-10-21,5.22,5.59,5.22,5.22,160
2003-10-29,5.64,5.75,5.64,5.75,920
2003-10-30,5.7,6.26,5.7,6.25,2396
2003-10-31,5.9,5.9,5.85,5.85,1150
2003-11-04,5.51,5.51,5.51,5.51,200
2003-11-05,5.41,6.07,5.21,6.07,3015
2003-11-06,5.52,5.66,5.52,5.66,330
2003-11-07,5.9,6,5.9,6,400
2003-11-10,6.18,6.2,5.6,5.61,1151
2003-11-11,6.18,6.18,5.75,6.18,260
2003-11-12,6.58,6.58,6,6,200
2003-11-13,5.74,6,5.72,6,450
2003-11-14,6,6,5.77,5.77,850
2003-11-18,6.19,6.19,5.66,5.7,400
2003-11-19,6,6,6,6,150
2003-11-20,5.62,5.89,5.6,5.61,325
2003-11-21,5.21,5.58,5.21,5.58,150
2003-11-24,5.4,5.4,5.32,5.32,350
2003-11-25,5.51,5.85,5.51,5.85,4688
2003-11-27,6.1,6.44,6.1,6.44,1155
2003-11-28,6.88,7.09,6.88,7.09,1788
2003-12-01,7.4,7.45,7.4,7.45,1230
2003-12-02,7.48,7.82,7.4,7.75,6075
2003-12-03,8.06,8.14,7.7,8.14,1399
2003-12-04,8.49,8.55,8.49,8.55,1785
2003-12-05,8.8,8.98,8.4,8.61,5672
2003-12-08,8.9,9.04,8.27,9.04,4613
2003-12-09,9.48,9.5,9.47,9.5,1980
2003-12-10,9.96,10.45,9.52,10.32,6284
2003-12-11,11,11.36,11,11.36,4699
2003-12-12,12.5,12.5,12.5,12.5,7519
2003-12-15,13,13.58,11.73,12.39,29145
2003-12-16,12.6,13.19,12.2,12.37,11765
2003-12-17,12.65,12.65,11.76,11.96,13696
2003-12-18,11.6,11.97,11.37,11.52,8319
2003-12-19,11.65,11.8,11.24,11.5,6945
2003-12-22,11.06,11.54,11.06,11.31,3948
2003-12-23,11.04,11.18,10.8,10.8,4411
2003-12-24,10.42,10.6,10.39,10.5,2627
2003-12-26,11,11,10.51,10.94,3700
2003-12-29,10.88,11.17,10.79,10.79,1652
2003-12-30,10.26,10.58,10.25,10.35,1020
2003-12-31,10.02,10.04,9.84,9.85,765
2004-01-01,9.6,9.78,9.36,9.6,2079
2004-01-02,9.2,10.08,9.2,10.08,3921
2004-01-05,10.43,10.57,9.82,10.36,2711
2004-01-06,10.01,10.4,9.85,9.87,5200
2004-01-07,9.85,9.86,9.4,9.85,2445
2004-01-08,9.52,10.3,9.52,10,1482
2004-01-09,9.65,10.14,9.5,9.58,1250
2004-01-12,9.6,10.28,9.6,9.72,716
2004-01-13,9.6,10.1,9.6,10.1,863
2004-01-14,9.72,9.8,9.65,9.74,481
2004-01-15,9.6,10.58,9.6,10.2,3960
2004-01-16,10.01,10.73,9.8,9.8,3241
2004-01-19,9.6,9.6,9,9.04,427
2004-01-20,10.56,10.56,9.5,9.5,2700
2004-01-21,9.42,9.42,9.2,9.2,2800
2004-01-22,8.2,8.6,7.9,8,650
2004-01-23,8.98,9,8.42,8.57,457
2004-01-27,9.25,9.25,9.2,9.2,150
2004-01-28,8.8,8.8,8.6,8.6,200
2004-01-29,8.5,8.5,8.5,8.5,50
2004-01-30,8.5,8.5,7.5,8,1835
2004-02-03,7.2,7.2,6.6,6.6,300
2004-02-04,6.2,6.4,6,6.21,2747
2004-02-05,5.46,6.4,5.46,6.4,200
2004-02-06,6,6.4,5.6,6.4,1200
2004-02-09,6.61,6.62,6.6,6.6,800
2004-02-10,6.2,6.98,6.2,6.4,230
2004-02-11,7,7.15,6.8,7.15,567
2004-02-12,7,7.36,6.36,7.34,601
2004-02-13,7.58,8.57,7.5,7.8,704
2004-02-16,8.96,8.96,7.65,7.67,901
2004-02-17,9.2,9.2,6.93,7.59,1113
2004-02-18,7.8,7.8,7.3,7.7,1001
2004-02-19,6.7,7.34,6.68,6.7,454
2004-02-20,7.55,7.55,6.62,7.11,801
2004-02-23,7.2,7.2,6.8,6.84,710
2004-02-24,6.62,6.63,6.62,6.63,108
2004-02-25,6.6,6.6,6.6,6.6,800
