Date,Open,High,Low,Close,Volume
2024-04-03,215.25,226,215.25,226,1010780
2024-04-04,237.3,237.3,230,237.3,562542
2024-04-05,234.15,234.15,225.45,228.3,699052
2024-04-08,226,226,216.9,216.9,324976
2024-04-09,210,212.6,206.05,206.05,326625
2024-04-10,205,214.7,201,210.95,167305
2024-04-12,209.95,213.45,205,207.85,171210
2024-04-15,201.25,205,199,199.85,122366
2024-04-16,197,204.95,194.15,200.9,105008
2024-04-18,203.95,203.95,195.65,199.9,102527
2024-04-19,199.4,211.6,194.55,199.8,364543
2024-04-22,203.8,203.8,196.45,200.25,97663
2024-04-23,201.9,203.8,198,198.85,103809
2024-04-24,199.7,203,199.25,201.05,74409
2024-04-25,200.95,202.95,198.6,199,77142
2024-04-26,199.05,201.7,198,198.7,73440
2024-04-29,200.65,208.25,198.35,202.85,213140
2024-04-30,204,204.2,199.7,200.1,59684
2024-05-02,200.2,202,198.6,199.15,66558
2024-05-03,200.6,201.1,195.75,197.35,109754
2024-05-06,198.5,198.8,190,191,178563
2024-05-07,191.05,193.9,185.25,191.45,112531
2024-05-08,190.05,192.8,186,186.75,70879
2024-05-09,186,187.6,181,181.8,68080
2024-05-10,182.95,184.25,178,179.8,58294
2024-05-13,180,180.15,170.65,175.6,195082
2024-05-14,177.05,182.4,176.45,178.65,154925
2024-05-15,180.9,181.5,178,178.65,102164
2024-05-16,181.5,181.9,176.1,176.8,51854
2024-05-17,176.8,186.9,176.8,183.1,121201
2024-05-18,184.8,187,182,182.9,22292
2024-05-21,182.9,183.85,177.9,180.3,79379
2024-05-22,179.5,181.85,176.75,177.8,55552
2024-05-23,178,179.2,175.5,177.15,56214
2024-05-24,178.5,181.1,175.05,175.75,62698
2024-05-27,177.5,179,175.85,176.5,44070
2024-05-28,178.85,178.85,176,176.15,30788
2024-05-29,175.5,179.6,175,177.4,38966
2024-05-30,179,179.7,176.9,178.4,36377
2024-05-31,180,180.4,175,175.3,48330
2024-06-03,177.05,179,172.05,173.05,59251
2024-06-04,173.05,173.05,142.85,155.35,192586
2024-06-05,159.95,163.2,150.25,160.15,66855
2024-06-06,164,167.45,161,164.65,52027
2024-06-07,166.95,169.4,165.15,167.5,85241
2024-06-10,169,172.5,167.55,170.32,35497
2024-06-11,167.2,174.25,167.2,173.54,35165
2024-06-12,176.49,177.05,174.29,176.29,42039
2024-06-13,177.99,179.9,174.6,177.64,45557
2024-06-14,178.9,187.25,178.2,184.78,110618
2024-06-18,184.8,188.9,180.78,182.17,170243
2024-06-19,183.9,184.8,176.65,177.02,131644
2024-06-20,178.5,183.17,176.82,180.79,51683
2024-06-21,183.5,183.74,180.05,180.85,35865
2024-06-24,180.85,184.4,180.01,183.93,57587
2024-06-25,184.35,195.93,183.98,186.62,183545
2024-06-26,187.6,188.5,181.25,182.54,45620
2024-06-27,182.6,184.23,175.8,177.04,62092
2024-06-28,179.9,181,177,177.96,29560
2024-07-01,179.6,180.26,177.96,178.49,29444
2024-07-02,177.65,179,175.9,176.27,25572
2024-07-03,176,177.99,175.33,176.63,25918
2024-07-04,178.4,178.4,175,176.06,43183
2024-07-05,176,177.9,175.03,177.48,34553
2024-07-08,178.25,182.79,177.01,180.43,455910
2024-07-09,183.99,190.51,183.01,185.03,402339
2024-07-10,187.5,187.5,178.85,182.81,51881
2024-07-11,184.23,206.7,184,204.28,687792
2024-07-12,205.6,210.42,199.66,208.55,430153
2024-07-15,209.93,226.77,206.57,219.88,858708
2024-07-16,220,225.25,206.9,208.42,281475
2024-07-18,208.36,214.42,205.43,208.7,234647
2024-07-19,207,216,205.21,213.64,220177
2024-07-22,212,225.9,210.25,224.02,477114
2024-07-23,240,244.4,215,237.16,1098992
2024-07-24,245,257.9,241.1,254.61,856254
2024-07-25,250.01,260.73,245.01,255.56,389624
2024-07-26,252,256.93,242.3,248.3,260265
2024-07-29,252,276,250.38,268.73,831017
2024-07-30,270,278.9,268.85,269.88,270269
2024-07-31,270,272,260.1,266.97,136630
2024-08-01,267.85,273.9,252.95,257.7,174922
2024-08-02,253,279,245,269.5,271261
2024-08-05,257,262.05,247.2,253.15,210181
