Date,Open,High,Low,Close,Volume
2025-01-23,102.02,107.13,102.02,107.13,7572766
2025-01-24,101.77,106.28,101.77,101.77,1644216
2025-01-27,96.68,96.68,96.68,96.68,48093
2025-01-28,91.84,91.84,91.84,91.84,37715
2025-01-29,87.24,87.24,87.24,87.24,150120
2025-01-30,84.17,91.39,82.87,87.5,4270319
2025-01-31,83.12,84.76,83.12,83.12,718327
2025-02-01,79.54,81.96,78.97,78.97,773055
2025-02-03,75.01,77.37,75.01,76.53,861067
2025-02-04,76.52,80.35,74.22,80.35,503325
2025-02-05,83.57,93.45,80.85,88.41,5810821
2025-02-06,90.12,90.12,80.39,81.89,2458666
2025-02-07,82.3,82.8,77.3,79.99,1649413
2025-02-10,82.47,86.53,80.35,83.75,2705004
2025-02-11,83.32,83.57,78.01,80.26,1237651
2025-02-12,80.17,88.85,76.01,83.69,4772930
2025-02-13,80.77,80.77,76.96,77.82,2257448
2025-02-14,78.6,79.02,66.66,70.03,2571278
2025-02-17,70.48,70.48,65.6,67.51,1479696
2025-02-18,69.16,69.16,60.46,62.9,1448875
2025-02-19,62.49,66.56,61.35,65.62,690387
2025-02-20,64.96,66.77,63.17,64.61,934768
2025-02-21,63.26,66.4,61.82,62.2,3995018
2025-02-24,61.34,62.08,56.61,56.96,1725759
2025-02-25,56.54,60.31,56.54,59.51,1623584
2025-02-27,60.24,60.24,54.41,55.08,1182022
2025-02-28,55.25,56.15,52.87,54.9,1188479
2025-03-03,56.88,56.88,51.01,52.91,1039467
2025-03-04,53.48,54.97,51.22,52.52,1037901
2025-03-05,53.14,56.11,52.76,55.65,834886
2025-03-06,56.97,58.41,55.81,58.01,1003339
2025-03-07,57.98,63.33,57.35,61.48,1626919
2025-03-10,61.5,66.74,59.74,65.46,2228945
2025-03-11,65.38,69.27,63.25,68.18,1869419
2025-03-12,69.17,73.78,68.53,70.95,2634598
2025-03-13,71.2,73.97,66.61,66.9,1158139
2025-03-17,67.93,68.39,58.72,60.99,1139739
2025-03-18,62.23,64.95,61.98,64.14,629238
2025-03-19,64.73,65.46,63.02,64.54,388916
2025-03-20,65.13,65.21,61.55,62.3,443976
2025-03-21,62.4,64.62,60.62,62.74,520561
2025-03-24,63.21,65.38,62.49,62.92,567691
2025-03-25,64.53,65.04,61.28,61.59,535491
2025-03-26,61.94,62.91,60.32,60.47,637774
2025-03-27,60.36,61.64,59.51,60.03,700103
2025-03-28,60.36,61.77,56.7,57.73,742954
2025-04-01,57.06,63.67,57.06,61.44,812963
2025-04-02,62.06,63.63,60.02,62.69,461784
2025-04-03,62.06,62.87,60.97,62.33,371908
2025-04-04,62.06,65.38,60.64,63.74,1031129
2025-04-07,51.1,59.51,51.1,57.7,1438288
2025-04-08,60.62,65.47,58.42,63.2,821064
2025-04-09,62.53,62.87,60.37,60.64,437996
2025-04-11,62.91,63.34,61.3,61.76,325367
2025-04-15,63.16,65.24,62.19,63.3,541380
2025-04-16,64.23,64.23,62.83,63.2,269053
2025-04-17,62.91,62.91,61.5,61.86,347073
2025-04-21,61.21,61.85,60.7,61.31,161939
2025-04-22,61.47,62.06,61.04,61.52,2622840
2025-04-23,62.15,62.32,60.96,61.43,130063
2025-04-24,61.64,62.15,59.51,60.06,248538
2025-04-25,60.7,60.7,57.05,57.05,296280
2025-04-28,58.56,59.51,54.92,58.94,328181
2025-04-29,58.14,61.8,57.81,60.83,301231
2025-04-30,61.21,61.21,58.66,58.75,104585
2025-05-02,58.04,59.47,56.71,58.03,103122
2025-05-05,58.24,59.47,57.77,58.52,67458
2025-05-06,58.83,58.83,55.6,56.08,112870
2025-05-07,53.61,58.24,53.61,57.52,123159
2025-05-08,56.95,58.66,55.26,55.37,182056
2025-05-09,53.56,54.91,53.56,54.42,118966
2025-05-12,57.13,57.14,56.37,57.13,137236
2025-05-13,59.94,59.99,57.81,59.98,284797
2025-05-14,61.21,62.23,59.99,61.02,167475
2025-05-15,61.55,62.15,60.36,61.86,197194
2025-05-16,61.64,64.95,61.64,64.68,353546
2025-05-19,67.91,67.91,66.32,67.91,370156
2025-05-20,66.55,66.55,66.55,66.55,107635
2025-05-21,65.22,65.22,65.22,65.22,58209
2025-05-22,63.91,63.91,63.91,63.91,47825
2025-05-23,62.67,65.18,62.67,65.18,332054
2025-05-26,63.88,63.88,63.88,63.88,211506
2025-05-27,62.59,62.59,62.59,62.59,104826
2025-05-28,63.84,63.84,63.84,63.84,140761
