Date,Open,High,Low,Close,Volume
2025-10-07,154.2,161.9,154.2,161.9,2798400
2025-10-08,169.95,169.95,169.95,169.95,67200
2025-10-09,178.4,178.4,178.4,178.4,42000
2025-10-10,187.3,187.3,187.3,187.3,24000
2025-10-13,196.65,196.65,191,196.65,1786800
2025-10-14,188,197,186.85,186.85,628800
2025-10-15,185.2,187,177.5,178.4,322800
2025-10-16,177.7,187.3,174,187.1,666000
2025-10-17,185.8,186,178,181.05,288000
2025-10-20,185,190.1,184.1,190.05,490800
2025-10-21,191.15,195,188.05,194.2,166800
2025-10-23,197.05,200,179,181.35,565200
2025-10-24,181.3,185.4,175,176.85,190800
2025-10-27,176.55,179.85,164.95,169.85,378000
2025-10-28,168,179.05,164,173.65,188400
2025-10-29,173.5,183.2,173.5,181.45,256800
2025-10-30,181.45,183.5,175,176.85,109200
2025-10-31,176.6,179,168.4,170.6,152400
2025-11-03,170.6,172.95,163.5,170.95,193200
2025-11-04,170,174.9,168.6,169.35,73200
2025-11-06,166,167.95,163,167.9,217200
2025-11-07,167.9,183.7,167.9,177.95,226800
2025-11-10,179.4,180,171,172.6,91200
2025-11-11,172,176.55,167.95,168.95,100800
2025-11-12,167.95,170.9,165,170.15,62400
2025-11-13,168,170,155,160.85,207600
2025-11-14,157.1,160.9,149,152.55,244800
2025-11-17,158,165,156,160,267600
2025-11-18,164.45,168,157,165.85,147600
2025-11-19,166,172.85,163.25,166.15,109200
2025-11-20,167,178,167,175.2,165600
2025-11-21,173,174,166.05,167.4,134400
2025-11-24,167.5,168.45,163,163.05,61200
2025-11-25,164,170.7,159,169.5,141600
2025-11-26,171,171.9,160.1,162.05,112800
2025-11-27,162.05,163.9,156,161.85,108000
2025-11-28,161.85,163.95,161,162.5,19200
2025-12-01,164.9,164.9,159.15,160.1,56400
2025-12-02,159,159.7,156.75,157.85,80400
2025-12-03,156,157.7,150,151.4,147600
2025-12-04,151.95,153.55,149,150.85,84000
2025-12-05,153,154.9,145,146.6,48000
2025-12-08,152.6,152.75,134.95,138.15,168000
2025-12-09,136,149,132,144.2,134400
2025-12-10,143.5,149.95,143.5,147.45,25200
2025-12-11,148.9,149,143,143.4,31200
2025-12-12,147.5,154.5,147,153.05,68400
2025-12-15,151.55,151.55,148,149.7,31200
2025-12-16,151.9,153.95,151,153.2,14400
2025-12-17,150,151.95,148.75,150,16800
2025-12-18,148,153.7,145.8,152.5,39600
2025-12-19,150.2,154,150.2,153.8,18000
2025-12-22,150.1,155.8,146,151.8,72000
2025-12-23,154,154,150.5,152.25,10800
2025-12-24,152.25,152.25,146.15,148.35,32400
2025-12-26,148,148.75,142,143.05,44400
2025-12-29,142.2,143.45,137.1,138.55,54000
2025-12-30,138.55,145,138.55,143.95,28800
2025-12-31,142.25,145.35,142.2,143.05,13200
2026-01-01,139.1,145.65,139.1,143.95,20400
2026-01-02,140.35,141.9,140,140.75,32400
2026-01-05,138.35,139.15,136.1,137.05,105600
2026-01-06,137,138.5,135.8,137.75,14400
2026-01-07,140,142.8,135.3,135.7,33600
2026-01-08,135.3,138,135.2,137.35,30000
2026-01-09,136,136.85,130.7,132.05,42000
2026-01-12,126,130,117.55,124.45,350400
2026-01-13,128.6,130.25,126.5,128.7,51600
2026-01-14,126.55,127.45,123.6,125.45,153600
2026-01-16,120,125,120,123.15,60000
2026-01-19,117.8,119,113,115.35,218400
2026-01-20,112.3,116.95,109,110.1,169200
2026-01-21,110.1,117.7,108,115.45,188400
2026-01-22,117,123,117,120.35,43200
2026-01-23,122.95,123,117,119.55,37200
2026-01-27,119.2,119.2,113.05,114.3,48000
2026-01-28,115,122,114.95,121.55,14400
2026-01-29,118.25,121,112.5,115.8,24000
2026-01-30,115,118.9,114,117.35,13200
2026-02-01,119.9,119.9,112,113.45,18000
2026-02-02,113.45,113.45,104,109.05,193200
2026-02-03,119.5,120.7,113,119.45,123600
2026-02-04,121,124.45,120,123.65,42000
2026-02-05,122,122,117.5,118.7,40800
2026-02-06,122,122,116.45,120.65,16800
2026-02-09,123,130.9,123,130,52800
2026-02-10,132.95,149.9,131,146.4,128400
2026-02-11,144,144,130,134.85,158400
2026-02-13,134,137,132.25,134.7,20400
