Date,Open,High,Low,Close,Volume
2018-05-08,95,95,95,95,2000
2022-11-07,437.35,442.75,402.25,431.65,12418
2022-11-09,215.83,219.95,209.98,212.5,4675
2022-11-10,213.58,213.58,208.2,208.68,1774
2022-11-11,203.08,214.48,203.08,208.65,2115
2022-11-14,212.2,212.45,208.18,208.98,1042
2022-11-15,208.35,212.95,204.48,210.68,1872
2022-11-16,205.13,210.5,204,206.1,3515
2022-11-17,208.98,209.78,192.3,196.03,14677
2022-11-18,195.03,199.5,193.5,195.7,4870
2022-11-21,199.38,200.23,196.75,197.25,2084
2022-11-22,199.25,200.65,182.78,188.2,12643
2022-11-23,186.2,199.23,186.2,197.35,3449
2022-11-24,197.35,207.93,197.35,206.3,4868
2022-11-25,206.33,213.48,204.55,211.8,5059
2022-11-28,212,213.95,209.88,210.48,1384
2022-11-29,208.83,213,208.03,210.7,3972
2022-11-30,213.05,213.05,209.05,211.58,3216
2022-12-01,213,217.43,212.5,213.83,3666
2022-12-02,213.83,214.03,210.5,213.43,2034
2022-12-05,217.13,224.5,212.58,222.83,18160
2022-12-06,227.5,233.98,225,229.73,17433
2022-12-07,232,232,223.55,228.58,5876
2022-12-08,232.5,232.5,226.55,228.05,4608
2022-12-09,232,232,226.95,228.2,7704
2022-12-12,234.5,237.28,225,229.45,10694
2022-12-13,229.5,235.1,228,232.78,18765
2022-12-14,234.95,237,227.28,234.13,17270
2022-12-15,232.5,233.95,227.55,229.95,3474
2022-12-16,226,227.45,221.3,224.25,2855
2022-12-19,220.08,231.4,213.53,215.78,4120
2022-12-20,212.8,215.78,207.63,209.05,3637
2022-12-21,206.13,213.53,205.5,207.3,3658
2022-12-22,207.3,207.93,198,201.03,46115
2022-12-23,209.3,209.3,197.5,198.05,4002
2022-12-26,198.05,204.83,198.05,202.35,2712
2022-12-27,205.65,207.5,204.2,205.53,1686
2022-12-28,207.13,209.23,203.43,208.9,1827
2022-12-29,206.5,211.08,205.15,206.83,1030
2022-12-30,209.98,211.28,207.05,210.23,1495
2023-01-02,211,215,210.78,213.78,3325
2023-01-03,218.48,218.48,212.3,216.33,1049
2023-01-04,213.33,218.3,212.05,216.45,2434
2023-01-05,220,220,212.55,216.9,951
2023-01-06,212.2,224.4,212.03,222.53,3648
2023-01-09,220.18,225,215.55,220.6,4102
2023-01-10,218,229.78,216.05,228.33,6820
2023-01-11,234.78,234.78,220.53,224.28,3631
2023-01-12,227.6,228.43,219,220.53,1553
2023-01-13,223.45,223.45,218.65,220.53,876
2023-01-16,221.08,230.45,220,225.45,3796
2023-01-17,224.98,232,223.53,228.7,8255
2023-01-18,230.5,230.98,223.05,228.15,2866
2023-01-19,227.2,230.98,226,226.53,1571
2023-01-20,227.53,231.05,224.68,227.05,2762
2023-01-23,225.78,225.78,217.75,219.03,1871
2023-01-24,216.25,223.5,216.25,222.95,854
2023-01-25,220.23,230,209.53,217.4,6726
2023-01-27,218.95,224.2,206.15,215.3,2451
2023-01-30,214.55,224,214.1,218,995
2023-01-31,217.08,226.45,216.8,219.83,1463
2023-02-01,226.43,226.43,206.63,210,1871
2023-02-02,218,226,208.15,213.58,10555
2023-02-03,220.48,223.48,211,212.68,3748
2023-02-06,212.03,212.5,195.55,203.2,8971
2023-02-07,205.55,209.08,203.03,208.3,2554
2023-02-08,198.25,211.48,198.25,206.48,1022
2023-02-09,207.43,207.75,199.9,201.78,3116
2023-02-10,202.5,212.03,195,198.35,18376
2023-02-13,195,204.48,194.5,197.68,4120
2023-02-14,201.48,201.48,192.5,195.93,6404
2023-02-15,197.75,203.38,195.93,200.78,4543
2023-02-16,200.35,201.55,197.98,198.9,2031
2023-02-17,199.05,201.25,198,200.03,2563
2023-02-20,198.35,202.5,197.43,199.03,1887
2023-02-21,199.75,201,197.4,198.05,1442
2023-02-22,200.15,200.15,197.28,199.1,2849
