Date,Open,High,Low,Close,Volume
2024-12-06,438,449,414.95,417.25,6747269
2024-12-09,412,426.95,410,410.7,1538114
2024-12-10,414.75,416.75,402.1,405.4,1161752
2024-12-11,402.4,423.25,402.4,417.75,1617064
2024-12-12,417,418.35,406,410.55,625887
2024-12-13,410.5,414.65,406.8,411.35,650097
2024-12-16,420,446,415.2,418.65,2373444
2024-12-17,422.9,426,409,411.3,500940
2024-12-18,413.9,413.9,398.35,407.05,690351
2024-12-19,401,411.85,399.05,408,357534
2024-12-20,412.65,415.8,409.8,412.15,663187
2024-12-23,421.95,421.95,398.85,404.5,441242
2024-12-24,400,404.2,392.15,397.55,431304
2024-12-26,395.95,398.3,390.2,391.75,249327
2024-12-27,392.5,399.1,381.5,384.1,288368
2024-12-30,382.05,384.05,369.05,374.85,267378
2024-12-31,370,378.7,353.85,375.65,618283
2025-01-01,378.4,383.55,370,380.1,236740
2025-01-02,380,382.85,373.5,379.95,176255
2025-01-03,374.3,383.5,372.3,378.25,215225
2025-01-06,375.95,396.4,368.8,386.5,808360
2025-01-07,383.05,389.4,379.05,384.95,313603
2025-01-08,385.95,388,368.15,371.55,140525
2025-01-09,371.5,373.8,360,363.4,112652
2025-01-10,365,365,347.75,349.8,128287
2025-01-13,343,345.55,330,332.65,176970
2025-01-14,334.55,358.85,328.6,355.35,177052
2025-01-15,355.95,367,348.4,357.3,177951
2025-01-16,362.65,368.4,358.8,360.9,112385
2025-01-17,360,360,354.15,357.2,127166
2025-01-20,355,357.2,349,350.5,40651
2025-01-21,353.9,356.7,333.35,336.4,89652
2025-01-22,336.4,341.7,326.55,332.85,137882
2025-01-23,330.05,336.6,326.95,329,57459
2025-01-24,329,332.95,316.55,320.2,90477
2025-01-27,320,320.05,295,300.35,107720
2025-01-28,296.4,309.5,288.5,306.5,143161
2025-01-29,306.5,310.45,301.9,304.25,63927
2025-01-30,307,318.1,303.25,307.85,80820
2025-01-31,309.9,311.95,303.05,309.55,85991
2025-02-01,313.4,315.15,307.1,311.6,53600
2025-02-03,310,316.1,303.15,311.6,90535
2025-02-04,311.6,324,309.7,317.5,86424
2025-02-05,320.95,367,318.25,345.2,153727
2025-02-06,348.05,366,347.55,354.4,304881
2025-02-07,352.4,354.35,343.05,347.15,57264
2025-02-10,341.05,343.65,325.35,331.1,109591
2025-02-11,326.25,329.75,312.2,321.5,66987
2025-02-12,321,321.5,308.6,312.1,221175
2025-02-13,316.75,317.6,309,310.2,39591
2025-02-14,314,314.2,296.55,300.45,132344
2025-02-17,296,301.8,281,287,145545
2025-02-18,284,292.65,279,284.7,110197
2025-02-19,283,292.95,283,287.25,56412
2025-02-20,287.4,300,284.3,298.1,74583
2025-02-21,295,305.45,294,300.7,60580
2025-02-24,296,303.35,290.75,293.3,28072
2025-02-25,293.3,294.6,280.55,288.25,38442
2025-02-27,287,288.25,277,278.85,50081
2025-02-28,276.95,279.95,260.05,262.9,73926
2025-03-03,262.05,267.6,251.05,263.75,97624
2025-03-04,241,277,231,269.95,563569
2025-03-05,265.9,279.2,260.85,277,105651
2025-03-06,278.4,280.85,267.55,275.7,139234
2025-03-07,276,283.6,275,279.55,39131
2025-03-10,279.55,285.3,262.95,270.45,62405
2025-03-11,270.5,270.5,255.2,262.5,266840
2025-03-12,262.9,265.35,255.95,259.85,198470
2025-03-13,260.05,284.4,256.25,278.1,262275
2025-03-17,280,290,278.3,283.6,183059
2025-03-18,283.2,292.05,283.2,289.8,166510
2025-03-19,290.3,293.9,288.1,291,72588
2025-03-20,295.35,295.35,281.55,288.5,120056
2025-03-21,285.6,297.45,285.6,289.3,76837
2025-03-24,289.3,294.45,284,285.3,64889
2025-03-25,289,289,272.8,277.95,115641
2025-03-26,278,279,263.75,265.45,103972
2025-03-27,263.1,270.3,260.05,261,211444
2025-03-28,261,267.5,255.45,259.2,111667
2025-04-01,259.2,270,259.2,266.95,65092
2025-04-02,270,280.45,263.4,270.25,63437
2025-04-03,270.25,288,270.25,285.45,89304
2025-04-04,285.45,287.6,275.15,281.15,87832
2025-04-07,263.25,270,259.05,267.4,88888
2025-04-08,270.9,277.75,267.8,275.2,80434
2025-04-09,275.2,278,267.05,277.15,42814
2025-04-11,279.3,285.1,273.3,275.25,49319
2025-04-15,277.45,288.7,277.3,286.35,82245
2025-04-16,286.35,306.65,284.1,303.65,144806
2025-04-17,303.65,309.7,292.2,298.55,106534
2025-04-21,303.05,317.9,294,311.55,98188
2025-04-22,319,319.05,309.9,312.4,64505
2025-04-23,315,318.1,306.05,311.8,55343
2025-04-24,311.8,316,309.4,311.55,66832
2025-04-25,311.55,314.45,302.9,313.1,99774
2025-04-28,311,313.05,305.25,308.05,52574
2025-04-29,308.05,313.75,304,307.3,36714
2025-04-30,308.05,309.8,297.75,299.2,23783
2025-05-02,298,303.2,290.55,298.6,61028
2025-05-05,293.6,303,291.85,298.2,40440
2025-05-06,300.5,300.5,290,291.05,55813
2025-05-07,288,297,285.6,293.15,39779
2025-05-08,294,297.45,283.15,285.95,20238
2025-05-09,281.65,285,275.9,283.2,33595
2025-05-12,289.45,302.95,289.45,301.3,69516
2025-05-13,301,303.85,298.1,303.15,32936
