Date,Open,High,Low,Close,Volume
2024-04-05,145,152.25,145,152.25,1460400
2024-04-08,147.5,147.5,144.65,144.65,174000
2024-04-09,137.43,137.43,137.43,137.43,56400
2024-04-10,130.55,144.28,130.55,141.88,451200
2024-04-12,141.5,142.25,134.8,139.75,175200
2024-04-15,135.5,141.98,132.78,140.4,68400
2024-04-16,135.63,145,134,144.6,85200
2024-04-18,146,151.83,146,151.83,117600
2024-04-19,150.7,159.4,150.7,159.4,140400
2024-04-22,167.35,167.35,167.35,167.35,7200
2024-04-23,189.5,200.8,184.9,200.8,322800
2024-04-24,220,240.95,205.5,240.95,337200
2024-04-25,259,265.03,250,265.03,273600
2024-04-26,280,288.45,240.53,247,428400
2024-04-29,246.98,248.5,229,236.28,160800
2024-04-30,236.5,259.9,236.5,259.9,75600
2024-05-02,285,285.88,280,285.88,122400
2024-05-03,295,314.45,268,313.38,345600
2024-05-06,321.23,344.7,319,344.7,180000
2024-05-07,361.93,361.93,361.93,361.93,14400
2024-05-08,380,380,343.83,343.83,342000
2024-05-09,326.65,355,326.65,326.65,148800
2024-05-10,310.33,318.98,310.33,310.33,126000
2024-05-13,308.98,309,294.83,294.83,152400
2024-05-14,282.5,309.55,282.5,309.55,166800
2024-05-15,310.05,321.25,294.08,294.08,74400
2024-05-16,294.08,294.08,279.38,279.38,110400
2024-05-17,268.5,293.33,265.43,293.33,177600
2024-05-18,307.98,307.98,285.5,290.55,50400
2024-05-21,290.6,290.6,276.03,276.03,50400
2024-05-22,269.25,269.25,262.23,262.23,87600
2024-05-23,259.5,259.8,249.13,249.13,91200
2024-05-24,239.5,248.9,236.68,236.68,80400
2024-05-27,237.2,248.5,236.98,244.15,108000
2024-05-28,245,245.25,231.95,237.68,84000
2024-05-29,231.65,232,225.8,225.8,30000
2024-05-30,218.05,237,214.53,227.13,108000
2024-05-31,228.1,228.1,215.78,216.1,50400
2024-06-03,222.5,226.9,206.03,206.88,54000
2024-06-04,205,205,196.55,196.55,96000
2024-06-05,196.55,206.38,186.73,206.38,78000
2024-06-06,216.68,216.68,216.68,216.68,8400
2024-06-07,227.5,227.5,227.5,227.5,6000
2024-06-10,238.88,238.88,238.88,238.88,8400
2024-06-11,250.8,250.8,250.8,250.8,4800
2024-06-12,263.33,263.33,263.33,263.33,4800
2024-06-13,276.48,276.48,276.48,276.48,16800
2024-06-14,282.48,290.28,263,290.05,213600
2024-06-18,304.55,304.55,300,304.55,57600
2024-06-19,319.78,319.78,297,309.13,98400
2024-06-20,309.13,309.13,293.68,294.58,51600
2024-06-21,304,306.9,294.5,294.8,42000
2024-06-24,303.5,303.9,282,286,66000
2024-06-25,285.55,300.3,282,296.48,123600
2024-06-26,296.5,296.5,281.65,281.65,54000
2024-06-27,267.58,270,267.58,267.58,60000
2024-06-28,254.2,263.5,254.2,254.2,64800
2024-07-01,257,266.9,257,266.9,13200
2024-07-02,280.23,280.23,278.9,280.23,46800
2024-07-03,294.23,294.23,272.5,276.2,85200
2024-07-04,277.5,277.5,262.4,262.63,49200
2024-07-05,254,275.75,251,275.75,74400
2024-07-08,289.5,289.53,289.5,289.53,18000
2024-07-09,304,304,304,304,15600
2024-07-10,307.45,318.95,292.5,305.93,190800
2024-07-11,310.03,316.5,300.1,306.53,54000
2024-07-12,308.95,308.95,294,298.4,37200
2024-07-15,299,303.5,283.5,284.03,46800
2024-07-16,284.03,298.23,278.3,292.48,45600
2024-07-18,293,293,277.85,277.85,33600
2024-07-19,266.5,274.5,263.98,264.4,58800
2024-07-22,262.5,262.5,253,254.5,24000
2024-07-23,260,260,250,250.38,32400
2024-07-24,250.38,259,250.38,254.28,51600
2024-07-25,251.55,259.5,251.55,259.4,24000
2024-07-26,260,267.45,257.5,261.08,39600
2024-07-29,261.08,264.95,253.6,256.53,16800
2024-07-30,262,262,254.5,257,18000
2024-07-31,262,262.53,256.05,259.75,13200
2024-08-01,259,259,256,257.75,7200
2024-08-02,256.75,256.75,250.25,255.98,21600
2024-08-05,255.4,268.75,252.53,268.15,66000
2024-08-06,276.5,281.55,271.83,275.63,78000
2024-08-07,288.5,303,269.05,269.05,70800
2024-08-08,270,273,270,271.53,13200
