Date,Open,High,Low,Close,Volume
2006-09-29,12.86,12.86,11.83,12.19,2175
2006-10-03,12.4,12.8,12.4,12.7,5251
2006-10-04,12.83,13.52,12.83,13.04,6648
2006-10-05,13.04,13.1,12.83,12.94,7358
2006-10-06,12.48,13.18,12.48,13.12,5643
2006-10-09,12.84,13.28,12.84,13.08,2940
2006-10-10,13.2,13.31,13.09,13.13,4533
2006-10-11,13.2,13.2,12.9,12.98,2574
2006-10-12,13.19,13.49,12.86,13.24,5988
2006-10-13,13.22,13.24,13.11,13.15,2331
2006-10-16,13.12,13.47,13.1,13.11,3509
2006-10-17,13.12,13.12,13,13.01,5006
2006-10-18,12.81,13.2,12.81,12.94,2631
2006-10-19,12.93,13,12.82,12.91,978
2006-10-20,12.8,13.08,12.8,12.94,1746
2006-10-21,14,14,12.94,13.09,808
2006-10-23,13.18,13.18,12.8,12.96,449
2006-10-26,14.26,14.26,13.52,14.26,15173
2006-10-27,15.2,15.69,15,15.41,102240
2006-10-30,15.4,15.56,14.2,14.25,14680
2006-10-31,14.39,15.58,13.91,14.45,12240
2006-11-01,14.56,14.76,13.7,13.88,8947
2006-11-02,13.6,14.16,13.6,14,7594
2006-11-03,13.6,14.4,13.44,13.72,5830
2006-11-06,14,14,13.64,13.85,4627
2006-11-07,13.86,14.11,13.6,13.64,2295
2006-11-08,13.75,13.75,13.25,13.31,2747
2006-11-09,13.4,13.6,13.26,13.42,4261
2006-11-10,13.4,13.57,13.15,13.21,1532
2006-11-13,13.21,13.5,13.21,13.36,2180
2006-11-14,13.42,13.58,13.05,13.27,3971
2006-11-15,13.24,13.6,13.2,13.26,2850
2006-11-16,13.1,13.2,13.1,13.16,2605
2006-11-17,13.1,13.15,12.82,12.85,3742
2006-11-20,12.6,12.89,12.47,12.61,1982
2006-11-21,12.4,14.74,12.4,13.37,21308
2006-11-22,14.02,14.32,13.11,13.35,18220
2006-11-23,13.98,14.38,13.11,13.12,2412
2006-11-24,13.35,13.6,13.1,13.27,2771
2006-11-27,13.34,13.44,13.2,13.22,1987
2006-11-28,11.25,13.62,11.25,13.15,3833
2006-11-29,13.04,13.6,13,13.24,6499
2006-11-30,13,13.48,13,13.28,3602
2006-12-01,13.34,13.8,11.2,13.23,11539
2006-12-04,13.2,13.8,13.2,13.38,15323
2006-12-05,13.42,13.8,13.33,13.42,14930
2006-12-06,13.55,13.6,13,13.19,26062
2006-12-07,13.48,13.48,13.02,13.12,5484
2006-12-08,13.04,13.4,12.9,13.02,6619
2006-12-11,13.15,13.15,12.42,12.59,3121
2006-12-12,12.4,12.9,12.03,12.15,6804
2006-12-13,12,12,11.57,11.95,9542
2006-12-14,12,12.24,11.93,12.08,7111
2006-12-15,12.05,12.33,11.96,11.99,4712
2006-12-18,11.54,12.18,11.4,11.93,3621
2006-12-19,11.73,11.99,11.71,11.79,3842
2006-12-20,12.02,12.02,11.68,11.74,1226
2006-12-21,11.8,11.97,11.68,11.75,5431
2006-12-22,11.8,11.86,11.63,11.66,7808
2006-12-26,11.8,12.1,11.7,11.76,9850
2006-12-27,11.73,11.87,11.7,11.73,6424
2006-12-28,11.86,13.6,11.7,12.38,56063
2006-12-29,12.6,12.8,12.46,12.59,24904
2007-01-02,12.6,13,12.32,12.35,10715
2007-01-03,12.78,12.8,12.34,12.41,8627
2007-01-04,12.69,12.69,12.01,12.39,9814
2007-01-05,12.56,12.69,12.4,12.58,8375
2007-01-08,12.42,12.6,12.4,12.53,6149
2007-01-09,12.22,12.9,12.22,12.43,10591
2007-01-10,12.25,12.3,11.83,11.96,4977
2007-01-11,12.16,12.16,11.88,11.99,5862
2007-01-12,12,12.38,11.98,12.16,20136
2007-01-15,12.18,12.31,11.85,11.96,15304
2007-01-16,12,12.05,11.8,11.93,7860
2007-01-17,12.05,12.05,11.8,11.93,14864
2007-01-18,12.25,12.4,11.75,11.8,35381
2007-01-19,11.96,11.96,11.57,11.6,17200
2007-01-22,11.65,12,11.65,11.82,25117
2007-01-23,12.08,12.8,11.8,12.36,87463
2007-01-24,12.8,12.8,12.21,12.35,21148
2007-01-25,12.7,13.12,12.41,12.54,38710
2007-01-29,12.98,13,12.43,12.82,39064
2007-01-31,13.01,13.01,12.3,12.59,18748
2007-02-01,12.74,12.74,12.51,12.65,4726
2007-02-02,12.42,12.79,12.34,12.43,6190
2007-02-05,12.13,12.65,12.13,12.36,5130
2007-02-06,12.2,12.39,12.06,12.1,9741
2007-02-07,12.1,12.4,12.1,12.12,3884
2007-02-08,12.1,12.34,11.9,12,10144
2007-02-09,12,12.24,11.72,11.84,5943
2007-02-12,11.76,11.76,10.9,11.26,15938
2007-02-13,11.02,11.4,10.82,10.92,11336
2007-02-14,10.45,11.18,10.4,11.12,4529
2007-02-15,11.17,11.4,11.16,11.31,4121
2007-02-19,11.24,11.73,11.23,11.55,6447
