Date,Open,High,Low,Close,Volume
2025-04-30,175,183.75,175,183.75,605000
2025-05-02,179,182,174.6,174.6,113000
2025-05-05,169,179.5,165.9,169,145000
2025-05-06,168.9,168.9,160.55,160.55,63000
2025-05-07,152.55,159.5,152.55,159.5,22000
2025-05-08,162.5,165,157.1,164.3,27000
2025-05-09,157,169,156.2,167.8,29000
2025-05-12,169.95,174.5,166.75,174.15,30000
2025-05-13,172,174,172,173.75,7000
2025-05-14,173.75,174.95,168.1,171,10000
2025-05-15,172,205.2,168,197.6,117000
2025-05-16,201,228,194,221.6,200000
2025-05-19,219,234.8,217,226.1,124000
2025-05-20,226,255.9,226,252.6,96000
2025-05-21,257.95,263,231.5,234.9,72000
2025-05-22,235,240.95,226,236.95,32000
2025-05-23,237,247,230,241.4,26000
2025-05-26,253.95,264,252.25,260.7,55000
2025-05-27,273.95,273.95,254.5,264,30000
2025-05-28,265,265,258,258.65,17000
2025-05-29,251,253.5,242.25,245.35,25000
2025-05-30,233.1,257.6,233.1,257.6,32000
2025-06-02,269.95,269.95,262,262,8000
2025-06-03,266,268.5,249.5,256,52000
2025-06-04,259,259,257,257.7,4000
2025-06-05,258,270.5,258,269.3,9000
2025-06-06,270,282.75,270,282.75,14000
2025-06-09,283,296.85,283,296.85,8000
2025-06-10,298,311.65,298,311.65,10000
2025-06-11,327,327.2,320,327.2,36000
2025-06-12,333.7,333.7,333.7,333.7,2000
2025-06-13,340.35,340.35,340.35,340.35,18000
2025-06-16,347.15,347.15,335.1,335.1,12000
2025-06-17,328.4,328.4,328.4,328.4,1000
2025-06-18,321.85,321.95,321.85,321.95,2000
2025-06-19,315.55,315.55,315.55,315.55,11000
2025-06-20,310.6,311.05,309.25,309.25,18000
2025-06-23,309.25,315.4,309.25,315.4,2000
2025-06-24,321.7,321.7,321.7,321.7,2000
2025-06-25,321.7,321.7,321.7,321.7,2000
2025-06-26,315.9,315.9,315.9,315.9,1000
2025-06-27,314.05,314.05,312.5,314,3000
2025-06-30,320,320.25,320,320.25,6000
2025-07-01,319.05,319.05,319.05,319.05,2000
2025-07-02,325.4,325.4,313.5,324.9,4000
2025-07-03,318.4,318.4,318.4,318.4,5000
2025-07-04,324.75,324.75,324,324,3000
2025-07-07,330.45,330.45,330.4,330.45,12000
2025-07-08,337.05,337.05,337.05,337.05,18000
2025-07-09,343.75,343.75,343.75,343.75,8000
2025-07-10,350.6,350.6,350.6,350.6,7000
2025-07-11,351,357.6,351,357.6,8000
2025-07-14,364.75,364.75,364.75,364.75,9000
2025-07-15,372,372,372,372,17000
2025-07-17,386.95,386.95,386.95,386.95,14000
2025-07-18,386.95,386.95,379.25,379.25,2000
2025-07-22,371.7,371.7,371.7,371.7,1000
2025-07-23,364.3,364.3,364.3,364.3,1000
2025-07-24,357.05,357.1,357.05,357.1,6000
2025-07-25,349.95,349.95,349.95,349.95,1000
2025-07-28,342.95,342.95,342.95,342.95,1000
2025-07-29,349.8,349.8,349.8,349.8,1000
2025-07-30,356.7,356.7,356.7,356.7,1000
2025-08-01,356.7,356.7,356.7,356.7,1000
2025-08-04,350.1,350.1,339,339,5000
2025-08-05,345,345,324.05,338.8,6000
2025-08-06,324.05,324.05,321.9,321.9,9000
2025-08-07,310,310,305.8,305.8,10000
2025-08-08,295.05,305,295,305,4000
2025-08-12,305,305,305,305,3000
2025-08-13,305,305,305,305,1000
2025-08-14,320.25,320.25,320.25,320.25,1000
2025-08-18,336.25,336.25,307,311,6000
2025-08-19,311,311,300.05,311,9000
2025-08-20,306.25,313.5,306.25,313.5,6000
2025-08-21,329.15,329.15,329.15,329.15,2000
2025-08-22,312.8,325,312.8,325,9000
2025-08-26,340,341.25,330,330,8000
2025-09-01,320.45,329.9,319.95,319.95,11000
2025-09-03,319.95,334.75,319.95,334.6,3000
