Date,Open,High,Low,Close,Volume
2004-09-09,5.95184068,6.13403988,5.55100243,5.55302686,298404
2004-09-10,5.47204944,5.74939712,5.47204944,5.64210244,256738
2004-09-13,5.78988583,5.8222768,5.55302686,5.59554001,327473
2004-09-14,5.59149114,5.60768663,5.3161679,5.35260774,612145
2004-09-15,5.36475435,5.62185808,5.35463218,5.60161372,424661
2004-09-16,5.66841969,5.88300987,5.54695356,5.76356857,1150938
2004-09-17,5.71903058,6.0328181,5.58744227,5.98423165,1294632
2004-09-20,6.15428424,6.26157933,5.97208503,6.0267452,888025
2004-09-21,6.16440642,6.23526166,6.04091585,6.16845569,1142318
2004-09-22,6.25550602,6.47819394,6.19477295,6.37089925,1281764
2004-09-23,6.47009619,6.50856087,6.1745286,6.23526166,847001
2004-09-24,6.19477295,6.54702475,6.07735569,6.54702475,882492
2004-09-27,6.83247017,6.87498331,6.60573378,6.87498331,3499790
2004-09-28,7.00454679,7.20496632,6.92356977,6.98227881,2000829
2004-09-29,7.08147575,7.08552462,6.64419766,6.68266153,1077189
2004-09-30,6.72112621,7.01669381,6.67658863,6.89927695,865451
2004-10-01,6.92356977,6.92356977,6.55917177,6.58751346,720052
2004-10-04,6.51868265,6.54297588,6.27575038,6.34660562,960465
2004-10-05,6.43365635,6.66444161,6.27575038,6.66241758,1240246
2004-10-06,6.6806375,6.88105703,6.55917177,6.78793218,1043377
2004-10-07,6.83044614,7.12803777,6.83044614,7.12803777,423846
2004-10-08,7.12803777,7.12803777,7.12803777,7.12803777,0
2004-10-11,7.97627669,8.24755106,7.46206964,7.50255876,751048
2004-10-12,7.57138957,7.67261135,7.17864866,7.56329142,438838
2004-10-14,7.6928553,7.6928553,7.27177229,7.4256298,166639
2004-10-15,7.4256298,7.4256298,7.4256298,7.4256298,0
2004-10-18,7.49243577,7.57138957,7.16650245,7.33250617,563465
2004-10-19,7.40943391,7.40943391,6.96608292,7.04098663,197388
2004-10-20,6.94381413,7.08552462,6.90737388,6.98632687,367979
2004-10-21,7.0612318,7.25760124,6.93166792,7.00657163,332092
2004-10-25,6.96405889,6.96405889,6.65634467,6.75554121,244068
2004-10-26,6.76161533,6.83651904,6.72112621,6.7717371,72118
2004-10-27,6.76161533,6.94381413,6.6806375,6.83651904,189830
2004-10-28,6.88308106,7.08552462,6.86283711,6.91547203,192325
2004-10-29,6.91547203,6.91547203,6.91547203,6.91547203,0
2004-11-01,7.02479155,7.3061881,7.02479155,7.3061881,749048
2004-11-02,7.49041174,7.67261135,7.40943391,7.52077868,973110
2004-11-03,7.59163352,7.6928553,7.16650245,7.5794865,687524
2004-11-04,7.57138957,7.57138957,7.35882302,7.44587375,397098
2004-11-05,7.33250617,7.44587375,7.26974826,7.38311706,202179
2004-11-08,7.66046433,7.67261135,7.27177229,7.30416407,231397
2004-11-09,7.28796818,7.49041174,7.23128439,7.41550803,284622
2004-11-10,7.312261,7.49041174,7.312261,7.41550803,237918
2004-11-11,7.40943391,7.40943391,7.25355318,7.28796818,49618
2004-11-12,7.32845689,7.36894601,7.22723511,7.24950431,71773
2004-11-16,7.12601333,7.30821213,7.05110962,7.16852648,87061
2004-11-17,7.24747947,7.28796818,6.96810695,7.03491373,165231
2004-11-18,7.04098663,7.04503591,6.80210323,7.00049873,264567
2004-11-19,7.00049873,7.00049873,7.00049873,7.00049873,0
2004-11-22,7.08552462,7.2150885,6.94381413,7.08147575,152141
2004-11-23,7.05515768,7.07540244,6.84259234,6.88510509,170244
2004-11-24,7.08552462,7.22925955,6.93571598,7.22318624,624124
2004-11-25,7.24747947,7.24747947,6.92356977,6.97418066,221148
2004-11-29,6.92761905,7.14625769,6.92761905,6.96001001,189756
2004-11-30,7.04503591,7.12601333,6.89320324,6.95191187,316582
2004-12-01,6.96810695,7.04503591,6.88712993,7.04503591,127788
2004-12-02,7.09362236,7.09362236,6.88510509,6.94381413,82195
2004-12-03,6.96405889,7.08552462,6.93369195,7.07540244,355086
2004-12-06,7.42967867,7.42967867,7.04908478,7.42967867,722300
2004-12-07,7.49041174,7.80217482,7.49041174,7.72727111,2153291
2004-12-08,7.81432103,7.81432103,7.40943391,7.48838771,693650
2004-12-09,7.57138957,7.79407708,7.41550803,7.71714812,628422
2004-12-10,7.83456579,7.83456579,7.49446061,7.61997562,430737
2004-12-13,7.68273312,8.00259354,7.64831731,8.00259354,712371
2004-12-14,8.40343179,8.40343179,8.09774242,8.40343179,1503801
2004-12-15,8.66458439,8.66458439,7.98639846,8.03296048,763768
2004-12-16,8.42165171,8.42165171,7.89529886,7.99247177,381069
2004-12-17,8.11596234,8.17872025,7.9033966,7.94186088,395789
2004-12-20,8.01271653,8.09774242,7.61187747,7.65236659,384823
2004-12-21,7.9317387,8.03498451,7.57138957,7.95400749,687401
2004-12-22,7.70095304,8.05725371,7.63212223,7.7211974,326189
2004-12-23,7.87505491,7.9317387,7.69690417,7.74549022,191559
2004-12-24,7.77788119,7.93578757,7.49446061,7.70297748,1160249
2004-12-27,7.85278571,7.85481015,7.6584403,7.75561321,221839
2004-12-28,8.00866766,8.00866766,7.53697376,7.61390231,241277
2004-12-29,7.69083127,7.6928553,7.24747947,7.33655504,481615
2004-12-30,7.44992303,7.56531626,7.21306447,7.47219182,444988
2004-12-31,7.68880643,7.846712,7.5734136,7.846712,1031645
2005-01-03,8.23945291,8.23945291,8.03700935,8.23945291,1122510
2005-01-04,8.50262954,8.65243818,8.30828372,8.35484574,2217531
2005-01-05,8.4945318,8.75568399,7.94186088,8.13013339,1564929
2005-01-06,8.4945318,8.4945318,7.77585716,8.14632928,765991
2005-01-07,8.30018598,8.42165171,8.05725371,8.2273063,467957
2005-01-10,8.61599834,8.61599834,8.09774242,8.1645492,301244
2005-01-11,8.13823113,8.1989642,7.81432103,7.90137176,346738
2005-01-12,7.95603193,8.08357137,7.61187747,7.85481015,547016
2005-01-13,7.87505491,8.04915556,7.81432103,7.88315184,243574
2005-01-14,7.89529886,7.97627669,7.65236659,7.73739329,96471
2005-01-17,7.69487933,7.85481015,7.35275012,7.48636287,266419
2005-01-18,7.60782941,7.77383313,7.53090045,7.60782941,186027
2005-01-19,7.57138957,7.75966208,7.57138957,7.5794865,146287
2005-01-20,7.57746247,7.71714812,7.47016779,7.6584403,130085
2005-01-24,7.6928553,8.04308266,7.6928553,8.00259354,686215
2005-01-25,8.01676459,8.30018598,7.98032475,8.22123299,568108
2005-01-27,8.34067469,8.54311825,8.20301307,8.44189647,924652
2005-01-28,8.54311825,8.74151294,8.46214083,8.676731,1354945
2005-01-31,8.90751666,9.27191507,8.78605093,9.20105982,1519361
2005-02-01,9.31240378,9.59582517,9.10793619,9.35086765,1044883
2005-02-02,9.59582517,10.28615771,9.56140936,10.28615771,2625694
2005-02-03,10.89146355,11.29635068,10.52706515,10.97851429,3726939
