Date,Open,High,Low,Close,Volume
2003-09-05,9.95,10.3,9.85,9.95,93398
2003-09-08,9.5,10.25,9.5,10.05,68541
2003-09-09,10.6,10.6,9.55,9.7,62781
2003-09-10,9.4,9.7,9.25,9.6,47204
2003-09-11,9.1,10,9.1,9.4,80304
2003-09-12,9.8,10.05,9.4,9.45,73653
2003-09-15,9.55,9.9,9.55,9.75,61402
2003-09-16,9,10,9,9.75,73430
2003-09-17,9.9,10,9.7,9.75,22060
2003-09-18,9.85,9.85,9.35,9.6,42487
2003-09-19,9.5,9.7,9.15,9.3,38543
2003-09-22,9.65,9.65,9.1,9.15,20259
2003-09-23,9.95,9.95,8.95,9,40970
2003-09-24,9,9.2,8.95,9,88311
2003-09-25,9.05,9.25,8.95,8.95,34175
2003-09-26,8.9,9.3,8.9,9.2,18552
2003-09-29,9.5,9.7,9.15,9.2,84760
2003-09-30,10.85,10.85,9.1,9.8,117358
2003-10-01,10.05,10.05,9.4,9.5,33105
2003-10-03,9.95,9.95,9.5,9.6,22947
2003-10-06,9.55,9.95,9.55,9.75,25347
2003-10-07,9.5,9.8,9.35,9.5,48298
2003-10-08,9.75,9.8,9.4,9.55,25540
2003-10-09,9.85,10,9.6,9.9,72655
2003-10-10,11.5,11.5,9.75,9.85,28756
2003-10-13,10.3,10.8,9.8,10.4,159908
2003-10-14,11.1,11.1,9.95,10.05,50260
2003-10-15,10.6,10.6,9.6,9.95,42069
2003-10-16,9.6,10.2,9.6,10.1,26166
2003-10-17,10,10.25,9.85,9.95,36173
2003-10-20,10,10.25,9.75,9.8,34250
2003-10-21,9.65,9.7,9.4,9.4,25692
2003-10-22,9.45,9.9,9.35,9.45,11535
2003-10-23,9.5,9.7,9.5,9.55,7675
2003-10-24,10.05,10.45,9.45,9.55,43155
2003-10-25,10,10,9.5,9.85,2900
2003-10-27,9.6,9.85,9.6,9.65,7000
2003-10-28,9.55,9.9,9.5,9.65,14580
2003-10-29,9.5,9.55,9.2,9.2,37955
2003-10-30,9.25,9.4,9.1,9.3,13600
2003-10-31,9.15,9.45,9.15,9.3,13150
2003-11-03,9.4,9.4,9.2,9.3,23844
2003-11-04,9.2,9.4,9.15,9.2,40161
2003-11-05,9.2,9.3,9.05,9.25,24877
2003-11-06,9.15,9.75,9.05,9.5,40182
2003-11-07,9.5,10.1,9.5,9.7,129938
2003-11-10,10.4,10.4,9.65,9.8,33435
2003-11-11,9.85,10.05,9.7,10,124023
2003-11-12,10.1,11.2,10.1,10.85,274340
2003-11-13,11.25,11.25,10.1,10.25,113354
2003-11-14,10,10.6,9.8,9.85,87307
2003-11-15,10.1,10.6,9.95,10.35,32881
2003-11-17,11.2,11.2,10.3,10.4,77265
2003-11-18,10.5,10.75,10.05,10.2,94550
2003-11-19,10.1,10.45,9.9,10,169810
2003-11-20,10.55,11.8,10.35,10.75,601687
2003-11-21,11,11,10.3,10.7,203329
2003-11-24,11.05,11.15,10.8,10.95,125891
2003-11-25,10.85,11.55,10.75,10.85,185263
2003-11-27,10.85,11.4,10.85,11.2,265133
2003-11-28,11.4,11.4,10.9,11,129003
2003-12-01,11.25,12.5,11,11.9,529750
2003-12-02,12,12.5,11.5,11.65,298188
2003-12-03,11.95,12.25,11.7,11.9,256098
2003-12-04,12.1,12.25,11.5,11.65,209003
2003-12-05,12,13,11.9,12.15,1020974
2003-12-08,12.9,13.45,12.6,13.35,1098491
2003-12-09,14.1,15,13.7,14.4,1573281
2003-12-10,14.7,15.4,14.3,14.85,968948
2003-12-11,15.15,15.7,14.35,14.9,587566
2003-12-12,15.4,15.4,14,14.2,468314
2003-12-15,14.85,15.25,14.45,14.55,528277
2003-12-16,14.7,14.7,14,14.1,276515
2003-12-17,14.45,14.7,13.9,14.05,329493
2003-12-18,14.3,15,14.15,14.65,511587
2003-12-19,15.1,15.15,14.4,14.5,296807
