Date,Open,High,Low,Close,Volume
2024-04-16,125,131.25,123,131.25,2850000
2024-04-18,137.8,137.8,137.8,137.8,79200
2024-04-19,144.65,144.65,144.65,144.65,86400
2024-04-22,151.85,151.85,151.85,151.85,32400
2024-04-23,159.4,159.4,159.4,159.4,39600
2024-04-24,167.35,167.35,161.15,167.35,1201200
2024-04-25,164.9,175.7,159,175.7,897600
2024-04-26,184.45,184.45,184.45,184.45,115200
2024-04-29,193.65,193.65,193.65,193.65,20400
2024-04-30,203.3,203.3,203.3,203.3,25200
2024-05-02,223,223.6,212.5,223.6,1210800
2024-05-03,232,245.95,206.65,245.95,943200
2024-05-06,268.8,268.8,225.25,256.75,808800
2024-05-07,256.75,257.5,243.95,243.95,273600
2024-05-08,231.75,231.75,231.75,231.75,54000
2024-05-09,225.1,243.3,220.2,220.2,1167600
2024-05-10,209.2,231.2,209.2,230.2,962400
2024-05-13,225.3,231,218.7,221.95,231600
2024-05-14,220,233,220,233,194400
2024-05-15,233,237,221.35,221.35,193200
2024-05-16,224.9,226,214,223.15,135600
2024-05-17,226,227.4,219.9,220.45,78000
2024-05-18,220.45,222.35,211.05,215.3,56400
2024-05-21,220.65,220.65,204.55,205.6,246000
2024-05-22,207,209.75,195.35,195.35,122400
2024-05-23,192,205.1,192,205.1,381600
2024-05-24,209.8,209.8,198,199.15,216000
2024-05-27,209.1,209.1,209.1,209.1,7200
2024-05-28,219.55,219.55,219.55,219.55,6000
2024-05-29,230.5,230.5,230.5,230.5,7200
2024-05-30,242,242,242,242,16800
2024-05-31,254.1,254.1,250,254.1,992400
2024-06-03,266.8,266.8,266.8,266.8,16800
2024-06-04,280.1,280.1,255.05,280.1,1216800
2024-06-05,294.1,294.1,277,294.1,386400
2024-06-06,308.8,308.8,308.8,308.8,10800
2024-06-07,324.2,324.2,324.2,324.2,4800
2024-06-10,340.4,340.4,340.4,340.4,44400
2024-06-11,357.4,357.4,357.4,357.4,1200
2024-06-12,375.25,375.25,361,375.25,270000
2024-06-13,394,394,390,394,128400
2024-06-14,400,413.7,374.3,394.2,513600
2024-06-18,412,413.9,394.2,413.9,218400
2024-06-19,434.55,434.55,426.5,434.55,69600
2024-06-20,456,456.25,456,456.25,4800
2024-06-21,479.05,479.05,479.05,479.05,27600
2024-06-24,503,503,503,503,13200
2024-06-25,528.15,528.15,528.15,528.15,16800
2024-06-26,549,554.55,501.75,554.55,584400
2024-06-27,567,582.25,526.85,528.3,360000
2024-06-28,543.95,543.95,501.9,501.9,168000
2024-07-01,477.3,526.95,476.8,526.95,318000
2024-07-02,553.25,553.25,552,553.25,50400
2024-07-03,580.9,580.9,580.9,580.9,9600
2024-07-04,609.9,609.9,551.85,551.9,265200
2024-07-05,536.25,573,525.7,532.75,225600
2024-07-08,534.4,551,516,524.75,98400
2024-07-09,524,528.8,498.55,498.55,98400
2024-07-10,478,513.95,473.65,476.25,177600
2024-07-11,490,500.05,490,493.2,105600
2024-07-12,478,483,468.55,469.3,103200
2024-07-15,483,483,445.85,445.85,81600
2024-07-16,423.55,436,423.55,427.8,156000
2024-07-18,406.45,425,406.45,410.6,123600
2024-07-19,405,431.1,390.1,428.25,171600
2024-07-22,427.7,449.65,406.85,449.65,121200
2024-07-23,472.1,472.1,427.2,472.1,154800
2024-07-24,485,495.7,483,495.7,50400
2024-07-25,495.7,520.45,495.7,520.45,27600
2024-07-26,546.45,546.45,497,517,121200
2024-07-29,516,516,491.15,491.15,61200
2024-07-30,515.7,515.7,495,509,50400
2024-07-31,514.8,514.8,483.55,483.55,60000
2024-08-01,460.1,460.1,459.4,459.4,37200
2024-08-02,437.6,469,436.45,438.25,76800
2024-08-05,416.35,437,416.35,416.35,69600
2024-08-06,437,437.15,413,425,54000
2024-08-07,432,445,424,444.4,24000
2024-08-08,448,461,422.2,422.2,42000
2024-08-09,443.3,443.3,443.3,443.3,9600
2024-08-12,465.45,465.45,451.4,454.05,50400
2024-08-13,469.9,476.75,467,476.75,26400
2024-08-14,500.5,500.55,487,500.55,86400
2024-08-16,510,510,475.55,475.55,62400
2024-08-19,475.55,498.95,475.55,495,40800
2024-08-20,490,490,470.25,480.25,46800
2024-08-21,470,504.25,470,504.25,56400
2024-08-22,529.45,529.45,529,529.45,43200
2024-08-23,555.9,555.9,555.9,555.9,20400
2024-08-26,583.65,583.65,583.65,583.65,10800
2024-08-27,612.8,612.8,612.8,612.8,20400
2024-08-28,643.4,643.4,643.4,643.4,2400
2024-08-29,675.55,675.55,611.25,611.25,199200
2024-08-30,590,606,580.7,590.5,67200
2024-09-02,612,620,601.5,618.4,72000
2024-09-03,620,645,587.5,634.7,78000
2024-09-04,623,649,603,639.95,48000
2024-09-05,671.9,671.9,671.9,671.9,13200
2024-09-06,699,705.45,699,705.45,20400
2024-09-09,740.65,740.7,705,740.7,200400
2024-09-10,774,774,703.7,703.7,79200
2024-09-11,708,709,668.55,668.55,102000
2024-09-12,684,687,635.15,640.05,141600
2024-09-13,649,649,608.05,612.8,73200
2024-09-16,600,634.9,582.2,611.85,124800
2024-09-17,610.1,628,581.5,592.9,34800
2024-09-18,610,610,563.25,573.1,54000
2024-09-19,573,601.75,545,595.15,75600
2024-09-20,621,624.9,621,624.9,31200
2024-09-23,625,630,600,625,24000
2024-09-24,643,643,596.05,617,14400
2024-09-25,617,630,600,625,33600
2024-09-26,620,620,593.75,594.4,34800
2024-09-27,595,605,575,592.75,31200
2024-09-30,593,600,575,583.65,21600
2024-10-01,575,585,565,580,20400
2024-10-03,580,609,565.1,606.25,42000
2024-10-04,600,604,582.05,604,14400
2024-10-07,574.5,588,573.8,573.8,39600
2024-10-08,545.15,568,545.15,547.5,123600
2024-10-09,520.15,568,520.15,544.5,194400
2024-10-10,544.5,544.5,517.3,517.3,87600
2024-10-11,516.45,523,502,512.6,32400
2024-10-14,504,523,492.7,520.1,55200
2024-10-15,521,521,494.1,494.65,116400
2024-10-16,500,519.35,480,513.25,85200
2024-10-17,518,520,500,515,14400
2024-10-18,499,502,489.3,489.45,28800
2024-10-21,472.05,472.05,465,465,46800
2024-10-22,442.15,460,441.75,441.75,45600
2024-10-23,435,462.7,421.3,461,33600
2024-10-24,441.55,455,438,440.85,14400
2024-10-25,423.7,423.7,418.8,418.8,28800
2024-10-28,401.05,439.2,401.05,436.4,40800
2024-10-29,436.4,440,434,434,8400
2024-10-30,440.1,455.7,440.1,455.7,10800
2024-10-31,478.45,478.45,473.4,478.45,11000
2024-11-01,502.35,502.35,502.35,502.35,4400
2024-11-04,527.45,527.45,527.45,527.45,14200
2024-11-05,516.9,516.9,516.9,516.9,28600
2024-11-06,506.6,507,506.6,506.6,13600
2024-11-07,498,512,496.5,512,26200
2024-11-08,521,522.2,501.8,501.8,39000
2024-11-11,491.8,491.85,491.8,491.8,22000
2024-11-12,482,482,482,482,14600
2024-11-13,472.4,472.4,472.4,472.4,7200
2024-11-14,462.95,462.95,462.95,462.95,10600
2024-11-18,462.95,472.2,462.95,472.2,14000
2024-11-19,481.6,481.6,481.6,481.6,3600
2024-11-21,491.2,491.2,491.2,491.2,12400
2024-11-22,501,501,501,501,3800
2024-11-25,511,511,507.95,507.95,29800
2024-11-26,507.6,507.6,497.8,497.8,18000
2024-11-27,507,507,505,505,18400
2024-11-28,515,515,494.9,494.9,9800
2024-11-29,494,495.05,494,495.05,16400
2024-12-02,500,504.95,500,504.95,23400
2024-12-03,515,515,515,515,28800
2024-12-04,504.7,515.15,504.7,515,23800
2024-12-05,525.2,525.3,525.2,525.3,16200
2024-12-06,535.8,535.8,535.8,535.8,30800
2024-12-09,562.55,562.55,562.55,562.55,4000
2024-12-10,590.65,590.65,590.65,590.65,15800
2024-12-11,620.15,620.15,620.15,620.15,15400
2024-12-12,620.15,644,589.15,625.2,137400
2024-12-13,622,637,593.95,632.35,61200
2024-12-16,630.55,650,601,617.95,40200
2024-12-17,623.9,646.95,620,634.1,43600
2024-12-18,660,660,616.2,628.8,26400
2024-12-19,628,638.9,606.5,618.35,24200
2024-12-20,623.8,623.8,592.3,597.75,25000
2024-12-23,620,620,571,574.85,19200
2024-12-24,560.5,586,558.2,562.25,20600
2024-12-26,570,587,550,569.65,42600
2024-12-27,579.9,589,570,580.5,27200
2024-12-30,604.4,609.5,590,599.8,34400
2024-12-31,596,596,569.85,583.3,29600
2025-01-01,561,592.5,561,588.95,18800
2025-01-02,594,607.95,593,597.2,16200
2025-01-03,611,618,579,610.25,24200
2025-01-06,597,605,579.75,583.55,34200
2025-01-07,590,605,586,597.9,36000
2025-01-08,597.9,612.9,597,605.1,39000
2025-01-09,605.3,605.4,580,581.4,18800
2025-01-10,582,592.85,555.1,587.05,20200
2025-01-13,590,590,557.7,557.7,43000
2025-01-14,557.7,561.95,529.85,558.6,37400
2025-01-15,572,572,552,559.75,10600
2025-01-16,560,560,531.8,545.2,42400
2025-01-17,537,572.45,530,572.25,35400
2025-01-20,580,594.85,556.25,562.7,26800
2025-01-21,560,560.05,536.1,546.05,23000
2025-01-22,546.05,550,518.75,518.75,51200
2025-01-23,501.3,515,492.85,496.45,66400
2025-01-24,495,509.9,471.65,475.7,33800
2025-01-27,470,470,451.95,451.95,37400
2025-01-28,429.35,465.5,429.35,435.1,88400
2025-01-29,444,456.85,435,456.75,68200
2025-01-30,479.55,479.55,460,476.45,55200
2025-01-31,487.95,487.95,452.65,454.5,65000
2025-02-01,454.5,473.5,433,452.9,27600
2025-02-03,441,444,430.25,430.25,45400
2025-02-04,430.25,430.25,408.75,408.85,90000
2025-02-05,408.85,415,396,410.8,53200
2025-02-06,426,426,392,409.95,66200
2025-02-07,409,419,395,401.9,63200
2025-02-10,401.9,415,386,408.2,78200
2025-02-11,400,406.95,387.8,387.8,63400
2025-02-12,369.3,393.1,368.45,382.1,73400
2025-02-13,386.4,400,371,383,32800
2025-02-14,386,386,363.85,364.2,52400
2025-02-17,364.2,364.2,346,346,27800
2025-02-18,329.05,335,328.7,328.7,46400
2025-02-19,313.5,344.9,313.5,330.35,60000
2025-02-20,330.35,346.85,314,346.85,35000
2025-02-21,350,364.15,350,364,44800
2025-02-24,360,360,345.8,347.5,33200
2025-02-25,357,364.85,335.1,360.4,53000
2025-02-27,367.05,369.5,342.4,346.3,55000
2025-02-28,346,346,329,329,33400
2025-03-03,318.95,337.35,312.55,319.7,49000
2025-03-04,304.6,328.7,303.75,306.45,64800
2025-03-05,317.45,321.75,312.2,321.75,37800
2025-03-06,337.8,337.8,336,337.8,19600
2025-03-07,354.65,354.65,326.3,335.9,51200
2025-03-10,340,340,319.1,319.4,50200
2025-03-11,305,314.25,303.45,307.55,50800
2025-03-12,307.55,314.9,292.2,293.55,48400
2025-03-13,295.3,298,278.9,279.95,47200
2025-03-17,293.9,293.9,286,291.85,118200
2025-03-18,294,306.4,277.25,302.95,92400
2025-03-19,298.9,318.05,288.3,317.85,63000
2025-03-20,324.9,328.8,305,312.85,46800
2025-03-21,319.95,328.45,315.4,328.45,29800
2025-03-24,344.25,344.85,331.05,341.95,79800
2025-03-25,335.15,335.15,335.15,335.15,7400
2025-03-26,328.45,328.45,328.45,328.45,3200
2025-03-27,321.9,321.9,321.9,321.9,18200
2025-03-28,315.5,315.5,315.5,315.5,34200
2025-04-01,309.2,309.2,309.2,309.2,11800
2025-04-02,315.35,315.35,315.35,315.35,8400
2025-04-03,321.65,321.65,321.65,321.65,1000
2025-04-04,328.05,328.05,328.05,328.05,6000
2025-04-07,321.5,321.5,321.5,321.5,18000
2025-04-08,327.9,327.9,327.9,327.9,4400
2025-04-09,334,334.45,334,334.45,13600
2025-04-11,341.1,341.1,341,341.1,6400
2025-04-15,347.9,347.9,347.9,347.9,3600
2025-04-16,354.85,354.85,353.1,354.85,5000
2025-04-17,361.9,361.9,361.9,361.9,14800
2025-04-21,369.1,369.1,369.1,369.1,1800
2025-04-22,376.45,376.45,376.45,376.45,1600
2025-04-23,383.95,383.95,380,383.95,5200
2025-04-24,391.6,391.6,391.6,391.6,2400
2025-04-25,399.4,399.4,383.8,384,61600
2025-04-28,376.35,376.35,376.35,376.35,7600
2025-04-29,368.85,368.85,368.85,368.85,8200
2025-04-30,361.5,370.05,361.5,369,20000
2025-05-02,376.35,376.35,369,376,10200
2025-05-05,383.5,383.5,383.5,383.5,9400
2025-05-06,384.9,384.9,375.85,375.85,14600
2025-05-07,368.35,368.35,368.35,368.35,1400
2025-05-08,361,361,361,361,1000
2025-05-09,353.8,353.8,353.8,353.8,1400
2025-05-12,346.75,346.75,346.75,346.75,1800
2025-05-13,339.85,339.85,339.85,339.85,600
2025-05-14,333.05,333.05,333.05,333.05,1400
2025-05-15,326.4,326.4,326.4,326.4,1800
2025-05-16,319.9,319.9,319.9,319.9,1800
2025-05-19,303.9,303.9,303.9,303.9,6200
2025-05-20,288.7,288.7,288.7,288.7,6200
2025-05-21,274.3,274.3,274.3,274.3,4200
2025-05-22,260.6,260.6,260.6,260.6,4800
2025-05-23,247.6,247.6,247.6,247.6,3600
2025-05-26,235.25,235.25,235.25,235.25,5200
2025-05-27,223.5,223.5,223.5,223.5,7200
2025-05-28,212.35,234.65,212.35,234.6,462800
2025-05-29,233,244,222.9,225.15,136000
