Date,Open,High,Low,Close,Volume
2007-04-02,14.15,14.15,12.55,12.83,1501
2007-04-03,13,13,13,13,1
2007-04-04,12.76,13,12.76,13,20
2007-04-05,13.11,13.11,12.95,12.95,6608
2007-04-10,13.02,13.02,12.82,13,125
2007-04-11,13.5,13.5,13.25,13.25,2000
2007-04-12,13.8,13.85,13.8,13.85,20
2007-04-17,13.51,14.78,13.51,14,140
2007-04-18,14.85,14.85,14.85,14.85,250
2007-04-20,14.85,14.85,14.28,14.59,320
2007-04-23,14,14.21,14,14.21,250
2007-04-25,14,14.1,14,14.1,2600
2007-04-26,14.6,14.63,14.2,14.21,260
2007-05-04,14.2,14.2,14.2,14.2,737
2007-05-07,13.8,13.8,13.8,13.8,30
2007-05-09,14.19,14.19,13.99,13.99,100
2007-05-10,14.01,14.01,14,14,250
2007-05-11,14.12,14.12,14.05,14.05,100
2007-05-14,14.15,14.18,14.15,14.17,150
2007-05-15,14.5,14.98,14.5,14.98,920
2007-05-16,16,16,14.55,14.55,223
2007-05-17,14.7,14.75,14.7,14.75,501
2007-05-18,14.5,14.8,14.5,14.5,184
2007-05-21,14.97,15,14.97,15,251
2007-05-22,14.62,14.9,14.62,14.9,650
2007-05-23,14.57,14.6,14.56,14.6,200
2007-05-25,16,16,16,16,551
2007-05-28,15.41,15.58,15.41,15.58,150
2007-05-29,15.55,15.65,14.6,15.08,1181
2007-05-30,14.99,15.8,14.99,15.29,354
2007-05-31,15.29,15.29,15,15,20
2007-06-01,14.6,14.95,14.5,14.95,611
2007-06-04,14.51,14.51,14.51,14.51,200
2007-06-05,14.55,14.55,14.55,14.55,260
2007-06-06,14.99,14.99,14.51,14.51,30
2007-06-07,14.5,14.89,14.5,14.88,1285
2007-06-08,14.5,14.51,14.5,14.51,265
2007-06-12,14.5,14.5,14.5,14.5,375
2007-06-13,14.5,14.98,14.5,14.98,183
2007-06-14,14.85,14.87,14.85,14.87,200
2007-06-15,14.5,14.5,14.5,14.5,200
2007-06-18,14.5,14.5,14.5,14.5,100
2007-06-19,14.5,14.84,14.5,14.8,606
2007-06-20,14.5,15.8,14.5,15.69,1286
