Date,Open,High,Low,Close,Volume
2017-10-05,45,47.4,42.1,43.05,1032000
2017-10-06,46.75,46.75,42.75,43.35,252000
2017-10-09,43.05,45,43.05,44.25,153000
2017-10-10,45.6,48.5,45.05,47.4,183000
2017-10-11,48.8,49.95,47,48.1,87000
2017-10-12,47,48.75,45.5,46.3,75000
2017-10-13,46.2,46.2,45.25,45.6,18000
2017-10-16,46.15,46.15,44.6,44.6,15000
2017-10-17,44.9,45,44.9,45,9000
2017-10-18,47,47.1,46.1,46.1,15000
2017-10-19,48.6,48.6,46.4,47.05,15000
2017-10-23,46,47,46,47,12000
2017-10-24,46.1,46.1,45.7,45.7,9000
2017-10-25,46.5,46.5,46,46,9000
2017-10-26,46,46.5,45.1,45.8,9000
2017-10-27,46.1,46.1,45.25,45.55,27000
2017-10-30,46.5,46.5,45.35,45.5,21000
2017-10-31,45.9,45.9,45.9,45.9,3000
2017-11-01,45.6,47,45.25,45.35,12000
2017-11-02,46.6,46.75,45.25,46.1,12000
2017-11-06,45.5,46,45.1,45.1,18000
2017-11-07,45.5,45.5,45,45,6000
2017-11-08,45,45,44.5,44.5,6000
2017-11-09,44.5,44.5,44,44,6000
2017-11-10,44.1,44.1,43.1,43.5,18000
2017-11-13,45,45,45,45,3000
2017-11-15,46.75,46.75,45,45.5,12000
2017-11-16,45,45,44,44,6000
2017-11-17,46.4,47.2,44.95,46,51000
2017-11-20,46.75,46.9,45.25,45.25,15000
2017-11-22,44.3,47,44.3,46.5,30000
2017-11-24,46.85,46.85,46.75,46.75,6000
2017-11-27,44.5,46.95,44.5,46.95,6000
2017-11-28,45.6,45.75,45,45.05,30000
2017-11-29,44,46,44,45,18000
2017-11-30,44.5,54,44.15,54,165000
2017-12-01,57.5,62.5,57.05,60,69000
2017-12-04,59,60,57,57,18000
2017-12-05,55.2,55.2,55,55,6000
2017-12-06,53.5,53.55,51,51,12000
2017-12-07,52.8,61.2,52.8,61.15,45000
2017-12-08,64.4,64.95,60.1,61.9,51000
2017-12-11,64.85,64.85,60.1,60.1,9000
2017-12-12,62.3,62.3,60.1,62,9000
2017-12-13,59.1,59.1,59,59.05,6000
2017-12-15,59.6,59.6,59.55,59.55,9000
2017-12-19,63.4,65.8,58,63.35,75000
2017-12-20,63,65.5,63,65.5,6000
2017-12-21,66.4,66.4,63.95,63.95,27000
2017-12-22,64,64.9,63,64.9,15000
2017-12-26,68.5,70,64.25,64.25,18000
2017-12-27,63.65,66.8,63.6,66.8,9000
2017-12-28,65.75,65.8,65.75,65.8,6000
2017-12-29,63.2,63.4,63.2,63.4,9000
2018-01-01,63.8,66.5,63.4,63.75,27000
2018-01-02,63.1,66.9,61,63.25,30000
2018-01-03,64.5,65.25,64.5,65,15000
2018-01-04,63.2,63.2,63.2,63.2,3000
2018-01-08,62.1,62.1,62.05,62.05,6000
2018-01-10,63,63,62.25,62.25,6000
2018-01-11,62,62,61,62,9000
2018-01-12,61,61,61,61,9000
2018-01-15,61.5,61.5,61,61.5,12000
2018-01-16,60,60,59,59,6000
2018-01-18,60,61,60,61,9000
2018-01-19,64.1,64.1,59,60.9,21000
2018-01-22,63.8,63.8,63.8,63.8,3000
2018-01-23,61,61,60.05,60.5,24000
2018-01-24,60.1,60.5,60,60,21000
2018-01-25,60.5,60.5,60,60.25,27000
2018-01-29,59.1,60,57,58,18000
2018-01-30,59,59,58,58,6000
2018-02-02,57,57,54,55.7,18000
2018-02-05,54.5,54.5,54,54,6000
2018-02-06,50.1,50.5,45.2,50.5,9000
2018-02-07,54,55,54,55,6000
2018-02-08,60,60,60,60,3000
2018-02-12,58,58,58,58,3000
2018-02-14,69,69,57,60,9000
2018-02-19,56,56,55,55,9000
2018-02-26,55,55.35,55,55.25,39000
2018-02-28,55,55,54,55,9000
2018-03-05,55.5,56,55,56,9000
2018-03-07,55,55.1,55,55.1,24000
2018-03-08,55,56,55,55,12000
2018-03-12,55,56.5,55,56.5,6000
2018-03-13,58.5,59.95,55,55.95,114000
2018-03-14,55.1,55.1,55.1,55.1,3000
2018-03-19,55,55,55,55,3000
2018-03-20,55,55,55,55,3000
2018-03-21,56,56,56,56,9000
2018-03-22,55,55,52,52,18000
2018-03-23,50.7,50.7,50.7,50.7,3000
2018-03-26,51,52.9,48,48,75000
2018-03-28,55,55,55,55,3000
2018-04-02,55,55.7,55,55.7,6000
2018-04-05,55,55,55,55,3000
2018-04-09,55,55,55,55,3000
2018-04-10,55,55,55,55,6000
2018-04-11,55,58.5,55,58.5,6000
2018-04-16,59,60.8,59,60.8,6000
2018-04-17,60,60,60,60,9000
2018-04-19,60,60,60,60,3000
2018-04-24,57.05,57.05,57,57,9000
2018-04-25,56.1,60,56,60,12000
2018-04-26,56,58,56,58,12000
2018-05-03,55.1,55.1,55,55.1,12000
2018-05-04,55,55,55,55,3000
2018-05-16,52.5,52.5,52,52,6000
2018-05-22,53,53,53,53,3000
2018-05-25,52,52,52,52,3000
2018-05-29,50,50,50,50,6000
2018-05-30,50,53.8,50,51.9,9000
2018-05-31,54.9,54.9,52,52,12000
2018-06-01,50,53,48.1,52.9,36000
2018-06-05,48,48,48,48,6000
2018-06-15,45,45,45,45,3000
2018-06-18,45.5,45.5,45,45,12000
2018-06-19,47.1,47.1,47.1,47.1,3000
2018-06-20,43.1,47.2,43.1,45.55,15000
2018-06-21,46,49,46,49,27000
2018-06-22,47,49,47,49,6000
2018-06-25,45.1,49.9,43,49.9,60000
2018-06-27,45,48.8,45,47.65,51000
2018-06-29,49.7,49.7,49.7,49.7,3000
2018-07-03,45,45,45,45,3000
2018-07-06,45,45,45,45,3000
2018-07-16,45,49.2,45,46.35,66000
2018-07-17,49,49,49,49,3000
2018-07-23,48.95,48.95,45,45.1,9000
2018-07-25,47.9,47.9,47.9,47.9,3000
2018-07-26,49.7,49.7,49.7,49.7,3000
2018-07-31,46,46,46,46,3000
2018-08-10,45.25,45.25,45.25,45.25,3000
2018-08-14,47.9,48,47.9,48,6000
2018-08-20,46.05,46.05,45,45.55,42000
2018-08-21,45.1,46.9,44.95,46.9,45000
2018-08-27,45,45,45,45,3000
2018-08-28,45,45,45,45,9000
2018-08-29,45.1,45.1,45.05,45.05,6000
2018-08-30,45.05,45.05,45.05,45.05,3000
2018-09-03,45,45.2,45,45.2,6000
2018-09-12,45.1,45.1,45.1,45.1,3000
2018-09-17,45,45.1,45,45.1,6000
2018-09-18,45.1,49,45.1,47.05,6000
2018-09-19,45.3,45.3,45.3,45.3,3000
2018-09-21,45.1,45.1,45.1,45.1,3000
2018-09-24,45.5,45.5,45.1,45.1,12000
2018-09-25,45.1,45.1,45.1,45.1,9000
2018-09-26,47,48.9,47,48.9,15000
2018-09-27,45,45,45,45,3000
2018-09-28,45,45,45,45,6000
2018-10-01,45,45,45,45,3000
2018-10-03,45,45,45,45,3000
2018-10-08,43,43,42,42.5,9000
2018-10-09,42.6,42.6,41.5,41.5,39000
2018-10-10,41,46.8,40,46.35,78000
2018-10-11,45.45,45.5,41.3,45.5,36000
2018-10-19,42,42,42,42,6000
2018-10-22,41.75,42,41.75,41.85,9000
2018-10-23,42.05,44.3,42,43,12000
2018-10-24,42.25,42.25,42.25,42.25,3000
2018-11-19,42.25,42.25,42.2,42.2,6000
2018-11-20,42.1,44,42.1,44,6000
2018-12-03,43.2,43.2,43.2,43.2,3000
2018-12-04,43,43,43,43,3000
2018-12-07,42,42,42,42,6000
2018-12-14,42,44.7,42,44.7,21000
2018-12-18,45.5,45.5,45.5,45.5,9000
2018-12-19,45,45,44,44.45,24000
2018-12-20,46.1,46.1,46.1,46.1,9000
2018-12-21,43.3,46.25,43.25,46.05,30000
2018-12-24,45.75,45.75,45.75,45.75,9000
2018-12-26,46.95,46.95,46.95,46.95,3000
2018-12-27,46.8,46.8,46.8,46.8,9000
2018-12-28,46.45,46.45,43,44.45,30000
2018-12-31,45.9,45.9,45.9,45.9,6000
2019-01-01,46.45,46.45,46.45,46.45,9000
2019-01-02,47.55,47.55,47.55,47.55,12000
2019-01-03,47.4,47.4,44,44.5,15000
2019-01-04,47.35,47.35,47.35,47.35,9000
2019-01-07,47.65,47.65,47.15,47.15,12000
2019-01-08,47.65,47.65,47.65,47.65,12000
2019-01-09,47.6,47.65,45.5,46.95,36000
2019-01-15,46.5,46.5,46.5,46.5,3000
2019-01-18,43.1,43.2,43.1,43.2,6000
2019-01-21,43.4,46.2,43.2,43.2,18000
2019-01-22,42,42,42,42,3000
2019-01-23,42.5,42.5,42,42.25,12000
2019-01-25,41.5,41.5,41,41,6000
2019-02-01,42,43,41.7,42.2,45000
2019-02-08,41.2,41.2,41.2,41.2,3000
2019-02-12,44.35,47.9,44.35,47.9,9000
2019-02-13,41.2,45.4,41.2,44.9,18000
2019-02-25,40.6,40.6,40.6,40.6,3000
2019-02-26,40.5,40.5,40.1,40.1,6000
2019-02-27,42,42,42,42,3000
2019-03-07,40.1,40.1,40.1,40.1,6000
2019-03-08,40.4,40.4,40.4,40.4,3000
2019-03-15,40.1,40.1,40.1,40.1,6000
2019-03-18,41.6,43.1,40.2,43.1,18000
2019-03-19,40.3,43.05,40.2,43.05,24000
2019-03-25,40.05,41.1,40.05,41.1,6000
2019-03-27,40.1,42,40.1,42,6000
2019-03-29,41,50,41,50,27000
2019-04-01,42,42,42,42,3000
2019-04-02,43,43,43,43,3000
2019-04-16,41,41,41,41,3000
2019-04-23,41,41,41,41,3000
2019-04-25,41.3,41.3,41.1,41.2,9000
2019-05-02,40.2,40.2,40.1,40.1,6000
2019-05-03,40.1,40.1,40.1,40.1,3000
2019-05-06,40.1,40.1,40.1,40.1,6000
2019-05-07,40.1,40.1,40.1,40.1,3000
2019-05-08,40.1,40.1,40.1,40.1,3000
2019-05-09,40.05,40.05,40.05,40.05,3000
2019-05-13,40.05,40.05,40.05,40.05,6000
2019-05-14,40.05,40.05,40.05,40.05,6000
2019-05-15,40.05,40.05,40.05,40.05,3000
2019-05-16,40.5,42,40.1,40.1,39000
