Date,Open,High,Low,Close,Volume
2003-09-05,68,68.25,66.1,66.75,37220
2003-09-08,69.05,69.5,64.85,66.15,188005
2003-09-09,65.25,73.25,65.25,70.75,239076
2003-09-10,72.35,72.35,68.6,70.05,156955
2003-09-11,67.7,71.5,67.7,68.15,71372
2003-09-12,70.6,74.9,67.25,68.2,132392
2003-09-15,68,70.5,67.35,69.55,87804
2003-09-16,67.5,74.2,67.5,73.2,145565
2003-09-17,75,75.8,70.1,70.8,117473
2003-09-18,71,72.5,69.1,71.3,149541
2003-09-19,71.75,79.4,68.5,77.05,618463
2003-09-22,79.8,81,75.55,76,483986
2003-09-23,75.1,77.7,75,76.9,89570
2003-09-24,78.6,80.4,77,78.65,115823
2003-09-25,78,81.8,75.5,80.9,132432
2003-09-26,81.05,91.3,81.05,89.65,332205
2003-09-29,90,97.75,89.5,90.5,313077
2003-09-30,92.05,97.5,91,95.55,340475
2003-10-01,97,97,92,92.55,152347
2003-10-03,93.7,94.8,89.05,90.1,172455
2003-10-06,91.95,94,89.3,92,437603
2003-10-07,92.9,92.9,89.25,89.7,145287
2003-10-08,90.9,91.9,86.2,87.65,110283
2003-10-09,88.9,90.8,88.5,90,65675
2003-10-10,93.85,93.85,90,91.3,99995
2003-10-13,92.8,94,90.1,92.9,164225
2003-10-14,94.15,94.15,90.3,91.4,88444
2003-10-15,89.05,91.7,84.5,85.4,144739
2003-10-16,87.5,88.25,81.8,82.55,225277
2003-10-17,84.5,84.95,79.35,81.35,276069
2003-10-20,81,83.5,74,82.4,323975
2003-10-21,80,84,80,83.4,116336
2003-10-22,84,84,78.55,79,43080
2003-10-23,80.9,85.15,78.15,84,99444
2003-10-24,84.9,85,82.1,84,68590
2003-10-25,87.6,87.8,83.5,85.5,27043
2003-10-27,85,85,82.15,83.65,33143
2003-10-28,82,84.95,80.6,82.05,38275
2003-10-29,82.55,83.65,81,81.15,21240
2003-10-30,81.55,83.85,80.6,83.45,51647
2003-10-31,82.75,84.7,82.25,83.3,36563
2003-11-03,84.8,84.8,82.85,84.2,41365
2003-11-04,84.5,85.8,82.05,83.6,72659
2003-11-05,83,83.65,80.1,80.7,58564
2003-11-06,82.7,91.45,82.5,89.1,280884
2003-11-07,90.4,95,88,88.9,226761
2003-11-10,89.75,89.75,86.5,87.05,16722
2003-11-11,90,90.3,86.1,87.1,39339
2003-11-12,87.3,91.9,87.3,87.9,96783
2003-11-13,90.35,90.35,86,86.25,92222
2003-11-14,87,87.4,84,84.95,228944
2003-11-15,85,86,84.2,85.05,11685
2003-11-17,86.5,87.65,84.5,85,65619
2003-11-18,86.9,89,85.5,86.8,184627
2003-11-19,88.5,89.45,86,86.6,73679
2003-11-20,87,88,82.5,83.75,58894
2003-11-21,83.95,85,81.2,82.1,45041
2003-11-24,83.5,87,82.85,83.05,62626
2003-11-25,83.3,86,82.35,82.6,61424
2003-11-27,84,85.5,82.8,84.95,330869
2003-11-28,85.7,90,85,89.15,254013
2003-12-01,90,92,88.5,89.75,176683
2003-12-02,90.9,90.9,88,89.55,90166
2003-12-03,89,91,89,90.75,85619
2003-12-04,91,92.4,89.5,90.55,95153
2003-12-05,91.85,93,85.75,86.5,115456
2003-12-08,87.5,88.9,86.1,86.75,56047
2003-12-09,87,89.5,86.5,88.2,56830
2003-12-10,88,90,87.15,88.55,88208
2003-12-11,89.5,92,88.1,91.55,151835
