Date,Open,High,Low,Close,Volume
2009-01-30,4.06,4.61,1.87,3.01,251097
2009-02-02,2.61,3.13,2.41,2.41,54636
2009-02-03,2.03,2.03,1.93,1.93,21625
2009-02-04,1.55,1.55,1.55,1.55,8369
2009-02-05,1.24,1.25,1.24,1.24,3661
2009-02-06,1,1,1,1,34893
2009-02-09,0.9,0.9,0.9,0.9,12150
2009-02-10,0.81,0.9,0.81,0.81,12151
2009-02-11,0.73,0.89,0.73,0.73,208998
2009-02-12,0.67,0.78,0.66,0.69,91981
2009-02-13,0.69,0.76,0.65,0.76,64868
2009-02-16,0.78,0.8,0.73,0.76,66127
2009-02-17,0.74,0.78,0.74,0.76,21172
2009-02-18,0.74,0.76,0.72,0.73,21443
2009-02-19,0.73,0.74,0.69,0.7,5479
2009-02-20,0.67,0.71,0.67,0.67,10703
2009-02-24,0.65,0.68,0.64,0.64,12482
2009-02-25,0.62,0.66,0.61,0.61,14158
2009-02-26,0.61,0.62,0.59,0.59,2700
2009-02-27,0.59,0.62,0.57,0.59,8119
2009-03-02,0.56,0.6,0.56,0.56,1989
2009-03-03,0.55,0.55,0.53,0.53,14407
2009-03-04,0.53,0.55,0.51,0.51,2418
2009-03-05,0.49,0.5,0.49,0.49,1675
2009-03-06,0.47,0.47,0.47,0.47,2400
2009-03-09,0.44,0.44,0.44,0.44,1500
2009-03-12,0.42,0.43,0.42,0.42,2013
2009-03-13,0.42,0.42,0.41,0.42,4625
2009-03-16,0.4,0.42,0.4,0.4,4600
2009-03-17,0.4,0.42,0.38,0.4,9823
2009-03-18,0.42,0.42,0.4,0.42,4555
2009-03-19,0.44,0.44,0.44,0.44,1458
2009-03-20,0.46,0.47,0.46,0.47,6042
2009-03-23,0.44,0.49,0.44,0.48,4419
2009-03-24,0.47,0.49,0.46,0.47,20944
2009-03-25,0.47,0.49,0.45,0.47,4473
2009-03-26,0.48,0.48,0.44,0.47,6042
2009-03-27,0.46,0.49,0.46,0.48,728
2009-03-30,0.46,0.48,0.46,0.46,395
2009-03-31,0.44,0.48,0.44,0.46,2936
2009-04-01,0.45,0.47,0.44,0.47,3002
2009-04-02,0.46,0.48,0.46,0.47,7301
2009-04-06,0.47,0.48,0.47,0.48,2854
