Date,Open,High,Low,Close,Volume
2024-10-22,366.85,378.5,352.5,355.85,92705
2024-10-23,342.6,369,340.05,353.55,34282
2024-10-24,354.1,354.3,340,343.4,19992
2024-10-25,344.9,352.45,324,327.85,37639
2024-10-28,328.65,359.95,328.65,342.7,54041
2024-10-29,343.1,352.3,343.05,348.75,16040
2024-10-30,347.5,368,345,360.15,29702
2024-10-31,362.65,382,361.3,378.95,73156
2024-11-01,382.7,388,378.95,384,29574
2024-11-04,382,397.95,367,374.7,109688
2024-11-05,377,396,377,387.75,109955
2024-11-06,386.9,399,384.8,390.2,119062
2024-11-07,391.2,399.95,379.15,397.9,165729
2024-11-08,399.15,399.15,372.15,375.15,52869
2024-11-11,378,384.4,369.5,376.35,35464
2024-11-12,377.25,377.85,362.65,366.95,19878
2024-11-13,366.95,367,339.65,347.4,33398
2024-11-14,364.95,384.4,362.25,379,199671
2024-11-18,380.85,390.4,367,380.4,132975
2024-11-19,377.05,394,375.05,380.05,55444
2024-11-21,381.55,381.55,364.1,374.45,38025
2024-11-22,375.5,379.45,368.1,372.25,21683
2024-11-25,379,383,373.8,376.7,17465
2024-11-26,378.4,389.9,373.55,381.25,56572
2024-11-27,382.95,418.9,382.95,414.15,407805
2024-11-28,415.9,424,407,415.2,200371
2024-11-29,415.1,425.9,409.4,422.15,147495
2024-12-02,430.1,475.9,428.2,454.3,953357
2024-12-03,456.45,467,441,449.2,163766
2024-12-04,449.5,465,441,445.65,261287
2024-12-05,445.4,463,442.5,452.8,123056
2024-12-06,452.8,480,448,461.1,218641
2024-12-09,470,476.65,457.1,459.15,141198
2024-12-10,461.85,472.8,451.15,465.2,124347
2024-12-11,463,479.9,461.1,467.3,160031
2024-12-12,471.8,492,463.2,467.55,338587
2024-12-13,466.3,471.3,451.2,465.05,109343
2024-12-16,467.8,477,465.55,471.25,60771
2024-12-17,471.8,474.3,461,463.2,47320
2024-12-18,465.8,465.8,448.05,458.35,57390
2024-12-19,458,465,451.05,455,44187
2024-12-20,454.3,458.1,421.5,428.2,87599
2024-12-23,431,433.5,406.65,414.65,114843
2024-12-24,414.65,428.95,413.6,421.05,36775
2024-12-26,424,425,395.85,401.65,62708
2024-12-27,401.95,406.45,393.7,400.05,33914
2024-12-30,397.45,399.5,385.15,387.65,34031
2024-12-31,384.1,421.9,384.1,414.4,139198
2025-01-01,410.25,424,410.25,420.6,42804
2025-01-02,421.1,424.4,406.55,416.75,30695
2025-01-03,415.1,447.35,415.1,441.6,139526
2025-01-06,443.7,444,403.25,410.8,82942
2025-01-07,413.3,439.95,413.3,436.55,69971
2025-01-08,437,437.75,407.05,420.5,74478
2025-01-09,420.7,426.8,410.25,411.25,27100
2025-01-10,411.25,414.95,389.95,394.1,57749
2025-01-13,397.95,398.35,356.6,372.65,86076
2025-01-14,378.45,389.75,368.1,382.4,49142
2025-01-15,379,391.8,370.25,381.3,32911
2025-01-16,381.3,402,381.3,396.55,25933
2025-01-17,396.6,400.45,384,389,38120
2025-01-20,385.6,390,371.75,373.5,48580
2025-01-21,376.9,376.95,355,356.45,50560
2025-01-22,361.7,361.7,337.95,357.1,64687
2025-01-23,356.7,368.45,350.05,352.25,24746
2025-01-24,353.7,357,340,340.85,28370
2025-01-27,341.5,342.75,316.25,318.65,46166
2025-01-28,323.15,330,300.6,317,42801
2025-01-29,321,335.95,318.75,329.6,27150
2025-01-30,329,339.4,321,326.6,33278
2025-01-31,325.9,343.35,323.4,341.05,30489
2025-02-01,340.95,364,335,338.75,58395
2025-02-03,339.45,343.65,315.5,317.85,41789
2025-02-04,322.65,331.3,314.9,326.6,31362
2025-02-05,330,336.6,327.8,331.9,14115
2025-02-06,332.15,335.3,325.95,333.15,13365
2025-02-07,333.5,336.5,308.25,313,44758
2025-02-10,312,323.85,307,313.6,31515
2025-02-11,313.7,313.7,297,301.5,27848
2025-02-12,301.6,304.5,275,295.05,67221
2025-02-13,290.6,301,278.5,284.5,39437
2025-02-14,288.75,290.05,256.05,286.25,87450
2025-02-17,279.05,293.35,274.65,283.2,55144
2025-02-18,281,285,256,259,43044
2025-02-19,258.85,283.45,257.15,277.05,67340
2025-02-20,279,288.95,275.75,278.75,34883
2025-02-21,279.3,285,254.1,257.25,86759
2025-02-24,257.25,263,252.9,256,52732
2025-02-25,256.05,276.25,254.85,264.05,89542
2025-02-27,261,263,248.25,252.1,47221
2025-02-28,249.45,256.6,237,247.45,125206
2025-03-03,245.11,253.74,234.12,241.66,44161
2025-03-04,240,259,240,256.7,114068
2025-03-05,260.1,270,256.7,268.64,98699
2025-03-06,268.95,276.49,261.82,265.18,52448
2025-03-07,263.25,283.45,263.25,279.38,65598
2025-03-10,279.7,294.97,265.2,266.95,45057
2025-03-11,266.95,282.02,264.2,275.92,49186
2025-03-12,275.91,285.49,267.1,268.81,41899
2025-03-13,269.05,272.01,255,256.25,76189
2025-03-17,260,261.85,245.1,246.3,42095
2025-03-18,247.05,266.5,247.05,264.7,207576
2025-03-19,261.5,282.41,261.5,275.85,93745
2025-03-20,278.11,289.76,273,274.21,75927
2025-03-21,275.35,285.95,273.7,277.07,75209
2025-03-24,279.95,285.98,270.3,272.13,97907
2025-03-25,273.9,283.48,261.95,268.27,108286
2025-03-26,269.2,273.15,256.15,258.1,70996
2025-03-27,257,263.19,252,253.15,119043
2025-03-28,254.15,265.49,250.1,251.25,54378
2025-04-01,251.9,263.95,251.9,258.6,32789
2025-04-02,261.3,270,258.5,268,31629
2025-04-03,267,277.4,263,267.1,162087
2025-04-04,269.65,269.65,256.85,262.05,30087
2025-04-07,251,252,241.6,249.75,35089
2025-04-08,252,258.1,250.15,253.25,17137
2025-04-09,250,279.95,247.7,269.35,92350
2025-04-11,270.9,278.85,265.15,267.75,32136
2025-04-15,270.3,287.9,270.3,286.65,78894
2025-04-16,289,302.9,288,293.5,54300
2025-04-17,290,307,289.95,296.9,46702
2025-04-21,299.9,302.95,290.95,299.7,31857
2025-04-22,297.65,299.7,292.75,294.7,26558
2025-04-23,297,306.4,286.1,291.85,40501
2025-04-24,288.95,302.2,287.1,292.9,64746
2025-04-25,295.9,298.35,281.1,288.55,82165
2025-04-28,288,296,283,288.8,34962
2025-04-29,285.5,304.75,285.5,291.6,54444
2025-04-30,292.1,293.85,276,278.8,23634
2025-05-02,277.55,287.55,277.5,282.25,23887
2025-05-05,279,288.15,276.75,285,19557
2025-05-06,286.4,287.8,276.3,279.2,23820
2025-05-07,275,285.9,275,284.1,12290
2025-05-08,286.25,292,271,274.45,29925
2025-05-09,270.7,279.95,267.8,272.15,24327
2025-05-12,277,295,277,289.65,37965
2025-05-13,291.05,299.95,285,294.1,34245
2025-05-14,295.75,308,291.5,304.55,49238
2025-05-15,304.55,311,301.45,303.55,21239
2025-05-16,306.6,314.9,303,305.8,82913
2025-05-19,307,313,303.6,304.7,36777
2025-05-20,307.8,322,304,310.1,76745
2025-05-21,312.6,313.3,305,307.15,24684
2025-05-22,305,319.95,304.05,311.05,30911
2025-05-23,311,315,308,312.05,18302
2025-05-26,315.2,321.8,309,320.3,49396
2025-05-27,322,329.55,319.25,328,30077
2025-05-28,320,320,304.1,307.35,62637
2025-05-29,307.1,312.4,295.05,298.05,32805
2025-05-30,298.65,298.65,293.15,296.2,10510
2025-06-02,294.75,299.85,292.95,293.6,11368
2025-06-03,296.55,298,291.35,292,14436
2025-06-04,294.9,295,287.3,289.5,12011
2025-06-05,290,297.25,290,291.95,14317
2025-06-06,294.9,294.9,287.3,289.8,50218
2025-06-09,286,302.5,286,294.1,31891
2025-06-10,295.6,296,291.4,292.5,7365
2025-06-11,295.4,298,289.8,291.75,20833
2025-06-12,292,294.3,287.85,290.95,17867
2025-06-13,287,301.7,284.6,286.45,100769
2025-06-16,286.45,294.95,282.45,289.65,28484
2025-06-17,292.55,292.55,275,276.45,37501
2025-06-18,279.2,281.25,272.05,274.8,15937
2025-06-19,276.75,279.4,261.6,263.95,31586
2025-06-20,263.1,270,261.35,267.75,30978
2025-06-23,260.4,273.8,260.4,268.45,21465
2025-06-24,269.2,280,269,272.65,18313
2025-06-25,274.7,280,273.15,277.45,15039
2025-06-26,275,281.45,274.05,275.05,17875
2025-06-27,276,277.25,270.05,272,13039
2025-06-30,271.05,275.9,265.8,268.3,19712
2025-07-01,271,290,269.55,286.9,45916
2025-07-02,287.95,287.95,270.6,280.15,25210
2025-07-03,280.7,281.7,275.2,276.3,12712
2025-07-04,277.15,279.95,273.7,277.1,9736
2025-07-07,277.15,280.7,269.85,271,29454
2025-07-08,270.1,275,268.1,270,10448
2025-07-09,272.6,275.95,264.85,273.8,29660
2025-07-10,271.15,280.8,271.15,275.9,16913
2025-07-11,274.95,277.9,271.4,275.9,8664
2025-07-14,275.35,278.05,270.05,271.85,6868
2025-07-15,273.25,276.4,269.45,274.85,17903
2025-07-17,275.9,277.25,272.1,274.05,19961
2025-07-18,274.45,277,271.65,275.05,27252
2025-07-21,275.5,283.35,271.4,280.7,19377
2025-07-22,281.2,281.7,275.05,278.45,12750
2025-07-23,280,282.2,275.1,277.8,14814
2025-07-24,278.95,280.7,273,275.4,13982
2025-07-25,273,276.95,264.5,265.4,12717
2025-07-28,262.75,267.6,258.55,261.15,20544
2025-07-29,263,267.4,258.3,265.2,10698
2025-07-30,266.4,271.15,262.3,265.6,21815
2025-07-31,265.5,268,261,263.65,5629
2025-08-01,263.45,265.25,256.95,258.8,6502
2025-08-04,261.25,265,256.7,262.4,11077
2025-08-05,264.65,274.3,264.05,266.85,32843
2025-08-06,265.1,267,257.95,261.35,13505
2025-08-07,261.95,264.45,254,259.1,9747
2025-08-08,261.9,267.35,256.25,258.35,12845
2025-08-11,259.65,262.3,256,259.25,4620
2025-08-12,259.05,277.15,259,263.15,27757
2025-08-13,263,263,249.4,250.65,25250
2025-08-14,253.3,253.75,244.6,246.65,11646
2025-08-18,254,256.6,246.6,247.85,13274
2025-08-19,247.75,262.9,247,261.55,20123
2025-08-20,262,263.45,257.05,259.3,7110
2025-08-21,259.3,266.9,256,257.9,7834
2025-08-22,260.6,260.6,254.8,256.75,2257
2025-08-25,259.35,263.45,255.1,261.65,6491
2025-08-26,261.45,261.45,254.25,255.6,7946
2025-08-28,255.1,257.9,245.45,249.45,13594
2025-08-29,251.95,255,245.5,249.75,6435
2025-09-01,250.75,255.22,243,249.3,10763
2025-09-02,250.3,263,250.3,256.13,15146
2025-09-03,258.77,263.03,256.78,260.35,10292
2025-09-04,263,263,248.5,249.83,18422
2025-09-05,257,287.58,257,270.94,330425
2025-09-08,272.29,273,263.99,269.52,18022
2025-09-09,273,273.55,260.99,261.61,17147
2025-09-10,264.25,267.99,259.51,261.46,24198
2025-09-11,262.5,263.53,256.52,258.65,17962
2025-09-12,259.7,262.59,255.5,258.95,12767
2025-09-15,261.7,262.12,254.49,259.14,13253
2025-09-16,259.15,261.68,256.1,258.44,8320
2025-09-17,266.99,266.99,258.5,259.83,11605
2025-09-18,259.83,262.6,252.4,255.85,14823
2025-09-19,256,258.41,251,254.42,9430
2025-09-22,255,265.01,253.21,261.18,30499
2025-09-23,263.9,265.14,260,260.81,10499
2025-09-24,259.6,270.99,259.6,269.53,33356
2025-09-25,269,270.12,258,259.87,14066
2025-09-26,262.38,262.38,248.59,250.45,19403
2025-09-29,250.45,258,248.55,252.77,17824
2025-09-30,255.4,256,247,252.82,12922
2025-10-01,252.9,256.9,250.2,253.25,12148
2025-10-03,254.05,255,250.1,251.95,12648
2025-10-06,251,254.5,248,250,9399
2025-10-07,251.25,252.6,245.25,247.55,18252
2025-10-08,247.55,252.95,247.5,248.1,7666
2025-10-09,248.2,252.15,245.25,246.1,12193
2025-10-10,248.55,252,247,247.75,3276
2025-10-13,245.15,250.4,245.05,245.4,10731
2025-10-14,243.5,247.55,242,242.6,7006
2025-10-15,242.9,249.9,242.55,249.15,9887
2025-10-16,251.8,252.3,244.25,246.5,3752
2025-10-17,248.7,252.4,243.1,244.05,40301
2025-10-20,244.2,249,242,243.8,5058
2025-10-21,246.4,249,243.5,248.2,3200
2025-10-23,253.2,253.2,245.5,247.2,15574
2025-10-24,249.65,249.65,245,246.45,7502
2025-10-27,246.45,248.55,243.3,244.95,9344
2025-10-28,246.5,258,242.5,251.75,8630
2025-10-29,250.75,253.05,246.25,249.4,18353
2025-10-30,251.55,252.9,248,249.05,8647
2025-10-31,249.05,251.85,246.05,247.05,5729
2025-11-03,244.2,253.14,244.2,250.77,7586
2025-11-04,251.89,251.89,245.15,245.75,11209
2025-11-06,245,245.75,241.05,242.21,9667
2025-11-07,243.52,247.49,238.21,243.8,9981
2025-11-10,246.4,246.4,240,242.89,9159
2025-11-11,248,249.44,236,242.26,17536
2025-11-12,241.99,242.4,234,238.77,16598
2025-11-13,240.29,245.39,237,237.01,10106
2025-11-14,238.94,243.46,236,236.77,12562
2025-11-17,235.15,241.95,232,233.48,10719
2025-11-18,234.72,235.77,222,225.41,28741
2025-11-19,222.1,229.25,222.1,223.94,7130
2025-11-20,226.4,228.05,217.51,218.85,12519
2025-11-21,222,228.8,218.91,226.22,14941
2025-11-24,226,226,212.15,214.91,25263
2025-11-25,217.06,219.9,212.01,217.66,12337
2025-11-26,218.99,221.9,214,214.87,40255
2025-11-27,217.2,219.61,212.1,213.43,10175
2025-11-28,214.5,215.7,206.5,208.85,13023
2025-12-01,211.5,216,191.6,194.52,39949
2025-12-02,191,194.39,183,183.83,99601
2025-12-03,183.1,184.96,177.8,178.47,20641
2025-12-04,180.11,181.69,171,173.98,29676
2025-12-05,174.85,178.39,172.97,176.14,16232
2025-12-08,177.9,177.9,168.82,170.88,16147
2025-12-09,172.6,175.24,169.05,173,17395
2025-12-10,173.1,174.8,169.1,170.02,17163
2025-12-11,171.8,173.11,167.11,169.59,15418
2025-12-12,170.44,184.68,168,180.43,40538
2025-12-15,183,186.68,182,182.35,22983
2025-12-16,182.35,207.9,182.35,198.48,90638
2025-12-17,196.15,227,196.15,212.96,288422
2025-12-18,215.08,215.08,195,198.46,62440
2025-12-19,197,205,197,202.59,30260
2025-12-22,204.7,204.7,196.52,197.35,26595
2025-12-23,198.1,203.58,195,198.08,20589
2025-12-24,197.1,207.99,195.91,199.56,14918
2025-12-26,199.15,213.99,199.15,203.72,48016
2025-12-29,202.9,210.8,202.9,204.55,13585
2025-12-30,207.6,207.6,196.28,197.51,12461
2025-12-31,198.5,203.2,196.26,198.08,20138
2026-01-01,200,202.79,198.1,198.57,6286
2026-01-02,200.7,203.97,198.1,199.15,14367
2026-01-05,195.06,200.06,191.32,192.55,21263
2026-01-06,194.5,200.69,191.3,193.43,19827
2026-01-07,194.74,195.4,188.72,189.73,24930
2026-01-08,191.41,194.41,180.6,182.83,14405
2026-01-09,182.1,186.12,172.44,174.22,29003
2026-01-12,172,175.8,165.2,169.92,43781
2026-01-13,170.76,174.01,164.1,164.78,37789
2026-01-14,165,171.8,165,166.52,34625
2026-01-16,167.5,169.3,164,165.73,17000
2026-01-19,167.5,167.5,152.2,153.88,45407
2026-01-20,152.25,156.12,140.26,141.91,43043
2026-01-21,144,146,140,143.59,38508
2026-01-22,145.01,172.3,144.07,171.73,239540
2026-01-23,166,169,155.5,157.67,56602
2026-01-27,158,171,155.04,166.98,57644
2026-01-28,164.5,182.51,164.49,177.01,44579
2026-01-29,177.25,177.88,171.16,173.62,14550
2026-01-30,172,184,170.11,179.99,34331
2026-02-01,179.09,184.9,175.5,180.92,24035
2026-02-02,180.39,181.91,170.56,175.29,11738
2026-02-03,184.29,188,170.9,172.45,30198
2026-02-04,170.8,179.7,170.8,178.37,16066
2026-02-05,177.48,182.35,176.55,179.73,11921
2026-02-06,179.05,179.17,170.15,172.65,13741
2026-02-09,170,185.98,170,184.48,31416
2026-02-10,188.01,189,183.91,184.9,11158
2026-02-11,186.46,186.79,181.1,182.68,7173
2026-02-13,182.68,188.49,181.67,185.7,19258
