Date,Open,High,Low,Close,Volume
2025-07-14,1125,1130,1066,1074.8,4942773
2025-07-15,1073.9,1089.9,1048,1053.7,1103033
2025-07-17,1095,1114.4,1088,1101.8,1243555
2025-07-18,1099.7,1164.8,1065.2,1141,2927112
2025-07-21,1151,1160,1111.6,1146.8,1059143
2025-07-22,1152.4,1187.8,1140.8,1173.6,1721445
2025-07-23,1170.1,1174.9,1132.9,1170.5,587267
2025-07-24,1172,1172,1143.8,1162.7,499521
2025-07-25,1154.9,1170,1148.5,1153.8,368749
2025-07-28,1144.2,1155.8,1096.7,1118.5,524712
2025-07-29,1118.5,1123.7,1090.2,1099.1,163504
2025-07-30,1091,1109,1073.2,1085.4,175727
2025-07-31,1070,1080,1038,1045.8,299125
2025-08-01,1045.1,1065,1011.1,1026.3,206667
2025-08-04,1026.1,1036,1008.5,1017.3,84755
2025-08-05,1018.6,1060,1014.7,1047.5,206709
2025-08-06,1064.9,1064.9,1015.1,1050.8,215589
2025-08-07,1056,1105.9,1040.6,1094.9,396975
2025-08-08,1100.3,1128.9,1094.9,1119.8,411023
2025-08-11,1100.1,1109.1,1066.5,1081,268873
2025-08-12,1114,1177,1067,1156.4,1187157
2025-08-13,1138,1173.8,1132.1,1147.8,287798
2025-08-14,1142,1164.9,1100,1117.1,284785
2025-08-18,1155,1155,1095,1102.1,327112
2025-08-19,1106,1118,1092.3,1108.3,168968
2025-08-20,1111.5,1219.1,1111.5,1219.1,1252247
2025-08-21,1220,1264,1187.1,1231.8,926893
2025-08-22,1225,1239.9,1206.6,1220.6,134116
2025-08-25,1221.9,1254.9,1216,1230.6,184278
2025-08-26,1220,1229.8,1200,1206,122721
2025-08-28,1200,1217.9,1191,1203.7,294207
2025-08-29,1209.7,1280,1200,1252.5,403872
2025-09-01,1252,1285,1242.6,1254,176758
2025-09-02,1255.1,1269.7,1236.9,1251.2,115663
2025-09-03,1251.2,1305,1240.8,1283.8,417447
2025-09-04,1294.7,1340.1,1263.5,1315.3,745516
2025-09-05,1319.9,1324,1282,1309.1,166673
2025-09-08,1308.1,1314.3,1282.6,1286.7,80864
2025-09-09,1288,1310,1265.7,1300.8,65714
2025-09-10,1299.8,1340,1270,1280.3,173440
2025-09-11,1280.3,1299,1245,1263.1,96020
2025-09-12,1299,1309.7,1275,1279.8,157221
2025-09-15,1287.9,1287.9,1242.2,1255.4,310617
2025-09-16,1261.9,1264,1222.4,1245,201674
2025-09-17,1245,1265.2,1237,1245.6,136235
2025-09-18,1245.6,1298,1240.4,1277.2,143486
2025-09-19,1289.9,1298.7,1265.5,1290.9,86179
2025-09-22,1288.9,1394.8,1278.9,1359.3,564671
2025-09-23,1359.3,1379.9,1310.5,1332.8,170841
2025-09-24,1332.9,1352,1313.1,1345.4,104590
2025-09-25,1347.3,1354.5,1310.5,1347,91919
2025-09-26,1348,1348,1318.3,1335.7,84808
2025-09-29,1353,1353,1295,1327,100189
2025-09-30,1327,1384.7,1316,1323.6,176428
2025-10-01,1320,1355.9,1319.9,1347,99482
2025-10-03,1350,1401,1336.6,1388.8,109142
2025-10-06,1388.6,1392,1361.1,1374.9,100122
2025-10-07,1372,1400,1365,1376.2,102731
2025-10-08,1353.6,1388.7,1332.6,1380,179158
2025-10-09,1380,1435,1345,1349.7,198445
2025-10-10,1359,1363.7,1312,1344.4,113192
2025-10-13,1350,1372.9,1341,1359.3,88117
2025-10-14,1352.6,1400.6,1340.5,1354.5,112090
2025-10-15,1353.9,1399,1346.4,1380.5,63027
2025-10-16,1373.7,1395.9,1373.6,1387,44500
2025-10-17,1383.3,1389.6,1355,1362.9,55230
2025-10-20,1362.8,1377.6,1321.1,1328.8,67300
2025-10-21,1339,1354,1311.3,1335.5,19467
2025-10-23,1332.5,1349.9,1300.1,1342.4,132460
2025-10-24,1342,1345.9,1310.2,1327,40031
