Date,Open,High,Low,Close,Volume
2025-07-30,68,71.4,64.6,71.4,1666000
2025-07-31,69.9,72.1,67.85,67.85,256000
2025-08-01,64.55,66.75,64.45,64.45,134000
2025-08-04,63.05,63.6,61.25,62.45,92000
2025-08-05,62.55,65.55,62.55,63.15,108000
2025-08-06,63.3,66,60.1,63,62000
2025-08-07,62.7,62.7,61,61.7,22000
2025-08-08,61.8,64.75,61.8,64.6,32000
2025-08-11,66,67.8,65,67.8,60000
2025-08-12,70.7,70.7,67,67.55,56000
2025-08-13,68.9,68.9,66.5,68.2,106000
2025-08-14,69.5,69.5,67.25,68.6,58000
2025-08-18,70,70.5,69,69.3,114000
2025-08-19,70,79.3,69.5,73.45,502000
2025-08-20,75,76.65,72,72.05,154000
2025-08-21,74.45,74.45,71.4,71.65,26000
2025-08-22,71.5,71.6,69.95,69.95,16000
2025-08-25,71,71.75,70.05,70.05,48000
2025-08-26,70,70,66.5,67.5,16000
2025-08-28,68.5,71,67,69.5,38000
2025-08-29,68.7,72.9,68.7,70,98000
2025-09-01,67.75,69.85,67.05,68.4,46000
2025-09-02,68.5,71,68.5,69.9,158000
2025-09-03,69.9,69.9,67.2,68.95,62000
2025-09-04,68,68,65,65.1,40000
2025-09-05,65.15,66.5,64.95,66.5,20000
2025-09-08,64.55,70.5,64.55,70,98000
2025-09-09,69.5,69.5,67.5,69.4,44000
2025-09-10,70.3,70.95,69.4,69.9,32000
2025-09-11,69,70,68,68.1,42000
2025-09-12,69.5,70.95,67.95,67.95,16000
2025-09-15,67.05,67.05,63,64.35,52000
2025-09-16,64.35,66,62,64,40000
2025-09-17,64,64.5,63.05,63.05,20000
2025-09-18,64.55,65.85,63.95,65,34000
2025-09-19,65,65,64.5,64.5,10000
2025-09-22,64.5,64.5,60.6,61.55,56000
2025-09-23,63,64,61.15,62,50000
2025-09-24,63,63,58.65,60.95,36000
2025-09-25,60.55,66.7,60.55,66.7,92000
2025-09-26,68.45,68.7,62.75,63.4,52000
2025-09-29,63.4,64.5,63.4,64.5,6000
2025-09-30,64.5,64.5,61.6,61.6,14000
2025-10-01,63.15,63.15,63.15,63.15,2000
2025-10-03,65.3,65.3,63.75,64,10000
2025-10-06,62.05,62.25,62.05,62.25,8000
2025-10-07,62.55,64.5,62.55,64.2,12000
2025-10-08,63.25,63.25,63,63,4000
2025-10-10,63,64.5,63,64,8000
2025-10-13,63.25,63.25,63.25,63.25,2000
2025-10-15,58.3,62.3,58.3,60.25,22000
2025-10-16,60.5,60.5,59.55,59.9,10000
2025-10-17,59.9,59.9,59.5,59.6,6000
2025-10-20,59.6,60,59.5,60,6000
2025-10-21,62.95,62.95,62.95,62.95,2000
2025-10-24,63.5,63.5,60,60.1,10000
2025-10-27,56,60,56,60,24000
2025-10-28,61,61,61,61,44000
2025-10-29,60,60,59,59.75,32000
2025-10-30,57.05,60,57.05,60,20000
2025-10-31,60,60,60,60,24000
2025-11-03,62.8,65.3,60.2,63,286000
2025-11-04,63.4,65,62,62.4,100000
2025-11-06,61.05,61.05,59,59.4,20000
2025-11-07,59.4,61.65,59.4,61,8000
2025-11-10,61,62,60,60,18000
2025-11-11,60,64,60,62.9,14000
