Date,Open,High,Low,Close,Volume
2002-01-01,1.07,1.07,1.07,1.07,200
2002-01-02,1.08,1.08,1.04,1.04,700
2002-01-03,1.03,1.03,1.01,1.03,2127
2002-01-04,1.04,1.08,1,1.08,4400
2002-01-07,0.97,0.97,0.97,0.97,100
2002-01-08,1,1.04,1,1,1865
2002-01-09,1.08,1.08,1,1.04,2000
2002-01-10,1,1.11,1,1.03,3410
2002-01-11,1.09,1.09,1.05,1.05,800
2002-01-14,1.04,1.1,0.96,0.98,2251
2002-01-15,1,1.03,0.9,0.99,11461
2002-01-16,1.02,1.02,1.02,1.02,150
2002-01-17,0.95,1.04,0.95,1.04,850
2002-01-18,1.04,1.04,1.01,1.03,590
2002-01-21,1,1.02,0.97,0.97,3051
2002-01-22,1,1.03,0.96,1,5000
2002-01-23,0.97,1,0.93,0.96,5601
2002-01-24,0.92,0.97,0.92,0.94,1200
2002-01-25,1.02,1.02,0.94,1,2127
2002-01-28,0.94,0.98,0.93,0.98,1500
2002-01-29,0.98,0.98,0.94,0.96,1699
2002-01-30,0.94,0.94,0.94,0.94,200
2002-01-31,0.96,0.99,0.96,0.98,526
2002-02-01,1,1.01,1,1.01,2450
2002-02-04,1.08,1.1,1.03,1.09,7091
2002-02-05,1.13,1.13,1.06,1.07,3079
2002-02-06,1.1,1.12,1.05,1.05,4480
2002-02-07,1.05,1.05,1.03,1.05,1645
2002-02-08,1.06,1.06,1.02,1.06,615
2002-02-11,1.08,1.08,1.06,1.08,500
2002-02-12,1.01,1.06,1.01,1.06,2000
2002-02-13,1.08,1.08,1.07,1.08,400
2002-02-14,1.08,1.15,1.07,1.15,3508
2002-02-15,1.09,1.17,1.09,1.15,3000
2002-02-18,1.21,1.21,1.15,1.16,600
2002-02-19,1.12,1.15,1.12,1.13,2600
2002-02-20,1.1,1.1,1.09,1.09,500
2002-02-21,1.08,1.14,1.08,1.14,600
2002-02-22,1.22,1.23,1.11,1.13,2110
2002-02-25,1.13,1.22,1.13,1.22,8188
2002-02-26,1.23,1.27,1.18,1.24,3829
2002-02-27,1.2,1.25,1.16,1.16,5739
2002-02-28,1.17,1.18,1.16,1.16,1565
2002-03-01,1.1,1.24,1.1,1.17,260
2002-03-04,1.18,1.18,1.15,1.15,2585
2002-03-05,1.17,1.18,1.13,1.16,4800
2002-03-06,1.17,1.22,1.11,1.16,3600
2002-03-07,1.13,1.17,1.13,1.13,670
2002-03-08,1.13,1.21,1.13,1.15,3701
2002-03-11,1.16,1.17,1.12,1.15,2799
2002-03-12,1.13,1.24,1.13,1.24,12884
2002-03-13,1.25,1.34,1.25,1.34,16386
2002-03-14,1.45,1.45,1.36,1.45,20821
2002-03-15,1.53,1.53,1.37,1.38,42880
2002-03-18,1.41,1.44,1.37,1.44,14655
2002-03-19,1.49,1.5,1.4,1.42,13509
2002-03-20,1.38,1.38,1.37,1.37,4300
2002-03-21,1.33,1.37,1.32,1.32,5190
2002-03-22,1.29,1.34,1.29,1.33,504
2002-03-26,1.28,1.28,1.28,1.28,961
2002-03-27,1.23,1.24,1.23,1.23,1201
2002-03-28,1.19,1.26,1.18,1.25,4891
2002-04-01,1.23,1.25,1.22,1.25,1150
2002-04-02,1.3,1.3,1.21,1.23,15800
2002-04-03,1.22,1.22,1.2,1.2,2505
2002-04-04,1.21,1.21,1.18,1.19,2410
2002-04-05,1.18,1.21,1.15,1.2,3850
2002-04-08,1.21,1.21,1.17,1.18,21848
2002-04-09,1.22,1.22,1.17,1.17,6084
2002-04-10,1.18,1.21,1.18,1.18,3850
2002-04-11,1.2,1.2,1.15,1.17,2350
2002-04-12,1.14,1.22,1.14,1.19,2951
2002-04-15,1.21,1.21,1.17,1.18,5500
2002-04-16,1.18,1.21,1.18,1.18,1502
2002-04-17,1.21,1.23,1.18,1.18,1740
2002-04-18,1.19,1.2,1.15,1.16,4052
2002-04-19,1.15,1.17,1.13,1.14,4583
2002-04-22,1.21,1.21,1.15,1.15,906
2002-04-23,1.16,1.17,1.13,1.14,4451
2002-04-24,1.13,1.13,1.05,1.08,7890
2002-04-25,1.12,1.21,1.09,1.13,5593
2002-04-26,1.19,1.19,1.13,1.14,1327
2002-04-29,1.19,1.19,1.14,1.17,169
2002-04-30,1.2,1.2,1.15,1.18,11140
2002-05-02,1.19,1.34,1.16,1.3,19092
2002-05-03,1.35,1.35,1.25,1.25,14767
2002-05-06,1.33,1.34,1.27,1.31,24090
2002-05-07,1.33,1.52,1.33,1.51,65196
2002-05-08,1.57,1.57,1.42,1.47,23813
2002-05-09,1.48,1.52,1.44,1.45,27569
2002-05-10,1.48,1.49,1.43,1.44,11140
2002-05-13,1.43,1.46,1.4,1.41,3556
2002-05-14,1.42,1.44,1.4,1.41,5200
