Date,Open,High,Low,Close,Volume
2007-01-16,104.5,104.5,96.35,96.77,859
2007-01-17,102.45,102.45,97.85,97.95,72
2007-01-18,99.87,100,98,98.38,85
2007-01-19,96.25,99.25,95.15,95.92,15
2007-01-22,98.7,100,98.7,100,27
2007-01-23,91.3,99.65,91.3,99.65,6
2007-01-24,102,102,98.95,98.95,18
2007-01-29,95.43,99.8,91.3,92.45,451
2007-01-31,90.55,98.9,90.5,93.76,240
2007-02-01,96.25,97.5,92.55,92.55,21
2007-02-02,95,97.5,94.95,97.33,132
2007-02-05,97.5,112,97.5,105.59,1993
2007-02-06,99.95,114.9,99.95,110.65,1292
2007-02-07,115,115,112.5,113.36,282
2007-02-08,114.75,114.75,110,112.57,69
2007-02-09,101.75,113.45,101.75,105.75,49
2007-02-12,102.5,103.75,100.95,101.01,48
2007-02-13,100,102,99.95,100.4,47
2007-02-14,98,102.45,97.5,101,22
2007-02-15,101.5,102.5,100.5,101.5,28
2007-02-19,97.5,103.5,97.5,100.05,6
2007-02-20,98.5,99,98.5,99,6
2007-02-21,98.8,98.8,90.6,95.78,309
2007-02-22,99.45,99.45,96.03,96.15,12
2007-02-23,105,109.7,97.3,97.51,351
2007-02-26,99.5,99.55,97.5,97.5,92
2007-02-27,85.5,101.25,85.5,99.5,126
2007-02-28,94.5,98.75,93,97.2,39
2007-03-01,104.95,104.95,92.5,93.91,564
2007-03-02,93.05,95.5,93,93.44,54
2007-03-05,77.93,93,77.93,88.8,56
2007-03-06,96,97,94.95,94.95,7
2007-03-07,85.55,99.5,85.55,87.6,246
2007-03-08,91.15,91.25,87.65,91.13,2406
2007-03-09,88.05,91.75,88,91.25,12
2007-03-12,87.65,93.5,87.65,93.5,21
2007-03-13,94.95,94.95,89.01,89.01,300
2007-03-14,89.5,93.15,88.75,92.21,721
2007-03-15,82.5,94.75,77,90.17,290
2007-03-16,90.05,90.05,90.05,90.05,2
2007-03-19,94.5,94.5,90.1,90.1,5
2007-03-20,92.5,92.5,90,90.3,298
2007-03-21,85.05,93.95,85.05,89.19,245
2007-03-22,87,93,87,93,200
2007-03-23,89,91.5,88,90.07,250
2007-03-26,88.25,91.65,88.25,88.5,384
2007-03-28,85.5,93.9,85.5,91.83,305
2007-03-30,88.25,90,88.25,88.5,28
2007-04-02,100,100,89.5,90.4,25
2007-04-03,90.75,91.25,90.5,91.25,24
2007-04-04,88.75,88.75,88.75,88.75,1
2007-04-05,89,89,89,89,5
2007-04-09,91,95,91,94.93,7
2007-04-10,95,95,94.5,94.5,5
2007-04-11,94.6,94.6,92.25,93.8,4
2007-04-13,92.35,94.5,92.35,93.5,16
2007-04-16,95,96.25,90.6,95.59,19
2007-04-17,95,95,91.55,91.76,4
2007-04-18,96.25,100,95,95.22,49
2007-04-19,91.6,97.5,91.55,92.25,19
2007-04-20,95,101,88.1,93.65,64
2007-04-23,92.5,92.5,92.5,92.5,19
2007-04-24,92.57,92.57,92.37,92.37,25
2007-04-25,95,95.95,92.01,93.25,16
2007-04-26,96,96,94.5,95,13
2007-05-03,97.5,97.5,92.5,92.64,34
2007-05-07,88.5,96.5,88.5,90.75,8
2007-05-08,92,92,91.25,91.25,12
2007-05-09,90.25,93,90,93,30
2007-05-14,88.55,91.95,88.55,90.2,18
2007-05-15,91,91,91,91,5
2007-05-17,90,90,90,90,20
2007-05-18,90,90,88.8,88.8,36
2007-05-21,88.5,88.5,88,88,25
2007-05-22,87.6,87.6,87.5,87.5,6
2007-05-23,88.85,88.85,88.75,88.75,35
2007-05-24,90,90,90,90,10
2007-05-25,90,90,88.75,88.75,11
2007-05-28,88.75,88.75,88.5,88.5,3
2007-05-29,87,87,85.8,85.8,35
2007-05-30,87,87.5,85.77,85.77,32
2007-05-31,88.75,88.75,87.5,87.5,40
2007-06-01,89.5,90,88,89.02,28
2007-06-04,93.5,95,90,94.53,82
2007-06-05,93.75,93.75,90,90.69,24
2007-06-06,92.5,92.5,90.5,92.5,13
2007-06-07,92,92.5,90.5,92.14,150
2007-06-08,92.5,92.5,92.5,92.5,20
2007-06-11,90,90,85.25,87.55,40
2007-06-13,91.25,91.25,91.25,91.25,1
2007-06-14,88,91,87.5,91,7
2007-06-15,89,89,87.7,87.7,2
2007-06-18,86.75,89.25,84.95,86.29,62
2007-06-19,89.5,89.75,87.5,87.5,19
2007-06-20,87.5,89.1,86.5,89,27
2007-06-21,89.75,89.75,89.75,89.75,5
2007-06-22,89.75,93,89.75,93,78
2007-06-25,90,95,90,93.62,54
2007-06-26,99,99,90.55,93.12,107
2007-06-27,94.95,94.95,92.5,93.85,58
2007-06-28,94.95,95,92,92.61,292
2007-06-29,94.8,95,92.51,92.72,34
2007-07-02,96,96.25,90.75,94.95,24
2007-07-03,93,95,93,93,21
2007-07-04,93,93,93,93,2
2007-07-05,92,92.5,90.15,92.5,17
2007-07-06,91.15,93.5,91.15,93.5,17
2007-07-09,92.5,96.25,92.5,95.52,104
2007-07-10,95,95,93.62,94.5,168
2007-07-11,101.25,101.25,92.8,95,241
2007-07-12,95.6,98.5,94,94,71
2007-07-13,95.75,95.75,94.5,94.93,28
2007-07-16,94.5,94.5,92.5,92.5,14
2007-07-17,92.55,95.5,92.55,92.56,29
2007-07-18,92.55,94.9,92.55,94.9,36
2007-07-19,92.3,92.55,92.3,92.55,2
2007-07-20,92.75,94,92.55,92.66,8
2007-07-23,92.6,95,91.25,91.25,9
2007-07-24,91.25,95.5,90,90.05,36
2007-07-25,87.5,91.25,87.5,91.08,10
2007-07-26,96,96.25,92.55,92.55,11
2007-07-27,92.5,100.25,92.5,94.22,81
2007-07-30,92.75,97.4,92.75,97.4,185
2007-08-01,91.5,93,91.5,91.5,28
2007-08-02,91.75,93.25,90.6,90.6,127
2007-08-03,88.5,93.5,88.1,91.61,123
2007-08-06,91.25,91.25,90.5,90.5,4
2007-08-07,91.25,94.75,89.05,94.2,161
2007-08-08,92.5,93.95,92.5,93.95,11
2007-08-09,92.5,92.5,91,91.98,333
2007-08-10,90.25,91.23,90,91.23,28
2007-08-13,87,94.95,87,91.63,285
2007-08-14,94.95,95.5,90,91.65,405
2007-08-16,89,94.7,88.75,90.25,28
2007-08-17,89.75,89.75,88.75,88.75,45
2007-08-20,91.5,92,91.5,91.5,25
2007-08-21,80,97,80,91.5,38
2007-08-22,87.75,87.75,85.75,87.28,11
2007-08-23,91.85,94.75,88,90.22,62
2007-08-24,85.3,92,85.3,92,4
2007-08-27,95,95,95,95,9
2007-08-28,93.5,95,93.03,94.8,205
2007-08-29,82.6,100,82.6,96.5,258
2007-08-30,102.5,102.5,89,100.5,181
2007-08-31,96.5,107.5,96.5,105.8,528
2007-09-03,113.81,115,110,114.27,395
2007-09-04,114,114.98,107.75,110.57,161
2007-09-05,99,124.5,99,119.24,1099
2007-09-06,115,119.5,115,116.45,76
2007-09-07,110.25,114.95,110,110.23,266
2007-09-10,117.2,117.2,110.85,115,56
2007-09-11,115,124.5,105.45,120.73,395
2007-09-12,112.5,132,112.5,130.18,491
2007-09-13,137,156.22,132.35,156.22,4484
2007-09-14,166.22,171.84,162,171.84,6146
2007-09-17,175.8,189.03,175.8,189.03,8304
2007-09-18,196,207.93,191.05,207.93,6392
2007-09-19,225,228.72,225,228.72,647
2007-09-20,250,251.6,218.25,232.89,10003
2007-09-21,240,244.45,221.25,224.49,641
2007-09-24,235,235,213.27,213.72,691
2007-09-25,214.85,214.85,203.03,203.03,402
2007-09-26,193.05,213.19,192.9,213.19,927
2007-09-27,215,223.75,202.53,202.53,268
2007-09-28,194.25,196.95,192.4,192.46,322
2007-10-01,187.5,200.5,187.5,194.02,327
2007-10-03,185.76,192.08,184.5,189.9,188
2007-10-04,184.55,187.5,180.45,183.59,143
2007-10-05,188.75,188.75,175,178.22,127
2007-10-08,169.35,175,169.35,169.87,53
2007-10-09,167,174,161.4,174,105
2007-10-10,165.3,172.49,165.3,168.91,68
2007-10-11,177,177.25,168.9,174.03,171
2007-10-12,182.5,182.73,176.5,182.73,77
2007-10-15,191.8,191.87,191.8,191.87,22
2007-10-16,201.47,201.47,201.47,201.47,155
2007-10-17,193.75,211.54,193.75,211.54,285
2007-10-18,222.12,222.12,211.54,221.14,200
2007-10-19,217.5,219.95,210.08,210.08,349
2007-10-22,199.6,217.5,199.58,199.58,205
2007-10-23,206.5,207.5,190.51,195.48,187
2007-10-24,198.8,202.5,195,196.45,48
2007-10-25,197,206.25,197,204.64,100
2007-10-26,206.35,214.88,205.75,214.88,196
2007-10-29,225,225.62,225,225.62,106
2007-10-30,236.9,236.9,235,236.9,469
2007-10-31,232.5,248.75,232.5,248.6,478
2007-11-01,250,261,238.5,252.76,225
2007-11-02,242.5,250,240.13,248.23,259
2007-11-05,259.95,260.1,238,244.82,210
2007-11-06,254.5,254.5,235,239.36,233
2007-11-07,227.4,227.4,227.4,227.4,23
2007-11-08,216.25,223.75,216.05,217.23,63
2007-11-09,227.5,227.5,212.75,217.61,30
2007-11-12,217.25,217.5,206.75,212.23,98
2007-11-13,202.05,222.5,201.75,210.29,184
2007-11-14,219.25,220.8,213.5,220.8,45
2007-11-15,220.8,231.82,220.8,223.13,75
2007-11-16,233.5,233.5,212.51,221.02,109
2007-11-19,226.5,227,215,215,28
2007-11-20,220,220.3,213.5,215.85,28
2007-11-21,205.5,212.5,205.1,205.13,118
2007-11-22,215,215,194.9,199.3,130
2007-11-23,189.35,199.5,189.35,198.25,14
2007-11-26,207.5,207.5,195.05,202.6,44
2007-11-27,196.25,209.95,196.25,208.59,109
2007-11-28,210,214.85,201.25,202.2,114
2007-11-29,212.3,212.3,192.55,199,53
2007-11-30,195,205,195,200.76,54
2007-12-03,209.75,210.8,206,210.8,101
2007-12-04,221.3,221.34,221.25,221.34,103
2007-12-05,231.35,232.41,231.35,232.41,54
2007-12-06,244.03,244.03,227.65,232.81,295
2007-12-07,244.35,244.35,225.65,231.72,109
2007-12-10,239.5,239.5,229.25,230.11,127
2007-12-11,222.95,229.5,222.5,222.7,55
2007-12-12,233,233.75,226.25,231.42,309
2007-12-13,232,237.5,225,228.92,122
2007-12-14,230,234.45,225,227.05,154
2007-12-17,233.85,235,218.26,218.51,93
2007-12-18,207.65,224.95,207.65,209.55,153
2007-12-19,219.7,219.7,207.5,210.85,70
2007-12-20,215,217,206.25,210.34,160
2007-12-24,210,220.86,210,215.92,185
2007-12-26,224.95,226.71,210.65,226.71,91
2007-12-27,232.5,238.03,232.5,238,171
2007-12-28,249.75,249.8,235,237.92,119
2007-12-31,228.93,248.45,228.93,240.3,2817
2008-01-01,244.9,244.9,235.5,236.39,1904
2008-01-02,228.75,242.5,228.75,230.15,307
2008-01-03,237.25,240,228.75,230.08,197
2008-01-04,237.5,237.5,219.5,220.85,334
2008-01-07,213.75,225.5,213.75,220.39,457
2008-01-08,229.45,229.45,205,205.67,242
2008-01-09,207.5,212,202.55,205.26,166
2008-01-10,205,206.25,204.2,204.98,176
2008-01-11,200.06,204.97,195.01,198.74,96
2008-01-14,195.01,204.75,195.01,203.5,112
2008-01-15,207.45,207.45,197.52,205.72,12
2008-01-16,201,204.5,198.05,199.3,58
2008-01-17,190.01,203.2,185.7,201.89,41
2008-01-18,195.1,201.25,195,195.09,84
