Date,Open,High,Low,Close,Volume
2003-09-05,111.3,123.9,111.3,119.8,121052
2003-09-08,121,121.95,118.25,119.9,57528
2003-09-09,121.5,122,117.05,120.15,36372
2003-09-10,118,119.9,113.15,115.6,25650
2003-09-11,116,121,115.1,115.7,14831
2003-09-12,116.6,117.85,112.55,113.7,9642
2003-09-15,111.05,112,107.1,108,12053
2003-09-16,107.3,111.95,107.3,109.6,17070
2003-09-17,112.7,113,109,109.65,17072
2003-09-18,108.1,109.15,104,105.6,12207
2003-09-19,105.5,109,104.1,107.4,42050
2003-09-22,105,108,105,106.2,4542
2003-09-23,104.6,106.45,104.55,105.4,4374
2003-09-24,113.5,113.5,105.1,108.65,59193
2003-09-25,109.85,113.5,108.3,112.15,35614
2003-09-26,112.9,116.9,112.9,115.6,18366
2003-09-29,117.2,128,117.2,123.25,90636
2003-09-30,125.7,127.95,123,125.2,47130
2003-10-01,127.95,134,124,129.7,79830
2003-10-03,130.6,136.7,130.6,132.85,65537
2003-10-06,134.5,137.85,132.55,133.05,33780
2003-10-07,133.05,139,130,135.2,47165
2003-10-08,134.9,136,133,134.6,18303
2003-10-09,136,139.75,133.1,133.55,26400
2003-10-10,134.5,134.5,126,126.7,37260
2003-10-13,129.9,129.9,122,123.05,23323
2003-10-14,122,127,116.2,117.65,30511
2003-10-15,118.55,122,118.05,120.05,11199
2003-10-16,121.2,123,116.55,118.2,25123
2003-10-17,122,122,117.95,119.8,18823
2003-10-20,143.8,143.8,113.25,113.85,17698
2003-10-21,114,116.5,112.05,112.95,20427
2003-10-22,115,115.65,111.5,112.35,22991
2003-10-23,111.9,119,111.9,114.55,30713
2003-10-24,117.9,118.4,113.6,117.8,13254
2003-10-25,121,122.75,118.55,120.85,9296
2003-10-27,120.1,123,116.05,117.55,29066
2003-10-28,118,118,115.1,116.05,6048
2003-10-29,115,117.95,115,117.25,5130
2003-10-30,118,120.9,117.15,120.25,8540
2003-10-31,121,124.5,120,123.8,19081
2003-11-03,125,128.5,121,124.3,22055
2003-11-04,126.9,128,120,121.65,21145
2003-11-05,121.9,121.9,118.25,120.05,12568
2003-11-06,122.5,124.85,120,122.15,13897
2003-11-07,120,132,120,129.6,44936
2003-11-10,131,131.9,128,129.05,32478
2003-11-11,131,132.95,110.95,126.5,38899
2003-11-12,125.6,137.95,125.6,131.9,74363
2003-11-13,135.9,136.8,129.8,130.25,64475
2003-11-14,127,128.25,123,123.65,16819
2003-11-15,121.25,127.4,121.25,124.35,5301
2003-11-17,126.75,128.7,125.05,127.6,7669
2003-11-18,128,134.95,126.6,127,24213
2003-11-19,126.5,127.95,125,125.8,14784
2003-11-20,127.65,127.75,124,124.2,9799
2003-11-21,122,125,117.05,123.3,14306
2003-11-24,124.2,127,124,125.6,6584
2003-11-25,128,131.45,125.3,126.15,18556
2003-11-27,127.3,129.3,126.05,126.7,13204
2003-11-28,129,136.9,127.3,132.3,90730
2003-12-01,132.7,136.45,129.15,130.7,91535
2003-12-02,132,134.6,129,129.3,26555
2003-12-03,132.95,141.9,131,136.75,167470
2003-12-04,137.05,143.5,135.25,141.65,96727
2003-12-05,144.7,148.1,136.05,137.7,126789
2003-12-08,138.9,141,137,139.4,29523
2003-12-09,142,149.4,142,144.4,68940
2003-12-10,144.05,148.75,140,141.15,29660
2003-12-11,142.05,147,140,143.4,48317
2003-12-12,139.5,143.4,138.6,141.9,54996
2003-12-15,147,147,143.1,145.2,26929
2003-12-16,141.05,145.55,140.05,141.25,38573
2003-12-17,141.5,143.2,139,139.5,19162
2003-12-18,141.5,145,139.2,144.4,35604
2003-12-19,143.05,157,143,153.9,141700
2003-12-22,155,159.9,153.6,156.3,87462
