Date,Open,High,Low,Close,Volume
2006-11-21,53.85,59,53.85,55.95,41811
2006-11-22,58,62.55,50.5,57.95,31971
2006-11-23,60,60,54.8,55.5,5553
2006-11-24,56,60,53.55,56.35,8304
2006-11-27,56,59,55,56.55,3964
2006-11-28,60,60,55.5,57.25,3782
2006-11-29,57.5,58.7,56.4,56.4,2790
2006-11-30,59.4,67,57.25,63.6,28801
2006-12-01,66,68,63.35,64.5,20725
2006-12-04,65.2,65.2,58,58.65,57087
2006-12-05,62.35,63.1,60,60.95,15912
2006-12-06,62,63.1,59.8,62.35,8688
2006-12-07,63,66,63,65.1,12924
2006-12-08,66.85,67,56.25,58.7,43860
2006-12-11,61,61.8,59,60.25,54902
2006-12-12,54.1,61.45,53,59.85,35454
2006-12-13,58,61.5,57.25,60.3,52209
2006-12-14,61,72.4,60.4,72.4,768326
2006-12-15,74.25,86.9,74.25,79.7,1446181
2006-12-18,80.9,91.3,74.55,87.45,719576
2006-12-19,87,92.4,85.25,86.15,461188
2006-12-20,87.7,88.5,80.1,81.1,131306
2006-12-21,81.85,81.85,77.2,77.6,69225
2006-12-22,77.9,79.5,75,75.55,73222
2006-12-26,76.5,82.5,75.1,78.5,65551
2006-12-27,79.5,81.8,77.65,78.25,44117
2006-12-28,78.5,80.3,77.5,79,36297
2006-12-29,78,83.25,78,81.7,53847
2007-01-02,83.2,89.9,83.2,89.9,148914
2007-01-03,90,90,82.25,82.75,103910
2007-01-04,82.25,85.9,82.25,83.45,38112
2007-01-05,83.9,88.4,82.1,85,304273
2007-01-08,85,88.4,83.8,85.85,163290
2007-01-09,85.5,91.25,84.15,84.9,349390
2007-01-10,84.75,93.4,84.15,93.4,211854
2007-01-11,90,96.7,90,95.1,180448
2007-01-12,96.9,100.7,94.1,95.9,201325
2007-01-15,96.9,102.85,93.1,94.9,84075
2007-01-16,97.4,98.4,92,93.9,213723
2007-01-17,94.1,98,94.1,95.6,15793
2007-01-18,95.1,96.35,94.15,95.3,54290
2007-01-19,95.5,97.45,86,93.65,29097
2007-01-22,95,99,95,96.75,51063
2007-01-23,96.05,96.15,94,94.95,13284
