Date,Open,High,Low,Close,Volume
2025-12-10,52,58.45,50,53.17,95216157
2025-12-11,53.17,55.39,52.25,52.85,31562379
2025-12-12,53.33,53.99,51.11,51.59,11703612
2025-12-15,51.47,51.47,48.78,49.28,11330045
2025-12-16,49.2,51.45,48.65,50.64,14228196
2025-12-17,50.23,54.66,49.12,51.94,34550743
2025-12-18,53.9,54.99,52.6,53.17,20928514
2025-12-19,53.65,53.65,52,52.24,6656645
2025-12-22,53.34,54.9,52.09,52.39,17031567
2025-12-23,52.75,53.75,51.25,51.8,9111460
2025-12-24,52.29,52.32,51.25,51.79,3985338
2025-12-26,51.8,51.88,50.85,51.05,3553388
2025-12-29,51.09,51.25,49.34,50.45,4677464
2025-12-30,50.42,50.42,49.4,49.68,2348053
2025-12-31,49.68,50.17,49.51,49.75,2615692
2026-01-01,49.79,50.45,49.79,49.98,1402399
2026-01-02,49.46,50.4,49.3,50.13,2657776
2026-01-05,50.7,50.7,49.45,49.67,1731940
2026-01-06,49.56,50,49.32,49.78,1588416
2026-01-07,49.6,51.45,49.57,50.97,2755549
2026-01-08,51.4,51.45,49.81,50.17,1787240
2026-01-09,50.17,50.2,48.39,48.68,2019116
2026-01-12,48.7,48.94,46.81,47.52,1833309
2026-01-13,48.06,48.48,47.66,47.88,1015952
2026-01-14,48.05,49.19,47.61,48.92,1367492
2026-01-16,49.4,49.6,48.23,48.51,876030
2026-01-19,48.74,48.74,47.58,47.72,868561
2026-01-20,47.72,47.75,45.59,45.95,1775411
2026-01-21,46,46,44.37,44.87,1649156
2026-01-22,45.18,46.4,45.16,45.91,721074
2026-01-23,46.15,46.16,44.88,45.13,693190
2026-01-27,45.12,45.54,44.06,45.26,951198
2026-01-28,45.26,46.7,45.12,46.58,795632
2026-01-29,46.57,47,45.5,46.56,820888
2026-01-30,46,46.9,45.5,46.56,748885
2026-02-01,46.01,46.45,42.51,44.51,803959
2026-02-02,45.4,45.6,44.1,45.4,669434
2026-02-03,47,47,45.4,45.94,742486
2026-02-04,46.29,49,45.78,48.45,1310007
2026-02-05,48,50.3,47.95,48.88,2534240
2026-02-06,52.2,52.2,50.25,50.53,5375018
2026-02-09,51.35,51.35,49.2,49.69,1408398
2026-02-10,49.99,50.31,48.5,48.69,951306
2026-02-11,49,49,48.25,48.4,429895
2026-02-13,48.15,48.55,47.13,47.35,588238
