Date,Open,High,Low,Close,Volume
2015-10-13,88.75,91.2,88.6,90.9,2109687
2016-07-11,5.67,5.67,5.49,5.49,11595
2016-07-12,5.39,5.5,5.38,5.38,5628
2016-07-13,5.44,5.46,5.34,5.4,6692
2016-07-14,5.47,5.51,5.47,5.51,3580
2016-07-15,5.6,5.6,5.49,5.57,4286
2016-07-18,5.59,5.6,5.57,5.57,4000
2016-07-19,5.61,5.64,5.57,5.57,5210
2016-07-20,5.61,5.61,5.52,5.57,8433
2016-07-21,5.62,5.62,5.58,5.61,4500
2016-07-22,5.64,5.64,5.61,5.61,3951
2016-07-25,5.64,5.69,5.61,5.69,4705
2016-07-26,5.75,5.78,5.69,5.71,4765
2016-07-27,5.78,5.8,5.74,5.74,4021
2016-07-28,5.75,5.84,5.75,5.83,4643
2016-07-29,5.78,5.89,5.76,5.76,5152
2016-08-01,5.78,5.79,5.74,5.74,4891
2016-08-02,5.81,5.84,5.81,5.84,5077
2016-08-03,5.88,5.88,5.81,5.81,5071
2016-08-04,5.84,5.92,5.81,5.81,5112
2016-08-05,5.87,6.07,5.84,5.88,4115
2016-08-08,5.88,5.94,5.86,5.94,5630
2016-08-09,5.91,5.93,5.9,5.91,5618
2016-08-10,5.91,5.98,5.88,5.98,5587
2016-08-11,6.01,6.25,5.98,5.98,5133
2016-08-12,6.01,6.2,5.98,5.99,10163
2016-08-16,6.01,6.02,5.98,5.98,5040
2016-08-17,6.01,6.21,5.7,6.06,15152
2016-08-18,6.21,6.28,5.98,6.11,10494
2016-08-19,5.94,6,5.94,5.97,6325
2016-08-22,6.04,6.11,5.69,6.01,8104
2016-08-23,6.32,6.32,5.88,5.95,6365
2016-08-24,6.18,6.18,5.69,5.79,20873
2016-08-25,5.74,5.94,5.5,5.74,3151
2016-08-26,5.88,6.03,5.61,6.03,1062
2016-08-29,6.33,6.33,6.03,6.15,855
2016-08-30,6.36,6.45,5.85,6.02,2358
2016-08-31,6.3,6.32,5.91,6.16,12065
2016-09-01,6.47,6.47,6.18,6.33,725
2016-09-02,6.75,6.96,6.35,6.92,44197
2016-09-06,6.75,7.56,6.42,7.1,11987
2016-09-07,7.1,7.54,6.89,7.01,6229
2016-09-08,6.96,7.21,6.89,7.04,3827
2016-09-09,6.91,7.26,6.89,7.04,4477
2016-09-12,7.04,7.73,6.96,7.22,11004
2016-09-14,7.66,7.66,7.11,7.19,6790
2016-09-15,7.26,7.63,6.82,7.16,19641
2016-09-16,7.26,7.53,7.11,7.16,10692
2016-09-19,6.89,7.88,6.89,7.67,5701
2016-09-20,7.57,8.17,7.43,7.82,40193
2016-09-21,8.1,8.54,7.97,8.09,12819
2016-09-22,8.54,8.54,8.04,8.11,3334
2016-09-23,8.04,8.51,7.84,8.02,8377
2016-09-26,8.11,8.44,7.88,8.07,2962
2016-09-27,7.97,8.24,7.97,8.23,12551
2016-09-28,8.37,9.05,8.04,8.86,101415
2016-09-29,8.85,9.38,8.14,8.64,47868
2016-09-30,8.91,8.98,8.21,8.5,20995
2016-10-03,8.36,9.11,8.33,8.46,28250
2016-10-04,8.44,9.3,8.31,8.95,57050
2016-10-05,9.25,9.46,8.92,9.09,7394
2016-10-06,9.25,9.39,8.79,9.09,8892
2016-10-07,9.32,10.54,9.32,9.8,120096
2016-10-10,9.98,10.47,9.8,10.02,11763
2016-10-13,10.33,11.45,9.19,10.31,33128
2016-10-14,10.49,11.08,10.33,10.52,15996
2016-10-17,10.54,10.94,10.47,10.72,11215
2016-10-18,10.94,12.06,10.54,11.69,49161
2016-10-19,11.83,12.55,11.14,11.32,60236
2016-10-20,11.89,12.43,11.49,11.75,11126
2016-10-21,11.94,11.94,11.42,11.55,15285
2016-10-24,11.81,12.83,11.36,12.21,69352
2016-10-25,12.5,13.17,11.28,12.06,576768
2016-10-26,12.06,13.85,12.06,12.77,259840
2016-10-27,12.83,13.51,12.09,12.56,2327169
2016-10-28,12.8,13.37,12.02,12.26,325425
2016-10-30,12.43,12.5,11.96,12.23,58002
2016-11-01,12.39,12.39,11.48,11.75,65187
2016-11-02,11.42,11.65,10.2,10.77,184666
2016-11-03,10.77,11.18,10.23,10.6,67356
2016-11-04,10.57,10.81,9.9,10.4,71162
2016-11-07,10.57,10.71,9.96,10.2,47999
2016-11-08,10.27,10.6,9.79,10.2,77376
2016-11-09,10,10.5,8.44,9.39,52360
2016-11-10,8.92,10.03,8.92,9.35,26819
2016-11-11,9.35,11.21,8.58,9.66,1200937
2016-11-15,9.76,9.76,8.78,9.29,41258
2016-11-16,9.42,9.46,8.98,9.29,24441
2016-11-17,8.92,9.29,8.78,8.95,45223
2016-11-18,9.08,10.1,8.78,9.32,49464
2016-11-21,9.05,9.29,8.11,8.48,31645
2016-11-22,8.48,8.48,7.53,8.14,15816
2016-11-23,8.38,8.38,7.56,7.8,10809
2016-11-24,7.5,8.71,7.5,8.58,35866
2016-11-25,9.29,9.29,8.17,8.78,20202
2016-11-28,9.12,10.54,8.27,10.5,410236
2016-11-29,10.94,10.94,9.49,10.23,230559
2016-11-30,11.25,11.31,10.2,10.3,24407
2016-12-01,10.2,10.81,9.79,10.13,28990
2016-12-02,10,10.13,9.66,9.79,13037
2016-12-05,9.79,9.79,8.95,9.29,23178
2016-12-06,9.52,10.1,9.05,9.12,58026
2016-12-07,9.12,10.94,9.05,10.94,680074
2016-12-08,12.43,12.83,11.14,11.35,655546
2016-12-09,11.55,11.55,10.57,11.14,211248
2016-12-12,10.81,11.69,10.6,11.25,39752
2016-12-13,11.69,13.48,11.25,12.87,561346
2016-12-14,13.04,14.15,11.82,14.15,1022221
2016-12-15,14.39,15.13,13.68,13.98,665923
2016-12-16,14.86,14.86,13.68,13.95,376739
2016-12-19,13.95,14.39,13.71,13.91,28598
2016-12-20,13.31,14.49,12.53,12.53,198518
2016-12-21,11.72,12.5,11.28,11.28,1402465
2016-12-22,11.28,11.28,10.74,10.74,49629
2016-12-23,10.23,10.23,10.23,10.23,55583
2016-12-26,9.73,9.73,9.73,9.73,11104
2016-12-27,9.25,9.25,9.25,9.25,24445
2016-12-28,8.81,8.81,8.81,8.81,9667
2016-12-29,8.38,8.38,8.38,8.38,12998
2016-12-30,7.97,8.78,7.97,8.78,164321
2017-01-02,9.22,9.22,9.08,9.19,58948
2017-01-03,9.63,9.63,9.12,9.42,36437
2017-01-04,9.63,9.63,8.98,8.98,136514
2017-01-05,8.54,8.54,8.54,8.54,11334
2017-01-06,8.14,8.95,8.14,8.14,66874
2017-01-09,8.11,8.38,7.73,7.77,33256
2017-01-10,8.07,8.07,7.4,7.4,87325
2017-01-11,7.09,7.7,7.06,7.53,52693
2017-01-12,7.29,7.9,7.23,7.84,31954
2017-01-13,7.9,8.17,7.46,7.7,46622
2017-01-16,7.84,7.94,7.33,7.63,95449
2017-01-17,7.77,7.77,7.26,7.33,58424
2017-01-18,7.67,7.67,6.99,6.99,51788
2017-01-19,7.33,7.33,6.65,6.65,88078
2017-01-20,6.35,6.89,6.35,6.35,20041
2017-01-23,6.05,6.08,6.05,6.05,34838
2017-01-24,5.78,6.32,5.78,5.98,88422
2017-01-25,6.08,6.15,5.71,5.78,43624
2017-01-27,5.91,6.01,5.5,5.54,75492
2017-01-30,5.54,5.81,5.27,5.74,39924
2017-01-31,5.81,6.01,5.61,6.01,36289
2017-02-01,6.28,6.28,5.88,6.28,12121
2017-02-02,6.28,6.59,6.28,6.59,8368
2017-02-03,6.89,6.89,6.75,6.89,47204
2017-02-06,7.19,7.23,6.96,7.23,16540
2017-02-07,7.56,7.56,6.89,7.26,107795
2017-02-08,7.4,7.4,6.92,6.92,25025
2017-02-09,7.26,7.26,6.59,6.65,30089
2017-02-10,6.35,6.82,6.35,6.72,16233
2017-02-13,6.65,6.89,6.42,6.69,10940
2017-02-14,6.92,6.92,6.38,6.38,14432
2017-02-15,6.32,6.65,6.15,6.38,5619
2017-02-16,6.11,6.62,6.11,6.28,7733
2017-02-17,6.42,6.59,5.98,6.18,21606
2017-02-20,6.08,6.42,5.94,6.21,12654
2017-02-21,6.21,6.38,6.01,6.08,13958
2017-02-22,5.78,6.28,5.78,5.94,22566
2017-02-23,5.91,6.21,5.67,6.15,7126
2017-02-27,6.42,6.42,5.91,5.98,6085
2017-02-28,6.25,6.25,5.74,5.98,5943
2017-03-01,5.98,6.18,5.84,5.94,9537
2017-03-02,6.15,6.18,5.81,5.94,6877
2017-03-03,5.91,6.15,5.78,6.01,8193
2017-03-06,5.74,6.08,5.74,5.74,25285
2017-03-07,5.47,5.91,5.47,5.57,25272
2017-03-08,5.47,5.61,5.3,5.3,81614
2017-03-09,5.5,5.5,5.07,5.1,99345
2017-03-10,4.93,5.3,4.86,5,58758
2017-03-14,5.03,5.2,5,5.2,26950
2017-03-15,5.2,5.44,5,5.07,92347
2017-03-16,5.07,5.27,5,5.2,82186
2017-03-17,5.34,5.34,4.96,5,73272
2017-03-20,5.2,5.2,4.76,5,49583
2017-03-21,4.93,5.23,4.83,5.23,70071
2017-03-22,5.47,5.47,5,5.03,61243
2017-03-23,5.1,5.13,4.8,4.83,118626
2017-03-24,4.73,4.9,4.63,4.73,55216
2017-03-27,4.73,4.93,4.49,4.49,72840
2017-03-28,4.46,4.53,4.29,4.32,98854
