Date,Open,High,Low,Close,Volume
2003-09-05,5.7,5.78,5.65,5.69,19680
2003-09-08,5.68,5.87,5.63,5.67,18491
2003-09-09,5.66,5.75,5.54,5.59,43327
2003-09-10,5.1,5.56,5.09,5.43,31115
2003-09-11,5.23,5.5,5.23,5.38,40802
2003-09-12,5.16,5.2,4.83,4.92,30337
2003-09-15,4.8,4.85,4.7,4.73,21653
2003-09-16,4.78,4.85,4.73,4.83,10347
2003-09-17,4.41,4.82,4.41,4.64,5586
2003-09-18,4.67,4.85,4.67,4.68,12727
2003-09-19,4.78,4.79,4.59,4.63,9901
2003-09-22,4.73,4.78,4.6,4.62,11858
2003-09-23,4.66,4.66,4.58,4.6,3110
2003-09-24,4.61,4.69,4.52,4.61,28151
2003-09-25,4.7,4.7,4.55,4.6,1421
2003-09-26,4.6,4.66,4.48,4.55,23311
2003-09-29,4.77,4.78,4.56,4.61,28525
2003-09-30,4.77,4.77,4.53,4.62,30113
2003-10-01,4.74,4.98,4.55,4.94,62295
2003-10-03,5.05,5.44,5,5.36,201631
2003-10-06,5.6,5.94,5.43,5.81,324198
2003-10-07,6.17,6.17,5.86,6.01,150146
2003-10-08,6.12,6.36,6.06,6.14,127604
2003-10-09,6.36,6.36,6.05,6.22,59142
2003-10-10,6.22,6.35,6.1,6.17,43902
2003-10-13,6.3,6.3,6.07,6.19,38041
2003-10-14,6.3,6.44,6.12,6.28,99888
2003-10-15,6.44,6.57,6.36,6.49,58948
2003-10-16,6.69,6.9,6.56,6.7,82761
2003-10-17,6.98,6.98,6.76,6.85,69351
2003-10-20,6.97,6.97,6.4,6.51,36063
2003-10-21,6.37,6.52,6.2,6.21,29226
2003-10-22,6.24,6.29,6,6.02,25690
2003-10-23,6.06,6.14,6,6.01,18481
2003-10-24,5.97,6.09,5.82,6.04,20106
2003-10-25,6.04,6.34,6.02,6.18,13549
2003-10-27,6.2,6.31,6.01,6.05,9866
2003-10-28,5.7,6.15,5.7,6.03,12366
2003-10-29,6.37,6.38,5.95,5.99,4609
2003-10-30,5.99,6.03,5.9,5.9,20080
2003-10-31,5.98,5.98,5.8,5.87,14589
2003-11-03,5.7,5.89,5.51,5.61,31245
2003-11-04,5.6,5.6,5.24,5.28,20964
2003-11-05,5.34,5.42,5.28,5.35,13248
2003-11-06,5.4,5.55,5.4,5.5,14541
2003-11-07,5.45,5.64,5.45,5.56,15933
2003-11-10,5.62,5.96,5.62,5.91,18795
2003-11-11,5.85,6.34,5.85,6.22,49661
2003-11-12,6.35,6.7,6.35,6.51,85416
2003-11-13,6.71,6.75,6.12,6.22,44394
2003-11-14,6.15,6.33,6.1,6.11,22899
2003-11-15,6.2,6.34,6.13,6.29,3441
2003-11-17,6.22,6.6,6.22,6.41,50821
2003-11-18,6.6,6.69,6.41,6.47,40897
2003-11-19,6.4,6.5,6.33,6.48,27600
2003-11-20,6.52,7.18,6.48,6.75,151058
2003-11-21,6.92,6.93,6.35,6.59,32809
2003-11-24,6.8,6.97,6.7,6.91,45480
2003-11-25,7.14,7.14,6.83,6.9,36108
2003-11-27,7.17,7.49,7.01,7.1,84642
2003-11-28,7.2,7.2,6.81,6.96,48205
2003-12-01,7.2,7.7,7.2,7.35,122323
2003-12-02,7.4,7.4,7.1,7.13,47390
2003-12-03,7.01,7.19,6.94,7.08,24863
2003-12-04,7.2,7.3,7.07,7.21,42878
2003-12-05,7.02,7.29,7.02,7.1,32400
2003-12-08,7.14,7.45,7.14,7.39,58826
2003-12-09,7.6,7.78,7.5,7.64,80548
2003-12-10,7.62,8.28,7.62,7.86,136292
2003-12-11,8.05,8.05,7.47,7.65,64424
2003-12-12,7.8,7.86,7.4,7.5,38472
2003-12-15,7.76,7.9,7.55,7.82,37375
2003-12-16,7.85,7.94,7.61,7.76,34818
2003-12-17,7.88,8,7.63,7.68,39401
2003-12-18,7.98,8.85,7.6,8.66,239022
2003-12-19,8.87,9.69,8.68,9.42,369783
2003-12-22,9.43,9.6,9.06,9.22,121843
2003-12-23,8.9,9.4,8.9,9.15,67939
2003-12-24,8.8,9.36,8.8,9.21,52639
2003-12-26,9.2,9.48,9.2,9.32,40019
2003-12-29,9.58,9.8,9.2,9.31,55575
2003-12-30,8.97,9.76,8.82,8.94,30775
2003-12-31,8.79,8.92,8.62,8.78,40989
2004-01-01,8.98,9.2,8.53,8.95,66978
2004-01-02,9.1,9.26,8.9,8.99,42501
2004-01-05,9.07,9.2,8.5,8.59,65437
2004-01-06,8.88,8.88,8.2,8.24,39654
2004-01-07,8.15,8.2,8,8.14,30661
2004-01-08,8.2,8.46,8.02,8.39,43365
2004-01-09,8.45,8.6,8.16,8.21,50260
2004-01-12,8.14,8.4,8.14,8.26,29647
2004-01-13,8.24,8.28,8,8.05,24541
2004-01-14,8.2,8.34,8.1,8.21,15692
2004-01-15,8.21,8.32,8,8.01,17193
2004-01-16,7.92,7.99,7.6,7.72,25482
2004-01-19,7.91,7.91,7.42,7.58,24090
2004-01-20,7.31,7.7,7.24,7.3,26605
2004-01-21,7.22,7.3,6.4,6.6,44661
2004-01-22,6.7,6.8,6.28,6.51,21678
2004-01-23,6.43,7.19,6.43,7.07,17208
2004-01-27,7.04,7.19,6.84,7.15,10245
2004-01-28,7,7.2,6.68,6.76,10038
2004-01-29,6.7,6.92,6.52,6.74,10219
2004-01-30,6.97,6.98,6.4,6.42,13043
2004-02-03,6.4,6.4,5.56,5.61,71471
2004-02-04,5.6,5.97,5.21,5.62,32395
2004-02-05,5.6,5.96,5.6,5.72,23485
2004-02-06,5.6,5.79,5.6,5.65,19385
2004-02-09,5.67,5.97,5.59,5.62,41458
2004-02-10,5.78,5.9,5.56,5.82,41287
2004-02-11,5.8,5.8,5.59,5.67,28531
2004-02-12,5.4,5.8,5.4,5.69,20765
2004-02-13,5.63,5.86,5.5,5.8,39828
2004-02-16,5.8,5.94,5.51,5.71,20941
2004-02-17,5.78,5.79,5.63,5.68,6427
2004-02-18,5.7,5.7,5.65,5.66,6370
2004-02-19,5.6,5.64,5.54,5.56,18608
2004-02-20,5.1,5.59,5.1,5.48,9200
2004-02-23,5.06,5.55,5.06,5.26,20611
2004-02-24,5.27,5.28,5.21,5.27,5055
2004-02-25,5.38,5.38,5.2,5.21,7105
2004-02-26,5.28,5.41,5.21,5.26,17678
2004-02-27,5.36,5.36,5.2,5.21,35656
2004-03-01,5.25,5.29,5.21,5.27,11926
2004-03-03,5.2,5.26,5.09,5.18,25313
2004-03-04,5.29,5.29,5.18,5.18,10220
2004-03-05,5.26,5.29,5.2,5.23,42935
2004-03-08,5.21,5.43,5.21,5.4,30242
2004-03-09,5.26,5.4,5.24,5.28,21439
2004-03-10,5.35,5.35,5.21,5.32,24988
2004-03-11,5.41,5.41,5.22,5.26,14051
2004-03-12,5.29,5.3,5.2,5.23,25515
2004-03-15,5.2,5.24,5.02,5.05,13321
2004-03-16,5,5.04,4.81,4.83,13918
2004-03-17,4.77,5,4.76,4.94,7131
2004-03-18,4.56,5,4.56,4.92,7482
2004-03-19,4.8,4.92,4.77,4.92,5850
2004-03-22,4.94,5.18,4.8,4.82,6885
2004-03-23,4.95,4.95,4.65,4.86,9476
2004-03-24,4.81,5.01,4.75,5,5751
2004-03-25,5,5,4.89,4.94,18760
2004-03-26,4.85,5.1,4.81,5.01,24723
2004-03-29,5.02,5.4,5.02,5.3,15798
2004-03-30,5.25,5.55,5.25,5.36,19682
2004-03-31,5.56,5.68,5.4,5.5,12674
2004-04-01,5.7,5.91,5.65,5.86,38350
2004-04-02,6,6.03,5.81,5.96,16907
2004-04-05,6.21,6.38,6.04,6.18,45265
2004-04-06,6,6.4,5.83,5.98,21070
2004-04-07,5.9,5.98,5.83,5.93,15477
2004-04-08,5.98,6.1,5.92,6.06,9134
2004-04-12,6,6.2,5.75,6.1,20125
2004-04-13,5.94,6.09,5.85,5.97,8450
2004-04-15,6,6.04,5.8,5.94,6423
2004-04-16,5.9,6,5.64,5.9,9106
