Date,Open,High,Low,Close,Volume
2015-03-05,35.01,35.01,35,35,300
2015-03-09,34.99,34.99,34.99,34.99,200
2015-03-10,30.31,35.18,29.02,33.74,2190
2015-03-11,34.99,37,34.8,36.28,560
2015-03-12,35,35.4,33.79,34.2,1071
2015-03-13,34.58,34.58,34.58,34.58,20
2015-03-17,28.36,35.1,28.36,35.07,18695
2015-03-18,34,34.6,34,34.6,2100
2015-03-19,34.2,37.6,34.2,35.8,5888
2015-03-20,35.42,35.5,34,35.5,11026
2015-03-23,35.8,35.8,34.3,35.4,200
2015-03-24,33,35.2,33,35.2,1040
2015-03-25,33.6,34.2,33.6,33.9,681
2015-03-26,33.4,33.4,33.4,33.4,600
2015-03-27,33.8,34.4,32.8,32.98,2385
2015-03-30,35.6,35.8,34.4,34.4,3400
2015-03-31,33,34,32.01,34,2080
2015-04-01,32.21,34.78,32.21,34.76,94
2015-04-06,32.8,34.4,30.45,33.42,6344
2015-04-07,33.7,35,33.7,34.62,7537
2015-04-08,35.2,36,35.2,35.2,16350
2015-04-09,35,35,33.4,34.8,58755
2015-04-10,34.8,35.4,34,34,19585
2015-04-13,35.2,35.4,34,34.21,3950
2015-04-15,35,35.4,33.8,34.91,24410
2015-04-16,34.9,34.98,33.5,33.88,12645
2015-04-17,34.5,35.2,34,35.17,12276
2015-04-20,34.92,35.9,34.9,35.3,7396
2015-04-21,35.2,35.6,33.83,34.34,14896
2015-04-22,34,34,34,34,17475
2015-04-23,35.1,35.4,34.88,34.9,1389
2015-04-24,34.99,34.99,34.5,34.5,1326
2015-04-27,33.9,34.98,32,32.9,613
2015-04-28,33.7,35.1,33.6,34.65,4475
2015-04-29,34.65,35,34.2,34.65,1757
2015-04-30,34.8,35,34,35,4705
2015-05-04,34.8,35.14,34.8,35.05,4816
2015-05-05,35,35.8,35,35.32,3810
2015-05-06,35.1,35.4,34.6,34.68,9427
2015-05-07,35.1,35.2,34.6,35.2,8500
2015-05-08,34.6,35.2,34.6,34.8,15050
2015-05-11,35.18,35.22,34.6,35.19,1315
2015-05-12,35,35.06,32,33.39,4913
2015-05-13,35.02,35.16,33,33.6,13885
2015-05-14,33.6,33.8,33.2,33.8,855
2015-05-15,34.8,35.04,33.8,34.62,1247
2015-05-18,34.9,36.2,34.9,35.9,3977
2015-05-19,35.38,36.4,35.22,35.79,11033
2015-05-20,36.39,36.98,35.6,35.6,22600
2015-05-21,40,40,35.2,35.9,16591
2015-05-22,37.39,37.4,35.2,35.98,7126
