Date,Open,High,Low,Close,Volume
2023-10-10,73,76.65,73,76.65,3144000
2023-10-11,80.45,80.45,80.45,80.45,272000
2023-10-12,84.45,84.45,84.45,84.45,112000
2023-10-13,88.65,88.65,88.65,88.65,182000
2023-10-16,93.05,93.05,93.05,93.05,116000
2023-10-17,97.7,97.7,97.7,97.7,286000
2023-10-18,102.55,102.55,102.55,102.55,282000
2023-10-19,105.4,107.65,98.05,107.65,1918000
2023-10-20,113,113,113,113,50000
2023-10-23,118.65,118.65,118.65,118.65,80000
2023-10-25,119.95,127.8,109.55,119.65,1288000
2023-10-26,116,131.6,115.85,131.6,724000
2023-10-27,139.9,144.75,137,144.75,374000
2023-10-30,150,159.2,144.75,159.2,454000
2023-10-31,158.8,158.8,151.25,153.1,750000
2023-11-01,160.75,160.75,156.15,160,498000
2023-11-02,164.4,166.95,152.5,155.85,322000
2023-11-03,158,163,149.05,160.25,332000
2023-11-06,160.05,168.25,160.05,168.25,666000
2023-11-07,171,176.65,168.05,176.65,298000
2023-11-08,182,185.45,179,185.45,280000
2023-11-09,189.8,194.7,189.8,194.7,200000
2023-11-10,198,204.4,187.5,202.7,340000
2023-11-12,206.5,208,192.6,197.45,220000
2023-11-13,195.3,207.3,195,207.3,142000
2023-11-15,217.65,217.65,217.65,217.65,4000
2023-11-16,226.95,226.95,210.6,213.3,480000
2023-11-17,209.5,223.95,205,220.9,294000
2023-11-20,224.9,229,210,212.15,140000
2023-11-21,215.8,222.75,211.25,222.75,362000
2023-11-22,232.8,232.8,232.8,232.8,30000
2023-11-23,244.4,244.4,244.4,244.4,18000
2023-11-24,256.6,256.6,256.6,256.6,6000
2023-11-28,269.4,269.4,260,269.4,156000
2023-11-29,282.85,282.85,263,282.85,160000
2023-11-30,296.95,296.95,296.95,296.95,54000
2023-12-01,311.75,311.75,306.4,311.75,194000
2023-12-04,327.3,327.3,314.5,326.35,264000
2023-12-05,311,342.65,310.05,336.25,496000
2023-12-06,341.8,346,325,342.65,134000
2023-12-07,348,359.75,348,359.75,104000
2023-12-08,377.7,377.7,377.7,377.7,12000
2023-12-11,396.55,396.55,380.05,396.55,290000
2023-12-12,397,398,376.75,376.75,160000
2023-12-13,357.95,380,357.95,372.75,286000
2023-12-14,385,385,354.15,358.3,270000
2023-12-15,341.4,354,340.4,340.4,158000
2023-12-18,329.15,357.4,323.4,357.4,666000
2023-12-19,368,375.25,365.35,375.25,216000
2023-12-20,393.9,394,372,388.6,354000
2023-12-21,388.6,408,374,408,240000
2023-12-22,428.4,428.4,428.4,428.4,30000
2023-12-26,449.8,449.8,420.1,445.5,276000
2023-12-27,453,453.9,423.25,423.25,122000
2023-12-28,402.1,423.7,402.1,402.1,198000
2023-12-29,392.3,422.2,382,422.2,274000
2024-01-01,427,439,418,428.35,58000
2024-01-02,430,430,410,422,56000
2024-01-03,422,422,400.9,402.1,58000
2024-01-04,405,422.2,403,422.2,144000
2024-01-05,443,443.3,434,443.3,142000
2024-01-08,465.45,465.45,438.25,442.05,144000
2024-01-09,448.7,464.15,426.6,454.65,208000
2024-01-10,444,449.6,435,438.4,34000
2024-01-11,440,454.9,440,448,14000
2024-01-12,437.5,447,433.1,434.05,26000
2024-01-15,421.5,427,412.35,415.35,64000
2024-01-16,401.25,410.4,394.6,394.6,74000
2024-01-17,394.6,405,394.6,400,20000
2024-01-18,395,400,395,400,6000
2024-01-19,402,405,392.55,392.55,22000
2024-01-20,392.55,392.55,372.95,373,52000
2024-01-23,360.7,360.7,354.35,354.35,52000
2024-01-24,340,342.95,336.65,336.65,224000
2024-01-25,332.5,353.45,319.85,352.8,316000
2024-01-29,355,364.7,343,343,42000
2024-01-30,348.7,359,348.7,358,22000
2024-01-31,358.2,358.2,340.1,340.1,12000
2024-02-01,357,357,323.1,328.05,38000
2024-02-02,325,329,311.65,311.65,76000
2024-02-05,311.65,315,296.1,297.05,106000
2024-02-06,296,296,282.2,282.25,34000
2024-02-07,292,296.35,289.9,295,98000
2024-02-08,308.95,309.75,299,305.9,44000
2024-02-09,305.3,305.3,290.6,293.4,46000
2024-02-12,299.3,307,278.75,278.95,38000
2024-02-13,270,277.8,265,267,162000
2024-02-14,266.5,274.4,254.1,254.9,52000
2024-02-15,252,267,250,264.65,32000
2024-02-16,256,277.85,256,277.85,20000
2024-02-19,291.65,291.7,280,285,48000
2024-02-20,285,299.25,285,299.25,22000
2024-02-21,300,300.25,300,300,20000
2024-02-22,306.95,306.95,301,301,8000
2024-02-23,313.5,314.9,305,313.2,12000
2024-02-26,298,310,298,305,6000
2024-02-28,289.75,289.75,289.75,289.75,2000
2024-02-29,277.65,277.65,275.3,275.3,14000
2024-03-01,265,275,265,275,6000
2024-03-02,263.25,266.2,261.25,263,12000
2024-03-04,263,274,249.85,250.15,64000
2024-03-05,248,248,237.65,238.75,78000
2024-03-06,229.25,237.05,226.85,226.85,44000
2024-03-07,219,224,215.5,221.05,108000
2024-03-11,214,232,210,222.8,264000
2024-03-12,225,233.9,221.1,228.45,80000
2024-03-13,230,231,217.05,217.05,48000
2024-03-14,213.15,219.9,206.2,211,102000
2024-03-15,211,214.9,204,214.9,34000
2024-03-18,225,225.6,208.05,225.15,58000
2024-03-19,229.85,230.1,226.1,227.15,26000
2024-03-20,232.5,238.5,232.5,236.05,34000
2024-03-21,234,240,226,229.55,18000
2024-03-22,223,234,223,228,10000
2024-03-26,232,232,225.2,229,18000
2024-03-27,221.1,233,221.1,228.8,78000
2024-03-28,236,236,217.4,219.9,78000
2024-04-01,226,230.85,223,230.8,26000
2024-04-02,240,242.3,239,242.3,20000
2024-04-03,242.3,254.4,242.3,254.4,32000
2024-04-04,267.1,267.1,262,267.1,36000
2024-04-05,291,291,280,284.65,96000
2024-04-08,272,306.9,272,296.15,38000
2024-04-09,280,280,280,280,2000
2024-04-10,285,285,273.1,273.85,10000
2024-04-12,280,280,275,275,6000
2024-04-15,252.1,271,252,261,14000
2024-04-16,255.6,255.6,255.55,255.55,4000
2024-04-18,250.5,265,250.5,255,14000
2024-04-19,251.05,271,251.05,269.7,14000
2024-04-22,262,266.1,260,260.1,32000
2024-04-23,261.5,262,251,255.8,18000
2024-04-24,259.95,260,253.6,259.95,14000
2024-04-25,258.85,260,256.1,256.1,12000
2024-04-26,260.1,281,260.1,262.15,54000
2024-04-29,261.5,268,240.25,255.05,26000
2024-04-30,262.7,280,261.9,265.5,191000
2024-05-02,270,276.75,251.1,272.8,58500
2024-05-03,275,280,261,263.15,25000
2024-05-06,258.3,277.9,258.3,260.05,11500
2024-05-07,263,263,244,253.75,20000
2024-05-08,244,250,236,246.15,27500
2024-05-09,242.15,244,227,228.65,17000
2024-05-10,228.65,243,216.5,238.3,25500
2024-05-13,231,238.3,221,225.85,26000
2024-05-14,225.85,235,225,228.1,24500
2024-05-15,235,238,225,225.2,14500
2024-05-16,235,235,225.1,232.45,4500
2024-05-17,235.9,236,225,229.05,26000
2024-05-18,227,232.2,227,230,4500
2024-05-21,230,235,227,232.65,13000
2024-05-22,235,240,229,230.9,54500
2024-05-23,246,246,225.9,238.65,53000
2024-05-24,215,224.95,214.8,214.8,286000
2024-05-27,202.05,209.7,196,202.95,81500
2024-05-28,203,216,200.05,210.05,27500
2024-05-29,203.25,209,197.05,203.3,16000
2024-05-30,197,199,183,183.35,84000
2024-05-31,189,192,182,189,21500
2024-06-03,198.45,198.45,180.35,184.25,37500
2024-06-04,184.25,187.95,175.05,175.05,31500
2024-06-05,166.55,166.55,166.3,166.3,15000
2024-06-06,165.05,174.6,165.05,174.2,75000
2024-06-07,180.95,180.95,165.5,170.1,94000
2024-06-10,170.1,175.9,168.1,173.95,16500
2024-06-11,178,182.6,178,182.4,54000
2024-06-12,189.5,191.5,185.15,191.1,39500
2024-06-13,196,199.3,187.75,193.2,31500
2024-06-14,198,202.5,192.1,201.85,23500
2024-06-18,211,211.9,206,211.9,64000
2024-06-19,217.9,220.4,202.05,203.2,42500
2024-06-20,205.5,205.5,195,198,28500
2024-06-21,206,206,188.1,194.4,81500
2024-06-24,188.5,204.1,188.5,203.6,33500
2024-06-25,203.6,213.75,203.6,213.75,47000
2024-06-26,224.4,224.4,207,215.3,177500
