Date,Open,High,Low,Close,Volume
2022-09-16,56.25,59.06,54.38,59.06,966000
2022-09-19,62,62,62,62,40000
2022-09-20,65.09,65.09,65.09,65.09,32000
2022-09-21,68.34,68.34,61.84,62.5,358000
2022-09-22,59.72,62.25,59.38,59.38,102000
2022-09-23,58.13,58.13,56.41,56.41,72000
2022-09-26,53.59,53.59,53.59,53.59,8000
2022-09-27,50.94,50.94,50.94,50.94,30000
2022-09-28,48.75,53.47,48.75,53.47,84000
2022-09-29,56.13,56.13,56.13,56.13,44000
2022-09-30,59.94,67.34,59.94,67.06,308000
2022-10-03,70.78,76.56,57.28,62.38,234000
2022-10-04,67.47,70.94,62.81,68.38,136000
2022-10-06,71.84,71.84,64.19,64.97,58000
2022-10-07,60.19,63.44,52,60.78,156000
2022-10-10,53.19,65.59,53.19,61.88,100000
2022-10-11,61.91,64.19,60.72,62.25,44000
2022-10-12,60.66,60.66,58.44,58.44,22000
2022-10-13,55.16,57.5,55.16,56.16,42000
2022-10-14,57.81,59.38,57,57.53,56000
2022-10-17,55.78,57.19,54.38,54.69,42000
2022-10-18,56.25,61.06,56.25,57.47,68000
2022-10-19,58.44,58.44,55.03,56.19,22000
2022-10-20,56.88,57.88,53.81,55.47,50000
2022-10-21,58.59,58.59,55.34,55.47,24000
2022-10-24,56.88,58.81,56.88,58.38,14000
2022-10-25,55.69,57.5,55.69,56.41,8000
2022-10-27,58.06,58.06,55.03,55.5,24000
2022-10-28,55.63,59.38,55.59,58.75,30000
2022-10-31,56.88,58.75,56.44,56.44,20000
2022-11-01,56.44,58.38,56.44,57.5,10000
2022-11-02,59.38,59.38,56.25,56.94,32000
2022-11-03,56.88,57.75,56.25,57.47,10000
2022-11-04,56.34,59.31,56.34,58.34,30000
2022-11-07,58.88,59.38,58.44,59.06,18000
2022-11-09,58.44,64.38,58.44,61.91,82000
2022-11-10,63.75,64.69,60.38,61.06,50000
2022-11-11,61.41,62.94,57.09,57.25,62000
2022-11-14,55.69,57.44,54.38,56.66,54000
2022-11-15,55.5,57.31,55.13,56.72,58000
2022-11-16,56.06,57.19,54.75,54.84,30000
2022-11-17,54.84,55,54.16,54.31,16000
2022-11-18,54.31,58.75,53.44,57.38,64000
2022-11-21,56.41,57.5,56.41,57.47,14000
2022-11-22,58,58,56.63,57.09,24000
2022-11-23,57.34,57.34,55,55.13,8000
2022-11-24,54.69,55.63,53.75,54.44,14000
2022-11-25,55.59,56.25,55,56.25,10000
2022-11-28,56.31,58.09,54.69,56.34,40000
2022-11-29,55.63,55.63,55.25,55.25,6000
2022-11-30,55.75,55.75,55.63,55.69,4000
2022-12-01,55,55,54.72,54.72,10000
2022-12-02,54.72,55.44,54.44,55.44,8000
2022-12-05,55,55.31,53.5,53.5,18000
2022-12-06,53.13,62.19,52.28,60.5,156000
2022-12-07,57.81,61.88,56.88,60.22,64000
2022-12-09,59.06,59.06,58.13,58.13,10000
2022-12-12,58.75,59.31,56.63,56.66,12000
2022-12-13,58.72,60.63,57.66,60.63,44000
2022-12-14,60.63,61.25,59.38,59.38,14000
2022-12-15,60.63,61.88,60.03,61.19,36000
2022-12-16,61.19,61.19,58.13,59.63,52000
2022-12-19,58.88,61.88,58.88,60.59,22000
2022-12-20,59.38,60.59,57.88,57.97,22000
2022-12-21,57.34,58.75,47.03,53.41,70000
2022-12-22,56.22,58.13,53.78,56.25,70000
2022-12-23,54.38,55.56,50.69,55.5,22000
2022-12-26,53.47,54.66,53.09,53.34,26000
2022-12-27,56.25,57.47,54.38,55.63,14000
2022-12-28,55,56.19,54.09,55.78,22000
2022-12-29,54.38,58,54.38,57.38,30000
2022-12-30,58.5,58.53,56.81,56.81,34000
2023-01-02,59.13,60.63,59.13,60.63,42000
2023-01-03,59.06,60.63,58.56,59.59,8000
2023-01-04,58.44,60.44,58.44,58.47,6000
2023-01-05,56.38,57.19,56.38,56.56,6000
2023-01-06,57.13,57.13,57.13,57.13,2000
2023-01-09,56.97,57.19,56.97,57.19,8000
2023-01-10,56.25,56.25,56.25,56.25,2000
2023-01-11,56.72,57.34,56.25,56.91,10000
2023-01-12,56.88,57.56,56.88,56.88,12000
2023-01-13,56.56,57.5,56.56,57.5,10000
2023-01-16,56.88,57.5,56.66,57.22,8000
2023-01-17,54.44,60,54.44,57.53,22000
2023-01-18,59.38,67.44,59.38,65.94,64000
2023-01-19,65.81,66.69,63.75,64.69,32000
2023-01-20,64.41,64.41,61.63,62.84,20000
2023-01-23,62.88,64.16,62.88,63.38,16000
2023-01-24,62.5,64.38,62.5,64.38,14000
2023-01-25,60.63,60.63,60.63,60.63,4000
2023-01-27,60.63,60.63,56.25,57.13,26000
2023-01-30,57.13,64.03,56.25,61.28,72000
2023-01-31,61.59,66.13,61.59,65.44,86000
2023-02-01,66.81,66.81,63.13,63.13,12000
2023-02-02,61.22,61.22,60.63,60.91,4000
2023-02-03,58.75,61.88,57.66,59.38,24000
2023-02-06,58.25,63.06,56.97,58.72,96000
2023-02-07,60.44,60.44,57.56,58.91,18000
2023-02-08,59.88,59.88,58.13,58.13,6000
2023-02-09,58.13,58.13,57.5,57.5,4000
2023-02-10,56.31,60,56.31,58.44,10000
2023-02-13,58.44,58.44,58.44,58.44,4000
2023-02-14,58.25,58.25,58.25,58.25,4000
2023-02-15,57.31,58.13,57.03,57.03,6000
2023-02-16,57.03,60,57.03,58.19,22000
2023-02-21,59.38,59.38,57.81,57.81,20000
2023-02-22,58.13,58.22,56.25,56.31,38000
2023-02-23,56.25,58,56.25,57.5,14000
2023-02-24,55.34,57.09,54.44,55.44,44000
2023-02-27,54.38,54.38,53.13,53.34,12000
2023-02-28,53.13,55.63,53.13,55.13,12000
2023-03-01,52.91,52.91,52.91,52.91,2000
2023-03-02,56.22,56.22,56.22,56.22,4000
2023-03-06,56.25,57.06,53.44,55.69,10000
2023-03-08,53.75,56.25,53.75,56.25,6000
2023-03-10,55.97,55.97,53.75,53.75,4000
2023-03-13,54,54.41,53.69,53.69,8000
2023-03-14,50.63,51.88,47.25,48.09,44000
2023-03-15,46.94,49,46.94,48.69,14000
2023-03-16,45.5,48.66,44.5,46.25,32000
2023-03-17,51.25,51.25,51.25,51.25,2000
2023-03-20,47.53,48.75,46.88,47.13,20000
2023-03-21,45.75,47.25,45.75,46.88,6000
2023-03-22,49.06,49.38,49.06,49.38,6000
2023-03-23,48.38,48.38,47,47.13,6000
2023-03-24,47.34,47.34,46.88,46.88,6000
2023-03-27,46.88,46.88,45.63,46.25,8000
2023-03-28,46.25,46.41,42.44,42.44,16000
2023-03-29,42.44,43.75,41.94,43.75,12000
2023-03-31,41.88,46.13,41.88,42.69,18000
2023-04-03,44.94,51.22,44.94,51.22,32000
2023-04-05,55.63,61.44,55.63,61.44,70000
2023-04-06,66.88,72.47,61.25,63.69,106000
2023-04-10,65.63,68.06,63.75,66.25,66000
2023-04-11,68,68,61.88,61.88,22000
2023-04-12,59.59,65.31,58.75,64.66,30000
2023-04-13,66.75,68.75,62.5,67.84,54000
2023-04-17,67.47,69.34,63.75,64.06,24000
2023-04-18,63.16,63.16,60.19,61.66,34000
2023-04-19,60.69,64.97,60.63,64.25,22000
2023-04-20,63.19,68.06,63.19,66.09,24000
2023-04-21,66.09,72.69,63.94,72.19,162000
2023-04-24,76.88,79.41,76.88,79.41,202000
2023-04-25,83.13,86.13,76.94,85.22,116000
2023-04-26,82.59,84.84,80.97,83.84,52000
2023-04-27,85.31,88.03,83.44,87.91,46000
2023-04-28,90.44,92.28,90.44,92.28,46000
2023-05-02,96.78,96.78,88.75,94.66,70000
2023-05-03,92.53,98.91,91.25,98.91,24000
2023-05-04,94.81,103.13,94.81,101.56,46000
2023-05-05,101.59,101.59,96.5,97.47,24000
2023-05-08,96.88,96.88,94.44,94.44,8000
2023-05-09,93.75,99.16,93.75,99.09,34000
2023-05-10,103.69,104.03,103.06,104.03,26000
2023-05-11,109.22,109.22,109.22,109.22,10000
2023-05-12,113.75,114.66,109.38,111.28,42000
2023-05-15,111.25,111.25,105.72,111.25,44000
2023-05-16,112.5,116.81,112.5,116.53,44000
2023-05-17,115,115,110.72,110.72,34000
2023-05-18,115.63,115.63,108.75,109.38,20000
2023-05-19,106.34,106.81,103.91,106.75,52000
2023-05-22,105,106.25,103.09,106.25,18000
2023-05-23,106.25,106.56,106.25,106.56,4000
2023-05-24,103.13,103.13,101.25,102.16,28000
2023-05-25,103.13,104.69,103.13,104.28,6000
2023-05-26,104.28,106.81,100.06,104.69,22000
2023-05-29,99.47,99.47,99.47,99.47,2000
2023-05-30,94.5,94.5,94.5,94.5,2000
2023-05-31,89.78,99.22,89.78,99.22,80000
2023-06-01,104.16,104.16,100.09,100.09,12000
2023-06-02,95.41,95.63,95.09,95.63,10000
2023-06-05,92.19,95.47,90.97,93.91,20000
2023-06-06,93.44,93.44,91.56,91.88,6000
2023-06-08,95.63,95.63,92.63,92.63,4000
2023-06-09,92.5,92.5,92.5,92.5,4000
2023-06-12,90.63,92.5,88.25,92.47,8000
2023-06-13,88.25,90,88.13,90,10000
2023-06-14,86.88,86.88,86.88,86.88,2000
2023-06-15,88.13,88.13,88.13,88.13,2000
2023-06-16,86.88,86.88,84.5,85.13,8000
2023-06-19,79.41,80.63,79.38,79.81,6000
2023-06-20,75.22,86.25,75.19,86.25,14000
2023-06-21,87.5,87.5,87.5,87.5,2000
2023-06-22,87.5,88.13,87.5,88.13,4000
2023-06-23,86.25,88.13,86.25,86.25,8000
2023-06-26,88.13,88.13,88.13,88.13,4000
2023-06-27,86.25,86.25,85.94,85.94,4000
2023-06-30,87.81,88.13,87.5,88.13,10000
2023-07-03,88.13,96.88,88.13,93.75,22000
2023-07-04,92.5,92.5,92.5,92.5,2000
2023-07-05,92.5,96.88,89.47,89.47,30000
2023-07-06,85,85.63,83.75,85.63,6000
2023-07-07,90.63,90.63,86.25,86.25,12000
2023-07-10,81.91,87.5,81.91,87.5,4000
2023-07-11,87.5,87.5,87.5,87.5,2000
2023-07-12,86.25,91.81,83.78,91.81,14000
2023-07-13,96.81,96.81,86.88,93.75,10000
2023-07-17,90.63,96.25,90.63,94.38,20000
2023-07-18,94.38,94.38,94.38,94.38,4000
