Date,Open,High,Low,Close,Volume
2025-09-24,104.9,105,99.65,99.65,5353619
2025-09-25,94.66,94.7,94.66,94.66,466944
2025-09-26,89.92,89.92,89.92,89.92,161205
2025-09-29,85.42,85.42,85.42,85.42,87822
2025-09-30,81.14,83.71,81.14,81.14,1535140
2025-10-01,77.08,83.9,77.08,82.67,1203392
2025-10-03,82,82,79.1,79.81,497184
2025-10-06,79.82,80,75.81,75.9,432301
2025-10-07,75.11,78.7,72.1,77.19,748559
2025-10-08,76.7,76.99,74.1,76.32,392588
2025-10-09,76.7,76.7,72.9,74.69,580616
2025-10-10,74.32,75.99,74.32,75.28,260162
2025-10-13,74.11,77.5,73.52,76.34,935157
2025-10-14,76.34,78.5,75.15,75.7,697182
2025-10-15,73.75,75.31,73,73.43,334781
2025-10-16,73.79,74.94,72.5,72.84,267928
2025-10-17,72.3,74.5,71,71.07,428703
2025-10-20,72,72.45,69.26,71.04,502689
2025-10-21,71.5,71.96,71,71.54,85296
2025-10-23,71.98,72.4,69.75,70.36,241331
2025-10-24,70.31,70.89,69.5,70.19,193756
2025-10-27,70.19,70.9,69.05,69.44,259487
2025-10-28,69.11,70.16,68.03,68.82,292880
2025-10-29,68.6,73,68.55,72.24,851328
2025-10-30,72.9,76.39,71.45,72.09,696806
2025-10-31,72,72.74,71.25,71.9,192559
2025-11-03,71.45,72,70.6,70.67,105731
2025-11-04,70.51,71.1,70,70.03,120411
2025-11-06,69.06,69.84,66.3,66.53,526734
2025-11-07,66,68.34,64.18,67.77,611569
2025-11-10,67.5,67.8,66.4,66.93,203663
2025-11-11,67.01,67.52,66.03,66.45,110040
2025-11-12,66.95,69.18,66.21,67.77,529155
2025-11-13,68,70.95,66.1,66.73,504293
2025-11-14,66.9,67.9,66.67,67.26,138487
2025-11-17,64.06,67.45,64.06,65.02,390475
2025-11-18,65.09,65.45,63.8,64.03,205406
2025-11-19,64.03,64.03,62.8,63.09,134953
2025-11-20,63.44,63.44,61.1,61.79,151246
2025-11-21,61.15,64.89,61.15,63.1,340461
2025-11-24,63.11,63.16,61,61.6,126241
2025-11-25,61,64,60.6,61.26,442447
2025-11-26,61.9,63.24,60.9,61.59,193006
2025-11-27,61.7,63.9,61.7,62.41,269804
2025-11-28,62.45,62.6,60.97,61.2,117730
2025-12-01,61.5,61.79,59.85,60.18,112954
2025-12-02,60.15,60.15,58,58.12,141299
2025-12-03,58.4,58.4,55.41,55.82,182438
2025-12-04,55.82,56.4,53.97,54.11,219966
2025-12-05,54.1,54.49,52.65,53.7,188112
2025-12-08,53.3,53.78,51.15,51.49,136389
2025-12-09,50.99,53.89,50.59,53.12,247567
2025-12-10,53.65,54,51.79,52.28,167232
2025-12-11,51.8,53.9,51.66,53.26,183135
2025-12-12,53.45,54,52.51,53.68,92073
2025-12-15,53.68,54.21,52.93,53.75,123952
2025-12-16,53.75,56.31,53.03,53.28,280902
2025-12-17,52.55,53.42,51.71,51.9,85193
2025-12-18,51.01,55,50.77,53.18,199056
2025-12-19,53.18,53.6,52,52.28,103406
2025-12-22,52.5,54.18,52.49,53.8,164326
2025-12-23,54.05,55.29,53.91,54.11,161974
2025-12-24,54,54.74,53.7,53.97,53981
2025-12-26,53.56,54,52.9,53.3,135899
2025-12-29,53.3,53.3,51.11,51.49,159208
2025-12-30,51.9,52.89,51.31,52.74,178846
2025-12-31,53.3,55.9,52.62,55.22,394324
2026-01-01,55.5,55.68,53.71,54.11,78604
2026-01-02,54.25,55.4,53.72,54.91,127481
2026-01-05,55.5,55.5,53.25,53.79,83958
2026-01-06,53.95,53.95,52.5,52.71,37525
2026-01-07,52.5,53.2,52.32,52.84,57341
2026-01-08,52.54,52.95,51,51.11,100510
2026-01-09,51.1,51.41,48.22,48.77,178749
2026-01-12,48,49.83,47.13,48.33,223016
2026-01-13,49.05,49.2,48,48.22,84659
2026-01-14,47.5,48.6,47.19,47.84,195941
2026-01-16,47.82,48.71,47.51,48.1,216995
2026-01-19,47.17,48.19,46.87,47.16,96857
2026-01-20,46.26,47.07,45,45.41,201327
2026-01-21,44.71,54.2,44.65,51.18,1585625
2026-01-22,51.5,51.8,49.5,49.99,190508
2026-01-23,50.49,50.49,47.1,47.34,132814
2026-01-27,47.21,50.95,46.48,50.45,334931
2026-01-28,49.45,51.42,49.1,50.22,86676
2026-01-29,49.55,51.58,49.55,50.3,404383
2026-01-30,49.5,49.93,48.65,49.42,79226
2026-02-01,49.01,49.5,47.01,47.43,83131
2026-02-02,47.1,47.45,46.11,47.05,72747
2026-02-03,49,49.39,48.5,48.92,101162
2026-02-04,48.3,49.64,48.3,49.32,71787
2026-02-05,48.6,49.4,48.6,48.83,53689
2026-02-06,48.6,50.49,48.27,49.79,234954
2026-02-09,50,52.38,49.51,51.47,200254
2026-02-10,51.6,51.85,50.24,50.96,74160
2026-02-11,51.1,52.45,50.76,52.26,144419
