Date,Open,High,Low,Close,Volume
2024-03-12,90,91,85.5,87.4,1585600
2024-03-13,89,90,89,89.15,339200
2024-03-14,84.75,86.1,84.7,84.75,140800
2024-03-15,86.7,88.95,86.7,87.85,72000
2024-03-18,88.95,92,88.95,90.4,46400
2024-03-19,92.7,94,92.4,92.7,41600
2024-03-20,94.35,95.5,93.1,95,48000
2024-03-21,93.7,99.75,93.7,98.15,65600
2024-03-22,99.7,103.05,99.7,103,49600
2024-03-26,108.15,108.15,108.15,108.15,12800
2024-03-27,118.1,129.75,112,129.75,116800
2024-03-28,137,155.7,137,143.65,121600
2024-04-01,144,144,114.95,114.95,144000
2024-04-02,107.5,117.95,102,116.75,112000
2024-04-03,115,117.9,115,117,6400
2024-04-04,116.2,116.2,107,109.25,40000
2024-04-05,112,116.35,107.5,110,19200
2024-04-08,110,112.95,110,111,8000
2024-04-09,110.1,113.05,106.9,108.6,36800
2024-04-10,110,111,106.05,110.45,22400
2024-04-12,110.4,110.4,106.5,106.6,4800
2024-04-15,106,106.7,100,100.95,51200
2024-04-16,100,105.7,100,102,33600
2024-04-18,104,106.25,103,104.9,30400
2024-04-19,109,112,109,111.3,22400
2024-04-22,117.6,121,116.95,117.85,17600
2024-04-23,123,141.4,123,140.7,115200
2024-04-24,137.75,139,130,131.55,30400
2024-04-25,139,142.75,135,135,41600
2024-04-26,135,141,135,141,25600
2024-04-29,141,141,136.55,138.8,8000
2024-04-30,140.55,141.4,138,138.1,22400
2024-05-02,138.5,140,138,140,9600
2024-05-03,138,138.9,137.5,138,9600
2024-05-06,139,146,139,144.6,27200
2024-05-07,140,140,138.45,140,6400
2024-05-08,136.05,137.1,136.05,137.1,3200
2024-05-09,139.85,139.85,137,139.85,11200
2024-05-10,137.65,137.65,137.65,137.65,1600
2024-05-13,137.65,137.65,137,137,11200
2024-05-14,139.8,139.8,132.8,133,8000
2024-05-15,133.75,133.75,133.75,133.75,1600
2024-05-16,139.95,139.95,134.05,138.4,8000
2024-05-17,138,138,137,137,11200
2024-05-21,139,139,138,138.3,12800
2024-05-22,138.5,139,138.5,138.6,4800
2024-05-23,138,141,138,139,9600
