Date,Open,High,Low,Close,Volume
2015-04-30,144,154.5,143,147.05,22868893
2015-05-04,147.68,149.3,140.18,141.5,2035400
2015-05-05,141.5,144.93,139.6,142.78,1427091
2015-05-06,142.9,146,137.88,139.63,1432505
2015-05-07,138.38,141.9,136.55,137.55,836450
2015-05-08,138.48,141.5,138.48,140.5,486076
2015-05-11,141.23,142.5,139.43,139.98,423633
2015-05-12,140,140.3,130.53,130.9,399348
2015-05-13,132.05,136.45,132,134.95,635630
2015-05-14,135.85,136.95,133.25,136.1,206959
2015-05-15,137.38,137.78,132.75,133.78,182416
2015-05-18,134.48,140.5,134.1,139.33,379421
2015-05-19,139.85,147.4,137.65,144.45,1087895
2015-05-20,145.25,151.7,145,150.63,1585201
2015-05-21,151,151.75,145.4,146.25,547292
2015-05-22,146.73,147.7,144,145.15,307189
2015-05-25,145.2,151.5,144.43,148.6,902993
2015-05-26,152.5,164.35,149.95,160.08,3561776
2015-05-27,157.95,161.8,150.5,152.4,1527300
2015-05-28,152.9,160.4,152.7,158.78,1229267
2015-05-29,158.08,160.5,153.55,154.68,627630
2015-06-01,154.45,156.18,152.8,153.28,313712
2015-06-02,154.38,156.83,149.25,150.58,485338
2015-06-03,150.63,152.38,137.88,142.38,471672
2015-06-04,143.23,146.48,140.1,144.95,354331
2015-06-05,144.95,149.85,143.1,145.23,752667
2015-06-08,145.5,146.48,141.73,142.65,256736
2015-06-09,142.5,145.83,141.3,144.9,254115
2015-06-10,144.5,147.15,144,144.73,192384
2015-06-11,145.38,146.15,142,142.7,222135
2015-06-12,142.13,144,141.13,141.63,214550
2015-06-15,141.5,145.88,141.5,144.98,217439
2015-06-16,145.03,147.18,144.05,146.43,150693
2015-06-17,146.58,147.95,145.7,146.85,199630
2015-06-18,147,157.75,146.75,156.05,918950
2015-06-19,156.05,159.48,152.75,158,689812
2015-06-22,157,160.35,155.3,156.13,437924
2015-06-23,156.9,161.7,155.25,158.43,524583
2015-06-24,158.25,162.25,154.05,155.43,361574
2015-06-25,154.9,157.5,153.7,154.9,165047
2015-06-26,154.75,157.63,153.25,153.9,192517
2015-06-29,149,152.35,147.5,151.38,134383
2015-06-30,151.5,154.95,151.5,153.15,168959
2015-07-01,153,156.93,152.65,153.28,199366
2015-07-02,154,159,153.5,156.93,273575
2015-07-03,156.4,162.3,155.78,160.03,852938
2015-07-06,157.8,168.4,155.5,165.5,856472
2015-07-07,166.75,169.5,164.55,168.18,561808
2015-07-08,164.6,166.98,160,161.3,322673
2015-07-09,161.75,164.83,161.75,163.7,153708
2015-07-10,165,167,163.5,164.1,201039
2015-07-13,164.05,165.88,164.05,165.13,225623
2015-07-14,165.5,185.43,164.25,175.45,1574849
2015-07-15,176.25,180.5,171.3,174.4,628050
2015-07-16,175.2,181.5,174.7,178.03,389819
2015-07-17,179,179.7,173,174.08,296994
2015-07-20,175.9,182.23,175.1,179.48,450448
2015-07-21,180.4,184,175.8,177.1,388656
2015-07-22,176.95,187.5,176.88,184.65,578500
2015-07-23,185,186.7,179.88,182.4,282283
2015-07-24,182.4,184.5,178.75,179.9,231020
2015-07-27,180.05,181.88,175,179.2,196662
2015-07-28,179.2,193.35,178,190.13,979550
2015-07-29,192.3,194,184.55,186.48,753473
2015-07-30,188.2,194.48,187.1,189.03,621775
2015-07-31,190.3,196.5,186.58,193.2,352405
2015-08-03,196.73,200,193.8,198.83,376533
2015-08-04,199.9,199.9,194.05,196.2,242321
2015-08-05,197,197.78,192.58,193.83,216829
2015-08-06,194.5,194.98,188.63,189.83,157013
2015-08-07,190.9,195.3,190.53,191.33,180446
2015-08-10,196.5,203.35,195.73,197.13,501549
2015-08-11,199.5,201.45,192.05,195.83,371834
2015-08-12,197.85,199.33,188.9,190.08,235462
2015-08-13,191.75,194,182.5,183.78,224865
2015-08-14,182.75,189.2,176.35,187.9,515183
2015-08-17,189,193,185.5,191.35,150861
2015-08-18,192.2,195.93,191.75,193.68,139761
2015-08-19,191.5,197.05,191.5,192.75,141288
2015-08-20,190.25,194.5,184.75,186.38,126086
2015-08-21,182.5,186.5,180,185.15,138078
2015-08-24,178,180.95,175,179.45,338975
2015-08-25,181.05,193,172.75,190.08,289862
2015-08-26,189.5,214.93,184.5,196.55,1029678
2015-08-27,200.05,208.5,200,207.15,566591
2015-08-28,211,239.5,208.5,226.15,2419967
2015-08-31,224,239,220.5,233.5,1377132
2015-09-01,229,238.9,213.13,217.75,1111519
2015-09-02,221.28,227.5,200.78,203.3,1112695
2015-09-03,206.85,211.25,200.5,202.18,807073
2015-09-04,202,203.4,191.53,193.85,512513
2015-09-07,196,203.25,193,200.03,682380
2015-09-08,201.93,207.98,196.2,205.9,587734
2015-09-09,210.2,214.75,207,208.35,449629
2015-09-10,202.75,203.25,197.5,200.68,397152
2015-09-11,203.45,211.1,202.55,204.8,630888
2015-09-14,205.45,207.78,203.08,204.63,170300
2015-09-15,206.2,206.33,199.75,201.43,166719
2015-09-16,203.5,204.93,195.98,197.78,185549
2015-09-18,200.4,202,195,195.45,230060
2015-09-21,194,203,193.28,200.73,201433
2015-09-22,202,205.95,196.05,197.48,322146
2015-09-23,196.25,201,193.08,199.2,149095
2015-09-24,199.4,201.75,196.7,197.88,141333
2015-09-28,198.5,200.95,197.15,198.1,128224
2015-09-29,195,200.75,193.5,195.15,180183
2015-09-30,197.4,198.48,195.58,196.25,143394
2015-10-01,197.03,198.75,192.5,193.18,118587
2015-10-05,194,197.45,193.55,194.4,139733
2015-10-06,194.65,196.4,192.5,193.28,127596
2015-10-07,193.48,197.2,188.5,189.38,648541
2015-10-08,190.33,190.93,184.2,185.53,278433
2015-10-09,187.5,191.25,186.03,186.98,206009
2015-10-12,188.5,192.73,186.45,187.25,401803
2015-10-13,187.93,190.25,187.48,188.68,138464
2015-10-14,188.75,189.95,186.28,186.93,145705
2015-10-15,188.2,196.13,187.5,191.65,380842
2015-10-16,192.3,194.95,191.85,192.8,143024
2015-10-19,192.5,194.25,191.5,192.03,99435
2015-10-20,192.43,195.98,190.8,192.88,315460
2015-10-21,192.88,198.5,192.85,193.95,201096
2015-10-23,195.1,205.23,195.1,203.7,819268
2015-10-26,204.65,206.95,198.28,205.93,562291
2015-10-27,202,205.63,201,202.28,348666
2015-10-28,201.53,207.98,201,203.65,293193
2015-10-29,203,209.5,202.83,208.08,393676
2015-10-30,209.5,212,202.5,203.55,253217
2015-11-02,203,204.4,193.55,194.48,224059
2015-11-03,187.08,194.25,186.75,187.75,240232
2015-11-04,189.68,191.4,186.63,189.8,212128
2015-11-05,189.15,191.38,183.55,185.05,198966
2015-11-06,185,186.9,179.1,184.88,263644
2015-11-09,180.5,196,180.05,194.53,256364
2015-11-10,195.35,198.38,192,193.53,155166
2015-11-11,195,196.95,195,195.93,31048
2015-11-13,195.25,196.75,192.5,194.85,114973
2015-11-16,195.98,212.35,193.93,210.6,630273
2015-11-17,212.5,213.88,202.03,203.05,331627
2015-11-18,203.8,207.9,197.63,199.33,252654
2015-11-19,201.03,207.2,200.48,206.13,279143
2015-11-20,207.48,209.75,203.43,205.13,174457
2015-11-23,206.98,210.48,205,209.78,176605
2015-11-24,211,219.3,208.78,217.43,622651
2015-11-26,218.35,223.5,216.5,218.58,368374
2015-11-27,219.7,223.95,215.78,220.55,309561
2015-11-30,221.7,225,219.75,222.73,536947
2015-12-01,223.5,224.43,216.5,218.63,154520
2015-12-02,219.48,219.48,213.05,216.4,144922
2015-12-03,215.5,223.25,215,217.28,309740
2015-12-04,215,223.85,205.6,214.7,279966
2015-12-07,217.5,221.5,216.25,218.08,308000
2015-12-08,217.98,219.2,210,210.38,141134
2015-12-09,210,210,200.28,204.7,265388
2015-12-10,205.2,210.5,201.58,208.7,118347
2015-12-11,210.8,214.35,207,212.1,277745
2015-12-14,210.95,213.18,205.68,208.48,170503
2015-12-15,207.55,208.85,203.05,204.1,98883
2015-12-16,205.45,208.58,202.78,203.6,93113
2015-12-17,201.75,211.98,200,210.25,210213
2015-12-18,209,210.15,203.03,204.38,219951
2015-12-21,205.85,206.3,202.75,203.48,70242
2015-12-22,204.78,206.88,202.5,203.68,86824
2015-12-23,205.35,205.58,204,205,333293
2015-12-24,205.13,205.75,203,203.53,73430
2015-12-28,205.13,205.13,202.5,202.9,46308
2015-12-29,204.13,204.85,201.38,202.13,53822
2015-12-30,201.88,205.98,200,204.85,129452
2015-12-31,204,211.5,203.38,208.33,183358
2016-01-01,208.5,217,206,215.83,202148
2016-01-04,214,216,208.25,209.23,89635
2016-01-05,210.73,211.88,207.5,208.95,49969
2016-01-06,209.93,212.75,206.78,209.4,86410
2016-01-07,205.43,207.5,202.5,202.98,80653
2016-01-08,205,212.45,205,206.5,83559
2016-01-11,206,210.73,203.15,206.3,45939
2016-01-12,207.53,207.9,204.5,206.58,47728
2016-01-13,209,209,199.5,201.85,79441
2016-01-14,200,203,196.75,197.85,59169
2016-01-15,201.28,201.28,190,192.08,121428
2016-01-18,190,190,182.5,183.88,323251
2016-01-19,182.98,195,182.98,193.25,128381
2016-01-20,190,197.5,186.25,193.35,61575
2016-01-21,196.33,197.33,187.18,190.9,49912
2016-01-22,193.33,195.55,187.58,193.83,63236
2016-01-25,195,198.5,193.3,197.4,108807
2016-01-27,199.43,199.43,190,191.73,38138
2016-01-28,192.45,197,189.03,195.78,33154
2016-01-29,196.5,200.63,195.4,200,96881
2016-02-01,202.9,206,195,197.53,108899
2016-02-02,192.13,197.43,178.78,181.98,605477
2016-02-03,179.28,181.98,178,178.65,145708
2016-02-04,182,183.9,171.4,172.43,95561
2016-02-05,173.95,179,170.5,174.98,78762
2016-02-08,174.3,177.95,171.5,173.8,65142
2016-02-09,173.13,174.43,170.35,171.28,30668
2016-02-10,171.35,171.35,159.1,163.18,137122
2016-02-11,162.5,168,162.5,164.73,119630
2016-02-12,164.5,166.98,161.6,165.2,154029
2016-02-15,172.5,172.95,165.3,166.4,68340
2016-02-16,169,170.55,165.1,166.7,48091
2016-02-17,166.5,166.5,158.38,159.35,84216
2016-02-18,161.98,162.95,156.4,159.33,54622
2016-02-19,158.6,158.6,152.25,154.75,178948
2016-02-22,156.28,159.03,154.65,157.43,50969
2016-02-23,157,159.18,153.55,156,40235
2016-02-24,153.83,156,151.98,153.75,28317
2016-02-25,154.25,154.35,149,152.33,70223
2016-02-26,155,156.33,151.5,152.68,60374
2016-02-29,152.5,162.2,149.2,158.38,145526
2016-03-01,158.5,189,157.2,183.33,229438
2016-03-02,184.45,189,174.13,177.08,290524
2016-03-03,178.33,184.53,172.5,182.8,193201
2016-03-04,183.2,183.33,173.65,177.95,123475
2016-03-08,176.03,180.7,175.55,177.5,65008
2016-03-09,176,178.6,174.63,176.83,74454
2016-03-10,177.95,178.48,172,172.8,66336
2016-03-11,173.9,182,172.43,180.98,235764
2016-03-14,181.9,187.18,180,183.95,127804
2016-03-15,184.4,187.45,181.48,182.25,71424
2016-03-16,182.48,184.98,181.03,183.33,48159
2016-03-17,185,185.4,181.5,182.4,39115
2016-03-18,183.48,185.45,181.9,184.3,58865
2016-03-21,185.95,193.53,184.6,191.28,172450
2016-03-22,192.25,195,190.5,192.08,74865
2016-03-23,192.08,192.1,186,186.98,62263
2016-03-28,187,189.55,182.75,185.63,199419
2016-03-29,182.53,187.33,180.8,182,34344
2016-03-30,186.23,189.25,184.2,187.55,58200
2016-03-31,184.63,189.5,184,184.4,47967
2016-04-01,183.6,187,183.6,185.9,25408
2016-04-04,187.25,190.7,186.25,187.95,101355
2016-04-05,188,188,183.75,184.73,24083
2016-04-06,185.5,186.7,182.68,184.38,28660
2016-04-07,186.93,194.1,182.7,188.38,101858
2016-04-08,185.68,191.63,185.68,189.35,36090
2016-04-11,189.95,190.93,187.5,188.35,30772
2016-04-12,188.33,193.95,188.33,190.33,46703
2016-04-13,193.43,194.5,190.98,191.9,43140
2016-04-18,185.28,196,185.28,194.48,65786
2016-04-20,192.65,207.95,190,205.2,463797
2016-04-21,206.5,209.25,200.5,202.18,100153
2016-04-22,202,207,200,203.35,54383
2016-04-25,204.63,204.63,198.6,200.25,556600
2016-04-26,200.88,206.5,198.5,204.3,76579
2016-04-27,204.38,214.95,203.45,210.6,189867
2016-04-28,209.25,212.1,202.5,203.73,65496
2016-04-29,204.5,209.45,198.25,200.4,71694
2016-05-02,200.05,204,197.53,200.85,67054
2016-05-03,201.1,203.93,198.35,199.75,32523
2016-05-04,199.48,201.25,192.6,194.33,32726
2016-05-05,195.68,200.95,194.5,196.6,41481
2016-05-06,196.5,199.35,195,195.78,26526
2016-05-09,197.23,198.75,194,195.1,35913
2016-05-10,192.6,198.5,192.6,197.5,55420
2016-05-11,195,197.25,193,194.98,36281
2016-05-12,196.25,202.38,196,199.13,80761
2016-05-13,199.95,201.2,195.75,196.35,30392
2016-05-16,197.38,198.18,193.78,194.83,52486
2016-05-17,196.38,199.9,195.48,198.35,50835
2016-05-18,196,199.35,195.08,196,85767
2016-05-19,197.23,207.4,195.55,197.3,396480
2016-05-20,197.5,205.5,197.5,199.5,218805
2016-05-23,201,202.45,195.55,196.7,55510
2016-05-24,175.1,176.5,157.38,157.38,798833
2016-05-25,125.9,145.9,125.9,138.1,15777424
2016-05-26,139.5,148.93,139.5,145.43,3872079
2016-05-27,146.9,147.9,137.55,138.4,1612131
2016-05-30,140,142.35,138.58,139.28,676225
2016-05-31,140,141.35,137.5,138.4,426532
2016-06-01,138.03,140.4,136.5,137.38,372075
2016-06-02,137.5,137.5,132.75,133.23,432717
2016-06-03,133.75,140.85,133.6,138.03,1135276
2016-06-06,137.5,140.13,135.5,137.9,409002
2016-06-07,138.75,142,137,141.1,564111
2016-06-08,141.9,154.45,141.9,152.45,2551909
2016-06-09,152.45,156.85,152.45,153.3,1270437
2016-06-10,153,157.4,152.05,154.98,1029870
2016-06-13,153.5,156.95,152.8,155.38,747678
2016-06-14,156,156.7,147.63,150.63,1264905
2016-06-15,151.73,152.85,149.08,150.25,293127
2016-06-16,150.5,150.93,146.9,149.9,253444
2016-06-17,151.48,152.33,148.5,149.23,239852
2016-06-20,147.5,152.5,146.53,151.63,315096
2016-06-21,152,156,151.68,152.45,515226
2016-06-22,153.5,155.75,151.23,154.28,399662
2016-06-23,154.48,155.73,152,154.78,269357
2016-06-24,149,155.1,145.75,154,422607
2016-06-27,155.88,158.9,154,155.58,442847
2016-06-28,157,157.7,154.3,154.9,168566
2016-06-29,155.6,163.1,154.98,159.28,629916
2016-06-30,160.85,161.48,158,159,214834
2016-07-01,160.2,160.5,154.5,156.5,218715
2016-07-04,156.9,159,155.75,156.68,211901
2016-07-05,157.15,158.25,155.4,156.18,172797
2016-07-07,155.08,159.5,155.08,155.85,220638
2016-07-08,157.4,158.78,155.13,157.33,454168
2016-07-11,157.5,159.68,157.5,158.28,326394
2016-07-12,159,160.75,156.78,158.03,221219
2016-07-13,159,159.08,154.55,156.83,208816
2016-07-14,157.85,166.9,155.83,164.78,1475753
2016-07-15,162.5,164.35,156.05,157.45,2183816
