Date,Open,High,Low,Close,Volume
2025-10-10,650,650.15,614.25,628.65,7071726
2025-10-13,620.5,625.55,601.55,613.25,2756582
2025-10-14,608.5,619,601.1,610.4,1260716
2025-10-15,602,625,601.25,622.15,370084
2025-10-16,620.3,655,607,644.85,1225991
2025-10-17,649,652.5,631,646.2,470567
2025-10-20,644.9,652,625.8,638.7,357824
2025-10-21,645,655,631,646.6,143947
2025-10-23,642,647,637.05,642.3,190940
2025-10-24,649.3,654.6,616.25,634.8,481831
2025-10-27,641,645.25,622.6,637.8,229656
2025-10-28,634,653.8,617.1,644.85,360062
2025-10-29,643.9,649,633.8,647.35,235880
2025-10-30,642,647.9,633,646.35,193033
2025-10-31,645,647.55,636.15,645.5,136622
2025-11-03,648,664,618.9,647.7,948918
2025-11-04,643,644.45,630,632.15,122267
2025-11-06,627.6,634.95,623.1,626.7,155243
2025-11-07,621.2,638.05,606.5,631.9,431517
2025-11-10,626,656,620,624.75,749115
2025-11-11,624.3,633,620.3,622.5,225361
2025-11-12,626.15,626.95,598,612.55,540725
2025-11-13,608,625,605.2,623.45,141017
2025-11-14,623.45,623.45,612.6,621.7,71010
2025-11-17,616.4,622.4,612.6,614.8,71639
2025-11-18,650,662.8,630.4,636.1,1086741
2025-11-19,639.95,646,632.35,635.35,235323
2025-11-20,632.8,635.05,615,623.15,243631
2025-11-21,622.8,622.8,614,619.75,107601
2025-11-24,622.85,627,605.5,609.4,162513
2025-11-25,610.1,613.15,590.5,594.25,1258482
2025-11-26,592.1,608.95,592.1,605.95,124560
2025-11-27,608,608,598,604.9,131765
2025-11-28,603.85,605.95,596.5,598.35,137706
2025-12-01,597.3,601.5,580.65,588.8,98602
2025-12-02,589.95,599.9,577.7,588,194324
2025-12-03,592,602.6,580.2,598.15,108616
2025-12-04,598.15,602,578.15,596.95,144597
2025-12-05,595.75,599,588,595.8,37700
2025-12-08,592,603.4,578.5,590.25,187540
2025-12-09,585.1,615,580,611.25,102596
2025-12-10,610,610,596,602.95,124633
2025-12-11,600,600,586.1,595,57876
2025-12-12,595,597.8,590.35,593.85,36525
2025-12-15,593.85,594,579.7,589.65,116805
2025-12-16,589.25,594.9,581.9,584.65,53061
2025-12-17,583.6,586.9,570.1,584.45,172067
2025-12-18,576,584.35,572.2,576.9,63477
2025-12-19,575,583.4,571.3,581.3,77998
2025-12-22,579.25,587.5,576.95,581.7,40705
2025-12-23,579.95,588.7,574.35,587.65,71152
2025-12-24,587.1,599.2,577.15,587.85,207031
2025-12-26,583,601.9,583,599.2,47585
2025-12-29,595,605.5,591.1,602.8,181346
2025-12-30,602.8,603.5,595.5,600.15,109941
2025-12-31,600,608.15,593.6,604.65,75641
2026-01-01,603,612.35,603,608.45,47285
2026-01-02,608,624.95,601.1,618.55,140571
2026-01-05,612.4,615.75,601.55,610.85,251753
2026-01-06,602,614.85,592.4,611.75,488494
2026-01-07,607,623.25,605.3,620.7,290322
2026-01-08,619,623.2,612,616.25,284846
2026-01-09,609,625.25,600.85,614.65,198491
2026-01-12,606.65,613,592.3,604.05,182098
2026-01-13,604,607.55,596.1,598.65,28136
2026-01-14,592.6,602.7,592.6,600.3,81220
2026-01-16,595.05,615.3,595.05,610,186381
2026-01-19,614.5,614.5,596.7,601.75,44671
2026-01-20,598,600.8,590,594.15,111952
2026-01-21,588,592.55,571.6,578.75,221569
2026-01-22,578,595.8,576.7,590.9,59119
2026-01-23,585.7,589.5,575.05,579.75,62849
2026-01-27,571,592.95,555.6,585.3,923178
2026-01-28,586,589.6,574.55,585.35,134586
2026-01-29,579.05,583.8,566,571,130716
2026-01-30,566,573.55,558.25,570.5,45822
2026-02-01,570.5,585,564.3,579.25,28049
2026-02-02,578,583,565.3,572.85,45054
2026-02-03,580,600.05,567.1,580.85,342184
2026-02-04,579,582.75,571,579.45,80740
2026-02-05,572.6,580.55,572.6,576.5,52880
2026-02-06,576.5,583.4,567.5,580.25,39735
2026-02-09,580.05,588.6,577.75,584.95,70337
2026-02-10,587.95,597.45,585.6,594.25,51557
2026-02-11,592.2,592.2,575,582.1,82676
