Date,Open,High,Low,Close,Volume
2003-09-05,51.99,55.33,51.99,54.17,834
2003-09-08,53.33,55.55,52.88,54.77,2815
2003-09-09,54.66,59.33,54.66,57.41,4783
2003-09-10,58.66,58.66,56.66,56.66,1005
2003-09-11,55.17,55.17,52.44,52.7,2305
2003-09-12,53.33,54.1,51.1,52.06,2225
2003-09-15,54.66,57.66,53.84,54.48,4760
2003-09-16,57.75,57.75,54.21,55.75,3475
2003-09-17,55.84,60.79,49.33,59.19,6414
2003-09-18,56.44,56.44,51.99,52.33,5124
2003-09-19,55.08,55.55,51.99,52.5,2311
2003-09-22,53.33,54.19,51.13,52.04,1491
2003-09-23,54.17,54.21,52.53,53.26,1520
2003-09-24,54.48,54.48,51.84,52.24,2035
2003-09-25,52.88,54.44,52.3,52.55,568
2003-09-26,52.99,55.55,52.88,55.04,2169
2003-09-29,55.55,57.33,55.55,56.17,2056
2003-09-30,57.55,67.39,57.55,65.92,22107
2003-10-01,65.1,72.21,64.06,69.92,30194
2003-10-03,70.9,74.66,70.88,72.35,13513
2003-10-06,71.99,74.19,71.1,72.61,10971
2003-10-07,75.55,76.39,72.43,72.75,8452
2003-10-08,75.1,75.1,71.17,72.32,5142
2003-10-09,72.43,79.99,71.55,74.5,8090
2003-10-10,75.15,76.88,72.55,73.37,6361
2003-10-13,71.99,75.55,71.99,74.92,4215
2003-10-14,75.55,76.21,72.55,74.1,4213
2003-10-15,72.66,76.21,72.43,75.59,7671
2003-10-16,76.43,77.1,73.32,73.77,3405
2003-10-17,71.55,74.88,71.55,72.28,3425
2003-10-20,74.66,74.66,70.21,71.46,4047
2003-10-21,70.61,71.1,69.32,69.97,1820
2003-10-22,69.32,77.72,66.72,73.75,6825
2003-10-23,75.95,75.95,72.48,73.55,10710
2003-10-24,75.55,76.88,74.77,76.15,5484
2003-10-25,76.46,78.99,75.59,77.08,4425
2003-10-27,79.54,79.54,76.12,76.92,3901
2003-10-28,79.54,79.54,75.55,75.59,2284
2003-10-29,77.77,77.77,73.32,75.83,2234
2003-10-30,77.32,77.32,75.61,76.99,2272
2003-10-31,76.66,77.77,75.55,75.99,1546
2003-11-03,76.46,76.46,74.66,74.66,4055
2003-11-04,75.55,76.43,74.21,75.97,1750
2003-11-05,75.55,76.37,73.77,75.55,3316
2003-11-06,77.75,77.75,73.9,75.9,2632
2003-11-07,76.43,82.17,75.55,79.9,31422
2003-11-10,79.99,83.77,79.99,81.08,1260
2003-11-11,82.66,83.81,81.81,82.43,3864
2003-11-12,82.88,93.34,82.43,88.88,13279
2003-11-13,86.66,94.65,86.66,88.59,23305
2003-11-14,87.99,89.72,86.7,87.72,3047
2003-11-15,85.1,88.32,85.1,88.21,1518
2003-11-17,89.1,89.1,87.1,87.39,2415
2003-11-18,87.57,87.57,86.21,87.08,5420
2003-11-19,86.28,86.28,81.32,84.08,13683
2003-11-20,84.43,86.21,83.34,84.63,7224
2003-11-21,85.59,85.77,83.1,85.52,13069
2003-11-24,84.88,87.1,84.88,86.52,10110
2003-11-25,88.88,91.54,88.77,90.05,13061
2003-11-27,89.83,104.43,89.83,95.48,41987
2003-11-28,96.14,99.76,96.14,98.1,19993
2003-12-01,103.05,107.99,100.48,107.32,24702
2003-12-02,105.99,108.43,103.54,107.12,19335
2003-12-03,107.54,115.54,107.54,114.47,13225
2003-12-04,113.76,121.92,108.92,117.63,13375
2003-12-05,119.54,122.21,117.76,119.83,10993
2003-12-08,124.43,124.87,120.76,121.78,7780
2003-12-09,123.98,124.43,120.47,122.05,4792
2003-12-10,119.94,122.65,117.98,121.07,5860
2003-12-11,124.43,145.29,124.43,133.89,59487
2003-12-12,137.31,143.07,134.2,142.09,18318
2003-12-15,145.31,146.62,136.43,138.63,12644
2003-12-16,135.56,141.71,135.56,139.8,6099
2003-12-17,144.43,144.43,132.43,133.18,10273
2003-12-18,135.09,141.69,130.76,139.07,12961
2003-12-19,142.2,143.98,139.09,142.25,11071
2003-12-22,137.76,155.4,137.76,151.25,17632
2003-12-23,153.31,157.76,151.54,153.69,14995
2003-12-24,163.98,163.98,153.31,155.31,5353
2003-12-26,157.31,161.31,151.09,151.27,6993
2003-12-29,161.93,161.93,151.09,155.53,6568
2003-12-30,162.2,163.4,147.54,148.67,4288
2003-12-31,143.09,152.87,142.2,144.89,7922
2004-01-01,140.43,152.85,140.43,142.65,4942
2004-01-02,143.34,143.54,140.43,141.87,5438
2004-01-05,138.25,143.85,138.2,140.25,8801
2004-01-06,151.76,151.76,135.54,137.51,4499
2004-01-07,139.98,140.43,131.09,132.36,1621
2004-01-08,137.31,137.69,131.54,137.16,3069
2004-01-09,144.31,144.38,139.98,142.31,4154
2004-01-12,138.09,138.09,133.83,134.56,2158
2004-01-13,133.83,136.87,133.54,134.52,1471
2004-01-14,137.31,137.31,134.67,134.78,908
2004-01-15,134.2,135.74,129.14,133.94,1303
2004-01-16,135.54,136.34,131.98,132.03,1830
2004-01-19,131.52,131.52,124.98,126.32,1038
2004-01-20,127.89,130.2,124.43,125.56,2009
2004-01-21,128.41,128.41,103.68,109.87,3421
2004-01-22,115.27,115.27,94.21,95.08,4044
2004-01-23,108.03,114.1,102.21,114.1,2642
2004-01-27,128.43,136.92,123.76,136.92,7919
2004-01-28,138.65,140.87,123.56,126.25,4262
2004-01-29,126.65,131.09,124.43,128.03,1109
2004-01-30,126.65,133.36,122.81,123.49,1767
2004-02-03,137.71,137.71,115.54,116.07,2765
2004-02-04,123.07,123.07,111.07,120.3,2458
2004-02-05,123.92,123.92,116.43,117.83,598
2004-02-06,123.96,123.96,116.45,120.67,502
2004-02-09,121.32,123.09,115.58,122.81,794
2004-02-10,124.32,124.32,118.03,119.98,846
2004-02-11,122.87,122.87,116.47,119.03,855
2004-02-12,112.65,119.54,112.65,117.27,1485
2004-02-13,119.74,119.74,115.12,116.12,1007
2004-02-16,127.72,127.72,116.98,124.89,3479
2004-02-17,128.78,131.09,125.58,127.92,1569
2004-02-18,128.78,133.27,127.56,128.34,1080
2004-02-19,124.87,124.87,120.56,120.83,949
2004-02-20,119.98,122.12,119.98,120.1,140
2004-02-23,124.38,124.38,116.07,116.63,472
2004-02-24,116.9,119.98,114.21,119.36,490
2004-02-25,116.21,120.54,113.76,114.92,514
2004-02-26,122.14,122.14,111.16,113.45,1206
2004-02-27,114.63,114.65,111.99,113.18,741
2004-03-01,119.94,119.94,114.21,117.07,969
2004-03-03,127.98,127.98,115.81,119.05,1695
2004-03-04,121.32,122.16,116.34,119.92,711
2004-03-05,113.38,120.21,113.38,118.21,2026
2004-03-08,118.21,121.76,116.63,117.18,1360
2004-03-09,115.54,118.96,115.54,115.54,486
2004-03-10,114.65,115.98,114.21,114.3,795
2004-03-11,99.59,119.1,99.59,111.67,3447
2004-03-12,111.1,113.76,107.32,110.54,502
2004-03-15,111.99,111.99,98.79,103.59,3390
2004-03-16,98.68,98.68,94.39,97.39,2213
2004-03-17,97.76,97.76,93.77,94.54,441
2004-03-18,95.1,96.32,89.37,93.74,833
2004-03-19,93.32,96.25,91.1,94.74,778
2004-03-22,93.32,93.32,85.21,86.37,3086
2004-03-23,85.19,95.08,82.32,88.63,3629
2004-03-24,93.32,93.32,84.43,88.61,1427
2004-03-25,82.5,91.94,82.5,88.43,1041
2004-03-26,89.32,95.54,89.32,93.79,1094
2004-03-29,93.32,97.14,93.32,93.7,1872
2004-03-30,94.21,95.99,93.32,94.23,580
2004-03-31,99.94,99.94,94.21,95.52,517
2004-04-01,98.21,106.65,95.99,102.1,2026
2004-04-02,108.41,108.43,102.21,103.79,1192
2004-04-05,108.79,108.79,102.21,103.96,1870
2004-04-06,96.1,103.14,96.1,102.21,670
2004-04-07,97.39,103.74,97.39,100.43,513
2004-04-08,100.88,101.76,98.48,99.96,349
2004-04-12,100.43,104.3,100.43,101.9,1950
2004-04-13,100.43,104.43,100.43,103.19,1185
2004-04-15,106.61,106.65,93.81,96.08,1634
2004-04-16,99.99,102.65,96.88,102.05,2065
2004-04-17,104.39,104.39,102.21,103.5,400
2004-04-19,103.1,104.74,102.23,102.23,623
2004-04-20,102.21,102.21,100.92,101.41,136
2004-04-21,106.59,106.59,98.76,99.48,632
2004-04-22,100.08,102.99,99.99,102.3,1275
2004-04-23,105.32,112.43,105.32,110.14,3095
2004-04-27,119.98,120.87,112.38,114.83,8721
2004-04-28,115.76,117.98,112.43,116.52,2939
2004-04-29,121.27,121.27,115.58,117.96,1818
2004-04-30,119.96,122.21,118.21,119.03,3636
2004-05-03,115.54,115.54,109.76,110.79,1451
2004-05-04,115.54,116.43,113.32,113.38,301
2004-05-05,118.65,118.65,113.76,113.76,1006
2004-05-06,119.3,119.3,115.54,116.47,780
2004-05-07,111.67,117.76,111.67,116.01,725
2004-05-10,115.32,116.38,113.41,114.07,471
2004-05-11,120.61,120.61,107.54,111.07,176
2004-05-12,109.47,114.21,109.47,112.72,670
2004-05-13,108.87,111.59,108.87,110.92,780
2004-05-14,108.87,111.99,101.32,102.85,955
2004-05-17,101.76,102.21,92.59,93.32,303
2004-05-18,94.21,94.99,93.32,94.94,68
2004-05-19,103.99,104.43,100.99,104.43,273
2004-05-20,108.43,108.65,104.43,104.43,575
2004-05-21,104.43,104.43,99.59,99.59,110
2004-05-24,108.81,109.54,107.1,108.92,778
2004-05-25,108.03,109.5,106.21,108.54,364
2004-05-26,106.67,113.63,105.76,109.3,955
2004-05-27,108.43,108.43,106.63,106.65,730
2004-05-28,102.88,102.9,98.74,99.99,1135
2004-05-31,105.94,105.94,91.1,92.14,1536
2004-06-01,98.65,98.65,92.99,93.97,675
2004-06-02,95.14,97.03,94.65,96.85,553
2004-06-03,97.72,97.72,92.43,93.48,277
2004-06-04,92.94,92.94,89.03,90.65,585
2004-06-07,88.88,92.1,88.88,91.99,185
2004-06-08,90.03,93.28,89.99,90.21,813
2004-06-09,91.99,94.99,91.99,93.32,189
2004-06-10,93.32,95.1,92.43,94.9,182
2004-06-11,93.28,95.1,93.28,94.39,252
2004-06-14,92.88,92.88,86.7,87.12,434
2004-06-15,90.61,90.61,88.1,88.77,128
2004-06-16,95.54,96.79,88.39,89.74,263
2004-06-17,88.88,88.94,82.77,88.81,175
2004-06-18,86.77,88.88,85.77,86.06,410
2004-06-21,86.86,88.43,86.74,86.92,137
2004-06-22,86.66,87.97,86.21,86.21,233
2004-06-23,83.54,86.88,80.03,81.86,385
2004-06-24,86.14,86.14,80.88,81.77,269
2004-06-25,85.66,88.83,85.66,86.54,1492
2004-06-28,86.68,87.97,84.08,84.17,115
2004-06-29,84.5,86.21,81.57,85.57,339
2004-06-30,83.1,91.1,83.1,89.94,1062
2004-07-01,89.43,89.43,88.5,89.23,45
2004-07-02,93.32,94.65,89.85,90.25,2093
2004-07-05,93.32,93.32,87.1,88.79,941
2004-07-06,91.05,91.05,87.59,88.81,355
2004-07-07,91.05,91.1,81.99,82.46,8187
2004-07-08,84.39,84.43,77.81,78.46,6028
2004-07-09,79.99,83.54,79.54,82.97,1127
2004-07-12,82.81,84.06,82.81,83.79,409
2004-07-13,83.99,85.32,83.1,83.77,1177
2004-07-14,82.32,83.77,82.32,82.99,370
2004-07-15,85.1,86.66,84.43,86.41,1834
2004-07-16,85.5,86.43,85.06,86.28,751
2004-07-19,87.28,87.77,84.99,87.43,1225
2004-07-20,86.66,87.77,86.08,87.39,538
2004-07-21,86.66,87.97,86.66,87.32,418
2004-07-22,86.5,87.77,84.88,85.79,882
2004-07-23,85.83,85.83,83.63,84.88,260
2004-07-26,87.74,87.74,84.43,84.46,1235
2004-07-27,86.66,86.66,84.43,84.54,1528
2004-07-28,85.77,88.72,85.77,87.3,1072
2004-07-29,87.94,90.65,86.26,89.52,980
2004-07-30,91.1,96.88,91.1,93.17,4443
2004-08-02,95.43,98.16,95.43,96.68,2647
2004-08-03,98.65,99.99,96.88,97.3,1546
2004-08-04,93.77,96.96,93.77,96.1,1056
2004-08-05,96.88,97.79,96.21,97.76,1623
2004-08-06,97.76,100.85,93.34,96.34,1286
2004-08-09,95.54,99.54,94.03,98.83,1054
2004-08-10,99.54,100.88,97.79,99.85,1490
2004-08-11,100.88,100.88,98.21,98.94,2027
2004-08-12,100.88,104.43,98.92,101.96,2023
2004-08-13,100.99,102.65,100.88,101.74,1471
2004-08-16,103.1,103.1,97.36,98.52,659
2004-08-17,97.76,100.43,96.65,97.54,1797
2004-08-18,99.54,100.39,97.76,100.1,704
2004-08-19,101.32,102.65,100.43,101.79,1308
2004-08-20,100.88,101.32,99.1,101.32,445
2004-08-23,95.99,97.99,94.92,97.19,1229
2004-08-24,98.21,104.79,97.68,101.68,3185
2004-08-25,100.45,102.65,98.36,101.28,373
2004-08-26,102.21,103.1,101.32,103.1,1619
2004-08-27,102.21,106.1,102.21,104.47,1469
2004-08-30,104.41,106.65,102.25,104.52,1377
2004-08-31,106.65,108.87,104.87,108.61,3425
2004-09-01,108.87,110.65,108.43,109.56,899
2004-09-02,108.43,108.87,105.32,106.5,555
2004-09-03,105.36,112.87,100.94,106.92,3169
2004-09-06,110.03,116.87,109.21,116.3,3061
2004-09-07,123.09,123.09,117.32,117.67,7120
2004-09-08,119.98,119.98,110.72,115.87,2776
2004-09-09,117.32,117.32,107.99,111.56,2562
2004-09-10,109.99,113.32,109.76,111.99,556
2004-09-13,112.01,114.9,111.99,112.96,1974
2004-09-14,113.76,115.34,112.43,112.61,489
2004-09-15,111.79,113.63,106.9,111.85,1909
2004-09-16,108.74,115.58,108.74,113.54,656
2004-09-17,111.1,114.94,110.07,113.54,642
2004-09-20,113.76,115.05,112.96,113.32,372
2004-09-21,114.38,115.54,112.65,115.34,1316
2004-09-22,115.54,117.76,113.43,115.58,2204
2004-09-23,115.54,117.32,113.32,114.34,1127
2004-09-24,113.32,118.65,113.32,114.94,1290
2004-09-27,115.72,117.63,115.1,115.45,940
2004-09-28,115.61,117.76,114.92,116.18,529
2004-09-29,115.61,115.61,114.65,114.74,301
2004-09-30,115.56,115.56,113.32,114.36,2750
2004-10-01,116.83,117.76,114.65,115.65,1067
2004-10-04,117.76,119.98,116.92,119.1,4045
2004-10-05,119.98,124.43,119.32,122.74,4837
2004-10-06,122.25,126.89,122.25,122.81,6173
2004-10-07,124.43,127.54,119.12,119.98,4081
2004-10-08,122.18,122.43,119.54,120.76,3599
2004-10-09,123.76,123.76,120.32,122.32,1160
2004-10-11,122.87,124.43,120.87,121.14,1684
2004-10-12,123.89,123.89,118.21,118.65,2126
2004-10-14,123.09,123.09,118.7,120.56,1055
2004-10-15,119.98,123.54,119.98,120.54,827
2004-10-18,122.03,123.89,120.83,123.41,1479
2004-10-19,121.25,123.98,117.76,119.78,800
2004-10-20,120.87,121.09,117.76,118.16,1149
2004-10-21,114.21,119.54,113.76,116.98,1739
2004-10-25,111.1,115.54,111.1,113.56,2993
2004-10-26,124.83,124.83,116.01,116.21,246
2004-10-27,115.1,122.21,111.54,119.56,1523
2004-10-28,119.98,122.21,119.01,119.34,1845
2004-10-29,121.76,121.76,117.32,117.38,2356
2004-11-01,120.87,120.87,116.98,120.27,1839
2004-11-02,122.78,122.92,117.76,117.9,1100
2004-11-03,118.21,119.36,115.61,118.03,2380
2004-11-04,119.96,119.98,116.92,118.07,757
2004-11-05,117.76,119.98,116.87,118.78,1318
2004-11-08,119.94,123.54,119.23,120.98,5353
2004-11-09,121.03,121.87,117.78,118.07,1272
2004-11-10,121.32,121.32,119.32,120.98,659
2004-11-11,119.98,120.87,118.25,119.72,1615
2004-11-12,115.61,120.16,115.61,119.21,255
2004-11-16,118.21,119.54,116.03,118.21,3571
2004-11-17,119.54,119.54,114.65,115.32,9043
2004-11-18,118.92,118.92,115.3,115.34,2754
2004-11-19,115.34,116.87,112.87,113.34,3278
2004-11-22,113.32,114.81,112.87,114.3,1779
2004-11-23,114.65,115.3,113.32,114.67,4322
2004-11-24,117.72,122.18,115.58,118.45,9543
2004-11-25,121.32,121.69,116.67,116.85,6570
2004-11-29,117.76,118.87,115.81,116.61,3053
2004-11-30,117.65,117.76,113.76,114.56,3647
2004-12-01,113.76,115.45,113.36,113.98,2124
2004-12-02,113.54,117.76,113.32,113.9,2620
2004-12-03,116.1,117.76,114.21,115.63,3940
2004-12-06,119.05,120.87,117.85,119.56,7272
2004-12-07,120.43,122.21,117.9,118.54,7026
2004-12-08,120.43,121.09,116.34,117.34,5645
2004-12-09,119.54,119.98,117.58,119.3,6722
2004-12-10,119.98,120.43,117.63,118.1,4279
2004-12-13,118.21,119.52,116.74,118.45,4905
2004-12-14,119.54,122.18,119.07,121.49,10087
2004-12-15,122.21,124.32,119.96,120.54,8374
2004-12-16,121.32,121.32,117.85,119.18,2535
2004-12-17,119.1,120.3,117.76,118.87,3556
2004-12-20,119.1,125.32,119.1,123.96,13639
2004-12-21,124.85,126.63,123.54,123.83,6708
