Date,Open,High,Low,Close,Volume
2024-06-27,240,252,240,252,474000
2024-06-28,250,250,239.4,239.55,176000
2024-07-01,227.6,228,227.6,227.6,111000
2024-07-02,216.25,230,216.25,223.05,112000
2024-07-03,231.5,234.2,228,234.2,22000
2024-07-04,245,245.9,240.05,245.9,20000
2024-07-05,258.15,258.15,258.15,258.15,22000
2024-07-08,271.05,271.05,271.05,271.05,7000
2024-07-09,284.6,284.6,260,272.65,54000
2024-07-10,275,286.25,267.35,285.4,54000
2024-07-11,297.95,342.45,283,342.45,387000
2024-07-12,342,363,302.7,309.8,294000
2024-07-15,318.9,324,300.1,313.75,53000
2024-07-16,293,317,292,299.95,21000
2024-07-18,312.5,312.5,300,303,26000
2024-07-19,303.55,311,300.1,303.7,11000
2024-07-22,299,310,296.95,300.25,30000
2024-07-23,290,318,290,290,20000
2024-07-24,292,292,288.5,290,18000
2024-07-25,299,299,289.55,289.75,41000
2024-07-26,296.8,296.8,290.2,290.2,2000
2024-07-29,297,297,280.25,284.75,30000
2024-07-30,288.4,289,282,284.65,16000
2024-07-31,286,289,286,287.55,30000
2024-08-01,290,294,283.4,283.7,12000
2024-08-02,272,277,270,270,6000
2024-08-05,260,266.5,249.95,252.25,8000
2024-08-06,251.5,261,250,251.4,10000
2024-08-07,251.7,252,250,252,3000
2024-08-08,252,252.2,252,252.2,2000
2024-08-09,249,249,249,249,1000
2024-08-12,258.95,258.95,240.1,247.95,13000
2024-08-13,260,260,240,247.95,3000
2024-08-20,250,279,250,261,25000
2024-08-21,252,252,250.7,251.35,3000
2024-08-22,253.05,253.05,253,253,2000
2024-08-23,250,250,250,250,1000
2024-08-27,242,260,237,245.7,21000
2024-08-28,251.85,259.5,248,259.25,16000
2024-09-03,240,260,240,259.5,15000
2024-09-04,240,263.8,240,263.8,7000
2024-09-05,265,265,260.7,264,4000
2024-09-09,260,295,255,270,10000
2024-09-10,255.25,255.25,253,254,7000
2024-09-11,253,253,249,250,5000
2024-09-13,246,253,246,251,8000
2024-09-16,251,252,248,248,5000
2024-09-18,240,260,240,258.95,4000
2024-09-19,240.1,262,240.1,262,2000
2024-09-25,240,259,240,253.8,11000
2024-09-26,260,264,260,264,2000
2024-10-01,250,250,250,250,1000
2024-10-04,245.2,253,245.2,253,13000
2024-10-07,240,250,240,250,17000
2024-10-08,249,249,249,249,16000
2024-10-09,249,249,249,249,1000
2024-10-10,254,288,254,271.25,4000
2024-10-11,275,287,275,281,2000
2024-10-14,285,285,275,275,3000
2024-10-16,274,285,270,285,3000
2024-10-17,284,284,284,284,1000
2024-10-18,280,281,280,281,2000
2024-10-21,285,285,275,275,2000
2024-10-22,270,284.95,265,279.35,33000
2024-10-23,285,298,269,286.15,11000
2024-10-24,265,289.55,265,285.85,7000
2024-11-01,290,315,290,307.2,2500
2024-11-04,280,298.9,280,298.9,1000
2024-11-05,271.3,271.3,271.3,271.3,500
2024-11-06,270.05,276,270,276,1500
2024-11-08,286.95,308.8,286.95,297.9,3000
2024-11-11,298.85,298.85,298.85,298.85,2500
2024-11-12,270,294.8,270,282.8,2500
2024-11-13,260.3,284,228.2,236.2,111500
2024-11-14,247.5,247.5,230,230,2000
2024-11-19,241.85,267,184,228.05,31500
2024-11-21,254.9,254.9,216,222,4000
2024-11-25,240,241,240,241,1000
2024-11-26,221,233.5,220,232.1,5000
2024-11-27,232.1,235,232.1,235,1000
2024-11-28,242.5,275,242.5,275,1000
2024-11-29,255,255,246,246,1500
2024-12-02,246,246,246,246,1000
2024-12-03,263.5,269,245.5,263.85,7500
2024-12-06,265,270,255,267.25,5000
2024-12-09,269,269,269,269,500
2024-12-10,272,282,265,279.9,11000
2024-12-11,280,299,278,296,25000
2024-12-12,300,300,300,300,6500
