Date,Open,High,Low,Close,Volume
2003-09-05,9.4,9.4,8.7,9.05,2906
2003-09-08,10.45,10.45,8.55,9.05,6491
2003-09-09,8.9,8.9,8.1,8.3,10232
2003-09-23,6.6,6.6,6.6,6.6,100
2003-10-03,7.7,7.9,7.7,7.7,3500
2003-10-06,7.5,7.5,7.1,7.1,1000
2003-10-07,7.15,7.2,7.1,7.1,6200
2003-10-09,7.05,7.05,7.05,7.05,500
2003-10-10,7.05,7.5,7.05,7.5,500
2003-10-14,6.75,7,6.75,7,345
2003-10-16,6.5,7.5,6.5,7.05,4101
2003-10-17,7.05,7.05,7,7,7500
2003-10-20,6.45,7.35,6.45,7.35,200
2003-10-22,6,6,6,6,200
2003-10-23,6.55,6.55,6.5,6.5,1100
2003-10-29,6.2,6.85,6.2,6.85,505
2003-10-30,6.25,6.25,6.25,6.25,200
2003-11-03,6.7,6.8,6.7,6.8,5250
2003-11-04,6.35,6.35,6.35,6.35,500
2003-11-05,6.5,7.15,6.35,6.75,9100
2003-11-06,6.9,6.9,6.9,6.9,1500
2003-11-07,6.8,7,6.8,7,2350
2003-11-11,7.05,7.4,7.05,7.15,3600
2003-11-12,7.05,7.75,7.05,7.35,6300
2003-11-13,8.8,8.8,7.85,7.85,1550
2003-11-14,7.35,8,7.1,7.1,4631
2003-11-15,7.25,7.25,7.1,7.15,3100
2003-11-17,7.3,8.2,7.3,7.95,3200
2003-11-18,9.5,9.5,8,8.1,17504
2003-11-19,8.5,8.7,8.45,8.7,6000
2003-11-20,8.4,9.15,8.4,8.5,9100
2003-11-21,10,10,8,8.4,501
2003-11-24,9.7,9.7,8.05,8.3,1801
2003-11-25,8.9,8.9,8.25,8.45,6572
2003-11-27,8.95,10.15,8.95,10.15,16879
2003-11-28,10.25,10.5,9.9,10.3,27322
2003-12-01,10.5,10.8,10.15,10.5,13200
2003-12-02,10,10.6,10,10.4,6900
2003-12-03,10.15,10.4,10.05,10.25,21250
2003-12-04,10.2,10.45,10,10.1,23072
2003-12-05,10.25,10.35,10,10.1,20300
2003-12-08,10.15,10.4,9.6,10.35,33600
2003-12-09,10.3,11,10.3,10.95,66896
2003-12-10,10.95,12.35,10.8,12.05,88339
2003-12-11,12.95,13.5,12.1,13.15,75620
2003-12-12,13.2,13.2,12.45,12.85,26799
2003-12-15,13.1,13.25,12.25,12.35,38600
2003-12-16,12,12.75,12,12.4,38446
2003-12-17,12.2,12.55,11.75,12.15,24450
2003-12-18,12.3,12.5,11.9,12.15,21310
2003-12-19,12.2,12.25,11.7,11.75,19500
2003-12-22,12.5,12.7,11.75,12,20870
2003-12-23,14.4,14.4,11.65,11.7,11100
2003-12-24,13.25,13.4,12,13.2,59152
2003-12-26,13.5,15.5,13.45,15.15,122401
2003-12-29,16.7,17.45,14.8,15.1,51054
2003-12-30,15.5,15.75,14.05,14.9,27650
2003-12-31,15.7,15.7,14.05,14.1,32103
2004-01-01,14.8,15.95,14.1,15.3,49420
2004-01-02,16,16,14.75,15,28220
2004-01-05,16,16,13.5,13.75,27385
2004-01-06,13.8,14.05,13.05,13.15,14700
2004-01-07,12.35,13.45,12.35,12.95,18791
2004-01-08,13.05,14,13.05,13.9,12350
2004-01-09,13.25,14.25,12.5,14.1,18755
2004-01-12,13.2,14,13.2,13.5,7800
2004-01-13,13.1,13.15,12.8,13.1,6200
2004-01-14,13,13.1,12.85,13,3450
2004-01-15,13.05,13.05,12.3,12.4,9950
2004-01-16,11.7,12.45,11.7,12.05,12510
2004-01-19,11.25,12.3,11.25,11.7,8101
2004-01-20,11.5,12.05,11.3,11.4,10602
2004-01-21,10.8,11.2,10.5,10.55,7689
2004-01-22,9.25,12.2,9.25,9.95,8101
2004-01-23,9.5,11,9.5,10.55,10300
2004-01-27,12.25,12.25,10.9,12,6155
2004-01-28,12.5,14.4,11.05,12.85,67447
2004-01-29,13.55,13.95,12.75,13,15937
2004-01-30,13.85,13.85,11.8,12.1,12641
2004-02-03,11.8,11.8,10.85,10.9,6398
2004-02-04,11.6,11.6,10.5,10.7,9516
2004-02-05,11.95,11.95,10.75,10.8,3409
2004-02-06,11.1,11.85,10.8,11.45,7203
2004-02-09,11.15,11.75,11.15,11.35,9506
2004-02-10,11.15,11.5,11.1,11.4,5089
2004-02-11,12.2,12.2,10.9,11.05,4302
2004-02-12,11,11.5,10.5,10.85,7204
2004-02-13,10.6,11.15,10.6,10.6,5401
2004-02-16,10.6,11.5,10.6,11.35,6190
2004-02-17,11.35,11.7,11.25,11.3,7300
2004-02-18,11.15,11.35,11.1,11.15,3300
2004-02-19,11.3,11.35,10.15,10.4,14699
2004-02-20,11.8,11.8,10.2,10.35,5004
2004-02-23,11.95,11.95,10,10,4756
2004-02-24,11.45,11.45,9.6,9.8,11356
2004-02-25,11.25,11.25,9.4,9.55,7580
2004-02-26,10,10,9.2,9.25,3302
2004-02-27,11,11,9.25,9.25,3308
2004-03-01,9.5,9.5,9.25,9.25,2100
2004-03-03,9.25,9.7,9.25,9.25,4700
2004-03-04,9,9.05,8.75,8.8,13102
2004-03-05,8.65,8.75,8.6,8.75,3099
2004-03-08,8.9,8.9,8.65,8.65,7647
2004-03-09,9,9,8.65,8.8,6674
2004-03-10,8.85,8.85,8.6,8.6,800
2004-03-11,8.55,8.85,8.3,8.3,7009
2004-03-12,9,9,8.2,8.5,2405
2004-03-15,8.3,8.5,8.25,8.3,2162
2004-03-16,8.85,8.85,8.05,8.4,1953
2004-03-17,8.1,8.95,8.05,8.95,2995
2004-03-18,8.25,8.8,8.25,8.3,2404
2004-03-19,8.5,8.5,8.3,8.3,1400
2004-03-22,8,8,7.85,7.85,1200
2004-03-23,7.15,8.4,7.15,7.75,3256
2004-03-24,7.05,8.75,6.25,7.8,5902
2004-03-25,7.45,7.9,7.45,7.7,3150
2004-03-26,7.6,8,7.6,7.9,1100
2004-03-29,7.65,7.65,7.05,7.25,12560
2004-03-30,8,8.7,7.8,8.55,8973
2004-03-31,8.3,8.65,8.05,8.15,9574
2004-04-01,8.7,8.75,8.25,8.65,1700
2004-04-02,9,9.75,9,9.75,24601
2004-04-05,10,10.4,9.55,9.75,13696
2004-04-06,9.5,9.6,9.25,9.3,3600
2004-04-07,10,10,8.8,9.1,4754
2004-04-08,9.4,9.5,9.15,9.45,2000
2004-04-12,9.1,9.5,8.55,9.3,2900
2004-04-13,8.5,9.55,8.5,9.15,5503
2004-04-15,7.5,9.5,7.5,9.05,2801
2004-04-16,9.15,9.5,9.15,9.45,2748
2004-04-17,9.25,9.35,9.25,9.35,400
2004-04-19,9.6,9.75,9.4,9.65,2300
2004-04-20,9.25,9.25,9,9.1,4202
2004-04-21,9.4,9.4,9.05,9.2,3525
2004-04-22,9.3,9.75,8.85,9.65,9028
2004-04-23,9.65,9.75,9.35,9.35,11300
2004-04-27,9.25,9.25,8.75,8.8,5750
2004-04-28,9.35,9.35,8.75,8.75,1100
2004-04-29,9.1,9.2,8.9,9.05,4789
2004-04-30,8.7,9.4,8.55,8.8,10260
2004-05-03,8.55,8.9,8.55,8.65,3801
2004-05-04,8.9,9,8.55,8.9,8652
2004-05-05,9.35,9.35,9,9.15,4800
2004-05-06,9.35,9.9,9.15,9.75,5550
2004-05-07,9.95,10.45,9.75,9.9,11823
2004-05-10,10.5,10.5,9.95,10.05,9490
2004-05-11,9.45,9.9,9.25,9.3,2173
2004-05-12,10,10,9.3,9.6,4200
2004-05-13,9,9.85,8.85,9.7,6200
2004-05-14,9.25,9.55,8.6,8.6,7752
2004-05-18,7.8,9.9,7.8,8.9,6911
2004-05-19,9,9.4,8.7,9.4,3400
2004-05-20,9.75,9.75,9.4,9.4,300
2004-05-21,8.8,9.55,8.8,9.15,2890
2004-05-24,9.3,9.3,9.3,9.3,400
2004-05-25,9.5,9.5,9.3,9.5,2400
2004-05-26,9,9.5,9,9.35,7950
2004-05-27,9.15,9.15,9,9,800
2004-05-28,9.1,9.3,8.7,8.75,2700
2004-05-31,9,9,8.2,8.3,2400
2004-06-01,8.95,8.95,8.45,8.6,1001
2004-06-02,8.75,8.85,8.5,8.5,1502
2004-06-03,9.2,9.2,8.5,8.5,3651
2004-06-04,8.55,8.7,8.1,8.25,4604
2004-06-07,8.5,8.5,8.35,8.35,2724
2004-06-08,8.7,8.7,8.05,8.25,813
2004-06-09,8.05,8.2,8.05,8.2,200
2004-06-10,8.2,8.6,8.2,8.6,1350
2004-06-11,8.7,8.7,8.3,8.3,1600
2004-06-14,8.35,8.4,8.2,8.25,3752
2004-06-15,8.85,8.85,8.3,8.3,1000
2004-06-16,8.5,8.85,8.1,8.1,900
